datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,128.37,128.75999,127.68,127.93,7129400,ABT,Abbott Laboratories
2025-01-30,127.99,129.19,127.19,128.81,6340400,ABT,Abbott Laboratories
2025-01-29,128.16,129.3,127.63,127.86,7609800,ABT,Abbott Laboratories
2025-01-28,129.75,129.85001,126.67,127.39,11948500,ABT,Abbott Laboratories
2025-01-27,126.73,129.75999,125.47,129.42999,11845100,ABT,Abbott Laboratories
2025-01-24,122.59,125.67,122.18,125.029999,9960200,ABT,Abbott Laboratories
2025-01-23,118.13,123.23,117.78,123.22,13089400,ABT,Abbott Laboratories
2025-01-22,114.13,119.94,113.5,117.78,13200700,ABT,Abbott Laboratories
2025-01-21,114.25,116.9,114.14,116.79,8486300,ABT,Abbott Laboratories
2025-01-17,113.62,114.79,113.39,113.48,6459800,ABT,Abbott Laboratories
2025-01-16,111.019997,113.95,111.019997,113.91,5598700,ABT,Abbott Laboratories
2025-01-15,112.15,112.76,110.86,111.099998,6543700,ABT,Abbott Laboratories
2025-01-14,113.56,113.81,112.29,113.019997,3972400,ABT,Abbott Laboratories
2025-01-13,112.6,113.39,111.98,113.19,4409700,ABT,Abbott Laboratories
2025-01-10,113.77,113.84,111.79,112.31,5108700,ABT,Abbott Laboratories
2025-01-08,113.54,114.31,112.26,114.25,4455800,ABT,Abbott Laboratories
2025-01-07,113.37,114.69,113.17,113.4,5300100,ABT,Abbott Laboratories
2025-01-06,113.51,114.26,112.79,113.040001,6037200,ABT,Abbott Laboratories
2025-01-03,113.94,114.23,113.28,113.83,4416700,ABT,Abbott Laboratories
2025-01-02,113.69,113.96,112.76,113.44,3569100,ABT,Abbott Laboratories
2024-12-31,113.059998,113.78,112.55,113.11,3519900,ABT,Abbott Laboratories
2024-12-30,114.13,114.64,112.52,112.8,3475800,ABT,Abbott Laboratories
2024-12-27,115.010002,115.95,114.51,114.99,2829500,ABT,Abbott Laboratories
2024-12-26,114.2,115.81,113.82,115.27,2960500,ABT,Abbott Laboratories
2024-12-24,114.14,114.83,113.59,114.76,1480000,ABT,Abbott Laboratories
2024-12-23,114.0,114.51,112.96,114.31,4028200,ABT,Abbott Laboratories
2024-12-20,112.64,115.11,112.52,114.23,12311900,ABT,Abbott Laboratories
2024-12-19,111.54,113.3,111.28,112.42,7738700,ABT,Abbott Laboratories
2024-12-18,113.029999,114.15,111.85,111.93,6454600,ABT,Abbott Laboratories
2024-12-17,112.21,113.84,112.2,113.29,5805600,ABT,Abbott Laboratories
2024-12-16,112.7,113.65,112.39,112.62,5047200,ABT,Abbott Laboratories
2024-12-13,113.85,114.29,112.14,113.38,4550500,ABT,Abbott Laboratories
