datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,93.95,94.61,92.34,93.07,2040600,ACGL,Arch Capital Group
2025-01-30,94.37,95.050003,92.86,94.58,1556800,ACGL,Arch Capital Group
2025-01-29,94.84,95.17,93.46,93.82,2247300,ACGL,Arch Capital Group
2025-01-28,96.2,96.83,94.83,95.21,1626100,ACGL,Arch Capital Group
2025-01-27,93.28,96.53,93.18,96.52,1899300,ACGL,Arch Capital Group
2025-01-24,92.97,93.55,92.0,92.76,1334600,ACGL,Arch Capital Group
2025-01-23,93.43,93.74,92.81,93.019997,1158800,ACGL,Arch Capital Group
2025-01-22,94.9,95.010002,93.059998,93.21,1912500,ACGL,Arch Capital Group
2025-01-21,96.0,96.52,94.71,94.88,1694100,ACGL,Arch Capital Group
2025-01-17,96.18,96.84,95.42,95.51,4619700,ACGL,Arch Capital Group
2025-01-16,93.88,96.17,93.75,96.099998,1847200,ACGL,Arch Capital Group
2025-01-15,93.099998,93.76,92.74,93.62,1955500,ACGL,Arch Capital Group
2025-01-14,91.12,92.2,89.97,91.99,2493700,ACGL,Arch Capital Group
2025-01-13,89.84,91.33,89.47,90.83,1512600,ACGL,Arch Capital Group
2025-01-10,91.040001,92.0,89.9,90.17,2896400,ACGL,Arch Capital Group
2025-01-08,92.42,93.0,91.34,92.66,1698000,ACGL,Arch Capital Group
2025-01-07,90.74,93.25,90.58,92.25,2144200,ACGL,Arch Capital Group
2025-01-06,91.29,92.010002,90.52,90.74,1791000,ACGL,Arch Capital Group
2025-01-03,91.63,92.010002,90.88,91.4,1624700,ACGL,Arch Capital Group
2025-01-02,92.95,93.040001,91.18,91.38,1029800,ACGL,Arch Capital Group
2024-12-31,92.4,92.47,91.66,92.35,1095200,ACGL,Arch Capital Group
2024-12-30,91.78,92.24,90.8,91.89,1010000,ACGL,Arch Capital Group
2024-12-27,92.37,93.16,91.92,92.34,1030500,ACGL,Arch Capital Group
2024-12-26,92.51,93.11,92.080002,92.93,842800,ACGL,Arch Capital Group
2024-12-24,92.34,92.74,91.87,92.67,767100,ACGL,Arch Capital Group
2024-12-23,90.089996,92.19,90.089996,92.089996,1729800,ACGL,Arch Capital Group
2024-12-22,90.089996,92.19,90.089996,92.089996,1729851,ACGL,Arch Capital Group
2024-12-20,88.63,91.35,88.53,90.99,5114300,ACGL,Arch Capital Group
2024-12-19,88.83,90.029999,88.83,88.99,2120800,ACGL,Arch Capital Group
2024-12-18,90.81,90.98,88.67,88.71,2008900,ACGL,Arch Capital Group
2024-12-17,90.84,90.87,89.88,90.53,2487800,ACGL,Arch Capital Group
2024-12-16,90.84,90.87,89.88,90.53,2487820,ACGL,Arch Capital Group
2024-12-13,94.17,94.33,93.36,93.42,2067200,ACGL,Arch Capital Group
2024-12-12,94.23,95.36,93.67,93.92,1449200,ACGL,Arch Capital Group
2024-12-11,93.56,94.12,92.42,94.07,1516100,ACGL,Arch Capital Group
2024-12-10,95.25,95.9,92.31,93.35,1869800,ACGL,Arch Capital Group
2024-12-09,97.39,97.7,95.72,95.9,1805500,ACGL,Arch Capital Group
2024-12-06,98.46,98.81,97.010002,97.83,1398300,ACGL,Arch Capital Group
2024-12-05,98.86,99.31,98.31,98.49,1379100,ACGL,Arch Capital Group
2024-12-04,99.74,99.99,98.29,98.48,1553300,ACGL,Arch Capital Group
2024-12-03,100.0,100.48,98.69,99.53,1966600,ACGL,Arch Capital Group
2024-12-02,100.59,100.93,99.26,99.3,1472400,ACGL,Arch Capital Group
2024-11-29,100.83,101.28,100.27,100.72,797200,ACGL,Arch Capital Group
2024-11-27,100.79,101.66,100.48,100.74,991500,ACGL,Arch Capital Group
2024-11-26,100.099998,100.69,99.42,100.41,1269200,ACGL,Arch Capital Group
2024-11-25,99.91,100.62,98.83,100.059998,4050500,ACGL,Arch Capital Group
2024-11-22,98.62,99.8,98.029999,99.69,1569600,ACGL,Arch Capital Group
2024-11-21,95.66,98.78,95.52,98.59,1923700,ACGL,Arch Capital Group
2024-11-20,95.83,96.029999,94.0,95.71,2889900,ACGL,Arch Capital Group
2024-11-19,96.089996,96.59,95.28,95.69,1554600,ACGL,Arch Capital Group
2024-11-18,96.55,97.15,95.75,96.98,2255800,ACGL,Arch Capital Group
2024-11-15,100.54,102.37,100.54,101.83,2726400,ACGL,Arch Capital Group
2024-11-14,101.36,102.11,99.64,100.050003,2165600,ACGL,Arch Capital Group
2024-11-13,101.21,102.13,100.75,101.18,1736000,ACGL,Arch Capital Group
2024-11-12,100.51,101.36,100.2,101.12,2402000,ACGL,Arch Capital Group
2024-11-11,102.27,102.51,100.07,100.5,2131700,ACGL,Arch Capital Group
2024-11-10,102.27,102.505,100.07,100.5,2131682,ACGL,Arch Capital Group
2024-11-08,102.45,103.17,101.0,101.85,1887200,ACGL,Arch Capital Group
2024-11-07,102.45,103.17,101.0,101.85,1887176,ACGL,Arch Capital Group
2024-11-06,101.88,101.97,100.15,101.7,3283100,ACGL,Arch Capital Group
2024-11-05,95.24,96.52,95.050003,96.5,1906700,ACGL,Arch Capital Group
2024-11-04,96.16,96.28,94.95,95.0,2293300,ACGL,Arch Capital Group
2024-11-01,98.57,99.34,95.86,96.019997,4006500,ACGL,Arch Capital Group
2024-10-31,102.12,103.21,98.27,98.56,3438200,ACGL,Arch Capital Group
2024-10-30,104.65,105.76,104.0,105.14,1727400,ACGL,Arch Capital Group
2024-10-29,105.93,106.63,104.68,104.8,1316800,ACGL,Arch Capital Group
2024-10-28,105.54,106.34,105.4,105.66,1224700,ACGL,Arch Capital Group
2024-10-25,106.68,107.19,104.9,105.3,1490100,ACGL,Arch Capital Group
2024-10-24,107.33,107.89,106.84,107.040001,1467400,ACGL,Arch Capital Group
2024-10-23,107.58,107.91,106.37,107.0,1635400,ACGL,Arch Capital Group
2024-10-22,108.35,108.73,106.45,107.79,1078400,ACGL,Arch Capital Group
2024-10-21,108.53,109.61,107.96,108.5,1302300,ACGL,Arch Capital Group
2024-10-18,108.47,108.68,107.64,108.53,4339400,ACGL,Arch Capital Group
2024-10-17,108.089996,109.13,107.47,108.25,1954000,ACGL,Arch Capital Group
2024-10-16,108.07,109.68,107.32,107.47,1696200,ACGL,Arch Capital Group
2024-10-15,111.17,111.34,107.98,108.059998,2561800,ACGL,Arch Capital Group
2024-10-14,113.099998,113.099998,108.96,111.089996,2677000,ACGL,Arch Capital Group
2024-10-11,114.62,115.059998,114.0,114.4,1452300,ACGL,Arch Capital Group
2024-10-10,115.72,116.41,113.12,113.9,1352200,ACGL,Arch Capital Group
2024-10-09,109.53,113.25,109.37,113.089996,2072500,ACGL,Arch Capital Group
2024-10-08,108.7,110.69,108.7,109.91,2177800,ACGL,Arch Capital Group
2024-10-07,115.25,116.47,106.71,107.79,3264600,ACGL,Arch Capital Group
2024-10-04,112.19,115.029999,112.0,114.86,1293200,ACGL,Arch Capital Group
2024-10-03,113.38,113.87,112.75,112.85,891100,ACGL,Arch Capital Group
2024-10-02,113.51,114.45,113.099998,113.74,961500,ACGL,Arch Capital Group
2024-10-01,111.79,114.050003,111.38,113.51,1238200,ACGL,Arch Capital Group
2024-09-30,113.37,113.53,110.050003,111.88,2391400,ACGL,Arch Capital Group
2024-09-27,112.73,113.67,112.47,113.41,1356200,ACGL,Arch Capital Group
2024-09-26,112.23,113.65,112.089996,112.57,1441000,ACGL,Arch Capital Group
2024-09-25,113.69,113.91,112.62,113.07,1052800,ACGL,Arch Capital Group
2024-09-24,113.66,114.19,112.79,113.35,1091100,ACGL,Arch Capital Group
2024-09-23,113.61,114.0,113.2,113.66,1201000,ACGL,Arch Capital Group
2024-09-20,111.55,113.42,110.66,113.24,3369100,ACGL,Arch Capital Group
2024-09-19,113.080002,113.32,111.019997,111.42,1770100,ACGL,Arch Capital Group
2024-09-18,114.19,114.27,112.4,113.040001,891300,ACGL,Arch Capital Group
2024-09-17,114.11,114.69,113.58,113.96,991000,ACGL,Arch Capital Group
2024-09-16,112.95,114.39,112.95,114.22,996900,ACGL,Arch Capital Group
2024-09-13,110.75,112.19,110.38,112.019997,1487100,ACGL,Arch Capital Group
2024-09-12,109.53,110.33,109.31,110.26,1198800,ACGL,Arch Capital Group
2024-09-11,111.26,111.87,108.77,109.75,1308400,ACGL,Arch Capital Group
