datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,85.67,86.029999,83.080002,84.19,2786500,ALB,Albemarle Corporation
2025-01-30,87.11,87.19,84.9,85.65,1929700,ALB,Albemarle Corporation
2025-01-29,86.33,87.3,85.45,86.28,1678800,ALB,Albemarle Corporation
2025-01-28,88.21,88.36,85.13,85.9,1888400,ALB,Albemarle Corporation
2025-01-27,88.22,88.83,87.17,88.78,3132200,ALB,Albemarle Corporation
2025-01-24,90.84,91.41,88.47,88.76,2297500,ALB,Albemarle Corporation
2025-01-23,90.0,90.9,88.9,89.8,2775600,ALB,Albemarle Corporation
2025-01-22,93.41,93.5,90.21,90.25,2427200,ALB,Albemarle Corporation
2025-01-21,97.099998,97.099998,93.89,94.050003,1921600,ALB,Albemarle Corporation
2025-01-17,95.41,99.07,95.21,97.49,2049500,ALB,Albemarle Corporation
2025-01-16,94.68,94.85,92.88,94.32,2082700,ALB,Albemarle Corporation
2025-01-15,94.66,96.75,94.089996,95.15,2289000,ALB,Albemarle Corporation
2025-01-14,92.65,94.7,91.54,92.63,1890700,ALB,Albemarle Corporation
2025-01-13,86.040001,91.51,85.74,91.51,2824600,ALB,Albemarle Corporation
2025-01-10,85.7,87.38,84.88,86.53,1691100,ALB,Albemarle Corporation
2025-01-08,88.81,88.81,86.65,87.38,1553800,ALB,Albemarle Corporation
2025-01-07,91.0,91.73,89.0,89.98,1653500,ALB,Albemarle Corporation
2025-01-06,89.99,93.059998,89.5,90.19,2319600,ALB,Albemarle Corporation
2025-01-03,86.0,88.26,85.19,87.79,2626700,ALB,Albemarle Corporation
2025-01-02,86.44,87.99,84.41,85.23,1866100,ALB,Albemarle Corporation
2024-12-31,86.8,88.19,85.29,86.080002,1609500,ALB,Albemarle Corporation
2024-12-30,87.0,87.19,85.14,86.14,1729000,ALB,Albemarle Corporation
2024-12-27,88.64,90.85,87.3,88.29,1397000,ALB,Albemarle Corporation
2024-12-26,89.51,90.43,88.46,89.15,1194900,ALB,Albemarle Corporation
2024-12-24,89.44,90.14,87.98,89.99,595100,ALB,Albemarle Corporation
2024-12-23,89.029999,89.86,88.11,89.2,2003000,ALB,Albemarle Corporation
2024-12-20,87.87,90.54,87.52,88.65,3685400,ALB,Albemarle Corporation
2024-12-19,91.5,93.84,88.74,88.92,2360700,ALB,Albemarle Corporation
2024-12-18,97.0,97.61,90.099998,90.54,2536300,ALB,Albemarle Corporation
2024-12-17,98.79,100.31,96.42,97.55,1757300,ALB,Albemarle Corporation
2024-12-16,98.59,100.91,97.56,99.54,1634300,ALB,Albemarle Corporation
2024-12-13,102.0,102.010002,98.040001,99.38,1643700,ALB,Albemarle Corporation
2024-12-12,103.61,104.53,102.2,103.3,1136800,ALB,Albemarle Corporation
2024-12-11,104.45,104.45,101.58,103.84,1502100,ALB,Albemarle Corporation
2024-12-10,108.5,109.17,103.5,103.98,1535800,ALB,Albemarle Corporation
2024-12-09,106.36,113.91,106.080002,109.66,2663200,ALB,Albemarle Corporation
2024-12-06,102.0,105.2,101.82,104.96,1557000,ALB,Albemarle Corporation
2024-12-05,102.0,103.33,100.8,101.099998,2322100,ALB,Albemarle Corporation
2024-12-04,108.95,109.14,101.11,102.61,2526900,ALB,Albemarle Corporation
2024-12-03,111.0,111.0,108.54,109.07,1477900,ALB,Albemarle Corporation
2024-12-02,107.7,111.46,106.94,111.3,1990000,ALB,Albemarle Corporation
2024-11-29,107.019997,108.6,106.63,107.7,748200,ALB,Albemarle Corporation
2024-11-27,107.7,109.73,106.25,107.98,1071900,ALB,Albemarle Corporation
2024-11-26,108.51,109.65,106.37,106.79,1973300,ALB,Albemarle Corporation
2024-11-25,110.18,111.7,108.7,109.98,2087000,ALB,Albemarle Corporation
2024-11-22,106.89,109.48,104.55,108.38,1820200,ALB,Albemarle Corporation
2024-11-21,107.010002,110.07,106.47,108.98,1598000,ALB,Albemarle Corporation
2024-11-20,105.95,110.18,105.95,109.55,2033500,ALB,Albemarle Corporation
2024-11-19,107.0,107.75,103.79,106.45,2168900,ALB,Albemarle Corporation
2024-11-18,103.13,104.92,102.23,104.029999,1698700,ALB,Albemarle Corporation
2024-11-15,102.0,103.63,99.58,103.53,2498100,ALB,Albemarle Corporation
2024-11-14,108.39,109.16,101.22,102.099998,2458300,ALB,Albemarle Corporation
2024-11-13,108.26,111.39,107.4,108.19,3822200,ALB,Albemarle Corporation
2024-11-12,106.59,108.13,102.71,102.8,2359400,ALB,Albemarle Corporation
2024-11-11,104.68,111.59,103.91,110.49,4581900,ALB,Albemarle Corporation
2024-11-08,98.78,100.92,97.07,100.84,2287100,ALB,Albemarle Corporation
2024-11-07,97.4,103.86,94.39,99.93,3377400,ALB,Albemarle Corporation
2024-11-06,96.0,97.37,93.3,96.58,3228300,ALB,Albemarle Corporation
2024-11-05,100.040001,100.44,98.3,99.78,1548500,ALB,Albemarle Corporation
2024-11-04,99.5,102.6,98.82,100.57,2339600,ALB,Albemarle Corporation
2024-11-01,95.0,99.4,94.38,98.24,2431100,ALB,Albemarle Corporation
2024-10-31,95.52,96.69,94.16,94.73,2197600,ALB,Albemarle Corporation
2024-10-30,96.41,99.0,95.4,95.52,1318200,ALB,Albemarle Corporation
2024-10-29,97.35,99.38,96.62,96.65,1409500,ALB,Albemarle Corporation
2024-10-28,93.9,99.5,93.67,98.14,2383300,ALB,Albemarle Corporation
2024-10-25,95.24,96.2,93.07,93.51,2046400,ALB,Albemarle Corporation
2024-10-24,95.45,96.099998,93.14,95.15,1422100,ALB,Albemarle Corporation
2024-10-23,95.040001,96.31,93.44,93.96,1958700,ALB,Albemarle Corporation
2024-10-22,93.67,96.88,92.94,96.46,2363600,ALB,Albemarle Corporation
2024-10-21,94.5,94.95,92.99,93.84,2276700,ALB,Albemarle Corporation
2024-10-18,96.71,97.64,94.45,95.14,2082000,ALB,Albemarle Corporation
2024-10-17,97.49,97.81,93.2,94.67,2992300,ALB,Albemarle Corporation
2024-10-16,97.84,99.67,96.63,98.25,1875900,ALB,Albemarle Corporation
2024-10-15,97.6,100.080002,95.57,95.74,2645400,ALB,Albemarle Corporation
2024-10-14,101.17,102.0,98.0,99.6,2352800,ALB,Albemarle Corporation
2024-10-11,100.65,103.42,100.33,102.019997,2426000,ALB,Albemarle Corporation
2024-10-10,101.31,104.68,101.11,102.96,1840700,ALB,Albemarle Corporation
2024-10-09,102.19,103.38,99.76,101.92,3759100,ALB,Albemarle Corporation
2024-10-08,99.85,101.5,98.95,100.26,4295000,ALB,Albemarle Corporation
2024-10-07,99.88,105.24,99.59,104.47,4527200,ALB,Albemarle Corporation
2024-10-04,99.2,102.099998,98.4,102.089996,4783300,ALB,Albemarle Corporation
2024-10-03,92.050003,95.0,91.9,94.31,1785600,ALB,Albemarle Corporation
2024-10-02,94.39,95.63,92.56,94.07,1271200,ALB,Albemarle Corporation
2024-10-01,94.16,94.95,92.71,94.32,1269900,ALB,Albemarle Corporation
2024-09-30,96.19,98.099998,94.2,94.71,1743200,ALB,Albemarle Corporation
2024-09-27,97.2,98.25,94.82,96.050003,2592800,ALB,Albemarle Corporation
2024-09-26,92.0,95.53,90.51,95.17,4339600,ALB,Albemarle Corporation
2024-09-25,90.62,90.84,86.45,86.58,2170500,ALB,Albemarle Corporation
2024-09-24,92.7,94.85,90.46,90.46,3650500,ALB,Albemarle Corporation
2024-09-23,87.33,90.27,85.93,88.71,2005300,ALB,Albemarle Corporation
2024-09-20,88.47,88.97,85.45,86.029999,4531400,ALB,Albemarle Corporation
2024-09-19,90.2,90.37,87.84,89.33,1976000,ALB,Albemarle Corporation
2024-09-18,90.56,90.74,86.099998,86.59,3200600,ALB,Albemarle Corporation
2024-09-17,90.51,91.9,89.76,89.82,1925600,ALB,Albemarle Corporation
2024-09-16,87.99,90.12,86.97,89.35,1566200,ALB,Albemarle Corporation
2024-09-13,88.9,89.81,85.87,87.44,2181700,ALB,Albemarle Corporation
2024-09-12,89.3,89.87,86.74,88.5,2865000,ALB,Albemarle Corporation
2024-09-11,90.21,91.81,84.75,89.3,6391800,ALB,Albemarle Corporation
2024-09-10,78.010002,78.69,75.44,78.62,2058300,ALB,Albemarle Corporation
2024-09-09,78.0,79.76,76.77,78.41,2238700,ALB,Albemarle Corporation
2024-09-06,81.24,81.46,75.36,76.9,3495900,ALB,Albemarle Corporation
2024-09-05,84.82,85.21,82.51,82.6,1421600,ALB,Albemarle Corporation
2024-09-04,83.13,87.19,83.13,84.75,2158200,ALB,Albemarle Corporation
2024-09-03,87.3,88.0,82.73,84.12,2748100,ALB,Albemarle Corporation
2024-08-30,93.0,94.69,89.53,90.25,2063100,ALB,Albemarle Corporation
2024-08-29,88.96,93.0,86.79,91.65,1875000,ALB,Albemarle Corporation
2024-08-28,88.050003,88.67,87.55,88.0,1802100,ALB,Albemarle Corporation
2024-08-27,88.98,89.74,88.54,88.98,1165700,ALB,Albemarle Corporation
2024-08-26,91.26,91.68,88.38,88.94,2020000,ALB,Albemarle Corporation
2024-08-23,87.83,90.83,87.0,90.5,2203800,ALB,Albemarle Corporation
2024-08-22,87.89,87.89,85.59,86.88,2588100,ALB,Albemarle Corporation
2024-08-21,85.6,88.85,84.91,88.6,3287700,ALB,Albemarle Corporation
