datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,194.0,194.58,192.28,192.33,1619400,ALL,Allstate
2025-01-30,192.82001,194.41,191.78999,193.83,879600,ALL,Allstate
2025-01-29,189.97,192.95,189.81,190.81,724800,ALL,Allstate
2025-01-28,192.080002,192.92,190.23,190.96001,875600,ALL,Allstate
2025-01-27,187.32001,193.27,187.21001,193.19,1518700,ALL,Allstate
2025-01-24,184.55,186.5,183.89999,186.070007,1215500,ALL,Allstate
2025-01-23,185.25,188.020004,184.21001,184.66,2241700,ALL,Allstate
2025-01-22,191.020004,191.89,184.89999,185.25,1856800,ALL,Allstate
2025-01-21,190.23,193.32001,189.50999,189.75,1609200,ALL,Allstate
2025-01-17,191.31,192.89,188.63,188.89999,1519000,ALL,Allstate
2025-01-16,188.41,191.96001,187.78,191.10001,1502000,ALL,Allstate
2025-01-15,189.0,190.16,186.95,188.029999,1672300,ALL,Allstate
2025-01-14,183.28999,187.070007,181.94,186.81,1554500,ALL,Allstate
2025-01-13,178.39999,184.35001,178.13,182.53999,2381500,ALL,Allstate
2025-01-10,188.62,190.75,176.46001,180.99001,4642100,ALL,Allstate
2025-01-08,188.72,191.84,185.020004,191.8,2401700,ALL,Allstate
2025-01-07,186.089996,187.60001,184.19,186.039993,2265500,ALL,Allstate
2025-01-06,191.62,192.55,185.35001,185.91,2622900,ALL,Allstate
2025-01-03,192.72,193.5,190.84,191.45,1431600,ALL,Allstate
2025-01-02,193.029999,193.75999,190.42,191.95,1721900,ALL,Allstate
2024-12-31,192.53,193.39999,191.8,192.78999,758000,ALL,Allstate
2024-12-30,192.85001,193.13,189.75999,192.55,1041700,ALL,Allstate
2024-12-27,194.16,195.78999,192.59,193.8,1094400,ALL,Allstate
2024-12-26,195.46001,195.92,194.52,195.62,563300,ALL,Allstate
2024-12-24,193.87,195.82001,192.92,195.52,453200,ALL,Allstate
2024-12-23,192.55,193.84,191.7,193.63,1336100,ALL,Allstate
2024-12-20,188.42999,194.92,187.41,193.56,2351800,ALL,Allstate
2024-12-19,189.66,192.13,188.38,189.78999,1478500,ALL,Allstate
2024-12-18,192.49001,193.69,189.089996,189.25,1378400,ALL,Allstate
2024-12-17,194.16,194.50999,191.63,193.39999,1324400,ALL,Allstate
2024-12-16,197.0099945,198.60001,194.88,195.020004,1409100,ALL,Allstate
2024-12-13,193.82001,197.69,193.63,196.25999,1803000,ALL,Allstate
2024-12-12,194.52,195.13,191.94,192.3,1113000,ALL,Allstate
2024-12-11,195.11,196.070007,191.14,193.3,1541400,ALL,Allstate
2024-12-10,199.45,199.69,194.8,195.059998,1667300,ALL,Allstate
2024-12-09,202.71001,204.42,198.89999,199.039993,2307200,ALL,Allstate
2024-12-06,203.28,204.89,201.53999,203.64,1050700,ALL,Allstate
2024-12-05,205.75,206.89,204.11,204.23,1165000,ALL,Allstate
2024-12-04,203.17999,205.83,202.039993,204.95,1360900,ALL,Allstate
2024-12-03,205.28,205.50999,202.59,203.39999,1277300,ALL,Allstate
2024-12-02,207.81,208.31,204.25999,204.39,1282900,ALL,Allstate
2024-11-29,207.88,208.72,207.029999,207.39,698700,ALL,Allstate
2024-11-27,207.75,209.88,206.63,208.2,1429600,ALL,Allstate
2024-11-26,204.38,208.23,202.39,207.87,2010500,ALL,Allstate
