datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,115.4,118.34,113.311,115.23,10358900,ANET,Arista Networks
2025-01-30,114.77,116.99,112.35,113.86,12583800,ANET,Arista Networks
2025-01-29,107.38,110.45,106.62,107.84,13131700,ANET,Arista Networks
2025-01-28,105.019997,106.7,99.68,106.54,20683600,ANET,Arista Networks
2025-01-27,109.62,112.27,97.68,100.3,33282600,ANET,Arista Networks
2025-01-24,133.31,133.575,128.39999,129.17,7969100,ANET,Arista Networks
2025-01-23,128.34,129.25999,126.72,129.12,5866800,ANET,Arista Networks
2025-01-22,126.18,131.179,125.2,129.82001,9751400,ANET,Arista Networks
2025-01-21,121.56,121.92,119.5,121.5,6366600,ANET,Arista Networks
2025-01-17,119.9,120.98,118.69,119.95,5812900,ANET,Arista Networks
2025-01-16,117.32,119.89,116.38,118.13,6224700,ANET,Arista Networks
2025-01-15,116.47,117.25,115.07,116.099998,7187900,ANET,Arista Networks
2025-01-14,114.61,115.2,112.78,114.91,6419500,ANET,Arista Networks
2025-01-13,110.11,113.059998,109.092003,112.64,5380300,ANET,Arista Networks
2025-01-10,115.25,116.080002,112.65,114.34,5374900,ANET,Arista Networks
2025-01-08,115.15,116.27,113.45,115.51,5374300,ANET,Arista Networks
2025-01-07,119.69,120.28,114.62,115.29,6768700,ANET,Arista Networks
2025-01-06,117.7,119.53,117.17,118.98,10098200,ANET,Arista Networks
2025-01-05,117.7,119.53,117.17,118.98,10098235,ANET,Arista Networks
2025-01-03,112.48,115.48,112.2,115.2,5051100,ANET,Arista Networks
2025-01-02,111.32,114.15,109.8,111.79,4687300,ANET,Arista Networks
2025-01-01,111.32,114.15,109.8,111.79,4691332,ANET,Arista Networks
2024-12-31,111.45,111.84,109.88,110.53,3422200,ANET,Arista Networks
2024-12-30,111.45,111.84,109.88,110.53,3422160,ANET,Arista Networks
2024-12-27,113.67,114.099998,111.65,113.029999,3178100,ANET,Arista Networks
2024-12-26,114.0,115.07,113.66,114.86,3082200,ANET,Arista Networks
2024-12-24,113.0,114.77,112.85,114.65,2044600,ANET,Arista Networks
2024-12-23,112.81,113.69,111.51,113.089996,3854300,ANET,Arista Networks
2024-12-20,107.82,114.4,107.0,112.81,10434400,ANET,Arista Networks
2024-12-19,110.31,112.12,108.13,109.07,6365100,ANET,Arista Networks
2024-12-18,113.28,114.4,107.68,108.07,6427300,ANET,Arista Networks
2024-12-17,114.99,115.43,112.019997,112.95,7868400,ANET,Arista Networks
2024-12-16,113.38,116.94,113.19,116.53,10455700,ANET,Arista Networks
2024-12-13,111.37,112.77,109.88,112.37,9338600,ANET,Arista Networks
2024-12-12,106.2,108.15,105.48,106.88,4411800,ANET,Arista Networks
2024-12-11,105.43,108.2,104.736,107.23,4790500,ANET,Arista Networks
2024-12-10,105.92,107.74,104.19,104.78,4595200,ANET,Arista Networks
2024-12-09,108.5,109.0,103.66,105.92,6800700,ANET,Arista Networks
2024-12-06,106.83,110.74,105.099998,108.25,10017900,ANET,Arista Networks
2024-12-05,103.41,108.14,102.44,106.83,6967000,ANET,Arista Networks
2024-12-04,106.010002,108.966,104.010002,105.43,5845900,ANET,Arista Networks
2024-12-03,101.985,104.050003,101.6,103.615,7181200,ANET,Arista Networks
2024-12-02,101.4575,104.185,101.455,102.525,5328000,ANET,Arista Networks
2024-11-29,101.7475,102.245,100.9525,101.455,5131600,ANET,Arista Networks
2024-11-27,101.6275,101.7325,98.545,100.5725,6823600,ANET,Arista Networks
2024-11-26,100.87,103.475,100.62,102.082497,8479200,ANET,Arista Networks
2024-11-25,102.545,103.1875,98.88,99.93,9612000,ANET,Arista Networks
2024-11-22,101.25,101.95,99.93125,101.62,7649600,ANET,Arista Networks
2024-11-21,98.0,101.335,97.7575,101.2425,13185600,ANET,Arista Networks
2024-11-20,95.0,95.66,93.75,95.4275,7866400,ANET,Arista Networks
2024-11-19,92.675,95.064247,92.099998,94.425,12958800,ANET,Arista Networks
2024-11-18,94.975,94.975,92.315,92.6175,10448400,ANET,Arista Networks
2024-11-15,95.9725,95.9725,93.059998,93.5975,12047200,ANET,Arista Networks
2024-11-14,98.25,98.8375,96.1225,96.4875,11496800,ANET,Arista Networks
2024-11-13,99.31,100.9425,98.042503,98.79,12063600,ANET,Arista Networks
2024-11-12,99.775,100.4875,98.43,98.8875,12885600,ANET,Arista Networks
2024-11-11,101.33,102.07,97.555,99.3275,11624800,ANET,Arista Networks
2024-11-08,101.615,104.4825,99.375,100.1125,25313600,ANET,Arista Networks
2024-11-07,106.755,107.9925,106.1575,107.755,13025200,ANET,Arista Networks
2024-11-06,104.995,106.0025024,103.2925,105.78,7345600,ANET,Arista Networks
2024-11-05,99.39,101.34,99.235,101.28,4590400,ANET,Arista Networks
2024-11-04,99.51,100.1475,98.285,98.72,4616400,ANET,Arista Networks
2024-11-01,96.8325,99.225,96.17,98.5425,5255600,ANET,Arista Networks
2024-10-31,97.6175,97.7175,95.47,96.61,9374000,ANET,Arista Networks
2024-10-30,100.11,100.3175,98.4775,99.0,4227200,ANET,Arista Networks
2024-10-29,98.32,101.067497,98.25625,100.3925,4650400,ANET,Arista Networks
2024-10-28,99.965,100.125,97.695,98.095001,4125600,ANET,Arista Networks
2024-10-25,99.975,100.1925,98.35025,98.5225,4672400,ANET,Arista Networks
2024-10-24,99.1275,99.595,98.575,98.925,4452800,ANET,Arista Networks
2024-10-23,98.835,100.3475,97.875,98.51,4680400,ANET,Arista Networks
2024-10-22,99.5025,100.573,98.28,99.14,9460000,ANET,Arista Networks
2024-10-21,100.81,102.067497,100.38,101.5025,6289600,ANET,Arista Networks
2024-10-18,102.089996,102.089996,99.8925,100.5,6157600,ANET,Arista Networks
2024-10-17,103.0,104.0,101.83,101.8475,5274800,ANET,Arista Networks
2024-10-16,98.795,101.5875,98.705,101.52,6859200,ANET,Arista Networks
2024-10-15,103.5,103.65,95.5775,98.077499,16107600,ANET,Arista Networks
2024-10-14,104.7925,105.6825,103.335,103.3675,4991600,ANET,Arista Networks
2024-10-11,102.6,104.4275,102.4875,104.2325,6737200,ANET,Arista Networks
2024-10-10,100.89,102.6775,100.6475,102.44,5674800,ANET,Arista Networks
2024-10-09,99.675,102.29875,99.029999,101.7325,7662800,ANET,Arista Networks
2024-10-08,99.565,100.5,98.625,100.055,6247600,ANET,Arista Networks
2024-10-07,98.5,99.87,97.5575,98.135,4865200,ANET,Arista Networks
2024-10-04,99.0,99.2,97.082497,98.9925,4253600,ANET,Arista Networks
2024-10-03,97.1875,98.955,96.8975,97.5275,4528800,ANET,Arista Networks
2024-10-02,95.3625,97.605,94.82875,97.405,4405600,ANET,Arista Networks
2024-10-01,97.092499,97.7075,94.615,95.4625,4213200,ANET,Arista Networks
2024-09-30,94.505,96.09375,94.125,95.955,4460800,ANET,Arista Networks
2024-09-27,96.3725,96.56125,94.087502,95.065002,7616000,ANET,Arista Networks
2024-09-26,98.425,98.955,95.535,96.575,5248800,ANET,Arista Networks
2024-09-25,96.1825,97.4525,95.9925,97.052498,4564400,ANET,Arista Networks
2024-09-24,97.072502,97.072502,94.85,96.2675,6010800,ANET,Arista Networks
2024-09-23,96.9525,97.5,95.645,96.3925,5226800,ANET,Arista Networks
2024-09-20,94.37,96.375,94.267,96.115,10938000,ANET,Arista Networks
2024-09-19,93.195,95.135,92.855,94.83,7828400,ANET,Arista Networks
2024-09-18,90.515,92.040001,89.3625,90.4275,4146800,ANET,Arista Networks
2024-09-17,91.25,92.035004,90.125,90.2375,4205600,ANET,Arista Networks
2024-09-16,88.7825,90.029999,87.8675,89.79,3432800,ANET,Arista Networks
2024-09-13,89.9875,91.0072479,89.2625,89.94,5909600,ANET,Arista Networks
2024-09-12,85.7,89.44,84.9375,88.84,7056800,ANET,Arista Networks
2024-09-11,81.8725,86.0049973,81.046249,85.7325,9778000,ANET,Arista Networks
