datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,67.75,68.82,66.75,67.3,2674700,AOS,A. O. Smith
2025-01-30,66.51,67.66,65.53,67.31,3225300,AOS,A. O. Smith
2025-01-29,69.74,69.86,68.84,69.22,1513000,AOS,A. O. Smith
2025-01-28,71.0,71.89,69.58,69.87,1397000,AOS,A. O. Smith
2025-01-27,70.93,71.83,70.68,71.43,1112200,AOS,A. O. Smith
2025-01-24,71.080002,71.34,70.4,70.57,1458400,AOS,A. O. Smith
2025-01-23,71.14,71.85,70.29,71.27,1932600,AOS,A. O. Smith
2025-01-22,71.93,72.040001,70.36,70.97,1701500,AOS,A. O. Smith
2025-01-21,72.5,73.16,72.29,72.69,973600,AOS,A. O. Smith
2025-01-17,71.94,72.27,71.28,71.81,1285700,AOS,A. O. Smith
2025-01-16,71.31,71.47,70.68,71.4,969000,AOS,A. O. Smith
2025-01-15,72.62,73.089996,70.9,70.95,1702400,AOS,A. O. Smith
2025-01-14,69.42,71.35,69.42,71.25,1716800,AOS,A. O. Smith
2025-01-13,67.58,68.78,67.38,68.63,1039600,AOS,A. O. Smith
2025-01-10,67.88,68.88,67.2,67.58,1343700,AOS,A. O. Smith
2025-01-08,67.87,68.76,67.29,68.68,977700,AOS,A. O. Smith
2025-01-07,68.72,69.33,67.96,68.3,943900,AOS,A. O. Smith
2025-01-06,68.87,69.54,68.39,68.9,1531100,AOS,A. O. Smith
2025-01-03,67.46,68.78,67.17,68.6,932800,AOS,A. O. Smith
2025-01-02,68.51,69.32,67.29,67.33,815300,AOS,A. O. Smith
2024-12-31,68.35,68.68,67.68,68.21,792000,AOS,A. O. Smith
2024-12-30,68.15,68.23,67.39,68.019997,838900,AOS,A. O. Smith
2024-12-27,68.6,69.07,68.23,68.43,517900,AOS,A. O. Smith
2024-12-26,68.64,69.24,68.47,68.89,670600,AOS,A. O. Smith
2024-12-24,68.48,68.89,68.15,68.89,381800,AOS,A. O. Smith
2024-12-23,68.22,68.68,68.099998,68.56,574400,AOS,A. O. Smith
2024-12-20,68.24,69.41,68.07,68.72,2859700,AOS,A. O. Smith
2024-12-19,68.94,69.92,68.38,68.44,1300000,AOS,A. O. Smith
2024-12-18,71.080002,71.7,68.89,68.91,812600,AOS,A. O. Smith
2024-12-17,71.66,72.21,70.76,70.81,1148900,AOS,A. O. Smith
2024-12-16,72.13,73.4,71.8,71.89,767900,AOS,A. O. Smith
2024-12-13,72.28,72.82,72.080002,72.49,981500,AOS,A. O. Smith
2024-12-12,72.67,73.15,72.19,72.63,864800,AOS,A. O. Smith
2024-12-11,73.4,73.69,72.46,72.88,1084800,AOS,A. O. Smith
2024-12-10,73.6,73.85,72.080002,72.98,954600,AOS,A. O. Smith
2024-12-09,72.78,74.42,72.78,73.89,1313900,AOS,A. O. Smith
2024-12-06,73.24,73.24,72.31,72.61,1066700,AOS,A. O. Smith
2024-12-05,73.53,73.58,71.98,72.32,939100,AOS,A. O. Smith
2024-12-04,73.79,74.14,73.23,73.6,865200,AOS,A. O. Smith
2024-12-03,74.65,74.65,73.24,74.019997,1134100,AOS,A. O. Smith
2024-12-02,74.63,74.86,73.75,74.65,841200,AOS,A. O. Smith
2024-12-01,74.63,74.86,73.745,74.65,841195,AOS,A. O. Smith
2024-11-29,74.2,74.67,74.050003,74.49,381300,AOS,A. O. Smith
2024-11-28,74.2,74.67,74.050003,74.49,381326,AOS,A. O. Smith
2024-11-27,74.23,74.93,74.010002,74.099998,609100,AOS,A. O. Smith
2024-11-26,74.53,74.59,73.75,73.9,850800,AOS,A. O. Smith
2024-11-25,74.11,75.91,74.010002,75.43,1303100,AOS,A. O. Smith
2024-11-22,73.099998,73.8,73.0,73.44,716600,AOS,A. O. Smith
2024-11-21,71.75,73.57,71.69,72.97,975900,AOS,A. O. Smith
2024-11-20,71.5,71.93,70.73,71.75,849600,AOS,A. O. Smith
2024-11-19,71.52,72.0,71.040001,71.41,914200,AOS,A. O. Smith
2024-11-18,72.0,72.63,71.64,72.15,801700,AOS,A. O. Smith
2024-11-15,72.78,73.28,72.15,72.23,1214400,AOS,A. O. Smith
2024-11-14,73.0,73.8,72.91,73.0,1002400,AOS,A. O. Smith
2024-11-13,73.38,73.5,72.62,73.11,1066400,AOS,A. O. Smith
2024-11-12,74.71,75.080002,73.050003,73.14,1323800,AOS,A. O. Smith
2024-11-11,75.080002,75.71,74.69,75.099998,1215100,AOS,A. O. Smith
2024-11-08,76.010002,76.28,74.81,74.86,1289400,AOS,A. O. Smith
2024-11-07,76.26,76.66,75.66,76.029999,1299000,AOS,A. O. Smith
2024-11-06,77.0,77.92,75.47,76.21,1422200,AOS,A. O. Smith
2024-11-05,75.0,75.99,74.8,75.92,709000,AOS,A. O. Smith
2024-11-04,75.4,76.28,74.8,75.14,716400,AOS,A. O. Smith
2024-11-01,75.41,76.31,75.029999,75.4,811300,AOS,A. O. Smith
2024-10-31,75.41,75.83,74.81,75.099998,1977500,AOS,A. O. Smith
2024-10-30,76.07,76.91,75.71,75.91,917400,AOS,A. O. Smith
2024-10-29,76.059998,77.040001,75.51,76.35,877300,AOS,A. O. Smith
2024-10-28,77.33,78.25,76.94,77.0,710300,AOS,A. O. Smith
2024-10-25,77.37,78.11,76.66,76.87,822000,AOS,A. O. Smith
2024-10-24,77.2,78.0,76.53,77.34,851400,AOS,A. O. Smith
2024-10-23,77.99,80.24,77.23,77.3,1396300,AOS,A. O. Smith
2024-10-22,79.66,80.26,78.0,78.21,1549900,AOS,A. O. Smith
2024-10-21,78.83,79.6,78.11,78.6,1196600,AOS,A. O. Smith
2024-10-18,79.0,79.17,78.28,78.75,1032200,AOS,A. O. Smith
2024-10-17,79.87,80.23,78.22,78.75,1772800,AOS,A. O. Smith
2024-10-16,81.36,81.92,80.2,80.23,1158100,AOS,A. O. Smith
2024-10-15,82.5,83.010002,80.9,80.95,1379200,AOS,A. O. Smith
2024-10-14,81.029999,82.71,80.65,82.62,1345400,AOS,A. O. Smith
2024-10-11,80.34,83.2,79.5,80.87,2379100,AOS,A. O. Smith
2024-10-10,87.0,87.39,86.16,86.26,808400,AOS,A. O. Smith
2024-10-09,86.98,87.88,86.85,87.68,635500,AOS,A. O. Smith
2024-10-08,87.75,87.87,85.93,86.45,1536800,AOS,A. O. Smith
2024-10-07,86.88,88.41,86.29,88.15,629900,AOS,A. O. Smith
2024-10-04,88.080002,88.14,86.74,87.4,653500,AOS,A. O. Smith
2024-10-03,87.64,88.019997,86.56,87.51,886000,AOS,A. O. Smith
2024-10-02,88.42,88.54,87.13,88.029999,981900,AOS,A. O. Smith
2024-10-01,89.96,90.15,88.23,88.94,847600,AOS,A. O. Smith
2024-09-30,90.6,90.84,89.48,89.83,1065800,AOS,A. O. Smith
2024-09-27,89.97,92.059998,89.82,90.59,1631300,AOS,A. O. Smith
2024-09-26,86.93,89.91,86.75,89.31,1799400,AOS,A. O. Smith
2024-09-25,85.97,86.12,85.16,85.84,805800,AOS,A. O. Smith
2024-09-24,84.040001,85.77,83.84,85.74,940700,AOS,A. O. Smith
2024-09-23,83.3,84.2,83.080002,83.98,668400,AOS,A. O. Smith
2024-09-20,84.019997,84.19,82.62,82.89,2338900,AOS,A. O. Smith
2024-09-19,84.5,84.5,83.36,84.29,679500,AOS,A. O. Smith
2024-09-18,82.9,84.29,82.3,82.89,904200,AOS,A. O. Smith
2024-09-17,82.089996,83.25,81.93,82.47,583600,AOS,A. O. Smith
2024-09-16,80.82,81.93,80.45,81.7,821000,AOS,A. O. Smith
2024-09-13,79.75,80.59,79.42,79.97,986200,AOS,A. O. Smith
2024-09-12,78.4,79.42,77.88,79.4,982200,AOS,A. O. Smith
2024-09-11,78.48,78.57,76.63,78.46,593100,AOS,A. O. Smith
2024-09-10,78.14,78.81,77.71,78.68,556700,AOS,A. O. Smith
2024-09-09,77.33,77.99,76.8,77.89,830900,AOS,A. O. Smith
2024-09-06,78.040001,78.63,76.78,76.91,864900,AOS,A. O. Smith
2024-09-05,79.87,79.95,76.94,77.86,1561800,AOS,A. O. Smith
2024-09-04,81.089996,81.26,79.76,80.35,625100,AOS,A. O. Smith
2024-09-03,83.53,83.67,80.65,81.26,740800,AOS,A. O. Smith
2024-08-30,82.48,83.86,82.43,83.72,1007100,AOS,A. O. Smith
2024-08-29,82.4,82.94,81.13,82.099998,603700,AOS,A. O. Smith
2024-08-28,81.72,82.65,81.59,81.84,577000,AOS,A. O. Smith
2024-08-27,81.85,82.39,80.99,81.76,702400,AOS,A. O. Smith
2024-08-26,82.96,83.22,82.12,82.36,562100,AOS,A. O. Smith
2024-08-23,81.82,83.089996,81.18,82.54,562300,AOS,A. O. Smith
2024-08-22,81.82,82.099998,80.88,81.13,627700,AOS,A. O. Smith
2024-08-21,81.19,81.94,81.019997,81.88,573100,AOS,A. O. Smith
2024-08-20,80.63,81.11,80.38,80.8,605300,AOS,A. O. Smith
2024-08-19,79.91,80.71,79.59,80.7,584900,AOS,A. O. Smith
2024-08-16,80.16,80.52,79.43,79.65,834200,AOS,A. O. Smith
2024-08-15,80.86,81.25,79.86,80.25,735100,AOS,A. O. Smith
2024-08-14,79.95,80.35,79.17,79.76,652200,AOS,A. O. Smith
2024-08-13,79.51,79.79,78.63,79.57,679900,AOS,A. O. Smith
2024-08-12,80.21,80.41,78.76,78.87,698800,AOS,A. O. Smith
2024-08-09,80.53,81.27,79.61,80.27,628000,AOS,A. O. Smith
2024-08-08,80.8,81.49,79.79,80.49,1075100,AOS,A. O. Smith
2024-08-07,81.99,83.62,79.96,80.27,1291700,AOS,A. O. Smith
2024-08-06,81.8,83.43,81.29,81.66,860000,AOS,A. O. Smith
2024-08-05,80.73,82.56,79.67,81.65,1243300,AOS,A. O. Smith
2024-08-02,81.7,82.46,80.27,82.4,1106000,AOS,A. O. Smith
2024-08-01,85.019997,85.87,81.36,82.54,874700,AOS,A. O. Smith
2024-07-31,85.62,85.85,84.76,85.040001,1746400,AOS,A. O. Smith
2024-07-30,85.22,85.98,84.99,85.45,881100,AOS,A. O. Smith
2024-07-29,84.5,85.29,83.82,84.5,1059000,AOS,A. O. Smith
2024-07-26,83.55,84.91,83.3,84.5,1149800,AOS,A. O. Smith
2024-07-25,81.17,83.33,81.11,82.18,1505600,AOS,A. O. Smith
