datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,22.76,22.92,21.9,21.93,14812400,APA,APA Corporation
2025-01-30,23.37,23.48,22.82,22.99,4692000,APA,APA Corporation
2025-01-29,23.12,23.32,22.96,23.18,4100900,APA,APA Corporation
2025-01-28,23.5,23.69,22.9,23.34,5280200,APA,APA Corporation
2025-01-27,23.46,24.14,23.2,23.38,6907700,APA,APA Corporation
2025-01-24,23.58,23.88,23.23,23.32,5964400,APA,APA Corporation
2025-01-23,23.63,24.33,23.32,23.51,8147900,APA,APA Corporation
2025-01-22,23.17,23.85,23.12,23.36,5794600,APA,APA Corporation
2025-01-21,23.99,24.2,23.62,23.7,7740000,APA,APA Corporation
2025-01-17,25.27,25.27,24.19,24.4,9424700,APA,APA Corporation
2025-01-16,25.27,25.83,24.98,25.15,6157800,APA,APA Corporation
2025-01-15,25.07,25.71,24.93,25.45,8306800,APA,APA Corporation
2025-01-14,24.22,25.040001,24.14,24.85,6654600,APA,APA Corporation
2025-01-13,24.030001,24.86,23.88,24.38,7030500,APA,APA Corporation
2025-01-10,24.25,24.47,23.63,23.68,5845600,APA,APA Corporation
2025-01-08,23.5,23.73,23.4,23.68,4305900,APA,APA Corporation
2025-01-07,23.81,24.22,23.55,23.66,5483300,APA,APA Corporation
2025-01-06,23.81,24.42,23.51,23.66,7644500,APA,APA Corporation
2025-01-03,23.35,23.49,23.059999,23.42,3983500,APA,APA Corporation
2025-01-02,23.55,23.81,23.14,23.38,4663200,APA,APA Corporation
2024-12-31,22.5,23.32,22.42,23.09,5921100,APA,APA Corporation
2024-12-30,22.22,22.77,21.94,22.42,4485700,APA,APA Corporation
2024-12-27,21.94,22.22,21.8,22.09,3861300,APA,APA Corporation
2024-12-26,21.84,21.97,21.57,21.84,2909400,APA,APA Corporation
2024-12-24,21.76,21.94,21.3,21.87,2081900,APA,APA Corporation
2024-12-23,20.85,21.71,20.83,21.6,12387700,APA,APA Corporation
2024-12-22,20.85,21.71,20.83,21.6,12387947,APA,APA Corporation
2024-12-20,20.46,21.37,20.44,21.040001,14247600,APA,APA Corporation
2024-12-19,21.27,21.36,20.32,20.48,6377400,APA,APA Corporation
2024-12-18,21.24,21.49,20.76,20.84,8738800,APA,APA Corporation
2024-12-17,21.51,21.7,20.45,21.049999,10229200,APA,APA Corporation
2024-12-16,21.51,21.7,20.45,21.049999,10229229,APA,APA Corporation
2024-12-13,23.02,23.1,22.68,22.86,4064500,APA,APA Corporation
2024-12-12,22.26,23.030001,22.18,22.94,6257900,APA,APA Corporation
2024-12-11,22.38,22.45,21.98,22.38,7055800,APA,APA Corporation
2024-12-10,22.31,22.55,22.01,22.26,4631600,APA,APA Corporation
2024-12-09,21.89,22.71,21.63,22.25,9011600,APA,APA Corporation
2024-12-06,21.78,21.86,20.95,21.42,8629900,APA,APA Corporation
2024-12-05,22.29,22.58,21.82,21.84,6727100,APA,APA Corporation
2024-12-04,22.31,22.68,21.94,22.2,7094300,APA,APA Corporation
2024-12-03,22.59,22.75,22.32,22.42,5016100,APA,APA Corporation
2024-12-02,22.56,22.75,21.99,22.34,5728000,APA,APA Corporation
2024-11-29,22.58,22.68,22.46,22.65,2770600,APA,APA Corporation
2024-11-27,22.54,23.14,22.36,22.52,4679600,APA,APA Corporation
2024-11-26,22.76,22.84,22.25,22.52,4680200,APA,APA Corporation
2024-11-25,22.79,22.98,22.44,22.67,7440400,APA,APA Corporation
2024-11-22,22.29,22.99,22.27,22.77,12820800,APA,APA Corporation
2024-11-21,22.27,22.59,22.21,22.44,5505200,APA,APA Corporation
2024-11-20,21.95,22.44,21.95,22.13,4697700,APA,APA Corporation
2024-11-19,22.26,22.48,21.89,21.92,7203500,APA,APA Corporation
2024-11-18,22.64,22.92,22.34,22.46,5570400,APA,APA Corporation
2024-11-15,22.7,23.21,22.24,22.38,7335700,APA,APA Corporation
2024-11-14,22.32,22.65,22.12,22.6,7416000,APA,APA Corporation
2024-11-13,21.9,22.27,21.36,22.02,6715000,APA,APA Corporation
2024-11-12,22.18,22.55,21.85,21.87,6880700,APA,APA Corporation
2024-11-11,21.67,22.3,21.38,22.17,8421400,APA,APA Corporation
2024-11-08,21.97,22.25,21.15,21.77,11740000,APA,APA Corporation
2024-11-07,24.85,24.89,21.91,21.93,20140800,APA,APA Corporation
2024-11-06,23.88,24.95,23.69,24.73,9324600,APA,APA Corporation
2024-11-05,23.73,23.84,23.38,23.57,4792200,APA,APA Corporation
2024-11-04,23.38,23.78,23.25,23.54,4859700,APA,APA Corporation
2024-11-01,23.75,23.98,22.93,23.09,5213500,APA,APA Corporation
2024-10-31,23.66,23.91,23.44,23.6,5569500,APA,APA Corporation
2024-10-30,23.53,23.91,23.35,23.47,5116700,APA,APA Corporation
2024-10-29,23.7,23.83,23.16,23.31,4844200,APA,APA Corporation
2024-10-28,23.8,24.14,23.65,23.7,5675200,APA,APA Corporation
2024-10-25,24.91,25.059999,24.55,24.82,4566800,APA,APA Corporation
2024-10-24,24.81,24.82,24.39,24.67,3091000,APA,APA Corporation
2024-10-23,25.030001,25.09,24.19,24.49,5747800,APA,APA Corporation
2024-10-22,25.049999,25.4,24.85,25.18,3616300,APA,APA Corporation
2024-10-21,25.45,25.75,25.07,25.11,4432800,APA,APA Corporation
2024-10-18,24.98,25.19,24.67,25.16,4528100,APA,APA Corporation
2024-10-17,24.71,25.01,24.6,24.92,3817000,APA,APA Corporation
2024-10-16,24.95,25.12,24.69,24.8,4495900,APA,APA Corporation
