datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,172.67999,174.91,170.62,170.98,2452000,APO,Apollo Global Management
2025-01-30,172.8,173.39,168.88,171.75999,2644700,APO,Apollo Global Management
2025-01-29,169.46001,172.19,168.60001,171.10001,2735100,APO,Apollo Global Management
2025-01-28,168.25999,170.7,165.44,169.31,3672300,APO,Apollo Global Management
2025-01-27,167.94,169.25,163.89999,167.25999,3299300,APO,Apollo Global Management
2025-01-24,169.50999,172.25999,169.25999,172.059998,2410600,APO,Apollo Global Management
2025-01-23,168.2,173.49001,168.19,169.75,3264900,APO,Apollo Global Management
2025-01-22,170.0,171.32001,167.7,168.89999,3202000,APO,Apollo Global Management
2025-01-21,168.96001,171.92999,168.38,169.24001,4107600,APO,Apollo Global Management
2025-01-17,167.27,169.020004,166.0099945,166.99001,3580300,APO,Apollo Global Management
2025-01-16,165.53999,166.47,164.39999,165.92,4209000,APO,Apollo Global Management
2025-01-15,166.0,167.88,163.67,164.85001,3852400,APO,Apollo Global Management
2025-01-14,156.64999,159.92,155.61,159.33,3511900,APO,Apollo Global Management
2025-01-13,153.69,155.0,152.73,154.8,3441800,APO,Apollo Global Management
2025-01-10,160.0,160.0,154.58,155.39,4502700,APO,Apollo Global Management
2025-01-08,162.61,163.13,159.44,161.98,3283500,APO,Apollo Global Management
2025-01-07,170.0,170.14999,161.23,162.45,4062800,APO,Apollo Global Management
2025-01-06,170.8,172.11,169.029999,169.10001,3233400,APO,Apollo Global Management
2025-01-03,166.13,169.42999,165.17,169.059998,2491500,APO,Apollo Global Management
2025-01-02,166.99001,166.99001,163.050003,165.86,3079600,APO,Apollo Global Management
2024-12-31,167.0,167.60001,164.92999,165.16,2817000,APO,Apollo Global Management
2024-12-30,167.95,168.87,165.17999,166.50999,2597800,APO,Apollo Global Management
2024-12-27,172.67999,173.41,169.7,170.28,2859000,APO,Apollo Global Management
2024-12-26,173.63,175.080002,172.50999,174.37,1348400,APO,Apollo Global Management
2024-12-24,172.50999,174.85001,171.8,174.85001,1023900,APO,Apollo Global Management
2024-12-23,170.64,172.78,168.28,171.63,4447700,APO,Apollo Global Management
2024-12-20,167.5,174.85001,167.39,171.029999,91314300,APO,Apollo Global Management
2024-12-19,170.050003,173.56,169.37,169.63,7908400,APO,Apollo Global Management
2024-12-18,176.62,178.11,166.45,167.44,7927900,APO,Apollo Global Management
2024-12-17,176.5,177.73,172.89999,176.32001,7018500,APO,Apollo Global Management
2024-12-16,176.24001,179.42,175.89,178.14999,5958900,APO,Apollo Global Management
2024-12-13,176.41,177.52,174.88,176.42999,3166600,APO,Apollo Global Management
2024-12-12,178.53,179.37,175.27,176.41,3547400,APO,Apollo Global Management
2024-12-11,175.41,179.48,172.11,178.61,6023000,APO,Apollo Global Management
2024-12-10,173.17,176.67999,172.74001,174.71001,7561800,APO,Apollo Global Management
2024-12-09,189.3,189.49001,171.66,172.47,19351400,APO,Apollo Global Management
2024-12-06,176.77,178.11,174.17,177.85001,3969600,APO,Apollo Global Management
2024-12-05,174.61,178.75,174.070007,175.73,3823300,APO,Apollo Global Management
2024-12-04,173.0,175.71001,172.0,174.73,4785700,APO,Apollo Global Management
2024-12-03,173.75,174.23,172.24001,173.0,4156800,APO,Apollo Global Management
2024-12-02,176.059998,176.11,171.89999,172.34,2935700,APO,Apollo Global Management
2024-11-29,175.95,176.39999,174.23,175.029999,1429200,APO,Apollo Global Management
2024-11-27,175.0,176.57001,173.75,173.85001,1899500,APO,Apollo Global Management
2024-11-26,173.020004,175.91,171.83,175.64,2733700,APO,Apollo Global Management
2024-11-25,172.35001,176.75,172.020004,174.7,6091900,APO,Apollo Global Management
2024-11-22,167.029999,169.58,166.85001,167.56,3970600,APO,Apollo Global Management
2024-11-21,164.50999,165.95,162.31,165.020004,5784000,APO,Apollo Global Management
2024-11-20,167.49001,168.089996,160.89,162.89,5836900,APO,Apollo Global Management
2024-11-19,164.5,169.14999,163.95,168.25,4707100,APO,Apollo Global Management
2024-11-18,163.73,165.11,161.34,164.31,2977000,APO,Apollo Global Management
2024-11-15,162.97,163.85001,161.14999,163.63,2519000,APO,Apollo Global Management
2024-11-14,165.36,166.66,163.41,164.31,3357500,APO,Apollo Global Management
2024-11-13,163.75,165.91,163.38,164.34,2591300,APO,Apollo Global Management
2024-11-12,165.070007,166.44,162.47,163.75,2810000,APO,Apollo Global Management
2024-11-11,164.070007,168.67,163.3,166.75,4693300,APO,Apollo Global Management
2024-11-08,158.28,162.14999,158.2,162.0,3093000,APO,Apollo Global Management
2024-11-07,161.2,162.24001,159.31,159.82001,3563700,APO,Apollo Global Management
2024-11-06,160.25999,166.72,160.25999,163.67,8676700,APO,Apollo Global Management
2024-11-05,147.0,151.84,145.53,149.27,4864500,APO,Apollo Global Management
2024-11-04,141.12,142.11,139.050003,139.42999,3728500,APO,Apollo Global Management
2024-11-01,144.19,144.42999,140.67999,141.0,3130600,APO,Apollo Global Management
2024-10-31,145.24001,146.22,143.10001,143.25999,2845000,APO,Apollo Global Management
2024-10-30,145.7,147.039993,145.50999,145.86,2456100,APO,Apollo Global Management
2024-10-29,144.61,146.19,143.59,146.020004,2368500,APO,Apollo Global Management
2024-10-28,144.039993,145.2,143.28999,144.84,1941700,APO,Apollo Global Management
2024-10-25,144.7,144.92999,141.92,143.089996,2354800,APO,Apollo Global Management
2024-10-24,144.62,146.7,143.53999,146.28999,3174400,APO,Apollo Global Management
2024-10-23,143.67,144.98,141.89999,143.53999,1652700,APO,Apollo Global Management
2024-10-22,143.3,144.44,142.86,143.94,1926600,APO,Apollo Global Management
2024-10-21,145.87,145.87,143.92999,144.75999,2143100,APO,Apollo Global Management
2024-10-18,145.059998,145.88,143.82001,145.0099945,2119700,APO,Apollo Global Management
2024-10-17,146.27,146.82001,143.58,145.19,2548000,APO,Apollo Global Management
2024-10-16,142.62,143.039993,141.5,142.85001,2360300,APO,Apollo Global Management
2024-10-15,141.5,142.58,140.28999,141.55,2520500,APO,Apollo Global Management
2024-10-14,141.070007,141.63,139.63,141.37,2113600,APO,Apollo Global Management
2024-10-11,138.19,140.3,138.020004,140.21001,2716500,APO,Apollo Global Management
2024-10-10,138.039993,140.35001,137.47,137.92,4116300,APO,Apollo Global Management
