datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,95.46,98.040001,95.13,97.35,4073200,ARE,Alexandria Real Estate Equities
2025-01-30,97.5,98.41,95.019997,95.85,1560600,ARE,Alexandria Real Estate Equities
2025-01-29,97.78,98.66,95.45,95.79,1585700,ARE,Alexandria Real Estate Equities
2025-01-28,101.57,101.68,96.059998,97.25,2388600,ARE,Alexandria Real Estate Equities
2025-01-27,102.28,104.44,101.63,102.11,2659200,ARE,Alexandria Real Estate Equities
2025-01-24,100.18,102.18,100.12,101.63,859400,ARE,Alexandria Real Estate Equities
2025-01-23,100.87,101.099998,99.11,100.45,1284000,ARE,Alexandria Real Estate Equities
2025-01-22,102.15,102.15,100.56,100.63,646200,ARE,Alexandria Real Estate Equities
2025-01-21,102.28,103.49,102.18,102.81,1164700,ARE,Alexandria Real Estate Equities
2025-01-17,100.46,102.74,99.99,101.79,1085200,ARE,Alexandria Real Estate Equities
2025-01-16,98.6,100.36,98.089996,100.089996,1020300,ARE,Alexandria Real Estate Equities
2025-01-15,100.56,100.77,97.8,98.43,920800,ARE,Alexandria Real Estate Equities
2025-01-14,97.66,98.49,97.48,97.81,967700,ARE,Alexandria Real Estate Equities
2025-01-13,95.11,97.8,94.35,97.67,1655800,ARE,Alexandria Real Estate Equities
2025-01-10,96.0,96.56,94.57,94.99,1780600,ARE,Alexandria Real Estate Equities
2025-01-08,97.0,97.59,96.25,97.39,1880700,ARE,Alexandria Real Estate Equities
2025-01-07,98.4,99.47,97.21,97.36,1849500,ARE,Alexandria Real Estate Equities
2025-01-06,99.23,100.33,97.63,97.73,1434000,ARE,Alexandria Real Estate Equities
2025-01-03,97.6,99.68,97.52,99.16,1095400,ARE,Alexandria Real Estate Equities
2025-01-02,97.87,98.010002,96.33,97.5,1134800,ARE,Alexandria Real Estate Equities
2024-12-31,97.16,97.87,96.45,97.55,1326100,ARE,Alexandria Real Estate Equities
2024-12-30,98.0,98.22,96.44,97.8,1065500,ARE,Alexandria Real Estate Equities
2024-12-27,98.95,100.38,97.84,98.35,1305500,ARE,Alexandria Real Estate Equities
2024-12-26,98.78,100.27,98.6,99.64,641700,ARE,Alexandria Real Estate Equities
2024-12-24,98.35,99.48,97.81,99.44,425800,ARE,Alexandria Real Estate Equities
2024-12-23,98.44,99.17,97.14,98.91,1415700,ARE,Alexandria Real Estate Equities
2024-12-20,98.55,100.75,98.029999,99.17,4019500,ARE,Alexandria Real Estate Equities
