datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,184.7,188.33,184.46001,185.73,1500400,AVY,Avery Dennison
2025-01-30,187.039993,187.12,179.2,182.49001,2345200,AVY,Avery Dennison
2025-01-29,192.88,194.75,192.33,192.91,1066900,AVY,Avery Dennison
2025-01-28,195.14999,196.41,192.89,193.3,661600,AVY,Avery Dennison
2025-01-27,192.59,195.92,191.11,195.91,823600,AVY,Avery Dennison
2025-01-24,193.42999,194.53,190.95,191.52,682000,AVY,Avery Dennison
2025-01-23,190.53,193.44,189.61,193.36,675400,AVY,Avery Dennison
2025-01-22,191.19,192.45,190.050003,190.53,597300,AVY,Avery Dennison
2025-01-21,192.17999,193.97,191.47,192.5,879600,AVY,Avery Dennison
2025-01-17,192.25,193.22,190.75999,191.32001,623800,AVY,Avery Dennison
2025-01-16,190.32001,191.37,189.53999,191.24001,382500,AVY,Avery Dennison
2025-01-15,191.96001,193.55,189.62,190.23,628700,AVY,Avery Dennison
2025-01-14,189.050003,189.99001,187.75,189.31,516600,AVY,Avery Dennison
2025-01-13,184.46001,188.17,184.42,187.96001,560800,AVY,Avery Dennison
2025-01-10,185.35001,187.0099945,184.7,184.86,431400,AVY,Avery Dennison
2025-01-08,185.81,187.88,184.56,187.71001,405600,AVY,Avery Dennison
2025-01-07,188.25,191.24001,186.12,186.69,485800,AVY,Avery Dennison
2025-01-06,185.28999,189.85001,185.28999,188.039993,823900,AVY,Avery Dennison
2025-01-03,183.45,185.39999,181.99001,185.089996,915300,AVY,Avery Dennison
2025-01-02,187.62,189.17999,182.84,183.31,620700,AVY,Avery Dennison
2024-12-31,187.24001,189.25999,186.56,187.13,452700,AVY,Avery Dennison
2024-12-30,186.86,187.98,185.28999,187.24001,533100,AVY,Avery Dennison
2024-12-27,188.029999,190.27,187.84,188.50999,573000,AVY,Avery Dennison
2024-12-26,188.82001,190.070007,188.60001,189.35001,301300,AVY,Avery Dennison
2024-12-24,188.95,189.7,188.029999,189.38,167100,AVY,Avery Dennison
2024-12-23,186.96001,189.0099945,186.16,188.58,515900,AVY,Avery Dennison
2024-12-22,186.96001,189.0050049,186.16,188.58,515941,AVY,Avery Dennison
2024-12-20,186.25999,190.070007,186.25999,188.13,1308800,AVY,Avery Dennison
2024-12-19,186.58,189.67999,185.73,186.25999,682100,AVY,Avery Dennison
2024-12-18,191.53,193.39,186.75,186.85001,710200,AVY,Avery Dennison
2024-12-17,192.0,193.050003,190.0,191.46001,622500,AVY,Avery Dennison
2024-12-16,192.0,193.050003,190.00010681,191.46001,622495,AVY,Avery Dennison
2024-12-13,196.2,197.44,194.89,195.14,375400,AVY,Avery Dennison
2024-12-12,196.2,198.39,195.52,197.67,463300,AVY,Avery Dennison
2024-12-11,202.69,203.059998,197.31,197.56,579200,AVY,Avery Dennison
2024-12-10,203.78,203.78,199.94,201.46001,477600,AVY,Avery Dennison
2024-12-09,203.36,206.45,203.24001,204.039993,504900,AVY,Avery Dennison
2024-12-06,204.53,206.14999,201.67,202.5,594600,AVY,Avery Dennison
2024-12-05,203.99001,204.5,201.78999,203.28999,491000,AVY,Avery Dennison
2024-12-04,203.35001,205.38,202.47,204.36,409000,AVY,Avery Dennison
2024-12-03,206.059998,206.059998,204.17999,205.19,796400,AVY,Avery Dennison
