datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,32.86,33.5,32.8,33.0099983,6815100,BF.B,Brown–Forman
2025-01-30,33.0,33.49,32.62,33.2,2720200,BF.B,Brown–Forman
2025-01-29,33.13,33.16,32.49,32.62,2877700,BF.B,Brown–Forman
2025-01-28,34.37,34.77,33.02,33.060001,2991300,BF.B,Brown–Forman
2025-01-27,34.39,34.86,33.51,34.49,3653800,BF.B,Brown–Forman
2025-01-24,33.37,33.94,33.21,33.92,3042800,BF.B,Brown–Forman
2025-01-23,33.12,33.34,32.75,33.15,2022100,BF.B,Brown–Forman
2025-01-22,33.53,33.76,32.82,33.029999,3118500,BF.B,Brown–Forman
2025-01-21,34.2,34.47,33.65,33.8,3502000,BF.B,Brown–Forman
2025-01-17,34.37,34.68,34.17,34.29,2835500,BF.B,Brown–Forman
2025-01-16,33.7,34.11,33.4,34.080002,2330600,BF.B,Brown–Forman
2025-01-15,35.049999,35.28,33.67,33.69,2464100,BF.B,Brown–Forman
2025-01-14,34.69,35.049999,34.18,34.44,2747700,BF.B,Brown–Forman
2025-01-13,33.87,34.97,33.7,34.47,4818700,BF.B,Brown–Forman
2025-01-10,35.12,35.28,33.5,33.86,4017700,BF.B,Brown–Forman
2025-01-08,36.09,36.59,35.96,35.99,2278600,BF.B,Brown–Forman
2025-01-07,37.19,37.22,36.099998,36.23,2941800,BF.B,Brown–Forman
2025-01-06,36.36,38.15,36.36,36.84,5111800,BF.B,Brown–Forman
2025-01-03,36.57,37.0,35.55,36.25,3211900,BF.B,Brown–Forman
2025-01-02,38.13,38.69,37.099998,37.18,2507000,BF.B,Brown–Forman
2024-12-31,38.0,38.27,37.74,37.98,2363200,BF.B,Brown–Forman
2024-12-30,38.65,38.74,37.71,37.72,3479200,BF.B,Brown–Forman
2024-12-27,39.35,39.7,38.73,38.82,2235900,BF.B,Brown–Forman
2024-12-26,39.74,39.92,39.34,39.49,1975300,BF.B,Brown–Forman
2024-12-24,40.2,40.39,39.45,39.88,1405600,BF.B,Brown–Forman
2024-12-23,41.28,41.61,39.62,40.16,2657900,BF.B,Brown–Forman
2024-12-20,41.24,41.68,40.92,41.28,5400400,BF.B,Brown–Forman
2024-12-19,41.54,41.89,41.25,41.36,2478700,BF.B,Brown–Forman
2024-12-18,42.37,42.68,41.25,41.28,2012000,BF.B,Brown–Forman
2024-12-17,43.19,43.63,42.62,42.74,2457500,BF.B,Brown–Forman
2024-12-16,44.4,44.94,43.69,43.7,3742400,BF.B,Brown–Forman
2024-12-13,44.75,45.26,44.4,44.98,1232900,BF.B,Brown–Forman
2024-12-12,45.24,45.49,44.7,44.96,2395700,BF.B,Brown–Forman
2024-12-11,45.26,45.83,44.83,44.98,2922900,BF.B,Brown–Forman
2024-12-10,45.24,45.31,44.5,45.18,3917700,BF.B,Brown–Forman
2024-12-09,44.18,45.6,43.98,45.22,3534100,BF.B,Brown–Forman
2024-12-06,45.14,45.41,44.13,44.41,3632500,BF.B,Brown–Forman
2024-12-05,45.54,46.22,44.049999,45.38,6334300,BF.B,Brown–Forman
2024-12-04,40.8,41.39,40.52,41.0,3124100,BF.B,Brown–Forman
2024-12-03,42.18,42.18,41.34,41.39,2170500,BF.B,Brown–Forman
2024-12-02,42.0,42.39,41.44,42.18,2289500,BF.B,Brown–Forman
2024-11-29,41.79,42.12,41.59,42.080002,1149100,BF.B,Brown–Forman
2024-11-27,41.58,42.21,41.37,41.7,2266400,BF.B,Brown–Forman
2024-11-26,42.4,42.4,40.95,41.37,2499500,BF.B,Brown–Forman
2024-11-25,41.98,43.65,41.98,42.57,3651500,BF.B,Brown–Forman
2024-11-22,41.23,41.86,40.98,41.37,2858800,BF.B,Brown–Forman
2024-11-21,40.7,40.97,40.25,40.69,1858300,BF.B,Brown–Forman
2024-11-20,40.02,40.41,39.95,40.3,1576200,BF.B,Brown–Forman
2024-11-19,40.080002,40.48,39.98,40.22,1945500,BF.B,Brown–Forman
2024-11-18,40.64,41.049999,40.36,40.41,1462700,BF.B,Brown–Forman
2024-11-15,40.95,41.46,40.6,40.8,2387900,BF.B,Brown–Forman
2024-11-14,40.58,41.2,40.38,41.0,2336100,BF.B,Brown–Forman
2024-11-13,40.38,40.58,40.080002,40.53,2043600,BF.B,Brown–Forman
2024-11-12,40.84,41.099998,40.33,40.66,2244400,BF.B,Brown–Forman
2024-11-11,40.77,41.47,40.77,40.98,3349600,BF.B,Brown–Forman
2024-11-08,41.6,41.73,40.67,40.77,1966300,BF.B,Brown–Forman
2024-11-07,41.96,42.37,41.56,41.69,2034400,BF.B,Brown–Forman
2024-11-06,43.56,43.68,40.93,41.65,4131800,BF.B,Brown–Forman
2024-11-05,43.51,43.81,43.23,43.74,1414800,BF.B,Brown–Forman
2024-11-04,43.94,44.48,43.46,43.79,2374000,BF.B,Brown–Forman
2024-11-01,44.62,44.7,43.57,43.59,2095700,BF.B,Brown–Forman
2024-10-31,45.45,45.62,44.0,44.029999,3495000,BF.B,Brown–Forman
2024-10-30,46.71,47.16,45.35,45.44,2751300,BF.B,Brown–Forman
2024-10-29,48.24,48.4,46.42,46.73,2169100,BF.B,Brown–Forman
2024-10-28,48.69,48.97,48.2,48.35,1512200,BF.B,Brown–Forman
2024-10-25,48.98,49.17,48.16,48.37,1402600,BF.B,Brown–Forman
2024-10-24,48.89,49.029999,48.6,48.98,1173400,BF.B,Brown–Forman
2024-10-23,48.38,48.83,48.12,48.79,1390500,BF.B,Brown–Forman
2024-10-22,48.37,48.74,47.96,48.72,997400,BF.B,Brown–Forman
2024-10-21,48.76,48.93,48.22,48.36,1266400,BF.B,Brown–Forman
2024-10-18,49.88,49.89,48.36,48.97,2831400,BF.B,Brown–Forman
2024-10-17,49.63,49.67,49.09,49.54,1363700,BF.B,Brown–Forman
2024-10-16,48.68,49.57,48.6,49.42,1704600,BF.B,Brown–Forman
2024-10-15,48.68,49.51,48.21,48.73,2148300,BF.B,Brown–Forman
2024-10-14,48.44,48.8,48.029999,48.69,1723400,BF.B,Brown–Forman
2024-10-11,47.44,48.73,47.41,48.29,1633200,BF.B,Brown–Forman
2024-10-10,46.79,47.49,46.52,47.44,1451100,BF.B,Brown–Forman
2024-10-09,46.59,46.86,46.14,46.42,1586200,BF.B,Brown–Forman
2024-10-08,46.85,47.0,46.35,46.6,1347200,BF.B,Brown–Forman
2024-10-07,47.57,47.76,46.72,47.09,1432500,BF.B,Brown–Forman
2024-10-04,47.65,47.92,47.099998,47.36,1406500,BF.B,Brown–Forman
2024-10-03,47.88,47.91,47.3,47.6,3300300,BF.B,Brown–Forman
2024-10-02,48.69,48.7,48.2,48.33,1934000,BF.B,Brown–Forman
2024-10-01,49.23,49.47,48.72,48.74,2532900,BF.B,Brown–Forman
2024-09-30,49.2,49.47,48.78,49.2,2523800,BF.B,Brown–Forman
2024-09-27,47.85,48.73,47.85,48.34,1750500,BF.B,Brown–Forman
2024-09-26,46.77,47.76,46.7,47.57,3819100,BF.B,Brown–Forman
2024-09-25,47.15,47.35,45.74,46.0,2151600,BF.B,Brown–Forman
2024-09-24,47.41,47.48,46.87,46.9,2808500,BF.B,Brown–Forman
2024-09-23,46.35,47.54,46.34,47.040001,3174100,BF.B,Brown–Forman
2024-09-20,47.62,48.099998,46.16,46.37,14162200,BF.B,Brown–Forman
2024-09-19,48.0,48.57,47.69,47.76,2510900,BF.B,Brown–Forman
2024-09-18,47.099998,47.93,46.99,47.69,2880100,BF.B,Brown–Forman
2024-09-17,46.75,47.89,46.74,47.040001,2141200,BF.B,Brown–Forman
2024-09-16,46.77,47.18,46.41,46.62,2234500,BF.B,Brown–Forman
2024-09-13,46.4,46.75,45.81,46.46,1674700,BF.B,Brown–Forman
2024-09-12,45.56,46.33,45.18,46.09,1219700,BF.B,Brown–Forman
2024-09-11,45.63,45.66,44.82,45.57,1285800,BF.B,Brown–Forman
2024-09-10,46.4,46.4,45.32,45.58,1505400,BF.B,Brown–Forman
2024-09-09,45.19,47.0,44.92,46.34,2778200,BF.B,Brown–Forman
2024-09-06,45.16,45.58,44.91,45.14,1956000,BF.B,Brown–Forman
2024-09-05,45.37,45.88,45.12,45.22,1326800,BF.B,Brown–Forman
2024-09-04,45.91,46.34,45.0,45.23,1683000,BF.B,Brown–Forman
2024-09-03,45.18,46.33,45.12,45.85,2107000,BF.B,Brown–Forman
2024-08-30,45.66,45.96,45.25,45.59,2684800,BF.B,Brown–Forman
2024-08-29,45.19,46.26,44.47,45.44,3045600,BF.B,Brown–Forman
2024-08-28,45.33,45.59,44.59,44.85,1978200,BF.B,Brown–Forman
2024-08-27,45.45,45.64,44.56,45.099998,1496700,BF.B,Brown–Forman
2024-08-26,45.5,46.060001,45.34,45.38,1359600,BF.B,Brown–Forman
2024-08-23,45.2,45.63,45.0099983,45.33,1154400,BF.B,Brown–Forman
2024-08-22,45.2,45.27,44.64,45.099998,1621200,BF.B,Brown–Forman
2024-08-21,44.96,45.58,44.85,45.16,1265400,BF.B,Brown–Forman
2024-08-20,44.65,44.74,44.32,44.53,1392400,BF.B,Brown–Forman
2024-08-19,45.25,45.56,44.81,44.89,1300200,BF.B,Brown–Forman
2024-08-16,44.67,45.22,44.31,45.18,1766900,BF.B,Brown–Forman
2024-08-15,44.72,45.15,44.72,44.99,1136100,BF.B,Brown–Forman
2024-08-14,44.35,44.72,44.060001,44.51,942100,BF.B,Brown–Forman
2024-08-13,44.029999,44.58,43.82,44.39,1271900,BF.B,Brown–Forman
2024-08-12,44.56,44.78,43.91,43.96,1223900,BF.B,Brown–Forman
2024-08-09,44.2,44.58,43.96,44.47,1248600,BF.B,Brown–Forman
2024-08-08,44.66,45.040001,44.34,44.35,1357000,BF.B,Brown–Forman
2024-08-07,44.57,45.51,44.48,44.9,1555000,BF.B,Brown–Forman
2024-08-06,45.040001,45.55,44.45,44.46,1716100,BF.B,Brown–Forman
2024-08-05,45.099998,45.8,44.31,44.36,1876400,BF.B,Brown–Forman
2024-08-02,45.09,45.98,44.53,45.41,2244400,BF.B,Brown–Forman
2024-08-01,45.41,45.75,44.42,44.77,1711500,BF.B,Brown–Forman
2024-07-31,44.73,45.27,44.23,45.16,3054400,BF.B,Brown–Forman
2024-07-30,44.79,44.79,43.76,44.46,1958900,BF.B,Brown–Forman
2024-07-29,45.55,45.77,44.85,45.24,1677700,BF.B,Brown–Forman
2024-07-26,45.0,45.86,44.62,45.77,1392600,BF.B,Brown–Forman
2024-07-25,44.029999,45.4,43.77,45.07,1857600,BF.B,Brown–Forman
2024-07-24,43.47,43.98,43.24,43.72,1415900,BF.B,Brown–Forman
2024-07-23,43.71,43.88,43.46,43.5,1528400,BF.B,Brown–Forman
2024-07-22,44.029999,44.029999,42.84,43.52,1342700,BF.B,Brown–Forman
2024-07-19,43.92,43.92,42.82,43.48,1228100,BF.B,Brown–Forman
2024-07-18,44.34,44.99,43.62,43.74,1827100,BF.B,Brown–Forman
2024-07-17,43.87,44.8,43.7,44.63,2349400,BF.B,Brown–Forman
2024-07-16,43.73,44.22,43.22,43.76,2020200,BF.B,Brown–Forman
2024-07-15,44.33,44.5,43.83,43.92,2100400,BF.B,Brown–Forman
2024-07-12,43.67,44.31,43.44,44.17,1674700,BF.B,Brown–Forman
2024-07-11,43.0,44.81,42.98,43.43,2789300,BF.B,Brown–Forman
2024-07-10,41.77,42.82,41.52,42.66,1999800,BF.B,Brown–Forman
2024-07-09,41.99,42.28,41.42,41.5,1787100,BF.B,Brown–Forman
2024-07-08,42.5,42.55,41.55,42.060001,1689300,BF.B,Brown–Forman
2024-07-05,41.88,42.49,41.67,42.39,1453400,BF.B,Brown–Forman
2024-07-03,42.67,42.78,41.82,41.85,1124800,BF.B,Brown–Forman
2024-07-02,42.25,42.62,41.95,42.48,2283500,BF.B,Brown–Forman
2024-07-01,43.17,43.69,42.099998,42.11,2021300,BF.B,Brown–Forman
2024-06-28,43.29,43.64,42.81,43.19,5687500,BF.B,Brown–Forman
2024-06-27,43.34,43.49,42.88,43.36,2111400,BF.B,Brown–Forman
2024-06-26,42.94,43.68,42.9,43.43,1581400,BF.B,Brown–Forman
2024-06-25,43.22,43.69,42.9,43.21,2524300,BF.B,Brown–Forman
2024-06-24,43.44,43.93,43.18,43.66,2460900,BF.B,Brown–Forman
2024-06-21,43.93,44.11,43.17,43.6,9368300,BF.B,Brown–Forman
2024-06-20,43.12,43.82,42.91,43.31,1927600,BF.B,Brown–Forman
2024-06-18,44.12,44.39,43.0099983,43.55,2479900,BF.B,Brown–Forman
2024-06-17,43.62,44.42,43.47,44.19,3148600,BF.B,Brown–Forman
2024-06-14,42.66,43.8,42.52,43.66,1810800,BF.B,Brown–Forman
2024-06-13,42.53,42.99,42.12,42.83,2251400,BF.B,Brown–Forman
2024-06-12,43.5,43.78,42.6,42.91,2327000,BF.B,Brown–Forman
2024-06-11,42.83,43.19,42.0,43.18,2342400,BF.B,Brown–Forman
2024-06-10,43.49,43.65,42.51,42.91,2511900,BF.B,Brown–Forman
2024-06-07,43.46,44.49,43.46,43.89,2553300,BF.B,Brown–Forman
2024-06-06,43.15,44.48,43.13,43.92,3345000,BF.B,Brown–Forman
2024-06-05,46.02,46.44,42.72,43.040001,5664300,BF.B,Brown–Forman
2024-06-04,45.91,46.22,45.63,45.74,2258900,BF.B,Brown–Forman
2024-06-03,45.07,46.5,45.049999,46.09,2180300,BF.B,Brown–Forman
2024-05-31,44.25,45.94,43.55,45.86,9237500,BF.B,Brown–Forman
2024-05-30,44.18,44.66,44.02,44.27,2803800,BF.B,Brown–Forman
2024-05-29,44.34,44.8,44.2,44.22,1975700,BF.B,Brown–Forman
2024-05-28,45.63,45.63,44.62,44.88,2703600,BF.B,Brown–Forman
2024-05-24,46.49,46.56,45.67,45.76,1409200,BF.B,Brown–Forman
2024-05-23,46.78,46.78,46.040001,46.32,1757600,BF.B,Brown–Forman
2024-05-22,47.09,47.54,46.61,47.060001,1485300,BF.B,Brown–Forman
2024-05-21,47.13,47.43,46.85,47.31,1577600,BF.B,Brown–Forman
2024-05-20,48.24,48.27,47.029999,47.22,1450900,BF.B,Brown–Forman
2024-05-17,48.76,48.76,48.049999,48.47,1194300,BF.B,Brown–Forman
2024-05-16,47.75,48.76,47.45,48.69,1646700,BF.B,Brown–Forman
2024-05-15,48.7,48.79,47.41,47.56,2150500,BF.B,Brown–Forman
2024-05-14,49.48,49.55,48.12,48.82,1367400,BF.B,Brown–Forman
2024-05-13,49.12,49.41,48.93,49.12,2749100,BF.B,Brown–Forman
2024-05-10,48.26,49.18,48.060001,49.12,1445600,BF.B,Brown–Forman
2024-05-09,47.75,48.28,47.69,48.26,1610900,BF.B,Brown–Forman
2024-05-08,47.24,47.6,46.88,47.56,1517500,BF.B,Brown–Forman
2024-05-07,47.3,47.56,46.9,47.51,1062600,BF.B,Brown–Forman
2024-05-06,48.25,48.3,46.86,46.92,1405900,BF.B,Brown–Forman
2024-05-03,48.11,48.6,47.62,47.92,1338200,BF.B,Brown–Forman
2024-05-02,47.6,47.7,47.32,47.49,1194000,BF.B,Brown–Forman
2024-05-01,47.5,47.83,47.060001,47.31,1635000,BF.B,Brown–Forman
2024-04-30,48.5,48.7,47.65,47.85,2924300,BF.B,Brown–Forman
2024-04-29,48.13,48.86,48.13,48.69,1371400,BF.B,Brown–Forman
2024-04-26,48.12,48.53,47.93,48.13,998600,BF.B,Brown–Forman
2024-04-25,48.98,49.0,47.84,48.11,1689300,BF.B,Brown–Forman
