datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,77.19,77.77,75.72,76.13,1469900,BG,Bunge Global
2025-01-30,78.52,78.93,77.050003,77.65,1052600,BG,Bunge Global
2025-01-29,77.050003,78.44,77.050003,78.22,1159500,BG,Bunge Global
2025-01-28,78.96,79.26,76.86,77.26,988600,BG,Bunge Global
2025-01-27,78.38,79.33,77.040001,78.68,1988800,BG,Bunge Global
2025-01-24,78.84,78.88,77.0,77.19,1237800,BG,Bunge Global
2025-01-23,78.16,79.31,77.9,78.67,968900,BG,Bunge Global
2025-01-22,78.32,78.81,77.64,77.91,1254800,BG,Bunge Global
2025-01-21,78.92,79.62,78.34,78.63,1601200,BG,Bunge Global
2025-01-17,79.58,80.22,79.019997,79.54,1362800,BG,Bunge Global
2025-01-16,79.88,80.48,78.6,79.4,1875200,BG,Bunge Global
2025-01-15,82.17,82.35,80.32,80.44,1757100,BG,Bunge Global
2025-01-14,82.010002,82.43,80.58,81.61,1242100,BG,Bunge Global
2025-01-13,81.57,82.57,81.16,81.99,1608400,BG,Bunge Global
2025-01-10,77.53,82.17,77.44,81.22,2349800,BG,Bunge Global
2025-01-08,77.42,77.86,75.75,77.38,1665500,BG,Bunge Global
2025-01-07,78.12,79.13,77.6,77.81,874500,BG,Bunge Global
2025-01-06,77.95,79.44,77.59,77.98,928300,BG,Bunge Global
2025-01-03,77.68,78.0,76.72,77.28,1231900,BG,Bunge Global
2025-01-02,78.5,78.77,77.23,77.57,870800,BG,Bunge Global
2024-12-31,77.14,77.82,76.96,77.76,1194900,BG,Bunge Global
2024-12-30,78.19,78.35,76.38,76.89,1071400,BG,Bunge Global
2024-12-27,77.89,79.5,77.52,78.07,1047500,BG,Bunge Global
2024-12-26,78.8,79.010002,77.76,78.059998,1192000,BG,Bunge Global
2024-12-24,78.84,79.21,78.14,79.099998,397900,BG,Bunge Global
2024-12-23,78.54,79.25,77.88,79.050003,1054200,BG,Bunge Global
2024-12-20,77.64,79.76,77.64,79.099998,7010200,BG,Bunge Global
2024-12-19,79.61,80.24,77.69,77.92,1704700,BG,Bunge Global
2024-12-18,80.84,82.28,78.97,79.13,1961600,BG,Bunge Global
2024-12-17,80.48,81.44,79.4,81.27,1778300,BG,Bunge Global
2024-12-16,82.21,82.72,80.77,80.85,1274700,BG,Bunge Global
2024-12-13,83.47,83.64,81.95,82.65,1393600,BG,Bunge Global
2024-12-12,85.0,85.0,83.46,83.59,1426800,BG,Bunge Global
2024-12-11,84.79,85.0,84.089996,84.79,1213700,BG,Bunge Global
2024-12-10,85.55,85.95,83.95,84.71,1718900,BG,Bunge Global
2024-12-09,84.96,86.92,84.17,85.5,1541700,BG,Bunge Global
2024-12-06,86.6,86.63,83.87,84.0,1902700,BG,Bunge Global
2024-12-05,86.78,87.080002,85.9,86.2,1876900,BG,Bunge Global
2024-12-04,88.040001,88.080002,86.27,86.56,1987100,BG,Bunge Global
2024-12-03,89.43,89.73,85.11,88.26,1903200,BG,Bunge Global
2024-12-02,88.98,89.38,87.86,89.089996,1531600,BG,Bunge Global
2024-12-01,88.98,89.38,87.86,89.089996,1531612,BG,Bunge Global
2024-11-29,88.73,89.93,88.5,89.74,801200,BG,Bunge Global
2024-11-28,88.73,89.93,88.5,89.74,801193,BG,Bunge Global
2024-11-27,89.95,90.54,88.56,88.91,851400,BG,Bunge Global
2024-11-26,88.37,90.029999,88.029999,89.66,1518300,BG,Bunge Global
2024-11-25,87.75,89.37,87.67,88.44,1980800,BG,Bunge Global
2024-11-22,87.92,88.099998,86.9,87.65,1611400,BG,Bunge Global
2024-11-21,87.97,89.37,87.3,88.37,1165500,BG,Bunge Global
2024-11-20,89.43,89.89,87.54,88.080002,2731900,BG,Bunge Global
2024-11-19,90.68,91.44,89.38,89.49,1619400,BG,Bunge Global
2024-11-18,91.089996,91.92,90.65,91.31,2566800,BG,Bunge Global
2024-11-15,88.48,92.16,88.3,90.6,3252700,BG,Bunge Global
2024-11-14,86.98,88.39,86.15,88.059998,2025900,BG,Bunge Global
2024-11-13,87.029999,87.96,86.36,86.62,1986700,BG,Bunge Global
2024-11-12,87.29,88.76,87.2,87.46,1755100,BG,Bunge Global
2024-11-11,87.43,89.13,87.25,87.75,2658700,BG,Bunge Global
2024-11-08,86.24,87.51,85.88,87.12,2296800,BG,Bunge Global
2024-11-07,86.099998,87.33,85.25,86.81,3022400,BG,Bunge Global
2024-11-06,86.07,86.48,84.43,85.76,2540300,BG,Bunge Global
2024-11-05,82.46,85.15,82.18,84.8,3257100,BG,Bunge Global
