datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,46.099998,47.6,45.8,46.18,21166500,BKR,Baker Hughes
2025-01-30,43.82,44.69,43.38,44.6,11039100,BKR,Baker Hughes
2025-01-29,43.22,44.11,42.97,43.07,6898600,BKR,Baker Hughes
2025-01-28,43.48,43.92,42.93,43.28,7010300,BKR,Baker Hughes
2025-01-27,44.77,44.99,43.36,43.55,10311000,BKR,Baker Hughes
2025-01-24,45.67,45.86,45.37,45.55,4567700,BKR,Baker Hughes
2025-01-23,45.88,46.25,45.35,45.66,6010200,BKR,Baker Hughes
2025-01-22,47.040001,47.080002,45.73,45.81,6904800,BKR,Baker Hughes
2025-01-21,46.69,47.080002,45.82,47.040001,9639300,BKR,Baker Hughes
2025-01-17,46.87,47.47,46.4,46.54,8479400,BKR,Baker Hughes
2025-01-16,45.62,46.75,45.35,46.33,7401900,BKR,Baker Hughes
2025-01-15,45.62,45.9,45.21,45.72,6172100,BKR,Baker Hughes
2025-01-14,44.91,45.3,44.53,45.07,7528800,BKR,Baker Hughes
2025-01-13,43.32,45.040001,43.3,44.83,7483600,BKR,Baker Hughes
2025-01-10,43.91,44.25,42.75,43.26,6879700,BKR,Baker Hughes
2025-01-08,43.16,43.47,42.92,43.44,4992700,BKR,Baker Hughes
2025-01-07,42.91,43.73,42.67,43.4,5899800,BKR,Baker Hughes
2025-01-06,42.68,43.63,42.61,42.83,4686500,BKR,Baker Hughes
2025-01-03,41.99,42.86,41.54,42.66,7476100,BKR,Baker Hughes
2025-01-02,41.59,41.89,40.89,41.56,5525400,BKR,Baker Hughes
2024-12-31,41.099998,41.39,41.0,41.02,4630600,BKR,Baker Hughes
2024-12-30,40.74,41.0099983,40.29,40.94,4607600,BKR,Baker Hughes
2024-12-27,40.71,41.12,40.52,40.8,3282500,BKR,Baker Hughes
2024-12-26,40.79,40.9,40.27,40.88,2289600,BKR,Baker Hughes
2024-12-24,40.19,40.9,39.89,40.79,2122000,BKR,Baker Hughes
2024-12-23,40.0099983,40.26,39.68,40.15,4094300,BKR,Baker Hughes
2024-12-20,39.38,40.46,39.32,40.32,17974900,BKR,Baker Hughes
2024-12-19,40.97,41.02,39.6,39.8,5970700,BKR,Baker Hughes
2024-12-18,41.47,41.83,40.0099983,40.040001,6670700,BKR,Baker Hughes
2024-12-17,41.45,41.75,40.92,41.41,7536300,BKR,Baker Hughes
2024-12-16,41.91,42.13,41.62,41.8,4290000,BKR,Baker Hughes
2024-12-13,42.49,42.72,42.02,42.15,4937600,BKR,Baker Hughes
2024-12-12,42.3,42.76,42.080002,42.33,5817700,BKR,Baker Hughes
2024-12-11,41.61,42.81,41.049999,42.46,7589000,BKR,Baker Hughes
2024-12-10,40.89,41.66,40.35,41.21,7366500,BKR,Baker Hughes
2024-12-09,41.46,42.099998,41.32,41.43,7336800,BKR,Baker Hughes
2024-12-06,42.36,42.46,41.28,41.31,7458100,BKR,Baker Hughes
2024-12-05,42.61,42.89,42.18,42.51,5541900,BKR,Baker Hughes
2024-12-04,43.67,43.75,42.22,42.56,5837900,BKR,Baker Hughes
2024-12-03,44.23,44.23,43.26,43.67,3583600,BKR,Baker Hughes
2024-12-02,43.9,44.22,43.080002,43.69,3992200,BKR,Baker Hughes
2024-11-29,43.8,44.060001,43.69,43.95,2275700,BKR,Baker Hughes
2024-11-27,43.5,43.92,43.34,43.61,3149200,BKR,Baker Hughes
2024-11-26,43.75,43.93,43.049999,43.53,4985700,BKR,Baker Hughes
2024-11-25,44.29,44.64,43.22,43.55,12214300,BKR,Baker Hughes
2024-11-22,44.6,44.92,44.11,44.25,7641700,BKR,Baker Hughes
2024-11-21,44.54,45.17,44.15,44.88,6019100,BKR,Baker Hughes
2024-11-20,43.0099983,44.37,42.78,44.31,8106100,BKR,Baker Hughes
2024-11-19,42.61,43.15,42.61,42.87,3552300,BKR,Baker Hughes
2024-11-18,43.54,43.79,42.95,43.07,4437300,BKR,Baker Hughes
2024-11-15,43.2,43.72,42.65,42.94,4724400,BKR,Baker Hughes
2024-11-14,43.24,43.3,42.59,43.18,7369200,BKR,Baker Hughes
2024-11-13,43.76,43.85,42.91,43.07,7168200,BKR,Baker Hughes
2024-11-12,44.0,44.5,43.48,43.67,7212800,BKR,Baker Hughes
2024-11-11,43.14,44.32,42.95,44.11,5351000,BKR,Baker Hughes
2024-11-08,43.040001,43.67,42.51,43.02,7007600,BKR,Baker Hughes
2024-11-07,42.76,43.19,41.83,43.099998,11973200,BKR,Baker Hughes
2024-11-06,40.74,43.23,40.14,42.74,13754000,BKR,Baker Hughes
2024-11-05,38.32,38.98,38.26,38.58,5592900,BKR,Baker Hughes
2024-11-04,37.83,38.36,37.75,38.17,5398200,BKR,Baker Hughes
2024-11-01,38.13,38.29,37.54,37.85,7921200,BKR,Baker Hughes
2024-10-31,37.64,38.24,37.52,38.080002,8904500,BKR,Baker Hughes
2024-10-30,37.17,37.62,37.17,37.49,6525500,BKR,Baker Hughes
2024-10-29,37.38,37.47,36.56,37.09,6206000,BKR,Baker Hughes
