datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,86.44,86.87,85.78,85.93,3905700,BK,BNY Mellon
2025-01-30,86.73,87.53,86.050003,86.5,2859300,BK,BNY Mellon
2025-01-29,85.83,87.7,85.83,86.040001,3397900,BK,BNY Mellon
2025-01-28,85.41,86.69,85.39,86.34,3248200,BK,BNY Mellon
2025-01-27,85.2,85.93,84.72,85.9,2963800,BK,BNY Mellon
2025-01-24,84.46,86.34,84.42,85.79,4306000,BK,BNY Mellon
2025-01-23,84.39,85.55,84.12,84.73,4041600,BK,BNY Mellon
2025-01-22,84.79,85.81,83.87,84.33,4289000,BK,BNY Mellon
2025-01-21,83.34,85.0,83.34,84.93,4829900,BK,BNY Mellon
2025-01-17,82.34,83.67,81.36,83.29,4695600,BK,BNY Mellon
2025-01-16,81.72,82.48,81.040001,82.25,5143100,BK,BNY Mellon
2025-01-15,79.099998,82.14,79.099998,82.040001,9273900,BK,BNY Mellon
2025-01-14,75.97,76.74,75.72,75.94,4689900,BK,BNY Mellon
2025-01-13,75.15,76.14,74.91,76.11,4068700,BK,BNY Mellon
2025-01-12,75.15,76.14,74.91,76.11,4068724,BK,BNY Mellon
2025-01-10,77.4,77.85,75.39,75.42,3577400,BK,BNY Mellon
2025-01-09,77.4,77.85,75.39,75.42,3577419,BK,BNY Mellon
2025-01-08,77.9,78.010002,76.78,77.95,3031600,BK,BNY Mellon
2025-01-07,78.13,78.49,77.059998,77.96,4498800,BK,BNY Mellon
2025-01-06,77.78,78.69,77.6,77.92,3381300,BK,BNY Mellon
2025-01-05,77.78,78.6895,77.6,77.92,3381305,BK,BNY Mellon
2025-01-03,77.010002,77.36,76.14,76.93,3369200,BK,BNY Mellon
2025-01-02,77.24,77.93,76.91,77.41,3443300,BK,BNY Mellon
2024-12-31,77.33,77.49,76.63,76.83,2380700,BK,BNY Mellon
2024-12-30,76.74,77.31,76.22,77.11,1891000,BK,BNY Mellon
2024-12-27,77.91,78.46,77.080002,77.57,2072300,BK,BNY Mellon
