datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,170.56,172.22,167.2,167.28,1470700,BLDR,Builders FirstSource
2025-01-30,170.38,173.84,169.050003,172.71001,1229400,BLDR,Builders FirstSource
2025-01-29,169.32001,172.88,168.050003,168.62,1404700,BLDR,Builders FirstSource
2025-01-28,173.35001,173.35001,167.78,169.52,1476100,BLDR,Builders FirstSource
2025-01-27,166.0,175.12,166.0,173.50999,2114800,BLDR,Builders FirstSource
2025-01-24,168.23,168.92999,166.5,166.75999,1208600,BLDR,Builders FirstSource
2025-01-23,166.0,169.5,165.69,168.12,1118800,BLDR,Builders FirstSource
2025-01-22,165.67,166.94,164.27,165.78,1471000,BLDR,Builders FirstSource
2025-01-21,167.27,169.34,164.89999,166.17999,1736000,BLDR,Builders FirstSource
2025-01-17,165.0,165.57001,163.21001,164.12,1833400,BLDR,Builders FirstSource
2025-01-16,160.96001,162.52,158.77,160.66,1247700,BLDR,Builders FirstSource
2025-01-15,165.81,168.85001,160.25999,161.53999,3694900,BLDR,Builders FirstSource
2025-01-14,151.35001,154.69,149.77,154.25,2459100,BLDR,Builders FirstSource
2025-01-13,139.56,147.39,139.089996,146.47,2118500,BLDR,Builders FirstSource
2025-01-10,141.020004,141.52,137.64,139.96001,1772400,BLDR,Builders FirstSource
2025-01-08,142.75999,144.020004,140.28,143.5,1323200,BLDR,Builders FirstSource
2025-01-07,145.8,146.77,141.61,143.32001,1324100,BLDR,Builders FirstSource
2025-01-06,145.38,148.57001,145.28999,145.64999,1142800,BLDR,Builders FirstSource
2025-01-03,143.0,144.28,141.33,144.029999,803900,BLDR,Builders FirstSource
2025-01-02,145.089996,146.029999,141.14999,141.98,906800,BLDR,Builders FirstSource
2024-12-31,144.57001,145.14999,141.86,142.92999,1103600,BLDR,Builders FirstSource
2024-12-30,144.39999,144.39999,141.029999,143.37,1671800,BLDR,Builders FirstSource
2024-12-27,147.52,148.49001,144.38,145.080002,1160600,BLDR,Builders FirstSource
2024-12-26,147.75,148.8,146.029999,148.17999,959800,BLDR,Builders FirstSource
2024-12-24,149.0,149.98,147.69,148.82001,588800,BLDR,Builders FirstSource
2024-12-23,149.14,150.39,147.0099945,149.029999,1722800,BLDR,Builders FirstSource
2024-12-20,146.0,150.92,145.85001,150.5,4308000,BLDR,Builders FirstSource
2024-12-19,149.67999,151.070007,145.67,146.28999,2432800,BLDR,Builders FirstSource
2024-12-18,161.87,162.45,151.74001,152.029999,1962900,BLDR,Builders FirstSource
2024-12-17,160.0,161.61,158.71001,160.12,1468100,BLDR,Builders FirstSource
2024-12-16,166.42999,166.52,160.37,160.57001,1949100,BLDR,Builders FirstSource
2024-12-13,171.0,171.0,163.0099945,166.42999,1406900,BLDR,Builders FirstSource
2024-12-12,171.5,172.31,169.69,170.67999,855300,BLDR,Builders FirstSource
2024-12-11,174.38,175.24001,170.75,172.16,1195100,BLDR,Builders FirstSource
2024-12-10,174.59,175.46001,170.64,170.74001,1153100,BLDR,Builders FirstSource
2024-12-09,175.17,177.97,175.17,176.89,986700,BLDR,Builders FirstSource
2024-12-06,179.32001,179.92999,174.14999,175.82001,981600,BLDR,Builders FirstSource
2024-12-05,177.0,178.48,175.23,175.89,1323400,BLDR,Builders FirstSource
2024-12-04,182.59,184.14,176.62,177.12,1262300,BLDR,Builders FirstSource
2024-12-03,185.12,187.22,183.19,184.47,659400,BLDR,Builders FirstSource
2024-12-02,185.19,185.98,183.22,184.82001,727900,BLDR,Builders FirstSource
2024-11-29,187.94,188.53999,185.0,186.47,372900,BLDR,Builders FirstSource
2024-11-27,188.42999,189.74001,183.64999,184.75,703700,BLDR,Builders FirstSource
2024-11-26,186.31,187.21001,182.82001,185.92,1149500,BLDR,Builders FirstSource
2024-11-25,182.16,194.36,182.11,189.029999,2012500,BLDR,Builders FirstSource
2024-11-22,177.75999,179.37,175.71001,178.52,825900,BLDR,Builders FirstSource
2024-11-21,176.0,177.59,172.78999,175.91,1508200,BLDR,Builders FirstSource
2024-11-20,178.75,179.16,172.60001,174.83,1476300,BLDR,Builders FirstSource
2024-11-19,177.070007,178.81,174.14,178.81,1094900,BLDR,Builders FirstSource
2024-11-18,175.0,178.81,173.64999,178.3,1001700,BLDR,Builders FirstSource
2024-11-15,180.21001,180.81,175.039993,176.28,1073000,BLDR,Builders FirstSource
2024-11-14,180.33,183.0,179.52,181.2,1173700,BLDR,Builders FirstSource
2024-11-13,182.0,183.28999,179.059998,179.88,950400,BLDR,Builders FirstSource
2024-11-12,181.58,183.38,178.5,178.64999,1008700,BLDR,Builders FirstSource
2024-11-11,180.22,183.71001,178.10001,183.59,1518300,BLDR,Builders FirstSource
2024-11-08,180.089996,180.57001,177.78,178.35001,1353100,BLDR,Builders FirstSource
2024-11-07,177.32001,179.88,175.16,179.19,1826400,BLDR,Builders FirstSource
2024-11-06,173.21001,177.92,168.38,176.78,3332200,BLDR,Builders FirstSource
2024-11-05,175.95,185.16,175.95,180.99001,2137600,BLDR,Builders FirstSource
2024-11-04,172.75999,176.94,172.22,172.42999,2048500,BLDR,Builders FirstSource
2024-11-01,173.11,175.16,170.61,172.020004,1255000,BLDR,Builders FirstSource
2024-10-31,171.78,173.89,170.94,171.39999,744200,BLDR,Builders FirstSource
2024-10-30,171.60001,175.73,170.57001,172.88,1198600,BLDR,Builders FirstSource
2024-10-29,175.11,175.27,167.71001,171.60001,2393400,BLDR,Builders FirstSource
2024-10-28,183.17,186.66,182.88,184.8,839200,BLDR,Builders FirstSource
2024-10-25,184.47,184.47,179.66,180.8,855600,BLDR,Builders FirstSource
2024-10-24,179.31,182.35001,177.67,181.66,836800,BLDR,Builders FirstSource
2024-10-23,179.87,183.72,178.039993,179.22,781500,BLDR,Builders FirstSource
2024-10-22,184.0,184.0099945,178.44,180.64999,1510400,BLDR,Builders FirstSource
2024-10-21,194.46001,194.78999,184.24001,184.84,1275300,BLDR,Builders FirstSource
2024-10-18,196.47,196.47,193.13,194.97,875200,BLDR,Builders FirstSource
2024-10-17,197.97,198.75,192.050003,195.37,1134600,BLDR,Builders FirstSource
2024-10-16,197.53,201.53,197.2,198.25,1034100,BLDR,Builders FirstSource
2024-10-15,197.60001,200.25999,195.47,195.72,909500,BLDR,Builders FirstSource
2024-10-14,193.64,198.039993,192.39,196.71001,915800,BLDR,Builders FirstSource
2024-10-11,191.75999,196.12,191.75999,193.0,918700,BLDR,Builders FirstSource
2024-10-10,192.91,195.17999,190.089996,191.75,1203800,BLDR,Builders FirstSource
2024-10-09,194.75999,197.3,193.58,194.39999,777200,BLDR,Builders FirstSource
2024-10-08,193.070007,195.28999,189.84,193.14,821700,BLDR,Builders FirstSource
2024-10-07,190.080002,192.78,186.7,192.17999,1065300,BLDR,Builders FirstSource
2024-10-04,198.27,199.0,188.60001,192.28,1613000,BLDR,Builders FirstSource
2024-10-03,194.53999,196.12,192.25,195.86,1116800,BLDR,Builders FirstSource
2024-10-02,193.10001,197.0,191.37,195.22,842900,BLDR,Builders FirstSource
2024-10-01,194.47,196.7,191.58,194.84,915500,BLDR,Builders FirstSource
2024-09-30,192.28,195.25999,191.39,193.86,1094400,BLDR,Builders FirstSource
2024-09-27,191.71001,197.25999,191.39999,194.25,1315200,BLDR,Builders FirstSource
2024-09-26,194.039993,194.81,189.0,190.070007,1466300,BLDR,Builders FirstSource
2024-09-25,192.64999,194.67999,191.080002,191.91,1212900,BLDR,Builders FirstSource
2024-09-24,195.75999,197.13,190.88,193.0099945,1478100,BLDR,Builders FirstSource
2024-09-23,199.020004,201.78999,194.74001,195.81,1295600,BLDR,Builders FirstSource
2024-09-20,201.5,201.64,197.34,197.74001,4084800,BLDR,Builders FirstSource
2024-09-19,198.0099945,203.14,194.61,201.83,2333500,BLDR,Builders FirstSource
2024-09-18,197.0,200.85001,192.38,194.52,2846100,BLDR,Builders FirstSource
2024-09-17,190.0099945,194.60001,188.50999,193.89,2062400,BLDR,Builders FirstSource
2024-09-16,187.5,190.38,185.21001,187.64999,2037000,BLDR,Builders FirstSource
2024-09-13,178.0,184.5,177.58,183.3,1187700,BLDR,Builders FirstSource
2024-09-12,170.32001,176.029999,169.050003,175.72,1107300,BLDR,Builders FirstSource
2024-09-11,169.49001,171.14,163.37,169.99001,1260800,BLDR,Builders FirstSource
2024-09-10,167.89,171.25,165.69,170.96001,952100,BLDR,Builders FirstSource
2024-09-09,169.60001,170.72,166.080002,166.16,1044900,BLDR,Builders FirstSource
2024-09-06,168.57001,174.35001,167.17999,168.50999,1856600,BLDR,Builders FirstSource
2024-09-05,168.8,170.74001,165.98,167.55,1526700,BLDR,Builders FirstSource
2024-09-04,167.84,170.039993,165.72,168.88,1688100,BLDR,Builders FirstSource
2024-09-03,174.56,175.89999,167.88,168.64999,1901200,BLDR,Builders FirstSource
2024-08-30,174.089996,175.14,170.5,174.0,1260200,BLDR,Builders FirstSource
2024-08-29,174.36,175.27,171.45,172.16,792300,BLDR,Builders FirstSource
2024-08-28,172.92999,174.0099945,171.34,172.89999,843800,BLDR,Builders FirstSource
2024-08-27,174.25999,175.12,171.67,174.62,1077900,BLDR,Builders FirstSource
2024-08-26,183.36,185.2,175.39,176.41,1575500,BLDR,Builders FirstSource
2024-08-23,169.13,183.020004,168.35001,182.21001,2660500,BLDR,Builders FirstSource
2024-08-22,167.85001,169.67,166.35001,167.55,1102000,BLDR,Builders FirstSource
2024-08-21,165.7,168.33,164.95,168.25,1181600,BLDR,Builders FirstSource
2024-08-20,163.74001,165.63,162.36,164.14999,1254000,BLDR,Builders FirstSource
2024-08-19,162.55,164.75,162.0099945,163.31,1016400,BLDR,Builders FirstSource
2024-08-16,163.89999,165.57001,160.84,161.13,1276200,BLDR,Builders FirstSource
2024-08-15,164.21001,167.12,162.67999,164.64999,1213800,BLDR,Builders FirstSource
2024-08-14,162.73,164.39999,158.84,160.60001,1748500,BLDR,Builders FirstSource
2024-08-13,155.24001,161.50999,155.24001,160.89999,1578400,BLDR,Builders FirstSource
2024-08-12,155.28,158.10001,152.81,153.3,1333200,BLDR,Builders FirstSource
2024-08-09,153.16,156.58,151.3,155.50999,1031700,BLDR,Builders FirstSource
2024-08-08,155.66,156.080002,151.75,153.14999,1871700,BLDR,Builders FirstSource
2024-08-07,159.37,164.77,151.46001,152.86,2815500,BLDR,Builders FirstSource
2024-08-06,138.92999,161.36,137.22,155.73,3885900,BLDR,Builders FirstSource
2024-08-05,140.32001,153.35001,139.33,149.64999,3031000,BLDR,Builders FirstSource
2024-08-02,149.34,152.59,147.88,152.14999,2592100,BLDR,Builders FirstSource
2024-08-01,166.64,170.88,157.53999,159.5,1805300,BLDR,Builders FirstSource
2024-07-31,169.64999,174.89,167.039993,167.37,1835500,BLDR,Builders FirstSource
2024-07-30,170.0,171.34,164.72,167.63,1343700,BLDR,Builders FirstSource
2024-07-29,167.92,169.75,166.14999,168.089996,1173300,BLDR,Builders FirstSource
2024-07-26,164.52,169.95,163.089996,167.49001,1748600,BLDR,Builders FirstSource
2024-07-25,155.87,163.48,153.28999,158.73,1837400,BLDR,Builders FirstSource
2024-07-24,162.029999,165.14999,153.75,154.12,1722000,BLDR,Builders FirstSource
