datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,105.089996,106.029999,104.51,104.66,1782600,BRO,Brown & Brown
2025-01-30,104.29,105.6,103.32,105.46,1325700,BRO,Brown & Brown
2025-01-29,104.29,104.93,103.0,103.17,1632500,BRO,Brown & Brown
2025-01-28,109.059998,109.059998,104.23,105.019997,2664700,BRO,Brown & Brown
2025-01-27,106.75,108.15,105.73,107.84,2277600,BRO,Brown & Brown
2025-01-24,104.69,106.22,104.45,106.0,1480200,BRO,Brown & Brown
2025-01-23,104.9,105.68,103.56,105.23,1595500,BRO,Brown & Brown
2025-01-22,106.050003,106.050003,105.029999,105.19,1262500,BRO,Brown & Brown
2025-01-21,106.0,106.74,105.62,105.69,1841200,BRO,Brown & Brown
2025-01-17,106.17,106.32,105.24,105.55,4131000,BRO,Brown & Brown
2025-01-16,104.099998,106.010002,103.74,105.95,1176400,BRO,Brown & Brown
2025-01-15,104.33,104.63,102.91,103.68,1082100,BRO,Brown & Brown
2025-01-14,102.94,103.67,102.059998,103.63,1263400,BRO,Brown & Brown
2025-01-13,101.040001,102.99,100.77,102.55,1425200,BRO,Brown & Brown
2025-01-10,101.15,102.52,101.13,101.95,1902000,BRO,Brown & Brown
2025-01-08,101.62,103.15,101.3,102.53,1387300,BRO,Brown & Brown
2025-01-07,101.31,102.18,100.43,101.07,1543000,BRO,Brown & Brown
2025-01-06,101.63,101.9,100.59,100.92,1376800,BRO,Brown & Brown
2025-01-03,101.12,101.87,100.4,101.59,1066600,BRO,Brown & Brown
2025-01-02,102.89,102.89,100.18,100.54,1502200,BRO,Brown & Brown
2024-12-31,102.15,102.56,101.55,102.019997,716000,BRO,Brown & Brown
2024-12-30,102.0,102.42,101.040001,101.99,1080600,BRO,Brown & Brown
2024-12-27,103.2,103.89,102.38,102.89,676500,BRO,Brown & Brown
2024-12-26,102.96,103.88,102.96,103.74,588000,BRO,Brown & Brown
2024-12-24,102.53,103.94,102.19,103.85,338300,BRO,Brown & Brown
2024-12-23,102.38,102.94,101.63,102.8,773000,BRO,Brown & Brown
2024-12-20,102.3,103.86,101.91,102.93,2726000,BRO,Brown & Brown
2024-12-19,101.39,102.88,101.24,102.3,1762800,BRO,Brown & Brown
2024-12-18,103.25,103.78,100.86,100.93,1456000,BRO,Brown & Brown
2024-12-17,103.65,103.87,102.42,103.18,1464600,BRO,Brown & Brown
2024-12-16,104.29,105.029999,103.99,104.39,1357100,BRO,Brown & Brown
2024-12-13,103.83,104.33,103.41,104.19,1208200,BRO,Brown & Brown
2024-12-12,104.7,105.050003,103.46,103.66,952200,BRO,Brown & Brown
2024-12-11,103.53,104.19,103.23,104.11,1449500,BRO,Brown & Brown
2024-12-10,104.91,105.22,102.13,102.93,1744000,BRO,Brown & Brown
2024-12-09,108.23,108.74,104.99,105.68,2024700,BRO,Brown & Brown
2024-12-06,110.24,110.69,108.55,109.18,1242800,BRO,Brown & Brown
2024-12-05,111.5,111.66,110.37,110.55,1254400,BRO,Brown & Brown
2024-12-04,111.17,111.8,110.78,111.14,782300,BRO,Brown & Brown
2024-12-03,112.0,112.25,110.7,111.38,990500,BRO,Brown & Brown
2024-12-02,113.22,113.22,110.85,111.63,991100,BRO,Brown & Brown
