datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,72.4,73.77,72.4,73.14,1506200,BXP,"BXP, Inc."
2025-01-30,71.089996,74.07,70.72,72.4,1834400,BXP,"BXP, Inc."
2025-01-29,70.42,72.07,68.75,68.84,3228000,BXP,"BXP, Inc."
2025-01-28,73.77,74.07,72.099998,73.18,1535000,BXP,"BXP, Inc."
2025-01-27,73.32,75.95,73.24,74.59,1182100,BXP,"BXP, Inc."
2025-01-24,71.56,74.13,71.5,73.56,1906200,BXP,"BXP, Inc."
2025-01-23,72.72,72.83,70.59,71.86,1074500,BXP,"BXP, Inc."
2025-01-22,73.53,73.68,72.71,72.73,740600,BXP,"BXP, Inc."
2025-01-21,73.62,74.52,73.45,74.040001,961500,BXP,"BXP, Inc."
2025-01-17,73.0,73.93,72.6,73.19,1086600,BXP,"BXP, Inc."
2025-01-16,71.98,72.67,71.59,72.44,575300,BXP,"BXP, Inc."
2025-01-15,72.79,73.040001,71.86,72.0,1422300,BXP,"BXP, Inc."
2025-01-14,69.68,70.77,69.54,70.29,1148800,BXP,"BXP, Inc."
2025-01-13,67.98,69.51,67.71,69.32,1387500,BXP,"BXP, Inc."
2025-01-10,68.21,69.11,67.39,68.15,1886400,BXP,"BXP, Inc."
2025-01-08,70.099998,70.59,68.75,69.93,1199900,BXP,"BXP, Inc."
2025-01-07,72.17,73.019997,70.21,70.33,1448100,BXP,"BXP, Inc."
2025-01-06,74.6,74.81,71.9,71.99,1227700,BXP,"BXP, Inc."
2025-01-03,73.93,75.029999,73.7,74.91,747800,BXP,"BXP, Inc."
2025-01-02,73.74,75.12,73.26,73.7,935600,BXP,"BXP, Inc."
2024-12-31,73.63,75.11,73.59,74.36,980700,BXP,"BXP, Inc."
2024-12-30,73.97,74.5,72.87,74.17,616400,BXP,"BXP, Inc."
2024-12-27,75.39,76.39,74.45,74.61,593300,BXP,"BXP, Inc."
2024-12-26,75.81,76.88,75.22,76.23,677600,BXP,"BXP, Inc."
2024-12-24,75.44,76.16,75.07,76.13,246500,BXP,"BXP, Inc."
2024-12-23,74.19,75.94,73.94,75.61,1287900,BXP,"BXP, Inc."
2024-12-20,73.53,76.07,73.33,74.64,3032000,BXP,"BXP, Inc."
2024-12-19,74.59,75.089996,72.7,73.33,1745700,BXP,"BXP, Inc."
2024-12-18,80.34,80.81,73.96,74.23,1598400,BXP,"BXP, Inc."
2024-12-17,79.88,80.76,79.74,80.36,893400,BXP,"BXP, Inc."
2024-12-16,79.53,81.59,79.53,80.57,1267900,BXP,"BXP, Inc."
2024-12-13,79.52,80.11,78.66,79.93,679900,BXP,"BXP, Inc."
2024-12-12,79.89,81.0,79.65,79.94,815600,BXP,"BXP, Inc."
2024-12-11,81.78,81.96,79.46,79.99,1741800,BXP,"BXP, Inc."
2024-12-10,83.010002,83.11,80.5,81.19,1108500,BXP,"BXP, Inc."
2024-12-09,80.6,83.29,80.6,83.010002,1164400,BXP,"BXP, Inc."
2024-12-06,79.73,80.5,79.11,80.34,854200,BXP,"BXP, Inc."
2024-12-05,79.57,80.0,78.72,79.23,803800,BXP,"BXP, Inc."
2024-12-04,80.18,80.52,79.38,79.77,866300,BXP,"BXP, Inc."
2024-12-03,80.99,81.12,79.69,80.15,762200,BXP,"BXP, Inc."
2024-12-02,81.97,82.2,80.29,80.88,1054000,BXP,"BXP, Inc."
2024-11-29,83.0,83.81,81.79,81.99,957500,BXP,"BXP, Inc."
2024-11-27,83.87,84.75,82.61,82.86,899000,BXP,"BXP, Inc."
2024-11-26,81.73,83.51,81.099998,83.22,968300,BXP,"BXP, Inc."
2024-11-25,81.54,82.26,80.94,82.12,3005700,BXP,"BXP, Inc."
2024-11-22,80.95,81.85,80.42,80.66,1326400,BXP,"BXP, Inc."
2024-11-21,80.0,81.68,79.65,80.77,792400,BXP,"BXP, Inc."
2024-11-20,78.88,79.74,78.72,79.56,731600,BXP,"BXP, Inc."
2024-11-19,77.88,79.76,77.59,79.42,820100,BXP,"BXP, Inc."
2024-11-18,78.34,78.82,77.28,78.41,1066300,BXP,"BXP, Inc."
2024-11-15,79.16,79.16,77.48,78.53,1379600,BXP,"BXP, Inc."
2024-11-14,79.91,80.96,79.37,79.47,1273800,BXP,"BXP, Inc."
2024-11-13,80.23,80.7,78.87,79.39,1128300,BXP,"BXP, Inc."
2024-11-12,81.33,82.099998,78.89,79.029999,1112100,BXP,"BXP, Inc."
2024-11-11,83.32,83.48,81.56,81.96,962400,BXP,"BXP, Inc."
2024-11-08,82.74,83.13,82.029999,82.9,1280100,BXP,"BXP, Inc."
2024-11-07,80.26,82.87,80.21,82.62,2028800,BXP,"BXP, Inc."
2024-11-06,82.84,83.95,78.27,80.95,2451400,BXP,"BXP, Inc."
2024-11-05,79.83,81.85,79.7,81.38,899400,BXP,"BXP, Inc."
2024-11-04,79.019997,80.88,78.99,80.33,873000,BXP,"BXP, Inc."
2024-11-01,81.52,81.91,78.7,79.16,1595600,BXP,"BXP, Inc."
2024-10-31,81.63,82.3,80.51,80.56,1890000,BXP,"BXP, Inc."
2024-10-30,85.32,85.79,81.76,82.75,2179900,BXP,"BXP, Inc."
2024-10-29,87.52,88.099998,86.059998,86.19,1311300,BXP,"BXP, Inc."
2024-10-28,87.89,88.72,87.35,87.39,977700,BXP,"BXP, Inc."
2024-10-27,87.89,88.72,87.35,87.39,977778,BXP,"BXP, Inc."
2024-10-25,88.0,88.11,86.7,86.99,990100,BXP,"BXP, Inc."
2024-10-24,88.0,88.11,86.695,86.99,990175,BXP,"BXP, Inc."
2024-10-23,87.52,88.57,86.38,86.96,1244100,BXP,"BXP, Inc."
2024-10-22,86.68,87.62,86.32,86.82,765800,BXP,"BXP, Inc."
2024-10-21,89.39,89.75,86.83,86.93,1303000,BXP,"BXP, Inc."
2024-10-18,89.010002,90.11,88.080002,89.72,1058500,BXP,"BXP, Inc."
2024-10-17,87.040001,89.12,86.71,88.92,972100,BXP,"BXP, Inc."
2024-10-16,87.0,87.79,86.9,87.4,907900,BXP,"BXP, Inc."
2024-10-15,84.83,87.65,84.81,86.48,1537500,BXP,"BXP, Inc."
2024-10-14,82.8,84.63,82.31,84.39,763200,BXP,"BXP, Inc."
2024-10-13,82.8,84.63,82.31,84.39,763226,BXP,"BXP, Inc."
2024-10-11,82.49,83.21,82.36,82.97,863400,BXP,"BXP, Inc."
2024-10-10,82.49,83.21,82.36,82.97,863391,BXP,"BXP, Inc."
2024-10-09,81.14,82.65,80.83,82.4,1339500,BXP,"BXP, Inc."
2024-10-08,80.089996,81.18,79.68,80.92,1190300,BXP,"BXP, Inc."
2024-10-07,80.21,80.21,79.17,79.9,905800,BXP,"BXP, Inc."
2024-10-04,80.14,81.29,79.63,80.74,950800,BXP,"BXP, Inc."
2024-10-03,79.79,79.87,78.95,79.82,751000,BXP,"BXP, Inc."
2024-10-02,79.010002,80.28,78.88,80.14,631700,BXP,"BXP, Inc."
2024-10-01,80.41,80.41,78.77,79.68,640800,BXP,"BXP, Inc."
2024-09-30,79.59,80.83,79.31,80.46,1212800,BXP,"BXP, Inc."
2024-09-29,79.59,80.83,79.31,80.46,1212828,BXP,"BXP, Inc."
2024-09-27,81.21,81.46,79.9,80.77,942000,BXP,"BXP, Inc."
2024-09-26,81.21,81.46,79.9,80.77,942099,BXP,"BXP, Inc."
2024-09-25,81.79,81.84,79.85,80.26,1052663,BXP,"BXP, Inc."
2024-09-24,82.019997,82.99,81.69,82.49,712000,BXP,"BXP, Inc."
2024-09-23,81.55,82.21,81.11,82.17,891500,BXP,"BXP, Inc."
2024-09-20,81.85,82.089996,80.8,81.019997,2453900,BXP,"BXP, Inc."
2024-09-19,83.14,83.85,81.78,82.31,1695000,BXP,"BXP, Inc."
2024-09-18,80.91,83.38,80.4,81.29,1436000,BXP,"BXP, Inc."
2024-09-17,81.65,82.42,80.13,80.41,1301600,BXP,"BXP, Inc."
2024-09-16,80.25,81.74,79.31,81.5,1016800,BXP,"BXP, Inc."
2024-09-15,80.25,81.74,79.31,81.5,1016875,BXP,"BXP, Inc."
2024-09-13,79.54,80.58,79.18,80.059998,1209500,BXP,"BXP, Inc."
2024-09-12,76.5,79.099998,76.32,78.61,1435200,BXP,"BXP, Inc."
2024-09-11,76.5,79.099998,76.32,78.61,1435247,BXP,"BXP, Inc."
2024-09-10,74.52,74.74,73.07,74.51,936200,BXP,"BXP, Inc."
2024-09-09,74.51,74.63,73.47,74.3,1144500,BXP,"BXP, Inc."
2024-09-08,74.51,74.625,73.47,74.3,1144512,BXP,"BXP, Inc."
2024-09-06,74.87,75.18,73.87,74.56,1042900,BXP,"BXP, Inc."
2024-09-05,75.080002,75.72,74.52,74.66,1006900,BXP,"BXP, Inc."
2024-09-04,74.43,75.47,73.96,74.43,844600,BXP,"BXP, Inc."
2024-09-03,74.71,75.23,73.72,74.32,1054300,BXP,"BXP, Inc."
2024-09-02,74.71,75.23,73.72,74.32,1054332,BXP,"BXP, Inc."
