datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,180.77,181.5,176.60001,177.11,3010300,BX,Blackstone Inc.
2025-01-30,180.77,181.5,176.6001,177.11,3010311,BX,Blackstone Inc.
2025-01-29,185.0,187.75999,184.5,185.38,3086200,BX,Blackstone Inc.
2025-01-28,181.83,186.50999,180.48,185.59,2514200,BX,Blackstone Inc.
2025-01-27,181.8,182.92,179.3,182.52,4110700,BX,Blackstone Inc.
2025-01-24,184.89,187.95,184.89,186.74001,2326000,BX,Blackstone Inc.
2025-01-23,182.53,185.64,182.47,185.52,2146800,BX,Blackstone Inc.
2025-01-22,181.67,183.44,179.42,182.77,3042600,BX,Blackstone Inc.
2025-01-21,181.85001,182.87,180.78999,181.52,3220900,BX,Blackstone Inc.
2025-01-17,178.070007,180.10001,177.67999,179.95,3442200,BX,Blackstone Inc.
2025-01-16,175.39,177.42999,174.57001,176.72,3061700,BX,Blackstone Inc.
2025-01-15,176.73,177.47,174.37,175.14,3437900,BX,Blackstone Inc.
2025-01-14,166.87,170.75,166.16,169.32001,2686900,BX,Blackstone Inc.
2025-01-13,162.14999,166.0,160.73,165.77,3274800,BX,Blackstone Inc.
2025-01-10,171.67,171.67,164.75999,164.85001,5077900,BX,Blackstone Inc.
2025-01-08,170.89999,174.2,170.0,173.97,2237200,BX,Blackstone Inc.
2025-01-07,175.0,176.020004,168.47,171.34,2729100,BX,Blackstone Inc.
2025-01-06,177.99001,178.55,174.53999,174.78999,2203100,BX,Blackstone Inc.
2025-01-03,175.0,176.14,173.44,175.91,1600600,BX,Blackstone Inc.
2025-01-02,173.12,174.96001,171.020004,173.75,2393000,BX,Blackstone Inc.
2024-12-31,173.13,173.59,171.44,172.42,2181300,BX,Blackstone Inc.
2024-12-30,171.91,172.94,169.2,172.050003,1899100,BX,Blackstone Inc.
2024-12-27,174.67,176.28,172.67,174.0099945,3124200,BX,Blackstone Inc.
2024-12-26,174.25,177.13,174.25,176.46001,1438500,BX,Blackstone Inc.
2024-12-24,173.35001,176.48,172.19,175.69,1584700,BX,Blackstone Inc.
2024-12-23,170.17999,172.78,169.14,172.19,3299000,BX,Blackstone Inc.
2024-12-22,170.17999,172.78,169.14,172.19,3299300,BX,Blackstone Inc.
2024-12-20,167.16,173.27,166.050003,170.84,10917100,BX,Blackstone Inc.
2024-12-19,174.25,174.59,168.5,168.91,7802700,BX,Blackstone Inc.
2024-12-18,182.91,184.0,171.64999,171.7,5063000,BX,Blackstone Inc.
2024-12-17,187.14,187.50999,182.95,183.11,4278200,BX,Blackstone Inc.
2024-12-16,187.14,187.50999,182.95,183.11,4278514,BX,Blackstone Inc.
2024-12-13,190.49001,192.17,188.23,188.42,3658100,BX,Blackstone Inc.
2024-12-12,191.0,191.37,187.74001,190.3,2829500,BX,Blackstone Inc.
2024-12-11,191.85001,194.0,191.039993,192.41,3556200,BX,Blackstone Inc.
2024-12-10,185.55,191.61,184.98,189.57001,3786600,BX,Blackstone Inc.
