datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,126.8,127.98,122.86,123.66,6025700,CAH,Cardinal Health
2025-01-30,127.16,132.84,125.0,128.25999,3837100,CAH,Cardinal Health
2025-01-29,128.5,128.53,126.95,127.76,3901200,CAH,Cardinal Health
2025-01-28,130.84,131.28999,127.5,127.73,2024500,CAH,Cardinal Health
2025-01-27,129.38,131.0,128.87,130.73,2191100,CAH,Cardinal Health
2025-01-24,129.47,129.47,128.53,128.83,1595300,CAH,Cardinal Health
2025-01-23,129.42,129.67999,127.31,129.3,1531300,CAH,Cardinal Health
2025-01-22,127.85,129.36,126.41,128.75,1627100,CAH,Cardinal Health
2025-01-21,126.96,127.89,126.51,127.83,1589000,CAH,Cardinal Health
2025-01-17,127.2,127.27,125.17,126.27,1717600,CAH,Cardinal Health
2025-01-16,124.7,127.080002,124.37,127.029999,1927200,CAH,Cardinal Health
2025-01-15,124.39,124.78,122.49,124.71,2144100,CAH,Cardinal Health
2025-01-14,120.87,124.31,119.92,124.029999,2375500,CAH,Cardinal Health
2025-01-13,121.080002,121.27,119.25,120.86,1644300,CAH,Cardinal Health
2025-01-10,121.82,122.75,121.11,121.57,1974300,CAH,Cardinal Health
2025-01-08,122.65,122.83,120.88,122.53,2261900,CAH,Cardinal Health
2025-01-07,120.67,122.0,119.11,121.4,3394600,CAH,Cardinal Health
2025-01-06,121.41,121.95,119.0,119.63,2777700,CAH,Cardinal Health
2025-01-03,118.84,120.32,118.44,119.3,1717500,CAH,Cardinal Health
2025-01-02,118.29,119.14,117.53,118.019997,1478500,CAH,Cardinal Health
2024-12-31,118.11,119.31,117.76,118.27,1199900,CAH,Cardinal Health
2024-12-30,118.3,118.64,117.53,117.92,1121800,CAH,Cardinal Health
2024-12-27,118.73,119.55,118.35,119.14,1215300,CAH,Cardinal Health
2024-12-26,118.86,119.59,118.63,119.2,904200,CAH,Cardinal Health
2024-12-24,117.88,119.35,117.82,118.83,623500,CAH,Cardinal Health
2024-12-23,118.28,118.78,116.69,118.35,1514200,CAH,Cardinal Health
2024-12-20,117.010002,118.86,116.029999,118.28,9313100,CAH,Cardinal Health
2024-12-19,115.72,117.64,115.0,117.0,2597300,CAH,Cardinal Health
2024-12-18,116.12,117.29,115.18,115.91,2203400,CAH,Cardinal Health
2024-12-17,115.87,116.57,114.6,115.82,1874800,CAH,Cardinal Health
2024-12-16,118.13,118.78,116.27,116.55,1939700,CAH,Cardinal Health
2024-12-13,118.81,118.91,117.07,118.099998,1413600,CAH,Cardinal Health
2024-12-12,117.88,119.27,117.32,117.46,2998600,CAH,Cardinal Health
2024-12-11,120.96,121.059998,116.74,117.42,2013200,CAH,Cardinal Health
2024-12-10,121.58,121.58,119.42,120.42,1307000,CAH,Cardinal Health
2024-12-09,122.77,123.64,119.73,121.58,2087100,CAH,Cardinal Health
2024-12-06,123.39,123.87,122.18,122.76,1583900,CAH,Cardinal Health
2024-12-05,124.6,125.24,121.15,122.84,2585100,CAH,Cardinal Health
2024-12-04,123.7,126.23,123.31,125.24,1641200,CAH,Cardinal Health
