datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,377.45999,378.0,371.28,371.44,2859000,CAT,Caterpillar Inc.
2025-01-30,373.5,380.81,373.16,374.98001,4234600,CAT,Caterpillar Inc.
2025-01-29,391.94,399.35999,391.12,393.23001,2675800,CAT,Caterpillar Inc.
2025-01-28,394.040009,396.88,386.48001,390.29001,1788900,CAT,Caterpillar Inc.
2025-01-27,397.19,399.54001,389.92001,394.98001,2964400,CAT,Caterpillar Inc.
2025-01-24,405.73001,409.39999,405.28,407.63,1938200,CAT,Caterpillar Inc.
2025-01-23,397.37,409.59,397.26999,406.39999,2587400,CAT,Caterpillar Inc.
2025-01-22,398.67999,400.48001,395.10999,397.60999,1994800,CAT,Caterpillar Inc.
2025-01-21,391.0,402.57999,390.79999,398.35999,3144500,CAT,Caterpillar Inc.
2025-01-17,384.70001,386.85001,382.0,386.019989,2605900,CAT,Caterpillar Inc.
2025-01-16,376.31,381.42001,374.72,380.54999,1974700,CAT,Caterpillar Inc.
2025-01-15,379.14001,379.94,374.32999,374.89001,1984500,CAT,Caterpillar Inc.
2025-01-14,365.48999,372.0,365.17999,371.57001,2331700,CAT,Caterpillar Inc.
2025-01-13,352.95999,363.20001,351.79999,362.5,2746000,CAT,Caterpillar Inc.
2025-01-10,357.82999,359.85001,349.79999,351.0,2773900,CAT,Caterpillar Inc.
2025-01-08,362.45001,362.88,357.70001,361.070007,1828800,CAT,Caterpillar Inc.
2025-01-07,364.13,366.089996,361.089996,363.0,1607400,CAT,Caterpillar Inc.
2025-01-06,367.0,370.84,362.57999,364.20001,1590700,CAT,Caterpillar Inc.
2025-01-03,361.59,364.48001,359.48999,363.79001,1390800,CAT,Caterpillar Inc.
2025-01-02,365.51001,368.85001,358.089996,359.76999,1802600,CAT,Caterpillar Inc.
2024-12-31,363.5,365.76999,361.79999,362.76001,1168100,CAT,Caterpillar Inc.
2024-12-30,360.42999,364.82001,358.73999,363.01001,1422200,CAT,Caterpillar Inc.
2024-12-27,363.39001,367.39999,361.75,364.85999,1245800,CAT,Caterpillar Inc.
2024-12-26,365.049988,367.48999,363.87,367.12,1097900,CAT,Caterpillar Inc.
2024-12-24,364.45001,367.57001,362.66,367.57001,886000,CAT,Caterpillar Inc.
2024-12-23,364.87,366.35001,361.5,365.39001,1804900,CAT,Caterpillar Inc.
2024-12-20,358.5,371.48999,357.23999,366.040009,5142000,CAT,Caterpillar Inc.
2024-12-19,368.44,369.57001,360.01001,360.37,2616700,CAT,Caterpillar Inc.
2024-12-18,378.70001,381.16,363.029999,363.89001,2820700,CAT,Caterpillar Inc.
2024-12-17,376.029999,378.89001,373.82999,375.79999,2138700,CAT,Caterpillar Inc.
2024-12-16,381.76999,382.32001,377.76001,378.92001,1311100,CAT,Caterpillar Inc.
2024-12-13,380.60001,382.89001,378.89001,380.51001,2034800,CAT,Caterpillar Inc.
2024-12-12,389.049988,389.87,380.14999,380.78,1804600,CAT,Caterpillar Inc.
2024-12-11,390.48001,391.35001,387.42999,388.87,1651600,CAT,Caterpillar Inc.
2024-12-10,390.72,395.47,385.60999,388.39001,2251000,CAT,Caterpillar Inc.
2024-12-09,402.54001,409.70999,398.44,399.26001,1739800,CAT,Caterpillar Inc.
2024-12-06,398.14999,399.73999,392.73999,395.029999,1331000,CAT,Caterpillar Inc.
2024-12-05,400.5,401.42999,394.20999,394.98001,1291400,CAT,Caterpillar Inc.
2024-12-04,398.57001,401.47,396.13,399.51001,1193800,CAT,Caterpillar Inc.
2024-12-03,403.51999,405.53,396.60001,399.26001,1716200,CAT,Caterpillar Inc.
2024-12-02,407.45999,408.14999,400.79001,402.51001,1548500,CAT,Caterpillar Inc.
2024-11-29,407.32999,411.19,405.0,406.10999,1962100,CAT,Caterpillar Inc.
2024-11-27,408.39999,412.12,403.23999,403.70001,1371900,CAT,Caterpillar Inc.
2024-11-26,403.64999,408.41,401.76001,407.82999,1796600,CAT,Caterpillar Inc.
2024-11-25,400.0,407.14999,400.0,405.64999,4398000,CAT,Caterpillar Inc.
2024-11-22,390.35999,398.16,387.89001,397.48999,1893000,CAT,Caterpillar Inc.
2024-11-21,383.92001,392.019989,379.0,389.59,1833500,CAT,Caterpillar Inc.
2024-11-20,384.01001,386.20001,378.47,381.5,1859600,CAT,Caterpillar Inc.
2024-11-19,378.029999,383.25,378.029999,382.32999,1793200,CAT,Caterpillar Inc.
2024-11-18,386.0,386.29999,382.92001,384.45999,1626200,CAT,Caterpillar Inc.
2024-11-15,385.98999,388.48999,382.20001,384.070007,2165500,CAT,Caterpillar Inc.
2024-11-14,388.5,390.17999,386.20999,387.35999,1372500,CAT,Caterpillar Inc.
2024-11-13,388.95001,391.20001,385.67001,387.070007,2001900,CAT,Caterpillar Inc.
2024-11-12,397.79001,398.73001,391.14999,393.01001,1737100,CAT,Caterpillar Inc.
2024-11-11,397.91,402.079987,395.01001,396.54001,1858900,CAT,Caterpillar Inc.
2024-11-08,400.95999,403.059998,392.39999,393.37,3345900,CAT,Caterpillar Inc.
2024-11-07,414.92001,418.5,407.54001,408.20999,3211100,CAT,Caterpillar Inc.
2024-11-06,405.17001,418.29999,404.01001,416.88,4720000,CAT,Caterpillar Inc.
2024-11-05,377.13,386.070007,375.64999,383.37,1724100,CAT,Caterpillar Inc.
2024-11-04,378.10001,381.48999,375.29999,376.51999,1793600,CAT,Caterpillar Inc.
2024-11-01,378.070007,383.26999,376.94,379.63,1633300,CAT,Caterpillar Inc.
2024-10-31,377.35001,378.91,372.75,376.20001,2394500,CAT,Caterpillar Inc.
2024-10-30,374.0,388.26001,367.20001,379.23999,4037500,CAT,Caterpillar Inc.
2024-10-29,389.5,389.60001,385.54999,387.51001,2186400,CAT,Caterpillar Inc.
2024-10-28,388.39001,391.57001,387.37,390.60999,3213900,CAT,Caterpillar Inc.
2024-10-25,389.60999,392.029999,384.31,385.97,1606800,CAT,Caterpillar Inc.
2024-10-24,386.95001,388.35999,382.22,387.059998,1844100,CAT,Caterpillar Inc.
2024-10-23,386.95001,390.029999,382.69,385.73001,1500900,CAT,Caterpillar Inc.
2024-10-22,389.73001,391.29001,385.73001,388.45999,1523900,CAT,Caterpillar Inc.
2024-10-21,392.29001,393.14999,389.23999,390.48001,2375900,CAT,Caterpillar Inc.
2024-10-18,396.25,396.45001,389.72,393.85999,3024100,CAT,Caterpillar Inc.
2024-10-17,395.14999,397.12,393.16,394.48999,1561500,CAT,Caterpillar Inc.
2024-10-16,387.39999,394.60001,386.92999,393.62,1551600,CAT,Caterpillar Inc.
2024-10-15,390.63,392.47,387.59,387.98999,2715100,CAT,Caterpillar Inc.
2024-10-14,393.39001,396.29001,386.87,393.95001,3006100,CAT,Caterpillar Inc.
2024-10-11,396.64001,403.60001,396.64001,402.019989,2110400,CAT,Caterpillar Inc.
2024-10-10,395.17999,396.95999,390.5,396.64001,1331700,CAT,Caterpillar Inc.
2024-10-09,388.17001,396.60001,387.5,396.19,1757900,CAT,Caterpillar Inc.
2024-10-08,394.26001,395.0,384.85001,387.95999,2438800,CAT,Caterpillar Inc.
2024-10-07,396.45001,401.17001,396.14001,398.25,2224500,CAT,Caterpillar Inc.
2024-10-04,396.72,397.45999,391.85001,397.089996,1675100,CAT,Caterpillar Inc.
2024-10-03,392.34,394.0,388.72,391.089996,1866100,CAT,Caterpillar Inc.
2024-10-02,391.98001,395.66,388.64001,394.049988,1767900,CAT,Caterpillar Inc.
2024-10-01,391.26999,395.48999,386.63,392.39001,2091400,CAT,Caterpillar Inc.
2024-09-30,389.38,392.76001,386.82001,391.12,2251300,CAT,Caterpillar Inc.
2024-09-27,391.0,395.56,389.14001,391.079987,2683700,CAT,Caterpillar Inc.
2024-09-26,390.01001,397.22,386.20001,390.95999,3906800,CAT,Caterpillar Inc.
2024-09-25,387.0,388.64001,377.92001,378.25,2661500,CAT,Caterpillar Inc.
2024-09-24,380.0,389.42999,379.5,385.92999,4024300,CAT,Caterpillar Inc.
2024-09-23,368.98999,372.97,366.98001,371.17001,2442700,CAT,Caterpillar Inc.
2024-09-20,370.39999,371.45001,365.84,368.82001,5440500,CAT,Caterpillar Inc.
2024-09-19,363.0,374.69,361.26999,373.31,4066600,CAT,Caterpillar Inc.
2024-09-18,355.0,361.63,352.32001,355.12,1990700,CAT,Caterpillar Inc.
2024-09-17,350.0,354.57999,349.23999,353.69,2088400,CAT,Caterpillar Inc.
2024-09-16,348.35001,351.45999,344.29001,347.95999,1648200,CAT,Caterpillar Inc.
