datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,205.98,206.89,204.31,204.33,632000,CBOE,Cboe Global Markets
2025-01-30,203.75999,207.17,203.75999,205.91,438900,CBOE,Cboe Global Markets
2025-01-29,202.0099945,204.47,201.8,204.020004,487700,CBOE,Cboe Global Markets
2025-01-28,205.94,206.57001,203.10001,203.63,597900,CBOE,Cboe Global Markets
2025-01-27,202.99001,205.59,198.77,205.44,1034300,CBOE,Cboe Global Markets
2025-01-24,200.61,201.0099945,199.42,200.17999,707800,CBOE,Cboe Global Markets
2025-01-23,199.11,202.25,197.10001,201.61,840600,CBOE,Cboe Global Markets
2025-01-22,197.14,198.59,195.16,197.73,588500,CBOE,Cboe Global Markets
2025-01-21,195.85001,197.36,193.56,197.17,801300,CBOE,Cboe Global Markets
2025-01-17,193.60001,196.0099945,192.42999,194.78,667700,CBOE,Cboe Global Markets
2025-01-16,193.36,194.39999,191.69,193.92,496200,CBOE,Cboe Global Markets
2025-01-15,194.22,194.36,187.3,192.41,1780100,CBOE,Cboe Global Markets
2025-01-14,192.28999,195.55,190.84,193.37,923300,CBOE,Cboe Global Markets
2025-01-13,191.63,193.32001,191.25,192.72,795000,CBOE,Cboe Global Markets
2025-01-10,192.059998,194.82001,190.27,190.94,779900,CBOE,Cboe Global Markets
2025-01-08,190.92,192.99001,189.75999,192.99001,635400,CBOE,Cboe Global Markets
2025-01-07,191.020004,196.12,189.37,190.84,946600,CBOE,Cboe Global Markets
2025-01-06,192.62,194.94,190.38,191.75999,757200,CBOE,Cboe Global Markets
2025-01-03,197.14999,197.14999,194.92,195.24001,497000,CBOE,Cboe Global Markets
2025-01-02,196.35001,197.27,194.95,196.44,574500,CBOE,Cboe Global Markets
2024-12-31,196.39999,196.62,194.53,195.39999,471700,CBOE,Cboe Global Markets
2024-12-30,197.2,197.71001,194.32001,195.92999,648300,CBOE,Cboe Global Markets
2024-12-27,195.87,197.60001,195.39,197.23,476700,CBOE,Cboe Global Markets
2024-12-26,193.78,196.84,193.78,196.55,636000,CBOE,Cboe Global Markets
2024-12-24,193.089996,195.13,191.53999,194.41,278400,CBOE,Cboe Global Markets
2024-12-23,193.45,194.37,191.13,193.10001,893800,CBOE,Cboe Global Markets
2024-12-20,192.0099945,195.28999,191.61,191.61,2172400,CBOE,Cboe Global Markets
2024-12-19,199.19,200.35001,193.8,193.8,1004200,CBOE,Cboe Global Markets
2024-12-18,197.98,200.21001,194.97,200.070007,1172600,CBOE,Cboe Global Markets
2024-12-17,197.0,198.57001,195.64,198.080002,932800,CBOE,Cboe Global Markets
2024-12-16,200.34,202.16,195.64999,195.64999,687200,CBOE,Cboe Global Markets
2024-12-13,201.48,201.48,198.52,200.98,536600,CBOE,Cboe Global Markets
2024-12-12,203.96001,204.070007,199.62,199.85001,619700,CBOE,Cboe Global Markets
2024-12-11,203.050003,205.12,201.21001,202.59,629800,CBOE,Cboe Global Markets
2024-12-10,202.17999,205.28999,201.14,203.0,590100,CBOE,Cboe Global Markets
2024-12-09,202.44,203.37,200.17,201.60001,856600,CBOE,Cboe Global Markets
2024-12-06,208.55,208.55,202.94,203.99001,843600,CBOE,Cboe Global Markets
2024-12-05,213.66,215.0,208.34,208.55,781100,CBOE,Cboe Global Markets
2024-12-04,211.13,215.17999,209.42999,212.059998,1025700,CBOE,Cboe Global Markets
2024-12-03,213.64999,214.5,209.63,212.12,1009800,CBOE,Cboe Global Markets
2024-12-02,217.11,217.25999,211.91,211.91,757500,CBOE,Cboe Global Markets
2024-11-29,218.67,220.71001,215.0099945,215.85001,465700,CBOE,Cboe Global Markets
2024-11-27,219.95,221.66,216.64,217.84,1327300,CBOE,Cboe Global Markets
2024-11-26,212.32001,219.96001,210.23,217.3,1509400,CBOE,Cboe Global Markets
2024-11-25,212.23,214.27,211.23,214.13,2013100,CBOE,Cboe Global Markets
2024-11-22,210.45,213.36,209.75,213.25999,674600,CBOE,Cboe Global Markets
2024-11-21,210.17999,211.21001,208.5,210.98,845200,CBOE,Cboe Global Markets
2024-11-20,205.89,209.42,204.99001,208.5,735600,CBOE,Cboe Global Markets
2024-11-19,205.96001,207.74001,204.050003,204.98,910000,CBOE,Cboe Global Markets
2024-11-18,201.72,207.28,201.3,205.77,1681900,CBOE,Cboe Global Markets
2024-11-15,198.86,201.27,197.52,200.71001,1411500,CBOE,Cboe Global Markets
2024-11-14,198.0099945,201.69,197.31,198.42999,741100,CBOE,Cboe Global Markets
2024-11-13,198.41,201.44,195.56,196.88,928600,CBOE,Cboe Global Markets
2024-11-12,199.83,200.22,197.53999,199.47,1003700,CBOE,Cboe Global Markets
2024-11-11,195.94,202.53,195.71001,200.050003,1289600,CBOE,Cboe Global Markets
2024-11-08,198.75,199.56,196.72,196.86,1885800,CBOE,Cboe Global Markets
2024-11-07,202.92,203.92,199.25999,199.75999,947100,CBOE,Cboe Global Markets
2024-11-06,206.69,212.029999,196.92,201.36,2375500,CBOE,Cboe Global Markets
2024-11-05,210.14,215.28,209.46001,212.16,1077700,CBOE,Cboe Global Markets
2024-11-04,208.58,210.36,206.75,209.60001,791300,CBOE,Cboe Global Markets
2024-11-01,207.16,211.11,203.0099945,210.0,1295600,CBOE,Cboe Global Markets
2024-10-31,210.33,216.24001,209.95,213.57001,2525500,CBOE,Cboe Global Markets
2024-10-30,213.5,213.5,209.5,209.62,737800,CBOE,Cboe Global Markets
2024-10-29,213.35001,215.34,212.0099945,212.21001,660900,CBOE,Cboe Global Markets
2024-10-28,211.84,213.31,210.92999,212.94,546800,CBOE,Cboe Global Markets
2024-10-25,215.050003,216.95,211.67,212.82001,552300,CBOE,Cboe Global Markets
2024-10-24,213.99001,216.78,213.60001,214.99001,534000,CBOE,Cboe Global Markets
2024-10-23,212.71001,215.0,210.64999,213.55,860000,CBOE,Cboe Global Markets
2024-10-22,212.78999,214.38,211.46001,213.77,882300,CBOE,Cboe Global Markets
2024-10-21,209.28,212.67,209.16,212.42,596000,CBOE,Cboe Global Markets
2024-10-18,210.55,211.21001,208.35001,209.28,702600,CBOE,Cboe Global Markets
2024-10-17,210.50999,211.24001,209.089996,209.55,564500,CBOE,Cboe Global Markets
2024-10-16,210.52,213.050003,208.83,210.7,800900,CBOE,Cboe Global Markets
2024-10-15,206.84,211.59,206.63,210.5,1636000,CBOE,Cboe Global Markets
2024-10-14,205.59,207.56,205.14,205.42999,631600,CBOE,Cboe Global Markets
2024-10-11,206.49001,207.0,204.2,206.0,660300,CBOE,Cboe Global Markets
2024-10-10,206.82001,207.33,205.24001,206.8,640500,CBOE,Cboe Global Markets
2024-10-09,207.31,209.020004,204.53,206.11,954700,CBOE,Cboe Global Markets
2024-10-08,208.10001,209.7,205.41,207.52,1287100,CBOE,Cboe Global Markets
2024-10-07,211.14,212.49001,206.85001,207.38,910500,CBOE,Cboe Global Markets
2024-10-04,211.88,212.12,208.24001,210.42,804100,CBOE,Cboe Global Markets
2024-10-03,210.67,213.16,209.73,210.14999,885600,CBOE,Cboe Global Markets
2024-10-02,209.73,211.96001,207.69,211.85001,578200,CBOE,Cboe Global Markets
2024-10-01,205.24001,211.60001,204.78,209.94,695900,CBOE,Cboe Global Markets
2024-09-30,203.13,204.87,201.50999,204.87,660400,CBOE,Cboe Global Markets
2024-09-27,204.0099945,206.0,202.37,202.60001,698600,CBOE,Cboe Global Markets
2024-09-26,201.78,205.97,201.5,205.45,586800,CBOE,Cboe Global Markets
2024-09-25,208.94,209.029999,202.50999,203.10001,680200,CBOE,Cboe Global Markets
2024-09-24,209.58,210.78,204.0,206.74001,615700,CBOE,Cboe Global Markets
2024-09-23,208.39999,210.36,208.19,209.58,464000,CBOE,Cboe Global Markets
2024-09-20,207.41,208.98,206.74001,208.21001,1700100,CBOE,Cboe Global Markets
2024-09-19,209.89999,210.74001,205.53999,206.94,877000,CBOE,Cboe Global Markets
2024-09-18,213.64999,213.72,208.16,210.66,597100,CBOE,Cboe Global Markets
