datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,144.67,147.10001,144.38,144.74001,2540600,CBRE,CBRE Group
2025-01-30,144.080002,146.83,142.64,144.64999,2046500,CBRE,CBRE Group
2025-01-29,143.089996,143.73,141.36,141.64,2568900,CBRE,CBRE Group
2025-01-28,142.87,143.69,142.029999,142.60001,1960200,CBRE,CBRE Group
2025-01-27,140.55,143.57001,140.28,143.12,1522300,CBRE,CBRE Group
2025-01-24,139.95,141.77,138.31,141.13,1554900,CBRE,CBRE Group
2025-01-23,139.21001,141.35001,138.74001,141.020004,1668300,CBRE,CBRE Group
2025-01-22,140.46001,141.25,138.92,139.44,2219900,CBRE,CBRE Group
2025-01-21,138.83,141.13,138.5,140.94,2028000,CBRE,CBRE Group
2025-01-17,135.71001,137.25,134.41,136.91,2146100,CBRE,CBRE Group
2025-01-16,131.0,135.44,130.75999,134.75,1660700,CBRE,CBRE Group
2025-01-15,131.88,132.8,130.28999,131.3,2118200,CBRE,CBRE Group
2025-01-14,126.69,127.14,124.19,124.91,1527800,CBRE,CBRE Group
2025-01-13,123.0,123.65,121.24,123.56,1930100,CBRE,CBRE Group
2025-01-10,127.0,127.37,120.26,123.67,2800700,CBRE,CBRE Group
2025-01-08,128.64999,130.0,127.44,129.78,1593900,CBRE,CBRE Group
2025-01-07,132.56,133.57001,128.34,128.64,1658900,CBRE,CBRE Group
2025-01-06,131.55,133.92,131.38,132.39,1546000,CBRE,CBRE Group
2025-01-03,130.19,131.88,129.47,131.5,1155800,CBRE,CBRE Group
2025-01-02,132.020004,132.2,128.78,129.89999,1229800,CBRE,CBRE Group
2024-12-31,130.99001,131.88,130.2,131.28999,1609400,CBRE,CBRE Group
2024-12-30,129.74001,131.10001,128.57001,130.27,1083500,CBRE,CBRE Group
2024-12-27,130.81,132.17,130.19,130.63,975800,CBRE,CBRE Group
2024-12-26,131.12,132.3,131.0,132.0,775800,CBRE,CBRE Group
2024-12-25,131.12,132.3,131.0,132.0,775857,CBRE,CBRE Group
2024-12-24,130.12,132.089996,129.78999,131.92,1026000,CBRE,CBRE Group
2024-12-23,127.36,130.67999,127.0,130.50999,1606800,CBRE,CBRE Group
2024-12-22,127.36,130.6799,127.0,130.50999,1606906,CBRE,CBRE Group
2024-12-20,126.71,130.25,126.4,129.16,6110200,CBRE,CBRE Group
2024-12-19,126.71,130.25,126.4,129.16,6110227,CBRE,CBRE Group
2024-12-18,129.66,131.33,125.38,125.65,2484038,CBRE,CBRE Group
2024-12-17,137.0,137.75999,135.52,135.83,2254700,CBRE,CBRE Group
2024-12-16,139.0,139.94,137.74001,137.92999,2648400,CBRE,CBRE Group
2024-12-13,138.78,139.98,136.0099945,137.3,2045000,CBRE,CBRE Group
2024-12-12,137.14,140.7,136.92,139.69,2180800,CBRE,CBRE Group
2024-12-11,137.3,138.8,136.86,137.66,2307400,CBRE,CBRE Group
2024-12-10,136.69,138.96001,135.53999,135.88,1548200,CBRE,CBRE Group
2024-12-09,137.66,138.53,136.23,137.28999,1421500,CBRE,CBRE Group
2024-12-06,138.35001,139.7,137.66,137.88,1148400,CBRE,CBRE Group
2024-12-05,137.28999,138.0,135.97,136.42,1382400,CBRE,CBRE Group
2024-12-04,135.88,137.78999,133.57001,137.75,2167600,CBRE,CBRE Group
2024-12-03,138.35001,138.59,136.88,137.13,1524400,CBRE,CBRE Group
2024-12-02,140.12,140.46001,137.75,138.39,1970900,CBRE,CBRE Group
2024-11-29,140.089996,141.41,139.0,139.99001,1344200,CBRE,CBRE Group
2024-11-27,141.11,142.0,140.3,140.71001,1734800,CBRE,CBRE Group
2024-11-26,139.49001,141.050003,138.92999,140.42999,2216600,CBRE,CBRE Group
2024-11-25,136.78,140.97,135.55,138.69,4553600,CBRE,CBRE Group
2024-11-22,134.31,135.72,132.66,135.42999,2330500,CBRE,CBRE Group
2024-11-21,132.73,132.77,131.49001,131.64999,2095500,CBRE,CBRE Group
2024-11-20,131.25,131.97,130.11,131.78,1462200,CBRE,CBRE Group
2024-11-19,131.8,133.42,130.96001,132.16,1901400,CBRE,CBRE Group
2024-11-18,129.66,132.84,129.19,132.67,1872900,CBRE,CBRE Group
2024-11-15,131.34,132.42,130.020004,130.23,1660300,CBRE,CBRE Group
