datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,272.95999,275.45999,271.51999,271.88,1583300,CB,Chubb Limited
2025-01-30,277.81,278.12,272.94,274.78,1556000,CB,Chubb Limited
2025-01-29,268.01001,281.20001,267.67999,275.82999,2317000,CB,Chubb Limited
2025-01-28,276.48001,277.29001,271.98999,272.26999,1627200,CB,Chubb Limited
2025-01-27,269.37,276.76001,268.82001,276.48999,1776800,CB,Chubb Limited
2025-01-24,267.47,268.049988,264.45001,266.70001,1821400,CB,Chubb Limited
2025-01-23,268.32999,269.040009,264.62,266.5,1720500,CB,Chubb Limited
2025-01-22,270.48001,271.97,267.88,268.32001,1799000,CB,Chubb Limited
2025-01-21,270.0,272.79001,268.019989,268.85999,1930700,CB,Chubb Limited
2025-01-17,274.019989,275.32999,269.19,269.48001,1901900,CB,Chubb Limited
2025-01-16,269.22,274.16,269.22,273.53,1272400,CB,Chubb Limited
2025-01-15,267.66,269.34,265.75,268.41,2231000,CB,Chubb Limited
2025-01-14,262.26999,265.81,260.97,265.51001,1692100,CB,Chubb Limited
2025-01-13,256.97,261.92001,256.0,261.76001,3115500,CB,Chubb Limited
2025-01-10,259.089996,263.45999,252.16,257.70999,4171300,CB,Chubb Limited
2025-01-08,268.0,268.13,264.17001,266.64999,2382000,CB,Chubb Limited
2025-01-07,268.19,271.78,267.45999,268.76001,2042900,CB,Chubb Limited
2025-01-06,271.51001,271.97,267.0,267.31,2587200,CB,Chubb Limited
2025-01-03,273.23001,275.0,270.25,271.73001,1155600,CB,Chubb Limited
2025-01-02,277.51999,277.70999,271.23999,272.51999,949600,CB,Chubb Limited
2024-12-31,275.89999,276.73001,274.72,276.29999,1409600,CB,Chubb Limited
2024-12-30,275.26999,276.37,273.39999,275.41,920300,CB,Chubb Limited
2024-12-27,276.60999,280.34,276.60999,277.67999,1088600,CB,Chubb Limited
2024-12-26,275.75,278.95001,275.70999,278.26999,697400,CB,Chubb Limited
2024-12-24,275.26999,276.54001,274.60001,276.54001,399600,CB,Chubb Limited
2024-12-23,271.5,275.81,271.5,275.38,1322100,CB,Chubb Limited
2024-12-20,272.76999,275.67001,270.60001,273.20001,2953100,CB,Chubb Limited
2024-12-19,271.57001,276.35999,271.57001,273.16,2274300,CB,Chubb Limited
2024-12-18,275.049988,277.82001,271.28,271.57001,2044300,CB,Chubb Limited
2024-12-17,273.040009,277.42001,272.70001,276.69,2116000,CB,Chubb Limited
2024-12-16,276.10001,277.48001,275.079987,275.72,1981900,CB,Chubb Limited
2024-12-13,275.78,277.70001,274.47,276.089996,1383900,CB,Chubb Limited
2024-12-12,277.76001,278.82999,274.66,275.38,1216600,CB,Chubb Limited
2024-12-11,274.39999,276.94,273.64001,276.22,1375100,CB,Chubb Limited
2024-12-10,277.0,277.48999,272.39001,274.60001,2130000,CB,Chubb Limited
2024-12-09,283.0,284.59,276.88,277.32001,2160200,CB,Chubb Limited
2024-12-06,286.62,287.26001,282.12,283.32001,1507300,CB,Chubb Limited
2024-12-05,286.57999,288.079987,284.13,286.62,1870200,CB,Chubb Limited
