datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,197.7,200.89,197.7,199.14,1573700,CDW,CDW
2025-01-30,198.49001,199.0099945,196.75,197.75999,1153000,CDW,CDW
2025-01-29,195.28,195.87,193.81,195.53,891000,CDW,CDW
2025-01-28,194.039993,194.94,191.74001,194.75999,1378200,CDW,CDW
2025-01-27,191.89,194.48,190.99001,194.039993,1134900,CDW,CDW
2025-01-24,198.059998,198.47,194.89,195.13,940600,CDW,CDW
2025-01-23,193.69,198.11,192.50999,197.49001,1319100,CDW,CDW
2025-01-22,191.55,194.88,191.53999,194.3,934800,CDW,CDW
2025-01-21,189.89,192.53999,189.10001,191.59,910300,CDW,CDW
2025-01-17,190.41,190.41,187.080002,188.73,963400,CDW,CDW
2025-01-16,187.089996,188.86,185.020004,187.78999,952000,CDW,CDW
2025-01-15,189.21001,191.19,186.61,187.46001,2214200,CDW,CDW
2025-01-14,181.96001,187.8,180.7,186.56,1947800,CDW,CDW
2025-01-13,182.14999,182.27,178.98,180.92,1162900,CDW,CDW
2025-01-10,179.47,183.74001,178.61,183.14,1784000,CDW,CDW
2025-01-08,179.97,181.64,176.039993,181.34,1473800,CDW,CDW
2025-01-07,179.58,183.77,179.58,180.98,1626100,CDW,CDW
2025-01-06,174.89999,180.56,174.89999,179.28999,1518700,CDW,CDW
2025-01-03,171.28999,174.62,170.10001,174.23,947600,CDW,CDW
2025-01-02,174.53,175.44,168.42999,170.029999,996400,CDW,CDW
2024-12-31,174.56,175.63,173.16,174.039993,711700,CDW,CDW
2024-12-30,174.59,174.59,171.039993,173.35001,776800,CDW,CDW
2024-12-27,176.55,177.69,174.77,175.81,639300,CDW,CDW
2024-12-26,174.28999,177.42,174.28999,177.12,944400,CDW,CDW
2024-12-24,175.5,176.38,174.23,176.34,341000,CDW,CDW
2024-12-23,173.8,175.73,173.53999,175.56,854900,CDW,CDW
2024-12-20,172.050003,176.12,172.050003,174.53,2590500,CDW,CDW
2024-12-19,171.5,174.57001,171.2,173.28,1279300,CDW,CDW
2024-12-18,177.14,178.0099945,170.67999,171.49001,1310800,CDW,CDW
2024-12-17,177.97,179.31,174.66,176.66,1443200,CDW,CDW
2024-12-16,175.89,180.92,175.0,177.78999,1197400,CDW,CDW
2024-12-13,177.2,177.53,175.49001,176.059998,1392700,CDW,CDW
2024-12-12,177.45,179.50999,176.14999,178.050003,954800,CDW,CDW
2024-12-11,180.25,180.41,175.99001,178.25,1413400,CDW,CDW
2024-12-10,181.88,182.12,176.87,179.0099945,1448500,CDW,CDW
2024-12-09,180.67,183.12,179.91,182.46001,1721100,CDW,CDW
2024-12-06,179.42999,180.77,178.32001,180.059998,970600,CDW,CDW
2024-12-05,178.8,179.58,177.22,178.3,1366100,CDW,CDW
2024-12-04,180.50999,180.78,177.69,178.28,826400,CDW,CDW
2024-12-03,179.7,180.34,177.050003,179.63,1264000,CDW,CDW
2024-12-02,175.78999,181.11,175.57001,180.62,1618200,CDW,CDW
2024-11-29,177.28,178.16,175.81,175.92999,958000,CDW,CDW
2024-11-27,177.50999,179.070007,175.75999,176.75,1655700,CDW,CDW
2024-11-26,180.74001,181.73,177.36,177.8,1792800,CDW,CDW
2024-11-25,180.94,183.0,179.78,181.34,2267200,CDW,CDW
2024-11-22,178.080002,180.0,177.27,178.96001,1573600,CDW,CDW
2024-11-21,176.45,179.28,175.42,178.17,1503600,CDW,CDW
2024-11-20,174.49001,176.17,172.95,175.99001,1317600,CDW,CDW
2024-11-19,176.24001,177.080002,173.37,174.050003,1841200,CDW,CDW
2024-11-18,178.14,180.17999,176.61,178.070007,1356400,CDW,CDW
2024-11-15,181.71001,182.17,175.94,177.63,2703500,CDW,CDW
2024-11-14,186.0099945,186.47,180.35001,180.77,2341100,CDW,CDW
2024-11-13,190.97,191.41,185.7,186.0099945,2535000,CDW,CDW
2024-11-12,196.59,196.75999,191.47,191.91,1424600,CDW,CDW
2024-11-11,199.27,199.56,197.16,197.81,1813800,CDW,CDW
2024-11-08,202.11,202.38,197.85001,199.87,936000,CDW,CDW
2024-11-07,202.35001,204.75999,202.22,202.89999,1342200,CDW,CDW
2024-11-06,201.81,204.24001,196.7,202.78999,1717000,CDW,CDW
2024-11-05,191.91,193.17999,190.77,192.99001,1205300,CDW,CDW
2024-11-04,188.75999,192.45,188.33,191.10001,1185500,CDW,CDW
2024-11-01,188.0,190.75,187.73,188.38,1502600,CDW,CDW
2024-10-31,194.58,194.58,188.12,188.23,2077300,CDW,CDW
2024-10-30,200.21001,210.97,194.48,195.059998,3020400,CDW,CDW
2024-10-29,217.7,221.38,217.5,219.89999,1922200,CDW,CDW
2024-10-28,215.37,220.50999,215.37,218.5,1216700,CDW,CDW
2024-10-25,219.89999,220.71001,216.94,217.0099945,981400,CDW,CDW
2024-10-24,218.59,220.8,217.53,219.16,550600,CDW,CDW
2024-10-23,216.12,218.42999,215.92,217.64999,608600,CDW,CDW
2024-10-22,219.11,219.11,216.45,217.080002,543500,CDW,CDW
2024-10-21,217.64999,220.72,216.37,220.35001,901700,CDW,CDW
2024-10-18,222.039993,222.17,217.97,218.31,933600,CDW,CDW
2024-10-17,222.039993,222.34,219.97,221.17999,1176500,CDW,CDW
2024-10-16,220.97,221.73,219.64,220.16,820900,CDW,CDW
2024-10-15,223.17,224.35001,219.14999,220.13,959500,CDW,CDW
2024-10-14,221.67,224.5,220.44,223.48,738000,CDW,CDW
2024-10-11,222.50999,223.2,219.25999,222.0,930900,CDW,CDW
2024-10-10,223.88,225.38,221.49001,221.69,992300,CDW,CDW
2024-10-09,223.88,226.78999,223.36,225.7,422300,CDW,CDW
2024-10-08,220.67999,224.050003,219.59,223.61,668800,CDW,CDW
2024-10-07,219.66,221.55,218.87,220.49001,416700,CDW,CDW
2024-10-04,221.75,222.41,218.53,221.69,499900,CDW,CDW
2024-10-03,217.86,220.49001,216.75,218.25999,316400,CDW,CDW
2024-10-02,217.5,220.89999,215.87,219.35001,502000,CDW,CDW
2024-10-01,223.48,223.5,215.22,217.81,1181400,CDW,CDW
2024-09-30,226.66,227.14999,223.89,226.3,517800,CDW,CDW
2024-09-27,228.78999,229.0,225.73,226.55,386800,CDW,CDW
2024-09-26,224.0099945,229.020004,223.42,228.63,1042500,CDW,CDW
2024-09-25,224.17,224.17,220.89999,221.28,506900,CDW,CDW
2024-09-24,224.059998,224.78,222.3,224.28,576900,CDW,CDW
2024-09-23,225.96001,226.19,223.17999,224.11,717500,CDW,CDW
2024-09-20,230.86,230.86,223.53,225.3,1749900,CDW,CDW
2024-09-19,226.77,228.5,223.21001,227.87,643000,CDW,CDW
2024-09-18,224.14,225.84,221.31,221.62,528100,CDW,CDW
