datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,47.78,48.26,47.165,47.57,5102400,CFG,Citizens Financial Group
2025-01-30,48.11,48.88,47.94,48.36,3827600,CFG,Citizens Financial Group
2025-01-29,47.24,48.445,47.24,47.62,3363400,CFG,Citizens Financial Group
2025-01-28,47.41,47.69,46.55,47.35,3861800,CFG,Citizens Financial Group
2025-01-27,47.45,48.040001,47.075001,47.55,2654800,CFG,Citizens Financial Group
2025-01-24,47.0099983,48.0099983,47.0099983,47.46,2317600,CFG,Citizens Financial Group
2025-01-23,47.19,47.805,47.18,47.34,3845700,CFG,Citizens Financial Group
2025-01-22,48.0099983,48.15,46.97,47.029999,4488300,CFG,Citizens Financial Group
2025-01-21,48.099998,48.69,47.82,48.31,4295400,CFG,Citizens Financial Group
2025-01-17,46.29,48.28,45.9,47.54,6399900,CFG,Citizens Financial Group
2025-01-16,46.7,47.040001,45.71,46.8,6053300,CFG,Citizens Financial Group
2025-01-15,47.28,47.505,46.54,47.080002,4279500,CFG,Citizens Financial Group
2025-01-14,44.71,45.84,44.55,45.7,4091700,CFG,Citizens Financial Group
2025-01-13,43.049999,44.2,42.962,44.16,4302000,CFG,Citizens Financial Group
2025-01-10,43.9,44.11,43.077999,43.3,4074800,CFG,Citizens Financial Group
2025-01-08,44.58,44.93,43.84,44.78,2617800,CFG,Citizens Financial Group
2025-01-07,45.07,45.49,44.3,44.7,2778600,CFG,Citizens Financial Group
2025-01-06,44.94,45.47,44.56,44.8,4662600,CFG,Citizens Financial Group
2025-01-03,43.7,44.59,42.97,44.56,2635900,CFG,Citizens Financial Group
2025-01-02,43.98,44.4,43.52,43.6,2665900,CFG,Citizens Financial Group
2024-12-31,43.68,44.115,43.46,43.76,2648600,CFG,Citizens Financial Group
2024-12-30,43.23,43.915,42.86,43.56,2580400,CFG,Citizens Financial Group
2024-12-27,43.62,44.23,43.36,43.62,2102100,CFG,Citizens Financial Group
2024-12-26,43.79,44.029999,43.52,43.9,2156300,CFG,Citizens Financial Group
2024-12-24,43.58,44.0,43.44,44.0,831800,CFG,Citizens Financial Group
2024-12-23,43.14,43.765,43.080002,43.57,2052800,CFG,Citizens Financial Group
2024-12-20,42.18,43.81,42.14,43.45,12936600,CFG,Citizens Financial Group
2024-12-19,43.66,43.91,42.13,42.45,5508900,CFG,Citizens Financial Group
2024-12-18,45.45,45.51,42.63,42.66,4574900,CFG,Citizens Financial Group
2024-12-17,45.2,45.505,44.575,44.74,3078700,CFG,Citizens Financial Group
2024-12-16,45.81,45.883,45.36,45.68,2946500,CFG,Citizens Financial Group
2024-12-13,45.74,45.89,45.2,45.7,4833000,CFG,Citizens Financial Group
2024-12-12,46.11,46.36,45.295,45.54,3878700,CFG,Citizens Financial Group
2024-12-11,46.49,46.92,46.09,46.23,6510400,CFG,Citizens Financial Group
2024-12-10,46.41,48.17,45.48,46.4,6743000,CFG,Citizens Financial Group
2024-12-09,46.95,47.040001,45.74,45.97,4429400,CFG,Citizens Financial Group
2024-12-06,46.86,47.155,46.31,47.029999,2616700,CFG,Citizens Financial Group
2024-12-05,46.83,47.42,46.64,46.77,3396200,CFG,Citizens Financial Group
2024-12-04,46.8,46.865,46.049999,46.6,2762200,CFG,Citizens Financial Group
2024-12-03,47.27,47.33,46.485,46.8,3542900,CFG,Citizens Financial Group
2024-12-02,48.14,48.23,46.88,47.080002,4491100,CFG,Citizens Financial Group
2024-11-29,48.3,48.39,47.57,48.14,1977700,CFG,Citizens Financial Group
2024-11-27,48.43,48.75,47.93,48.16,2120100,CFG,Citizens Financial Group
2024-11-26,48.3,48.58,47.98,48.099998,2582100,CFG,Citizens Financial Group
