datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,107.0,107.0,104.78,105.52,3425100,CHD,Church & Dwight
2025-01-30,107.71,107.77,106.040001,107.12,1928800,CHD,Church & Dwight
2025-01-29,107.4,107.88,106.52,106.77,1500100,CHD,Church & Dwight
2025-01-28,109.019997,109.67,107.11,107.53,1265600,CHD,Church & Dwight
2025-01-27,108.16,109.57,107.55,109.39,1552800,CHD,Church & Dwight
2025-01-24,106.23,106.68,105.29,106.25,1208400,CHD,Church & Dwight
2025-01-23,106.41,106.65,105.010002,106.29,1584200,CHD,Church & Dwight
2025-01-22,108.0,108.050003,106.19,106.7,1474300,CHD,Church & Dwight
2025-01-21,106.95,107.47,106.080002,106.66,1230000,CHD,Church & Dwight
2025-01-17,106.7,107.089996,105.95,106.47,1712800,CHD,Church & Dwight
2025-01-16,103.54,106.51,103.42,106.27,1662600,CHD,Church & Dwight
2025-01-15,105.57,105.57,102.28,103.44,1548600,CHD,Church & Dwight
2025-01-14,103.029999,105.39,102.86,105.28,2150700,CHD,Church & Dwight
2025-01-13,102.050003,102.89,100.99,102.86,2021400,CHD,Church & Dwight
2025-01-10,101.46,102.7,100.86,101.42,1537800,CHD,Church & Dwight
2025-01-08,102.63,102.97,101.85,102.57,1608700,CHD,Church & Dwight
2025-01-07,102.24,102.96,102.019997,102.8,1658500,CHD,Church & Dwight
2025-01-06,103.78,104.54,101.52,101.67,1515500,CHD,Church & Dwight
2025-01-03,103.98,105.099998,103.080002,104.64,1094300,CHD,Church & Dwight
2025-01-02,105.080002,105.16,103.64,103.84,1231100,CHD,Church & Dwight
2024-12-31,104.88,105.42,104.32,104.71,814600,CHD,Church & Dwight
2024-12-30,105.39,105.67,104.010002,104.62,733500,CHD,Church & Dwight
2024-12-27,105.91,107.31,105.67,105.94,762500,CHD,Church & Dwight
2024-12-26,105.97,107.029999,105.82,106.74,656700,CHD,Church & Dwight
2024-12-24,105.3,106.53,105.040001,106.46,369300,CHD,Church & Dwight
2024-12-23,106.099998,106.46,104.78,105.43,814000,CHD,Church & Dwight
2024-12-20,105.84,106.57,104.95,106.099998,3432000,CHD,Church & Dwight
2024-12-19,105.5,106.51,104.79,105.85,1991200,CHD,Church & Dwight
2024-12-18,105.3,106.76,104.81,105.86,2221700,CHD,Church & Dwight
2024-12-17,105.5,107.029999,105.21,105.8,1407500,CHD,Church & Dwight
2024-12-16,105.67,107.34,105.67,105.82,1463900,CHD,Church & Dwight
2024-12-13,105.52,105.9,104.98,105.64,927000,CHD,Church & Dwight
2024-12-12,106.46,107.16,105.29,105.41,996400,CHD,Church & Dwight
2024-12-11,107.37,109.13,105.45,105.58,1211300,CHD,Church & Dwight
2024-12-10,105.89,107.38,105.48,107.059998,1604800,CHD,Church & Dwight
2024-12-09,107.0,107.07,105.58,105.89,1474400,CHD,Church & Dwight
2024-12-06,109.040001,109.92,107.11,107.21,1818900,CHD,Church & Dwight
2024-12-05,109.43,110.81,109.0,109.16,1836200,CHD,Church & Dwight
2024-12-04,109.25,110.0,108.41,109.89,1058900,CHD,Church & Dwight
2024-12-03,111.29,111.48,109.69,109.96,1055500,CHD,Church & Dwight
2024-12-02,110.88,113.44,110.0,111.24,2076300,CHD,Church & Dwight
2024-11-29,109.92,110.58,109.35,110.13,965200,CHD,Church & Dwight
2024-11-27,110.93,111.71,110.059998,110.36,1054000,CHD,Church & Dwight
2024-11-26,110.91,111.23,109.62,110.38,1254600,CHD,Church & Dwight
2024-11-25,112.44,113.0,110.25,110.41,2535600,CHD,Church & Dwight
2024-11-22,112.94,113.5,111.75,111.9,1712400,CHD,Church & Dwight
2024-11-21,111.84,112.85,110.91,112.25,1808300,CHD,Church & Dwight
2024-11-20,110.9,111.75,110.32,111.29,2195500,CHD,Church & Dwight
2024-11-19,110.080002,111.45,109.81,110.92,1648600,CHD,Church & Dwight
2024-11-18,108.7,110.41,108.31,110.29,1361700,CHD,Church & Dwight
2024-11-15,107.9,109.52,107.16,109.019997,1951800,CHD,Church & Dwight
2024-11-14,107.050003,108.5,106.63,107.88,1263300,CHD,Church & Dwight
2024-11-13,108.13,108.39,107.099998,107.26,1160800,CHD,Church & Dwight
2024-11-12,108.0,108.68,107.21,107.99,1542400,CHD,Church & Dwight
2024-11-11,106.57,107.89,106.29,107.71,1575900,CHD,Church & Dwight
2024-11-08,104.62,106.97,104.22,106.45,1421500,CHD,Church & Dwight
2024-11-07,103.63,104.63,102.49,103.91,1442400,CHD,Church & Dwight
2024-11-06,105.38,106.19,102.65,103.21,3047900,CHD,Church & Dwight
2024-11-05,102.81,104.16,102.56,104.14,1587000,CHD,Church & Dwight
2024-11-04,103.83,105.31,102.5,102.96,2407600,CHD,Church & Dwight
2024-11-01,105.75,106.029999,102.91,104.75,2960200,CHD,Church & Dwight
2024-10-31,100.38,101.53,99.83,99.91,2716600,CHD,Church & Dwight
2024-10-30,100.59,100.88,100.099998,100.52,1298500,CHD,Church & Dwight
2024-10-29,100.69,101.43,100.18,100.63,1378000,CHD,Church & Dwight
2024-10-28,101.3,101.59,100.54,101.050003,1737000,CHD,Church & Dwight
2024-10-25,102.19,102.79,100.51,100.84,1159800,CHD,Church & Dwight
2024-10-24,103.019997,103.38,102.23,102.62,1044300,CHD,Church & Dwight
2024-10-23,102.56,102.73,101.65,102.56,891400,CHD,Church & Dwight
2024-10-22,103.019997,103.6,101.84,102.69,1183000,CHD,Church & Dwight
2024-10-21,104.16,104.78,103.31,103.91,939700,CHD,Church & Dwight
