datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,158.7,160.19,158.039993,158.67999,1765700,CLX,Clorox
2025-01-30,159.31,161.10001,157.89,160.45,1142500,CLX,Clorox
2025-01-29,157.99001,158.72,156.38,157.81,1041900,CLX,Clorox
2025-01-28,161.81,162.3,159.080002,159.5,1257100,CLX,Clorox
2025-01-27,162.10001,164.22,161.78999,162.50999,1244200,CLX,Clorox
2025-01-24,161.22,161.31,158.88,159.27,948400,CLX,Clorox
2025-01-23,158.83,161.17,158.21001,160.82001,963400,CLX,Clorox
2025-01-22,161.87,161.87,158.7,158.73,920700,CLX,Clorox
2025-01-21,161.37,162.10001,159.32001,159.99001,1560600,CLX,Clorox
2025-01-17,160.11,161.45,159.92,160.28,937600,CLX,Clorox
2025-01-16,157.96001,160.83,157.83,160.47,871200,CLX,Clorox
2025-01-15,159.39,160.0,157.33,158.3,602200,CLX,Clorox
2025-01-14,157.95,159.39,157.67,159.029999,733000,CLX,Clorox
2025-01-13,158.13,158.37,156.28,157.47,1051100,CLX,Clorox
2025-01-10,158.99001,159.59,157.12,157.57001,874400,CLX,Clorox
2025-01-08,159.7,161.089996,159.0099945,160.63,1051300,CLX,Clorox
2025-01-07,158.14999,160.14,158.14999,159.7,1246300,CLX,Clorox
2025-01-06,161.25999,161.72,156.75,157.59,1745200,CLX,Clorox
2025-01-03,162.41,163.12,160.44,162.89,671200,CLX,Clorox
2025-01-02,162.39,163.11,161.5,161.83,714300,CLX,Clorox
2024-12-31,161.55,162.63,161.37,162.41,814700,CLX,Clorox
2024-12-30,162.55,162.55,160.35001,161.42,765400,CLX,Clorox
2024-12-27,163.41,164.41,162.22,163.0,596100,CLX,Clorox
2024-12-26,163.0,164.39,162.96001,163.97,601100,CLX,Clorox
2024-12-24,163.0,163.53999,162.14,163.42999,399400,CLX,Clorox
2024-12-23,164.0,164.020004,160.88,163.089996,766100,CLX,Clorox
2024-12-20,164.45,165.0,162.92,164.44,4020600,CLX,Clorox
2024-12-19,160.92999,164.97,160.36,164.13,1364400,CLX,Clorox
2024-12-18,162.73,163.16,160.56,161.72,1257600,CLX,Clorox
2024-12-17,163.67999,165.12,163.020004,163.32001,1095300,CLX,Clorox
2024-12-16,164.92,166.35001,164.089996,164.41,1349100,CLX,Clorox
2024-12-13,164.95,165.95,163.88,164.89999,753000,CLX,Clorox
2024-12-12,165.69,165.99001,163.94,164.64999,1028300,CLX,Clorox
2024-12-11,168.039993,169.14999,164.35001,164.66,1240500,CLX,Clorox
2024-12-10,167.039993,169.61,166.089996,167.66,979200,CLX,Clorox
2024-12-09,166.25,168.47,165.88,167.39999,1157700,CLX,Clorox
2024-12-06,169.67,171.37,166.83,166.97,1217100,CLX,Clorox
2024-12-05,168.0,170.17999,167.59,169.74001,1073500,CLX,Clorox
2024-12-04,166.11,167.56,165.13,167.53,837500,CLX,Clorox
2024-12-03,166.14,168.38,165.14999,167.13,1035100,CLX,Clorox
2024-12-02,167.17,167.17,164.84,166.53999,890400,CLX,Clorox
2024-11-29,166.39,167.48,166.020004,167.17,465400,CLX,Clorox
2024-11-27,168.14,168.5,166.52,167.14999,1131100,CLX,Clorox
2024-11-26,166.78999,167.88,165.64999,167.35001,944700,CLX,Clorox
2024-11-25,170.0,171.11,165.71001,166.32001,1697600,CLX,Clorox
2024-11-22,169.97,171.35001,169.020004,169.3,995100,CLX,Clorox
2024-11-21,168.35001,169.21001,166.75999,169.14999,1218100,CLX,Clorox
2024-11-20,168.10001,168.37,166.72,168.050003,1139000,CLX,Clorox
2024-11-19,168.45,169.11,167.27,168.14,1384000,CLX,Clorox
2024-11-18,167.41,169.21001,167.050003,169.10001,1364000,CLX,Clorox
2024-11-15,166.32001,168.59,165.74001,167.64,1361600,CLX,Clorox
2024-11-14,165.36,166.11,164.8,165.75,775000,CLX,Clorox
2024-11-13,164.81,166.020004,164.53999,165.36,878400,CLX,Clorox
2024-11-12,165.96001,166.2,163.58,164.78999,1404200,CLX,Clorox
2024-11-11,165.0,167.58,164.74001,165.050003,1297600,CLX,Clorox
2024-11-08,163.11,165.92,162.96001,165.16,1276200,CLX,Clorox
2024-11-07,162.88,164.029999,161.74001,162.77,994700,CLX,Clorox
2024-11-06,165.13,166.62,162.5,162.7,1731100,CLX,Clorox
2024-11-05,161.25999,162.83,160.64,162.42,1160000,CLX,Clorox
2024-11-04,163.34,164.029999,162.029999,162.48,1352000,CLX,Clorox
2024-11-01,159.14,163.46001,158.75999,163.11,2296100,CLX,Clorox
2024-10-31,161.83,163.82001,158.31,158.55,3622700,CLX,Clorox
2024-10-30,156.42,157.67,155.28,156.50999,2047700,CLX,Clorox
2024-10-29,156.62,157.92,156.22,156.83,1342200,CLX,Clorox
2024-10-28,157.89,158.92,157.020004,157.72,1062700,CLX,Clorox
2024-10-25,158.82001,158.82001,156.5,156.69,1040100,CLX,Clorox
2024-10-24,159.020004,159.3,158.24001,158.98,971600,CLX,Clorox
2024-10-23,157.17999,159.33,157.10001,159.020004,941200,CLX,Clorox
2024-10-22,159.16,159.98,158.029999,159.17,871700,CLX,Clorox
2024-10-21,161.96001,162.17999,160.059998,160.39,791000,CLX,Clorox
2024-10-18,162.17999,162.44,160.7,161.96001,682800,CLX,Clorox
2024-10-17,163.42,163.86,162.22,162.61,664100,CLX,Clorox
2024-10-16,161.82001,163.57001,161.60001,163.42999,722400,CLX,Clorox
2024-10-15,162.53999,164.10001,162.11,163.34,1076400,CLX,Clorox
2024-10-14,160.62,161.74001,160.0,161.50999,991400,CLX,Clorox
2024-10-11,158.86,160.57001,158.39,160.3,864000,CLX,Clorox
2024-10-10,159.57001,159.92999,157.55,158.050003,884800,CLX,Clorox
2024-10-09,160.5,160.5,158.60001,159.53,1042200,CLX,Clorox
2024-10-08,159.48,160.45,157.039993,159.78999,924200,CLX,Clorox
2024-10-07,161.49001,161.49001,159.66,160.60001,687400,CLX,Clorox
2024-10-04,160.5,162.029999,159.72,161.57001,798300,CLX,Clorox
2024-10-03,164.0,164.69,161.17999,161.37,1166700,CLX,Clorox
2024-10-02,165.050003,165.49001,163.029999,164.7,849800,CLX,Clorox
2024-10-01,166.0,167.23,163.78999,165.32001,1596500,CLX,Clorox
2024-09-30,163.64,164.31,161.84,162.91,909500,CLX,Clorox
2024-09-27,161.89,164.070007,161.60001,163.42,646200,CLX,Clorox
2024-09-26,162.25,163.78,160.64999,161.91,1426800,CLX,Clorox
2024-09-25,165.48,166.0,162.71001,162.97,1180300,CLX,Clorox
2024-09-24,165.0,166.7,164.28999,164.59,860700,CLX,Clorox
2024-09-23,162.59,165.72,161.66,164.84,951300,CLX,Clorox
2024-09-20,161.95,164.37,161.5,163.33,2749800,CLX,Clorox
2024-09-19,163.28999,163.5,161.28,162.039993,1400900,CLX,Clorox
2024-09-18,164.69,165.61,161.75,163.47,868100,CLX,Clorox
2024-09-17,164.74001,165.96001,164.42999,164.69,820700,CLX,Clorox
2024-09-16,167.5,169.089996,165.45,165.95,870200,CLX,Clorox
2024-09-13,164.92,166.49001,164.69,166.27,1036600,CLX,Clorox
2024-09-12,163.31,165.059998,162.13,164.97,872700,CLX,Clorox
2024-09-11,166.36,166.36,162.28,163.99001,1029700,CLX,Clorox
2024-09-10,165.19,167.75,164.45,166.97,1123900,CLX,Clorox
2024-09-09,164.16,166.46001,163.58,165.2,1409300,CLX,Clorox
2024-09-06,165.020004,166.49001,164.58,164.75,1567600,CLX,Clorox
2024-09-05,164.5,165.71001,163.58,164.82001,1790900,CLX,Clorox
2024-09-04,161.0,164.39999,160.39999,164.17999,1492900,CLX,Clorox
2024-09-03,159.92,162.67,159.59,161.12,1691400,CLX,Clorox
2024-08-30,157.25999,159.050003,157.25999,158.31,1252400,CLX,Clorox
2024-08-29,155.95,157.91,154.78999,157.25999,919900,CLX,Clorox
2024-08-28,157.2,157.67,154.78999,155.44,1376700,CLX,Clorox
2024-08-27,155.22,157.10001,154.44,156.49001,937500,CLX,Clorox
2024-08-26,153.12,155.22,152.82001,155.12,1316500,CLX,Clorox
2024-08-23,151.0,153.5,150.67999,153.059998,943900,CLX,Clorox
2024-08-22,151.33,151.73,150.66,151.12,1102600,CLX,Clorox
2024-08-21,151.99001,152.46001,150.14999,150.62,845200,CLX,Clorox
2024-08-20,149.080002,151.83,148.78999,151.34,1565300,CLX,Clorox
2024-08-19,145.64999,149.48,145.64999,149.17999,1511900,CLX,Clorox
2024-08-16,145.81,146.77,145.33,145.39999,926100,CLX,Clorox
2024-08-15,145.0,146.0,143.25,145.92999,1183300,CLX,Clorox
2024-08-14,142.48,144.84,141.85001,144.52,836000,CLX,Clorox
2024-08-13,142.020004,143.71001,141.080002,143.63,1056900,CLX,Clorox
2024-08-12,142.56,142.83,140.95,141.78999,1043900,CLX,Clorox
2024-08-09,143.58,143.98,141.28999,143.029999,1101000,CLX,Clorox
2024-08-08,143.25,145.21001,142.86,144.33,871100,CLX,Clorox
2024-08-07,143.23,146.82001,143.23,143.8,1457600,CLX,Clorox
2024-08-06,142.96001,144.10001,141.62,143.23,1973700,CLX,Clorox
2024-08-05,143.92,145.58,141.88,142.67,2074500,CLX,Clorox
2024-08-02,142.0,145.0,138.85001,144.089996,2901900,CLX,Clorox
2024-08-01,132.60001,135.17,130.95,134.14,2627200,CLX,Clorox
2024-07-31,132.50999,133.11,130.53999,131.92999,1764400,CLX,Clorox
2024-07-30,131.89999,132.34,129.19,131.73,1516400,CLX,Clorox
2024-07-29,134.42,135.12,132.12,133.89,1584600,CLX,Clorox
2024-07-26,134.059998,135.3,133.46001,134.61,1452800,CLX,Clorox
2024-07-25,133.14,135.38,132.99001,133.35001,1083500,CLX,Clorox
2024-07-24,132.66,133.75999,131.56,132.8,767600,CLX,Clorox
2024-07-23,132.38,132.89,131.33,132.56,1075300,CLX,Clorox
2024-07-22,135.5,135.84,130.37,133.029999,1498500,CLX,Clorox
2024-07-19,137.66,137.66,134.64999,135.14,827000,CLX,Clorox
2024-07-18,136.98,138.8,136.17,136.31,906300,CLX,Clorox
2024-07-17,136.059998,137.59,135.82001,137.2,1170300,CLX,Clorox
2024-07-16,134.13,136.35001,134.11,135.86,1012700,CLX,Clorox
2024-07-15,136.029999,136.23,134.059998,134.14999,931500,CLX,Clorox
2024-07-12,135.55,137.28999,135.55,136.39999,734700,CLX,Clorox
2024-07-11,135.0,136.070007,134.25,134.84,1053100,CLX,Clorox
2024-07-10,131.8,134.75,131.77,134.67999,1190100,CLX,Clorox
2024-07-09,132.12,132.27,131.37,131.85001,1109900,CLX,Clorox
2024-07-08,133.3,133.72,131.75,132.85001,1105000,CLX,Clorox
2024-07-05,132.46001,133.42,131.10001,133.22,1029200,CLX,Clorox
2024-07-03,133.55,134.23,132.39,132.46001,548500,CLX,Clorox
2024-07-02,134.46001,134.7,133.25,133.55,903100,CLX,Clorox
2024-07-01,136.98,137.63,133.8,134.24001,890000,CLX,Clorox
2024-06-28,136.16,137.17,135.92999,136.47,1667400,CLX,Clorox
2024-06-27,135.11,137.28999,134.82001,136.60001,979500,CLX,Clorox
2024-06-26,133.3,136.41,133.13,135.28999,1187100,CLX,Clorox
2024-06-25,137.0,137.31,134.039993,134.37,1025800,CLX,Clorox
2024-06-24,135.8,137.86,135.42999,136.12,1452300,CLX,Clorox
2024-06-21,136.32001,137.48,135.46001,136.64,4436400,CLX,Clorox
2024-06-20,138.10001,138.78,135.42999,135.74001,1873700,CLX,Clorox
2024-06-18,137.89999,138.88,136.73,138.63,1155300,CLX,Clorox
2024-06-17,133.22,138.53999,133.22,137.96001,1944600,CLX,Clorox
2024-06-14,132.23,133.85001,131.39999,133.7,638300,CLX,Clorox
2024-06-13,131.39999,133.37,130.91,132.81,999600,CLX,Clorox
2024-06-12,132.55,132.55,130.53,130.95,976300,CLX,Clorox
2024-06-11,131.53,132.39999,129.75999,132.22,736300,CLX,Clorox
2024-06-10,131.87,132.17,129.91,131.72,1029700,CLX,Clorox
2024-06-07,132.24001,134.0,132.24001,132.97,1147400,CLX,Clorox
2024-06-06,131.5,133.070007,131.33,132.44,775200,CLX,Clorox
2024-06-05,132.2,132.33,130.84,131.84,812100,CLX,Clorox
2024-06-04,131.50999,133.32001,131.029999,132.45,1015200,CLX,Clorox
2024-06-03,131.070007,133.080002,130.49001,131.10001,1050600,CLX,Clorox
2024-05-31,129.14,131.63,128.78999,131.56,1858700,CLX,Clorox
2024-05-30,128.63,129.19,127.77,129.020004,964500,CLX,Clorox
2024-05-29,128.33,128.74001,127.6,128.21001,1386200,CLX,Clorox
2024-05-28,131.0099945,131.5,128.55,128.87,1254500,CLX,Clorox
2024-05-24,131.67999,131.96001,130.85001,131.53,805700,CLX,Clorox
2024-05-23,133.27,133.52,131.029999,131.28999,1125000,CLX,Clorox
2024-05-22,133.95,134.55,133.35001,134.039993,788300,CLX,Clorox
2024-05-21,134.95,135.57001,133.59,134.36,1600600,CLX,Clorox
2024-05-20,135.50999,135.87,134.75999,134.83,1099500,CLX,Clorox
2024-05-17,137.17,137.17,134.91,135.62,1300000,CLX,Clorox
2024-05-16,138.91,139.10001,136.89,136.97,1414700,CLX,Clorox
2024-05-15,138.5,139.19,137.83,138.41,1288500,CLX,Clorox
2024-05-14,141.17999,141.69,137.86,138.55,1263600,CLX,Clorox
2024-05-13,143.46001,144.070007,141.17,141.28,737600,CLX,Clorox
2024-05-10,141.3,143.71001,141.3,143.35001,1239800,CLX,Clorox
2024-05-09,140.74001,142.070007,140.32001,141.56,816400,CLX,Clorox
2024-05-08,141.89,142.41,140.14999,140.42,1169200,CLX,Clorox
2024-05-07,140.0099945,141.60001,139.5,141.17,1154400,CLX,Clorox
2024-05-06,138.8,139.46001,137.41,139.28,1254200,CLX,Clorox
2024-05-03,139.5,139.98,138.19,138.23,2036200,CLX,Clorox
2024-05-02,139.77,141.19,138.17999,139.67,2055400,CLX,Clorox
2024-05-01,139.84,142.17999,136.64999,139.63,4389600,CLX,Clorox
2024-04-30,148.7,148.7,146.60001,147.87,1784800,CLX,Clorox
2024-04-29,146.72,148.97,146.72,148.92,1659900,CLX,Clorox
2024-04-26,147.27,148.5,146.27,146.48,1191800,CLX,Clorox
2024-04-25,147.7,148.69,147.0,147.5,1147200,CLX,Clorox
2024-04-24,145.28,148.33,144.95,147.78,1102000,CLX,Clorox
2024-04-23,145.14,146.60001,144.22,145.97,1443900,CLX,Clorox
2024-04-22,144.39,145.86,142.89999,145.14,1293900,CLX,Clorox
2024-04-19,142.55,143.61,141.39999,143.55,1110500,CLX,Clorox
2024-04-18,143.020004,143.44,142.31,143.2,760100,CLX,Clorox
2024-04-17,142.48,142.91,140.71001,142.34,839200,CLX,Clorox
2024-04-16,140.8,142.88,140.72,142.48,1053200,CLX,Clorox
2024-04-15,142.87,143.14999,139.67999,140.53,1100600,CLX,Clorox
2024-04-12,144.23,144.53999,141.78999,141.98,702400,CLX,Clorox
2024-04-11,145.21001,146.17,143.92999,144.8,850300,CLX,Clorox
2024-04-10,143.5,144.96001,142.64,144.37,1014500,CLX,Clorox
2024-04-09,144.34,144.64,143.080002,144.020004,1461000,CLX,Clorox
2024-04-08,145.42,147.17,144.31,144.35001,1074500,CLX,Clorox
2024-04-05,145.91,146.78999,144.42999,145.94,740100,CLX,Clorox
2024-04-04,147.53999,147.97,146.029999,146.55,977800,CLX,Clorox
2024-04-03,148.25999,148.45,145.89,146.83,1194500,CLX,Clorox
2024-04-02,150.0,151.050003,148.41,148.71001,1226600,CLX,Clorox
2024-04-01,152.67999,152.84,151.0,151.64999,919300,CLX,Clorox
2024-03-28,153.59,153.87,152.24001,153.11,1137000,CLX,Clorox
2024-03-27,151.33,152.91,151.23,152.74001,998200,CLX,Clorox
2024-03-26,151.53,152.050003,149.87,149.92999,1165800,CLX,Clorox
2024-03-25,150.89,152.74001,149.85001,150.52,1266000,CLX,Clorox
2024-03-22,146.74001,151.0099945,145.7,150.75,2051500,CLX,Clorox
2024-03-21,150.0,150.0,146.42999,147.66,2069400,CLX,Clorox
2024-03-20,153.59,153.78999,150.22,150.49001,1372900,CLX,Clorox
2024-03-19,149.13,153.69,149.13,153.59,1213200,CLX,Clorox
2024-03-18,149.8,150.67,148.63,148.85001,1531000,CLX,Clorox
2024-03-15,150.039993,151.32001,149.89,150.16,1903500,CLX,Clorox
2024-03-14,155.87,156.25999,150.88,151.66,1299800,CLX,Clorox
2024-03-13,157.46001,157.86,156.14,156.60001,964800,CLX,Clorox
2024-03-12,155.44,157.059998,155.089996,157.029999,785000,CLX,Clorox
2024-03-11,156.0,157.16,154.92,155.53999,646200,CLX,Clorox
2024-03-08,153.99001,156.28999,153.42,155.66,894500,CLX,Clorox
2024-03-07,151.37,153.88,151.3,153.77,1066700,CLX,Clorox
2024-03-06,149.89999,151.44,149.34,150.53,880700,CLX,Clorox
2024-03-05,151.11,151.46001,149.32001,149.89999,1126100,CLX,Clorox
2024-03-04,151.62,152.35001,150.89999,150.94,1172100,CLX,Clorox
