datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,235.28,237.089996,233.66,236.52,1981700,CME,CME Group
2025-01-30,233.74001,239.35001,233.12,235.92,1586500,CME,CME Group
2025-01-29,233.19,234.23,232.32001,232.5,1640400,CME,CME Group
2025-01-28,235.46001,236.47,233.64999,234.39,1468900,CME,CME Group
2025-01-27,235.86,237.89,234.53999,236.95,1941000,CME,CME Group
2025-01-24,233.82001,236.17,233.48,234.67999,1644600,CME,CME Group
2025-01-23,232.53,234.39,230.96001,233.38,2396800,CME,CME Group
2025-01-22,232.080002,232.73,230.8,232.53,1684700,CME,CME Group
2025-01-21,232.89,234.28,230.19,232.25,2041400,CME,CME Group
2025-01-17,233.28,235.75,232.10001,232.71001,1908700,CME,CME Group
2025-01-16,228.23,232.47,227.89,232.31,1572600,CME,CME Group
2025-01-15,232.17,233.039993,225.47,227.88,2703600,CME,CME Group
2025-01-14,228.44,231.94,228.35001,231.73,1427800,CME,CME Group
2025-01-13,228.75,230.55,228.25999,229.45,1650000,CME,CME Group
2025-01-10,228.92999,229.89,226.92,229.2,2739700,CME,CME Group
2025-01-08,227.62,229.41,226.28,229.3,2002500,CME,CME Group
2025-01-07,226.67,228.050003,224.62,227.0099945,2121000,CME,CME Group
2025-01-06,229.35001,231.0099945,225.42999,225.82001,2297600,CME,CME Group
2025-01-03,231.64,232.75999,230.49001,232.5,1597900,CME,CME Group
2025-01-02,232.49001,234.14,231.81,232.72,2246600,CME,CME Group
2024-12-31,232.72,233.16,231.62,232.23,1041900,CME,CME Group
2024-12-30,232.75999,233.50999,231.19,231.53,1224500,CME,CME Group
2024-12-27,231.71001,234.8,231.71001,233.5,1384000,CME,CME Group
2024-12-26,238.47,239.63,238.24001,239.21001,1174700,CME,CME Group
2024-12-24,238.070007,239.56,238.020004,239.47,478400,CME,CME Group
2024-12-23,238.0,238.58,235.81,238.0099945,1620100,CME,CME Group
2024-12-20,237.0,240.31,235.60001,238.53,3172400,CME,CME Group
2024-12-19,236.83,240.21001,236.59,236.82001,2854300,CME,CME Group
2024-12-18,235.12,239.78999,235.0,237.080002,2864900,CME,CME Group
2024-12-17,236.080002,236.7,234.059998,235.99001,1612900,CME,CME Group
2024-12-16,237.85001,238.60001,235.27,235.92,1841000,CME,CME Group
2024-12-13,235.27,237.5,234.080002,237.19,1810600,CME,CME Group
2024-12-12,235.71001,236.8,234.33,235.95,1695600,CME,CME Group
2024-12-11,238.16,239.19,234.16,234.3,3689300,CME,CME Group
2024-12-10,236.0,240.25,234.94,239.19,2164600,CME,CME Group
2024-12-09,239.039993,240.0,234.89,236.72,2125300,CME,CME Group
2024-12-06,244.8,245.16,239.28999,239.38,3162400,CME,CME Group
2024-12-05,245.67999,249.020004,241.57001,246.020004,3253000,CME,CME Group
2024-12-04,240.45,243.55,238.96001,243.0,5096000,CME,CME Group
2024-12-03,236.89999,241.5,236.24001,240.73,3600900,CME,CME Group
2024-12-02,238.19,238.78,234.86,235.61,2683700,CME,CME Group
2024-11-29,237.46001,238.97,235.89999,238.0,1161300,CME,CME Group
2024-11-27,235.17999,238.12,234.22,237.33,2129100,CME,CME Group
2024-11-26,229.77,235.17999,229.080002,234.39,2752800,CME,CME Group
2024-11-25,229.98,229.98,227.0099945,229.37,3149000,CME,CME Group
2024-11-22,227.5,229.94,226.91,229.039993,3050400,CME,CME Group
2024-11-21,229.17999,229.17999,226.020004,226.56,1864200,CME,CME Group
2024-11-20,230.53999,230.59,226.2,228.0,2114000,CME,CME Group
2024-11-19,226.77,230.74001,225.69,229.66,1971900,CME,CME Group
2024-11-18,225.47,228.25999,225.020004,227.56,1347200,CME,CME Group
