datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,66.21,66.51,65.83,66.0,1812400,CMS,CMS Energy
2025-01-30,66.51,66.51,65.51,66.2,2674100,CMS,CMS Energy
2025-01-29,65.76,66.29,65.71,65.77,2044000,CMS,CMS Energy
2025-01-28,67.099998,67.13,65.35,65.61,3195400,CMS,CMS Energy
2025-01-27,66.56,67.56,65.47,67.19,3877100,CMS,CMS Energy
2025-01-24,65.71,66.26,65.55,65.82,2215700,CMS,CMS Energy
2025-01-23,66.53,66.88,65.099998,65.86,3509600,CMS,CMS Energy
2025-01-22,67.95,68.080002,66.42,66.6,2536900,CMS,CMS Energy
2025-01-21,68.65,68.94,68.2,68.3,1786000,CMS,CMS Energy
2025-01-17,67.84,68.68,67.61,68.080002,1922900,CMS,CMS Energy
2025-01-16,66.49,68.019997,66.45,68.019997,1983200,CMS,CMS Energy
2025-01-15,66.59,66.83,65.8,66.61,2119700,CMS,CMS Energy
2025-01-14,64.94,65.9,64.41,65.56,1741600,CMS,CMS Energy
2025-01-13,65.23,65.23,63.97,64.99,2183000,CMS,CMS Energy
2025-01-10,65.99,66.48,64.97,65.089996,2559600,CMS,CMS Energy
2025-01-08,65.43,66.41,65.34,66.3,1323900,CMS,CMS Energy
2025-01-07,65.4,66.24,65.37,65.71,1579500,CMS,CMS Energy
2025-01-06,66.42,66.59,65.27,65.42,1009700,CMS,CMS Energy
2025-01-03,66.47,66.93,66.34,66.61,1267100,CMS,CMS Energy
2025-01-02,67.27,67.46,66.38,66.53,1297400,CMS,CMS Energy
2024-12-31,66.84,67.11,66.22,66.65,1086600,CMS,CMS Energy
2024-12-30,66.82,66.82,66.099998,66.63,1678700,CMS,CMS Energy
2024-12-27,66.61,67.48,66.6,67.059998,889100,CMS,CMS Energy
2024-12-26,66.68,67.13,66.54,66.95,867600,CMS,CMS Energy
2024-12-24,66.47,66.83,66.44,66.82,800700,CMS,CMS Energy
2024-12-23,66.32,66.69,66.029999,66.67,1334600,CMS,CMS Energy
2024-12-22,66.32,66.69,66.029999,66.67,1334653,CMS,CMS Energy
2024-12-20,65.85,66.82,65.65,66.61,3507800,CMS,CMS Energy
2024-12-19,65.66,66.42,65.47,65.76,2152300,CMS,CMS Energy
2024-12-18,66.94,67.15,65.82,65.85,2044700,CMS,CMS Energy
2024-12-17,66.31,67.71,66.24,67.040001,2998200,CMS,CMS Energy
2024-12-16,66.31,67.71,66.24,67.040001,2998175,CMS,CMS Energy
2024-12-13,67.029999,67.88,66.83,67.32,1946600,CMS,CMS Energy
2024-12-12,67.2,67.54,66.68,67.029999,1706000,CMS,CMS Energy
2024-12-11,67.71,67.92,66.63,66.82,2187200,CMS,CMS Energy
2024-12-10,67.65,67.97,66.44,67.66,2626400,CMS,CMS Energy
2024-12-09,67.17,67.79,66.7,67.65,2827200,CMS,CMS Energy
2024-12-06,67.53,67.55,66.68,67.17,3485100,CMS,CMS Energy
2024-12-05,67.41,68.050003,67.28,67.38,3652000,CMS,CMS Energy
2024-12-04,68.2,68.31,67.14,67.5,2913300,CMS,CMS Energy
2024-12-03,68.94,69.07,68.24,68.25,1939200,CMS,CMS Energy
2024-12-02,69.69,69.91,68.34,68.4,1406700,CMS,CMS Energy
2024-11-29,70.45,70.62,69.59,69.71,1354100,CMS,CMS Energy
2024-11-27,70.86,71.35,70.36,70.49,1763400,CMS,CMS Energy
2024-11-26,69.82,70.49,69.45,70.45,2265700,CMS,CMS Energy
2024-11-25,69.65,70.18,69.11,69.67,2644300,CMS,CMS Energy
2024-11-22,69.36,69.72,69.2,69.52,1311000,CMS,CMS Energy
2024-11-21,68.74,69.26,68.27,69.21,1512400,CMS,CMS Energy
2024-11-20,68.41,68.89,68.37,68.52,2111300,CMS,CMS Energy
2024-11-19,68.23,68.68,67.71,68.57,2688300,CMS,CMS Energy
2024-11-18,68.21,69.019997,68.0,68.5,2284200,CMS,CMS Energy
2024-11-15,67.2,68.3,67.2,68.23,2677400,CMS,CMS Energy
2024-11-14,67.87,68.07,67.2,67.41,1911800,CMS,CMS Energy
2024-11-13,67.99,68.11,67.18,67.69,2203700,CMS,CMS Energy
2024-11-12,68.41,68.72,67.86,68.099998,1982500,CMS,CMS Energy
2024-11-11,67.25,68.83,67.2,68.6,1981700,CMS,CMS Energy
2024-11-08,66.84,67.9,66.65,67.25,2759900,CMS,CMS Energy
2024-11-07,67.91,68.050003,65.089996,66.36,5889100,CMS,CMS Energy
2024-11-06,69.010002,69.099998,67.56,67.86,2929800,CMS,CMS Energy
2024-11-05,68.58,69.12,68.24,69.11,1519800,CMS,CMS Energy
2024-11-04,68.46,68.58,67.54,68.39,3611200,CMS,CMS Energy
2024-11-01,69.81,69.94,68.080002,68.3,2807400,CMS,CMS Energy
2024-10-31,70.13,70.52,69.089996,69.61,2128400,CMS,CMS Energy
2024-10-30,69.98,70.13,69.48,70.11,1966500,CMS,CMS Energy
2024-10-29,70.56,70.68,69.47,69.52,1729300,CMS,CMS Energy
2024-10-28,71.35,71.43,71.029999,71.16,1272000,CMS,CMS Energy
2024-10-25,72.099998,72.24,70.72,70.76,1475600,CMS,CMS Energy
2024-10-24,72.3,72.4,71.61,71.77,1236900,CMS,CMS Energy
2024-10-23,71.019997,72.12,70.95,72.099998,2296500,CMS,CMS Energy
2024-10-22,70.97,71.089996,70.51,71.029999,1307100,CMS,CMS Energy
2024-10-21,71.33,71.51,70.88,71.17,982100,CMS,CMS Energy
2024-10-18,71.010002,71.53,70.69,71.29,1706900,CMS,CMS Energy
2024-10-17,70.99,71.3,70.78,71.010002,1344800,CMS,CMS Energy
2024-10-16,70.35,71.32,70.27,71.17,1739000,CMS,CMS Energy
2024-10-15,70.49,71.21,70.18,70.3,1648000,CMS,CMS Energy
2024-10-14,69.47,69.99,69.27,69.87,1329600,CMS,CMS Energy
2024-10-11,69.39,69.66,68.99,69.34,2277600,CMS,CMS Energy
2024-10-10,69.71,70.07,68.96,69.14,1487800,CMS,CMS Energy
2024-10-09,69.79,70.23,69.36,69.62,1364800,CMS,CMS Energy
2024-10-08,70.31,70.43,69.88,69.97,1591600,CMS,CMS Energy
2024-10-07,71.089996,71.089996,69.67,69.77,3017300,CMS,CMS Energy
2024-10-04,70.55,71.3,70.080002,71.22,2218400,CMS,CMS Energy
2024-10-03,71.22,71.57,70.89,71.14,1284200,CMS,CMS Energy
2024-10-02,70.45,71.31,70.31,71.25,3910900,CMS,CMS Energy
2024-10-01,70.59,71.48,70.3,71.050003,1993300,CMS,CMS Energy
2024-09-30,70.81,70.81,70.099998,70.63,2546600,CMS,CMS Energy
2024-09-27,70.050003,71.019997,70.050003,70.43,1508700,CMS,CMS Energy
2024-09-26,69.62,70.4,69.53,69.95,1467100,CMS,CMS Energy
2024-09-25,70.4,70.48,69.36,69.83,1829000,CMS,CMS Energy
2024-09-24,69.7,70.95,69.7,70.080002,2503000,CMS,CMS Energy
2024-09-23,70.26,70.53,69.73,70.29,2406500,CMS,CMS Energy
2024-09-20,69.36,69.96,69.15,69.84,4018900,CMS,CMS Energy
2024-09-19,69.54,69.68,68.83,69.23,2268900,CMS,CMS Energy
2024-09-18,70.21,70.53,69.35,70.0,1506200,CMS,CMS Energy
2024-09-17,70.27,70.74,70.2,70.26,2166500,CMS,CMS Energy
2024-09-16,70.48,70.64,70.089996,70.48,4142200,CMS,CMS Energy
2024-09-13,69.41,70.12,69.32,70.089996,1304700,CMS,CMS Energy
2024-09-12,69.23,69.58,68.94,69.31,1714000,CMS,CMS Energy
2024-09-11,69.32,69.39,68.6,69.23,2272800,CMS,CMS Energy
2024-09-10,69.18,69.69,69.089996,69.51,2632400,CMS,CMS Energy
2024-09-09,68.0,69.24,67.85,69.12,2466300,CMS,CMS Energy
2024-09-06,68.49,68.78,67.96,68.010002,1748100,CMS,CMS Energy
2024-09-05,69.64,69.66,67.63,68.31,4366500,CMS,CMS Energy
2024-09-04,68.97,69.57,68.71,69.16,1603300,CMS,CMS Energy
2024-09-03,67.94,69.099998,67.77,68.68,2004600,CMS,CMS Energy
2024-08-30,67.78,68.07,67.41,67.86,1826700,CMS,CMS Energy
2024-08-29,67.42,67.69,66.86,67.67,1625000,CMS,CMS Energy
2024-08-28,67.75,68.080002,67.36,67.41,1675900,CMS,CMS Energy
2024-08-27,67.55,67.67,67.28,67.45,1915800,CMS,CMS Energy
2024-08-26,67.39,67.97,67.32,67.71,1249100,CMS,CMS Energy
