datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,97.88,97.95,96.4,96.55,1156000,COO,Cooper Companies (The)
2025-01-30,98.11,99.54,97.98,98.099998,951400,COO,Cooper Companies (The)
2025-01-29,97.79,98.72,97.48,98.0,819100,COO,Cooper Companies (The)
2025-01-28,98.82,99.79,97.71,98.5,858100,COO,Cooper Companies (The)
2025-01-27,97.74,100.24,97.74,99.45,2079000,COO,Cooper Companies (The)
2025-01-24,94.95,98.57,94.95,97.7,2270000,COO,Cooper Companies (The)
2025-01-23,95.089996,95.86,94.019997,95.68,983000,COO,Cooper Companies (The)
2025-01-22,95.35,96.33,94.62,95.18,1377700,COO,Cooper Companies (The)
2025-01-21,93.53,95.81,93.51,95.35,1674800,COO,Cooper Companies (The)
2025-01-17,92.68,93.82,92.29,93.27,1951000,COO,Cooper Companies (The)
2025-01-16,90.27,92.56,90.22,92.040001,1384200,COO,Cooper Companies (The)
2025-01-15,90.62,91.27,89.77,90.68,1897200,COO,Cooper Companies (The)
2025-01-14,91.099998,91.46,88.63,89.11,1855000,COO,Cooper Companies (The)
2025-01-13,90.12,92.040001,89.07,91.28,1729300,COO,Cooper Companies (The)
2025-01-10,90.77,91.71,89.43,90.31,1945200,COO,Cooper Companies (The)
2025-01-08,92.36,92.61,91.41,91.88,1107700,COO,Cooper Companies (The)
2025-01-07,92.86,94.85,92.34,92.69,1127800,COO,Cooper Companies (The)
2025-01-06,91.79,93.38,91.74,93.010002,1231700,COO,Cooper Companies (The)
2025-01-03,90.69,91.91,90.43,91.79,764600,COO,Cooper Companies (The)
2025-01-02,92.57,92.62,90.36,90.66,976200,COO,Cooper Companies (The)
2024-12-31,91.54,92.57,91.23,91.93,817500,COO,Cooper Companies (The)
2024-12-30,92.080002,92.96,91.059998,91.43,835600,COO,Cooper Companies (The)
2024-12-27,91.85,92.81,91.7,92.34,671800,COO,Cooper Companies (The)
2024-12-26,92.26,92.69,91.94,92.61,775200,COO,Cooper Companies (The)
2024-12-24,92.2,92.81,91.39,92.81,451200,COO,Cooper Companies (The)
2024-12-23,92.72,93.44,91.91,92.52,990600,COO,Cooper Companies (The)
2024-12-20,92.42,94.71,92.28,93.44,2784900,COO,Cooper Companies (The)
2024-12-19,92.35,92.72,91.22,91.93,1639300,COO,Cooper Companies (The)
2024-12-18,94.43,94.92,92.27,92.39,1550900,COO,Cooper Companies (The)
2024-12-17,93.79,96.089996,93.42,94.49,1956000,COO,Cooper Companies (The)
2024-12-16,94.76,96.14,93.85,93.98,1963200,COO,Cooper Companies (The)
2024-12-13,96.41,96.73,94.78,94.85,1779800,COO,Cooper Companies (The)
2024-12-12,99.41,99.41,96.63,96.72,1731900,COO,Cooper Companies (The)
2024-12-11,99.35,100.47,98.58,99.28,1186700,COO,Cooper Companies (The)
2024-12-10,99.6,100.080002,97.87,99.080002,1574500,COO,Cooper Companies (The)
2024-12-09,98.6,100.37,98.6,99.26,1724700,COO,Cooper Companies (The)
2024-12-06,99.39,101.53,97.24,98.7,3694000,COO,Cooper Companies (The)
2024-12-05,103.57,104.47,103.019997,103.23,1850100,COO,Cooper Companies (The)
2024-12-04,103.45,106.63,102.8,104.98,2071300,COO,Cooper Companies (The)
2024-12-03,102.74,104.0,101.4,103.29,1308100,COO,Cooper Companies (The)
2024-12-02,104.13,104.86,102.75,103.0,1777200,COO,Cooper Companies (The)
2024-11-29,103.48,104.71,103.34,104.46,740300,COO,Cooper Companies (The)
2024-11-27,102.019997,103.55,101.78,103.43,1536000,COO,Cooper Companies (The)
2024-11-26,102.75,103.49,101.089996,102.64,1312100,COO,Cooper Companies (The)
2024-11-25,101.76,103.32,101.47,102.4,3223600,COO,Cooper Companies (The)
2024-11-22,99.95,101.19,99.5,100.8,1140400,COO,Cooper Companies (The)
2024-11-21,99.080002,100.040001,98.13,99.91,992400,COO,Cooper Companies (The)
2024-11-20,98.7,99.19,97.98,99.080002,898900,COO,Cooper Companies (The)
