datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,166.070007,167.089996,164.38,164.75999,623000,CRL,Charles River Laboratories
2025-01-30,164.0,166.2,161.69,165.57001,896100,CRL,Charles River Laboratories
2025-01-29,163.0,163.0,159.64999,161.64,560900,CRL,Charles River Laboratories
2025-01-28,167.47,167.47,163.16,163.64,533900,CRL,Charles River Laboratories
2025-01-27,166.55,168.55,164.92,165.84,875400,CRL,Charles River Laboratories
2025-01-24,167.91,168.14999,164.71001,164.97,836500,CRL,Charles River Laboratories
2025-01-23,168.89999,169.0099945,164.020004,166.86,970900,CRL,Charles River Laboratories
2025-01-22,167.87,170.83,166.82001,168.22,952600,CRL,Charles River Laboratories
2025-01-21,165.28,171.75,165.0,169.81,1356600,CRL,Charles River Laboratories
2025-01-17,165.41,167.5,163.070007,163.5,1146600,CRL,Charles River Laboratories
2025-01-16,168.62,168.62,160.85001,165.8,2606400,CRL,Charles River Laboratories
2025-01-15,180.5,182.25,173.81,173.91,1212600,CRL,Charles River Laboratories
2025-01-14,179.87,185.0,175.61,178.080002,1867900,CRL,Charles River Laboratories
2025-01-13,186.34,190.67999,184.5,190.14,670600,CRL,Charles River Laboratories
2025-01-10,183.97,188.25999,183.97,186.12,911500,CRL,Charles River Laboratories
2025-01-08,189.21001,189.49001,184.32001,187.91,493200,CRL,Charles River Laboratories
2025-01-07,190.86,193.56,187.98,189.75999,807200,CRL,Charles River Laboratories
2025-01-06,187.63,192.97,186.14,189.53999,652100,CRL,Charles River Laboratories
2025-01-03,183.39,187.10001,181.17999,185.8,408900,CRL,Charles River Laboratories
2025-01-02,186.92,187.32001,181.31,182.64,485400,CRL,Charles River Laboratories
2024-12-31,184.39999,185.98,183.28999,184.60001,322000,CRL,Charles River Laboratories
2024-12-30,184.34,185.10001,180.7,183.42,509200,CRL,Charles River Laboratories
2024-12-27,185.67,188.32001,184.75999,186.16,514700,CRL,Charles River Laboratories
2024-12-26,184.89,187.17999,183.72,186.64999,382800,CRL,Charles River Laboratories
2024-12-24,185.11,186.47,184.46001,186.28999,231500,CRL,Charles River Laboratories
2024-12-23,185.12,186.75,184.5,185.39,520100,CRL,Charles River Laboratories
2024-12-20,181.53999,188.039993,181.28999,185.77,1139300,CRL,Charles River Laboratories
2024-12-19,183.2,185.050003,180.21001,182.14999,624400,CRL,Charles River Laboratories
2024-12-18,190.25999,191.61,182.92,183.16,670600,CRL,Charles River Laboratories
2024-12-17,188.56,199.45,188.56,189.33,578900,CRL,Charles River Laboratories
2024-12-16,189.72,193.82001,188.99001,190.070007,727800,CRL,Charles River Laboratories
2024-12-13,194.17,194.17,188.31,190.46001,547300,CRL,Charles River Laboratories
2024-12-12,192.35001,195.36,191.3,194.27,520500,CRL,Charles River Laboratories
2024-12-11,198.47,200.10001,193.0,193.55,424600,CRL,Charles River Laboratories
2024-12-10,202.72,202.72,196.5,197.050003,415500,CRL,Charles River Laboratories
2024-12-09,192.77,202.57001,192.74001,201.75,630100,CRL,Charles River Laboratories
2024-12-06,193.8,195.37,190.14999,191.81,624500,CRL,Charles River Laboratories
2024-12-05,198.28999,198.83,191.42999,191.53999,469200,CRL,Charles River Laboratories
2024-12-04,199.67,201.42,198.31,199.35001,436600,CRL,Charles River Laboratories
2024-12-03,200.17,201.12,196.61,199.3,458600,CRL,Charles River Laboratories
2024-12-02,200.0,203.0099945,198.67,201.25,630300,CRL,Charles River Laboratories
2024-11-29,200.73,201.28999,198.25,199.059998,287800,CRL,Charles River Laboratories
2024-11-27,200.050003,202.56,198.23,199.59,249500,CRL,Charles River Laboratories
2024-11-26,198.75,200.2,194.050003,197.75,430800,CRL,Charles River Laboratories
2024-11-25,198.56,202.87,198.17999,201.3,612700,CRL,Charles River Laboratories
2024-11-22,194.38,198.17999,193.25999,195.77,575700,CRL,Charles River Laboratories
2024-11-21,189.2,194.88,186.62,194.19,502300,CRL,Charles River Laboratories
2024-11-20,186.53999,188.32001,183.55,187.89999,648100,CRL,Charles River Laboratories
2024-11-19,185.84,188.38,183.91,186.10001,714400,CRL,Charles River Laboratories
2024-11-18,185.28,187.92999,183.58,187.5,780000,CRL,Charles River Laboratories
2024-11-15,195.42,196.0,183.35001,187.74001,1499000,CRL,Charles River Laboratories
2024-11-14,206.5,208.10001,195.97,196.89999,974400,CRL,Charles River Laboratories
2024-11-13,216.12,217.75,205.55,206.53999,982000,CRL,Charles River Laboratories
2024-11-12,220.0,221.60001,213.35001,215.94,756300,CRL,Charles River Laboratories
2024-11-11,217.67,222.10001,217.0,220.69,774700,CRL,Charles River Laboratories
2024-11-08,210.28999,216.14999,208.52,215.39,625700,CRL,Charles River Laboratories
2024-11-07,215.75,217.60001,209.97,210.28999,852700,CRL,Charles River Laboratories
