datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,32.85,33.4,32.77,32.87,21654200,CSX,CSX Corporation
2025-01-30,32.94,33.19,32.64,32.86,12090300,CSX,CSX Corporation
2025-01-29,32.94,33.185,32.635,32.86,12090302,CSX,CSX Corporation
2025-01-28,33.35,33.68,32.65,32.68,14548500,CSX,CSX Corporation
2025-01-27,32.85,33.83,32.57,33.64,20309300,CSX,CSX Corporation
2025-01-24,32.049999,33.02,32.0,32.69,25130400,CSX,CSX Corporation
2025-01-23,33.88,34.099998,33.48,33.67,17405700,CSX,CSX Corporation
2025-01-22,33.22,33.5,33.049999,33.24,13745500,CSX,CSX Corporation
2025-01-21,33.02,33.28,32.78,33.27,9344400,CSX,CSX Corporation
2025-01-17,33.36,33.39,32.66,32.73,20686000,CSX,CSX Corporation
2025-01-16,32.33,32.98,32.02,32.97,21673200,CSX,CSX Corporation
2025-01-15,32.68,32.73,32.43,32.46,13694300,CSX,CSX Corporation
2025-01-14,32.0099983,32.19,31.92,32.14,12878100,CSX,CSX Corporation
2025-01-13,31.66,31.97,31.53,31.89,16634100,CSX,CSX Corporation
2025-01-10,31.93,32.14,31.71,31.78,13644200,CSX,CSX Corporation
2025-01-08,32.2,32.31,31.88,32.2,9683000,CSX,CSX Corporation
2025-01-07,32.0099983,32.41,31.96,32.19,12813800,CSX,CSX Corporation
2025-01-06,32.27,32.49,31.97,32.0,13508600,CSX,CSX Corporation
2025-01-03,32.4,32.51,32.12,32.34,17511800,CSX,CSX Corporation
2025-01-02,32.55,32.68,32.07,32.16,13995700,CSX,CSX Corporation
2024-12-31,32.22,32.4,32.18,32.27,8424300,CSX,CSX Corporation
2024-12-30,32.27,32.34,31.92,32.15,6598900,CSX,CSX Corporation
2024-12-27,32.2,32.68,32.13,32.46,10431500,CSX,CSX Corporation
2024-12-26,32.44,32.57,32.33,32.52,6745200,CSX,CSX Corporation
2024-12-24,32.24,32.61,32.17,32.57,4777600,CSX,CSX Corporation
2024-12-23,31.69,32.28,31.65,32.22,11998500,CSX,CSX Corporation
2024-12-20,31.46,32.2,31.43,31.85,20229200,CSX,CSX Corporation
2024-12-19,32.12,32.46,31.56,31.58,11035000,CSX,CSX Corporation
2024-12-18,32.81,33.060001,32.040001,32.080002,15794300,CSX,CSX Corporation
2024-12-17,32.78,33.15,32.69,32.93,12487700,CSX,CSX Corporation
2024-12-16,33.25,33.33,32.86,32.94,12673000,CSX,CSX Corporation
2024-12-13,33.59,33.74,33.23,33.24,10139300,CSX,CSX Corporation
2024-12-12,33.67,33.93,33.52,33.68,9636000,CSX,CSX Corporation
