datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,71.080002,72.14,70.36,70.74,1715100,DAY,Dayforce
2025-01-30,71.58,72.21,69.88,70.57,1151500,DAY,Dayforce
2025-01-29,73.9,74.029999,71.39,71.4,1056500,DAY,Dayforce
2025-01-28,72.37,75.14,72.0,74.080002,2073600,DAY,Dayforce
2025-01-27,70.26,74.25,70.245,72.35,2209600,DAY,Dayforce
2025-01-24,70.0,71.42,69.8,71.019997,978400,DAY,Dayforce
2025-01-23,69.5,70.14,69.265,70.0,1356300,DAY,Dayforce
2025-01-22,69.56,70.17,69.0,69.9,1523600,DAY,Dayforce
2025-01-21,70.12,70.5,68.47,69.59,2383000,DAY,Dayforce
2025-01-17,71.27,71.27,69.52,69.62,1450900,DAY,Dayforce
2025-01-16,70.059998,70.7,69.42,70.18,1541100,DAY,Dayforce
2025-01-15,71.33,72.27,69.99,70.23,2142600,DAY,Dayforce
2025-01-14,70.69,71.28,69.79,70.5,1380400,DAY,Dayforce
2025-01-13,69.67,70.69,69.39,70.42,985200,DAY,Dayforce
2025-01-10,69.0,70.52,68.82,70.29,1158000,DAY,Dayforce
2025-01-08,69.97,70.43,69.010002,70.13,1701500,DAY,Dayforce
2025-01-07,73.92,73.98,70.89,71.23,900300,DAY,Dayforce
2025-01-06,72.97,74.66,72.735,73.74,1302800,DAY,Dayforce
2025-01-03,71.95,72.72,71.425,72.52,983600,DAY,Dayforce
2025-01-02,73.48,73.49,70.71,71.39,1233800,DAY,Dayforce
2024-12-31,72.91,73.23,72.33,72.64,616400,DAY,Dayforce
2024-12-30,72.81,73.165,71.44,72.49,623300,DAY,Dayforce
2024-12-27,73.29,74.33,72.71,73.72,835900,DAY,Dayforce
2024-12-26,73.95,74.72,73.525,74.15,695600,DAY,Dayforce
2024-12-24,73.96,74.39,73.7,74.23,435000,DAY,Dayforce
2024-12-23,74.64,74.64,73.53,73.99,717300,DAY,Dayforce
2024-12-20,73.52,75.8,73.52,74.84,3719100,DAY,Dayforce
2024-12-19,74.26,75.25,72.34,74.0,1912100,DAY,Dayforce
2024-12-18,77.31,77.52,73.28,73.59,1538600,DAY,Dayforce
2024-12-17,76.98,78.029999,76.725,77.46,1298000,DAY,Dayforce
2024-12-16,77.12,78.059998,76.92,77.39,1462300,DAY,Dayforce
2024-12-13,77.29,77.98,76.67,77.17,1284300,DAY,Dayforce
2024-12-12,77.99,78.5,77.059998,77.53,822500,DAY,Dayforce
2024-12-11,78.45,79.13,78.055,78.29,820300,DAY,Dayforce
2024-12-10,79.0,79.33,77.41,77.95,1216600,DAY,Dayforce
2024-12-09,78.8,79.63,78.43,79.23,1235200,DAY,Dayforce
2024-12-06,77.96,79.18,77.585,78.56,1225100,DAY,Dayforce
2024-12-05,80.94,80.975,77.19,77.21,2301900,DAY,Dayforce
2024-12-04,81.010002,81.93,80.49,80.71,1243900,DAY,Dayforce
2024-12-03,80.94,81.61,79.68,80.49,1076000,DAY,Dayforce
2024-12-02,80.099998,81.9,79.7,81.39,1308800,DAY,Dayforce
2024-11-29,80.0,80.5,79.58,79.99,798700,DAY,Dayforce
2024-11-27,79.76,80.23,78.39,79.87,1509900,DAY,Dayforce
2024-11-26,81.0,81.68,79.39,79.68,5322400,DAY,Dayforce
2024-11-25,80.93,82.69,80.21,81.8,2987500,DAY,Dayforce
2024-11-22,78.7,80.19,78.23,79.79,1101300,DAY,Dayforce
2024-11-21,76.11,78.73,76.074997,78.7,1166100,DAY,Dayforce
2024-11-20,74.63,76.29,73.94,75.91,956600,DAY,Dayforce
2024-11-19,73.050003,75.080002,72.436,74.76,1042700,DAY,Dayforce
2024-11-18,74.64,75.13,74.089996,74.65,1154300,DAY,Dayforce
2024-11-15,76.26,76.93,74.49,74.56,1342400,DAY,Dayforce
2024-11-14,77.0,78.29,76.42,76.74,1355700,DAY,Dayforce
2024-11-13,79.23,79.885,76.84,77.17,2209100,DAY,Dayforce
2024-11-12,79.35,80.4,75.87,78.96,3026200,DAY,Dayforce
2024-11-11,81.32,81.325,78.88,79.66,1907400,DAY,Dayforce
2024-11-08,80.24,81.2,79.76,81.14,1328400,DAY,Dayforce
2024-11-07,80.88,81.12,79.080002,80.63,1669300,DAY,Dayforce
2024-11-06,78.77,81.019997,78.065002,80.95,2323100,DAY,Dayforce
2024-11-05,75.47,77.25,75.059998,77.16,1854600,DAY,Dayforce
2024-11-04,75.37,76.3,74.87,75.4,2910800,DAY,Dayforce
2024-11-01,70.73,75.41,70.7,75.23,2843400,DAY,Dayforce
2024-10-31,69.51,72.29,69.325,70.95,2869500,DAY,Dayforce
2024-10-30,63.0,71.58,61.51,70.080002,4397600,DAY,Dayforce
2024-10-29,65.25,65.54,64.35,65.32,2875300,DAY,Dayforce
2024-10-28,65.38,66.089996,65.029999,65.11,1433500,DAY,Dayforce
2024-10-25,65.44,66.059998,64.58,64.84,1134900,DAY,Dayforce
2024-10-24,64.9,65.84,64.665,65.059998,872600,DAY,Dayforce
2024-10-23,64.23,65.115,63.98,64.86,866400,DAY,Dayforce
2024-10-22,64.79,65.62,64.24,64.74,1099500,DAY,Dayforce
2024-10-21,64.86,65.53,64.47,64.79,971600,DAY,Dayforce
2024-10-18,64.080002,65.25,63.85,65.0,1259600,DAY,Dayforce
2024-10-17,63.97,64.38,63.02,63.89,750300,DAY,Dayforce
2024-10-16,64.14,64.54,63.64,63.96,892400,DAY,Dayforce
2024-10-15,63.37,64.63,63.37,63.96,1678400,DAY,Dayforce
2024-10-14,62.92,63.67,62.13,63.44,637100,DAY,Dayforce
2024-10-11,62.17,63.049999,61.95,61.97,825200,DAY,Dayforce
2024-10-10,61.33,62.5,60.6,62.38,664500,DAY,Dayforce
2024-10-09,60.94,61.95,60.61,61.84,782800,DAY,Dayforce
2024-10-08,61.0,61.105,60.35,60.5,917700,DAY,Dayforce
2024-10-07,61.69,61.77,60.26,60.7,862500,DAY,Dayforce
2024-10-04,62.5,62.5,61.27,61.86,755000,DAY,Dayforce
2024-10-03,61.13,62.19,61.13,61.59,1231000,DAY,Dayforce
2024-10-02,60.65,61.92,60.25,61.76,1553900,DAY,Dayforce
2024-10-01,61.099998,61.41,59.15,60.8,1743900,DAY,Dayforce
2024-09-30,59.93,61.65,59.92,61.25,1514700,DAY,Dayforce
2024-09-27,59.4,60.46,58.94,60.2,1732700,DAY,Dayforce
2024-09-26,59.58,59.755,58.47,58.79,1693000,DAY,Dayforce
2024-09-25,60.28,60.28,58.45,58.49,990500,DAY,Dayforce
2024-09-24,60.19,60.96,59.7,60.41,1147200,DAY,Dayforce
2024-09-23,59.18,59.89,58.405,59.2,1159900,DAY,Dayforce
2024-09-20,59.35,59.35,58.12,58.91,3216100,DAY,Dayforce
2024-09-19,60.0,60.0099983,59.11,59.64,1416200,DAY,Dayforce
2024-09-18,59.11,60.02,58.89,59.18,1471200,DAY,Dayforce
2024-09-17,59.95,60.22,58.63,58.99,900900,DAY,Dayforce
2024-09-16,60.060001,60.485,59.064999,59.6,1207300,DAY,Dayforce
2024-09-13,59.07,60.29,58.995,59.41,1088500,DAY,Dayforce
2024-09-12,58.16,58.92,57.5,58.76,1001700,DAY,Dayforce
2024-09-11,57.07,58.07,55.81,57.9,1346700,DAY,Dayforce
2024-09-10,57.12,57.6,55.65,57.47,915000,DAY,Dayforce
2024-09-09,54.72,57.58,54.12,56.81,1470700,DAY,Dayforce
2024-09-06,54.22,54.72,53.2,54.47,1084800,DAY,Dayforce
2024-09-05,54.69,55.81,54.040001,54.19,1380400,DAY,Dayforce
2024-09-04,55.32,56.71,54.65,54.76,987000,DAY,Dayforce
2024-09-03,56.82,57.22,54.945,55.54,1317800,DAY,Dayforce
2024-08-30,58.19,58.78,55.82,57.17,2444100,DAY,Dayforce
2024-08-29,57.81,58.48,57.22,58.029999,866600,DAY,Dayforce
2024-08-28,58.54,58.72,56.41,57.07,927700,DAY,Dayforce
2024-08-27,58.41,58.979,57.56,58.55,959300,DAY,Dayforce
2024-08-26,57.66,59.33,57.185,59.0,1788500,DAY,Dayforce
2024-08-23,55.63,57.039001,55.27,56.75,1143900,DAY,Dayforce
2024-08-22,54.85,55.34,54.62,55.09,1299300,DAY,Dayforce
2024-08-21,54.99,55.105,54.060001,54.66,707300,DAY,Dayforce
2024-08-20,55.42,55.7,54.54,54.73,1247400,DAY,Dayforce
2024-08-19,55.46,56.060001,55.19,55.57,1476100,DAY,Dayforce
2024-08-16,55.28,55.95,54.65,55.4,869200,DAY,Dayforce
2024-08-15,55.0099983,56.060001,55.0099983,55.5,1158400,DAY,Dayforce
2024-08-14,52.9,54.32,52.62,54.060001,1262900,DAY,Dayforce
2024-08-13,51.65,53.375,51.425,52.95,1445100,DAY,Dayforce
2024-08-12,53.13,53.18,50.82,51.080002,1908600,DAY,Dayforce
2024-08-09,53.77,53.89,52.5,53.060001,1214800,DAY,Dayforce
2024-08-08,52.75,54.09,52.35,53.78,1179100,DAY,Dayforce
2024-08-07,53.46,54.45,52.060001,52.13,1600900,DAY,Dayforce
2024-08-06,53.060001,54.55,52.35,52.49,1605100,DAY,Dayforce
2024-08-05,51.17,54.289,50.69,52.96,2957600,DAY,Dayforce
2024-08-02,55.68,55.68,52.82,53.23,3320300,DAY,Dayforce
2024-08-01,58.99,60.57,56.25,56.56,3075900,DAY,Dayforce
2024-07-31,56.14,60.88,55.23,59.28,5397300,DAY,Dayforce
2024-07-30,53.59,54.34,52.595,53.68,2365300,DAY,Dayforce
2024-07-29,52.14,53.79,51.6,53.53,1699600,DAY,Dayforce
2024-07-26,52.24,52.63,51.7,52.11,1113200,DAY,Dayforce
2024-07-25,51.76,53.37,51.14,51.8,2537200,DAY,Dayforce
2024-07-24,53.0,53.52,51.22,51.29,1576900,DAY,Dayforce
2024-07-23,53.19,53.98,52.99,53.12,1912100,DAY,Dayforce
2024-07-22,53.6,54.0,52.09,53.71,2262100,DAY,Dayforce
2024-07-19,53.54,53.58,51.69,53.34,1728500,DAY,Dayforce
2024-07-18,55.52,56.36,52.905,53.23,3890200,DAY,Dayforce
2024-07-17,55.26,55.93,54.44,55.61,1932500,DAY,Dayforce
2024-07-16,53.81,55.77,53.81,55.61,1609300,DAY,Dayforce
2024-07-15,53.38,54.39,52.68,53.9,1407700,DAY,Dayforce
2024-07-12,51.61,53.25,51.24,53.02,1600700,DAY,Dayforce
2024-07-11,49.78,51.725,49.23,51.040001,2873200,DAY,Dayforce
2024-07-10,48.43,49.27,48.21,48.99,1538700,DAY,Dayforce
2024-07-09,48.14,48.835,47.080002,48.32,2738200,DAY,Dayforce
2024-07-08,50.86,51.19,48.19,48.46,2207900,DAY,Dayforce
2024-07-05,51.26,51.315,50.705,50.84,1555300,DAY,Dayforce
2024-07-03,50.89,52.36,50.57,51.26,1248800,DAY,Dayforce
2024-07-02,50.45,50.92,49.63,50.75,1760300,DAY,Dayforce
2024-07-01,49.53,51.15,49.31,50.33,1838600,DAY,Dayforce
2024-06-28,49.77,49.97,49.040001,49.6,2695700,DAY,Dayforce
2024-06-27,49.96,50.080002,49.16,49.7,2050400,DAY,Dayforce
2024-06-26,49.57,50.48,49.09,49.9,1730900,DAY,Dayforce
2024-06-25,50.21,50.21,49.28,49.7,1629700,DAY,Dayforce
2024-06-24,49.52,50.77,49.4,50.21,1582900,DAY,Dayforce
2024-06-21,50.029999,50.28,49.0050011,50.17,3497400,DAY,Dayforce
2024-06-20,49.02,50.5,48.65,49.86,1932900,DAY,Dayforce
2024-06-18,49.96,50.53,49.13,49.16,1501600,DAY,Dayforce
2024-06-17,50.54,51.48,49.7,50.02,1855300,DAY,Dayforce
2024-06-14,50.94,51.28,50.029999,50.49,1013400,DAY,Dayforce
2024-06-13,52.42,52.73,50.87,51.02,1770800,DAY,Dayforce
2024-06-12,51.7,52.89,51.7,52.34,1730700,DAY,Dayforce
2024-06-11,50.81,51.36,49.95,50.93,1375100,DAY,Dayforce
2024-06-10,51.0,51.31,49.32,50.68,1836000,DAY,Dayforce
2024-06-07,51.47,52.9,50.93,51.53,2065400,DAY,Dayforce
2024-06-06,49.8,51.735,48.77,51.66,2399700,DAY,Dayforce
2024-06-05,49.95,50.029999,48.87,49.52,1250200,DAY,Dayforce
2024-06-04,49.59,50.38,49.27,49.77,1343900,DAY,Dayforce
2024-06-03,50.0,50.12,48.86,49.71,2322000,DAY,Dayforce
2024-05-31,50.19,50.29,49.049999,49.46,3324900,DAY,Dayforce
2024-05-30,52.68,52.71,50.2,50.39,2886800,DAY,Dayforce
2024-05-29,53.51,54.26,53.049999,53.14,1536400,DAY,Dayforce
2024-05-28,56.2,56.35,54.049999,54.18,2454400,DAY,Dayforce
2024-05-24,60.36,60.63,55.7,56.16,2816400,DAY,Dayforce
2024-05-23,63.42,63.42,60.78,60.8,1136600,DAY,Dayforce
2024-05-22,61.19,63.16,61.080002,63.040001,1276600,DAY,Dayforce
2024-05-21,62.0,62.275,60.78,61.049999,1313900,DAY,Dayforce
2024-05-20,63.63,63.63,61.975,62.3,1364200,DAY,Dayforce
2024-05-17,62.86,63.39,62.22,63.33,1131700,DAY,Dayforce
2024-05-16,62.67,63.049999,61.8,62.5,1320300,DAY,Dayforce
2024-05-15,62.81,63.18,62.060001,62.6,1904600,DAY,Dayforce
2024-05-14,62.0,62.7,61.31,62.099998,1808100,DAY,Dayforce
2024-05-13,61.0,61.9,60.752,61.85,1984900,DAY,Dayforce
2024-05-10,59.35,60.71,59.35,60.7,1730400,DAY,Dayforce
2024-05-09,58.84,59.18,58.44,59.15,1237000,DAY,Dayforce
2024-05-08,58.85,59.32,58.48,58.96,1832900,DAY,Dayforce
2024-05-07,58.34,59.65,57.57,59.18,1050300,DAY,Dayforce
2024-05-06,57.8,59.0099983,57.41,58.17,1072500,DAY,Dayforce
2024-05-03,58.9,59.56,57.0099983,57.29,1725000,DAY,Dayforce
2024-05-02,57.82,58.24,54.25,57.73,3299300,DAY,Dayforce
2024-05-01,59.52,60.5,54.84,57.69,5034500,DAY,Dayforce
2024-04-30,62.23,62.425,60.58,61.37,3024200,DAY,Dayforce
2024-04-29,61.21,62.84,61.040001,61.98,1640800,DAY,Dayforce
2024-04-26,59.87,61.099998,59.741,60.98,984100,DAY,Dayforce
2024-04-25,59.049999,60.28,58.485,59.58,1197900,DAY,Dayforce
2024-04-24,59.33,59.74,58.07,59.7,1613500,DAY,Dayforce
2024-04-23,58.94,59.39,58.45,59.28,1394700,DAY,Dayforce
2024-04-22,59.32,59.45,58.19,58.95,1458700,DAY,Dayforce
