datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,76.47,77.029999,76.25,76.8,2729500,DD,DuPont
2025-01-30,76.54,76.84,75.96,76.66,2303900,DD,DuPont
2025-01-29,76.089996,77.010002,75.86,76.48,1650500,DD,DuPont
2025-01-28,76.57,76.8,76.0,76.33,1629400,DD,DuPont
2025-01-27,77.0,77.38,75.15,76.66,3105400,DD,DuPont
2025-01-24,78.43,78.49,77.15,77.36,1581900,DD,DuPont
2025-01-23,77.72,78.22,77.42,78.21,1559300,DD,DuPont
2025-01-22,78.24,78.61,77.53,77.62,1599400,DD,DuPont
2025-01-21,78.040001,78.72,77.95,78.46,1860200,DD,DuPont
2025-01-17,77.26,78.33,77.089996,77.47,3241400,DD,DuPont
2025-01-16,76.5,76.69,75.080002,76.66,2322700,DD,DuPont
2025-01-15,76.4,76.77,75.8,76.24,1981200,DD,DuPont
2025-01-14,74.8,75.74,74.25,75.28,2899800,DD,DuPont
2025-01-13,72.78,74.45,72.4,74.43,2302300,DD,DuPont
2025-01-10,73.64,73.85,72.43,72.7,2879000,DD,DuPont
2025-01-08,74.81,74.83,73.91,74.45,2297900,DD,DuPont
2025-01-07,75.5,76.23,74.6,75.080002,2585200,DD,DuPont
2025-01-06,75.28,76.16,74.76,75.26,2808600,DD,DuPont
2025-01-03,75.73,75.79,74.38,74.75,2511100,DD,DuPont
2025-01-02,76.65,76.88,75.39,75.43,2192100,DD,DuPont
2024-12-31,76.19,76.64,75.79,76.25,1254700,DD,DuPont
2024-12-30,76.029999,76.34,75.46,75.95,1479700,DD,DuPont
2024-12-27,76.75,77.57,76.16,76.63,1389800,DD,DuPont
2024-12-26,76.82,77.5,76.73,77.24,973600,DD,DuPont
2024-12-24,76.82,77.44,76.57,77.25,545500,DD,DuPont
2024-12-23,76.98,77.25,76.38,76.88,2108100,DD,DuPont
2024-12-20,76.47,77.91,76.47,77.28,4854300,DD,DuPont
2024-12-19,78.11,78.4,76.81,76.85,2332400,DD,DuPont
2024-12-18,80.31,80.61,77.51,77.62,2080200,DD,DuPont
2024-12-17,79.93,80.77,79.68,80.13,1707800,DD,DuPont
2024-12-16,80.5,81.16,79.88,80.07,2307100,DD,DuPont
2024-12-13,81.099998,81.52,80.52,80.84,1364000,DD,DuPont
2024-12-12,81.94,82.22,81.32,81.56,1128700,DD,DuPont
2024-12-11,82.040001,82.31,81.39,81.93,1638900,DD,DuPont
2024-12-10,83.11,83.54,81.75,82.080002,1713600,DD,DuPont
2024-12-09,83.93,85.12,83.44,83.54,3144900,DD,DuPont
2024-12-06,81.9,82.9,81.64,82.82,2789600,DD,DuPont
2024-12-05,82.45,82.63,81.53,81.74,1741000,DD,DuPont
2024-12-04,82.79,82.79,81.66,82.52,2088500,DD,DuPont
2024-12-03,84.0,84.19,82.88,82.94,2250500,DD,DuPont
2024-12-02,83.94,84.089996,82.98,83.72,1625600,DD,DuPont
2024-11-29,83.21,84.029999,83.11,83.59,1162700,DD,DuPont
2024-11-27,83.8,84.74,83.61,83.9,1628400,DD,DuPont
2024-11-26,84.099998,84.39,83.42,83.84,2347200,DD,DuPont
2024-11-25,83.98,84.57,83.82,84.43,2836200,DD,DuPont
2024-11-22,82.7,83.59,82.65,83.32,1942000,DD,DuPont
2024-11-21,81.87,83.089996,81.77,82.75,2469900,DD,DuPont
2024-11-20,81.52,81.97,81.17,81.85,1462700,DD,DuPont
2024-11-19,81.32,81.94,80.75,81.36,2119300,DD,DuPont
2024-11-18,82.059998,82.12,81.34,81.89,1396400,DD,DuPont
2024-11-15,83.07,83.38,81.71,81.85,1809300,DD,DuPont
2024-11-14,83.47,83.91,82.81,83.080002,1824400,DD,DuPont
2024-11-13,82.58,83.5,82.29,83.4,2264700,DD,DuPont
2024-11-12,83.21,83.79,82.19,82.29,1808800,DD,DuPont
2024-11-11,84.43,84.47,83.34,83.63,1812800,DD,DuPont
2024-11-08,85.65,86.19,83.83,84.17,2567900,DD,DuPont
2024-11-07,85.22,86.73,84.69,86.59,2269600,DD,DuPont
2024-11-06,87.74,87.74,84.26,84.33,3653400,DD,DuPont
2024-11-05,84.95,87.8,84.29,85.67,5225200,DD,DuPont
2024-11-04,82.69,83.25,81.35,81.85,2680900,DD,DuPont
2024-11-03,82.69,83.25,81.35,81.85,2680890,DD,DuPont
2024-11-01,82.78,83.43,82.38,82.5,1690400,DD,DuPont
2024-10-31,83.010002,83.74,82.83,82.99,1862600,DD,DuPont
2024-10-30,83.4,84.37,83.13,83.27,1372700,DD,DuPont
2024-10-29,83.4,84.37,83.13,83.27,1372718,DD,DuPont
2024-10-28,83.99,84.029999,83.46,83.91,1247100,DD,DuPont
2024-10-25,84.38,84.45,83.23,83.3,1329700,DD,DuPont
2024-10-24,84.76,84.79,83.55,84.23,1459300,DD,DuPont
