datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,196.10001,198.64999,177.31,177.36,15072300,DECK,Deckers Brands
2025-01-30,221.22,223.98,219.53999,223.11,4428300,DECK,Deckers Brands
2025-01-29,218.31,222.050003,216.35001,218.89999,1739900,DECK,Deckers Brands
2025-01-28,213.089996,216.16,211.78999,215.92,1896300,DECK,Deckers Brands
2025-01-27,211.75999,214.82001,208.55,211.89999,1708500,DECK,Deckers Brands
2025-01-24,218.55,218.78,214.42,217.16,1452800,DECK,Deckers Brands
2025-01-23,213.0,218.92,210.60001,218.57001,1828000,DECK,Deckers Brands
2025-01-22,214.24001,215.55,212.5,214.92,1478600,DECK,Deckers Brands
2025-01-21,214.070007,218.39,210.82001,214.11,1841400,DECK,Deckers Brands
2025-01-17,210.23,212.85001,208.41,209.91,1313200,DECK,Deckers Brands
2025-01-16,205.75,209.75,204.97,208.22,1490600,DECK,Deckers Brands
2025-01-15,209.50999,209.85001,203.14,203.73,1170100,DECK,Deckers Brands
2025-01-14,206.75,209.41,204.089996,206.14,1239100,DECK,Deckers Brands
2025-01-13,203.82001,204.84,195.17999,204.59,1980200,DECK,Deckers Brands
2025-01-10,207.0,210.44,205.94,207.5,1526100,DECK,Deckers Brands
2025-01-08,205.69,209.070007,203.89,207.52,1630900,DECK,Deckers Brands
2025-01-07,210.50999,211.89,203.56,205.10001,1501600,DECK,Deckers Brands
2025-01-06,210.94,212.49001,207.11,208.47,2993700,DECK,Deckers Brands
2025-01-03,206.17999,209.25,206.039993,207.25,1711500,DECK,Deckers Brands
2025-01-02,205.13,206.61,202.33,204.53999,1556500,DECK,Deckers Brands
2024-12-31,206.58,207.0,203.039993,203.089996,1317300,DECK,Deckers Brands
2024-12-30,203.17,207.75999,201.78,205.75999,1068200,DECK,Deckers Brands
2024-12-27,207.86,209.69,205.84,207.11,848200,DECK,Deckers Brands
2024-12-26,208.0,210.5,207.75,209.42999,1071200,DECK,Deckers Brands
2024-12-24,208.050003,208.95,206.89999,208.0099945,523900,DECK,Deckers Brands
2024-12-23,208.66,210.52,206.3,207.64999,1874500,DECK,Deckers Brands
2024-12-20,203.89,214.7,202.49001,210.97,3805100,DECK,Deckers Brands
2024-12-19,203.35001,208.10001,202.22,205.28,1937300,DECK,Deckers Brands
2024-12-18,209.32001,211.41,201.0,201.48,1581800,DECK,Deckers Brands
2024-12-17,211.0,212.78,207.89999,210.37,1709700,DECK,Deckers Brands
2024-12-16,207.44,213.029999,206.50999,211.12,1788600,DECK,Deckers Brands
2024-12-13,205.0,207.44,203.53999,206.63,1642800,DECK,Deckers Brands
2024-12-12,203.85001,206.72,203.13,203.67999,1001700,DECK,Deckers Brands
2024-12-11,203.75999,208.45,203.0,204.95,1654100,DECK,Deckers Brands
2024-12-10,201.53,205.12,199.19,202.12,1110700,DECK,Deckers Brands
2024-12-09,199.95,202.72,195.46001,201.55,1689700,DECK,Deckers Brands
2024-12-06,203.11,203.11,198.67,199.55,1766700,DECK,Deckers Brands
2024-12-05,201.7,204.0099945,200.82001,200.92,2345800,DECK,Deckers Brands
2024-12-04,203.25999,207.28999,202.50999,204.14999,1817900,DECK,Deckers Brands
2024-12-03,202.36,205.35001,202.080002,202.87,2066100,DECK,Deckers Brands
