datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,202.059998,203.89,200.75999,201.089996,1170200,DFS,Discover Financial
2025-01-30,201.56,205.75999,200.42999,202.48,1333300,DFS,Discover Financial
2025-01-29,197.49001,202.81,197.49001,201.029999,819900,DFS,Discover Financial
2025-01-28,198.36,202.080002,197.92999,199.53,1721600,DFS,Discover Financial
2025-01-27,200.99001,202.22,198.0,200.33,1004400,DFS,Discover Financial
2025-01-24,200.42999,203.059998,199.94,202.10001,2250300,DFS,Discover Financial
2025-01-23,199.0,204.92999,196.0099945,200.96001,2202100,DFS,Discover Financial
2025-01-22,190.37,198.97,190.14999,197.5,3363200,DFS,Discover Financial
2025-01-21,187.84,190.13,187.8,189.25999,1991000,DFS,Discover Financial
2025-01-17,186.19,189.27,184.039993,187.17999,1613100,DFS,Discover Financial
2025-01-16,187.78,188.89,183.98,185.039993,1591800,DFS,Discover Financial
2025-01-15,185.35001,188.99001,184.81,187.53999,1204000,DFS,Discover Financial
2025-01-14,177.38,181.27,177.0,180.84,1051300,DFS,Discover Financial
2025-01-13,170.39999,176.13,169.45,175.67999,1965700,DFS,Discover Financial
2025-01-10,174.029999,174.16,169.33,169.64,1567600,DFS,Discover Financial
2025-01-08,176.87,177.53999,175.17,175.87,1371100,DFS,Discover Financial
2025-01-07,181.080002,181.17,176.31,177.60001,1400300,DFS,Discover Financial
2025-01-06,178.0099945,181.39999,177.64999,179.21001,1174700,DFS,Discover Financial
2025-01-03,175.57001,176.059998,172.87,176.059998,685800,DFS,Discover Financial
2025-01-02,174.94,176.5,171.83,174.2,867200,DFS,Discover Financial
2024-12-31,173.27,174.42999,172.2,173.23,610900,DFS,Discover Financial
2024-12-30,172.22,174.21001,170.66,172.44,916000,DFS,Discover Financial
2024-12-27,175.78,177.050003,173.99001,174.60001,628200,DFS,Discover Financial
2024-12-26,175.0,177.21001,174.13,176.92,711200,DFS,Discover Financial
2024-12-24,173.7,176.7,173.62,176.58,373900,DFS,Discover Financial
2024-12-23,171.33,174.66,171.24001,174.50999,943300,DFS,Discover Financial
2024-12-22,171.33,174.66,171.24001,174.50999,943592,DFS,Discover Financial
2024-12-20,168.66,175.52,168.66,173.16,3870600,DFS,Discover Financial
2024-12-19,173.7,174.84,168.8,169.27,2061800,DFS,Discover Financial
2024-12-18,173.91,175.50999,167.3,168.25999,1820500,DFS,Discover Financial
2024-12-17,174.98,175.91,173.12,173.88,1095100,DFS,Discover Financial
2024-12-16,174.98,175.91,173.12,173.88,1095152,DFS,Discover Financial
2024-12-13,177.10001,177.37,175.39999,176.0,1046600,DFS,Discover Financial
2024-12-12,178.23,178.85001,175.53,175.64,758000,DFS,Discover Financial
2024-12-11,177.080002,179.080002,174.49001,178.23,1396400,DFS,Discover Financial
2024-12-10,177.89,177.89,174.89999,175.75,969500,DFS,Discover Financial
2024-12-09,178.60001,180.0,176.28,176.75999,1405200,DFS,Discover Financial
2024-12-06,177.36,180.17,176.92,179.22,1450100,DFS,Discover Financial
2024-12-05,178.67,178.67,175.63,177.3,1301900,DFS,Discover Financial
2024-12-04,178.42,178.83,175.83,176.45,835400,DFS,Discover Financial
2024-12-03,179.66,180.57001,177.22,178.42999,1205100,DFS,Discover Financial
2024-12-02,183.77,184.0,178.67,180.11,1069800,DFS,Discover Financial
2024-11-29,183.45,185.2,182.020004,182.42999,577900,DFS,Discover Financial
2024-11-27,183.39,184.77,180.85001,182.56,873600,DFS,Discover Financial
2024-11-26,181.64,183.34,180.10001,182.62,1233200,DFS,Discover Financial
2024-11-25,180.63,184.48,180.5,182.67,2566300,DFS,Discover Financial
2024-11-22,174.78,179.58,174.78,179.28999,1063000,DFS,Discover Financial
2024-11-21,173.78999,176.12,172.49001,174.91,1904800,DFS,Discover Financial
2024-11-20,172.75999,173.69,171.75999,172.77,1968600,DFS,Discover Financial
2024-11-19,170.39,172.74001,169.45,172.5,1225700,DFS,Discover Financial
2024-11-18,175.36,176.60001,172.88,173.22,1068800,DFS,Discover Financial
2024-11-15,174.57001,177.36,174.55,176.070007,3174500,DFS,Discover Financial
2024-11-14,174.0099945,175.50999,172.57001,173.83,1497900,DFS,Discover Financial
2024-11-13,177.66,179.36,174.34,174.64999,1932800,DFS,Discover Financial
2024-11-12,180.39,181.85001,176.56,177.77,1792200,DFS,Discover Financial
2024-11-11,179.73,183.60001,176.95,181.39,2300100,DFS,Discover Financial
2024-11-08,175.5,177.63,173.36,175.14999,3300400,DFS,Discover Financial
2024-11-07,180.0,180.45,174.72,175.0,3360500,DFS,Discover Financial
2024-11-06,176.99001,188.25999,175.48,182.55,8220600,DFS,Discover Financial
2024-11-05,149.52,153.45,149.0099945,151.85001,1468000,DFS,Discover Financial
2024-11-04,151.67,151.67,147.64999,149.14,1251900,DFS,Discover Financial
2024-11-03,151.67,151.67,149.14,149.14,1252103,DFS,Discover Financial
2024-11-01,148.42999,151.53999,147.84,151.3,2202700,DFS,Discover Financial
2024-10-31,155.0,155.44,148.31,148.42999,3162900,DFS,Discover Financial
2024-10-30,151.39999,156.48,151.039993,154.5,1302400,DFS,Discover Financial
2024-10-29,152.17999,153.28999,150.13,150.74001,1441500,DFS,Discover Financial
2024-10-28,152.17999,153.28999,150.13,150.74001,1441503,DFS,Discover Financial
2024-10-25,150.33,157.059998,148.78,148.89999,1954700,DFS,Discover Financial
2024-10-24,145.2,145.75,143.050003,143.12,1395800,DFS,Discover Financial
2024-10-23,145.25,146.78999,142.37,145.16,2115100,DFS,Discover Financial
2024-10-22,145.82001,146.67999,144.53,145.45,1346700,DFS,Discover Financial
2024-10-21,148.39,149.45,145.34,146.47,1447900,DFS,Discover Financial
2024-10-18,149.62,150.0,144.34,148.67999,1244400,DFS,Discover Financial
2024-10-17,149.0,152.89999,148.2,150.46001,1564200,DFS,Discover Financial
2024-10-16,149.87,149.87,147.42,147.53,1194600,DFS,Discover Financial
2024-10-15,148.050003,149.97,146.99001,147.14,983000,DFS,Discover Financial
2024-10-14,146.0,147.63,144.75,147.31,875100,DFS,Discover Financial
2024-10-11,142.24001,146.37,142.24001,145.81,846500,DFS,Discover Financial
2024-10-10,142.19,143.96001,141.52,141.74001,977100,DFS,Discover Financial
2024-10-09,142.089996,143.87,141.53,143.14999,1347900,DFS,Discover Financial
2024-10-08,144.059998,144.48,142.029999,142.089996,1009000,DFS,Discover Financial
2024-10-07,143.99001,145.25,142.89999,144.059998,1198500,DFS,Discover Financial
2024-10-04,139.66,145.0,139.0,144.89,1149400,DFS,Discover Financial
2024-10-03,136.69,136.73,134.089996,136.37,585400,DFS,Discover Financial
2024-10-02,137.10001,138.25999,135.0,137.32001,603400,DFS,Discover Financial
2024-10-01,140.39999,140.50999,135.62,136.39999,1150000,DFS,Discover Financial
2024-09-30,139.17,140.64999,138.24001,140.28999,1485000,DFS,Discover Financial
2024-09-27,139.0,140.85001,138.21001,139.25,967800,DFS,Discover Financial
2024-09-26,136.73,138.89,135.53999,138.33,1066700,DFS,Discover Financial
2024-09-25,137.28,137.28,134.88,135.92,940000,DFS,Discover Financial
2024-09-24,140.2,140.36,132.73,136.47,1690700,DFS,Discover Financial
2024-09-23,143.78999,144.46001,139.92999,140.2,1349900,DFS,Discover Financial
2024-09-20,143.5,143.7,141.070007,142.49001,2016900,DFS,Discover Financial
2024-09-19,138.87,144.050003,138.39999,143.92,1925200,DFS,Discover Financial
2024-09-18,138.16,139.88,135.69,136.11,1169900,DFS,Discover Financial
2024-09-17,134.53,138.88,134.37,137.58,1151800,DFS,Discover Financial
2024-09-16,131.55,134.32001,131.31,133.91,1109500,DFS,Discover Financial
2024-09-13,129.85001,132.28999,129.85001,131.33,925400,DFS,Discover Financial
2024-09-12,128.67999,129.56,126.19,129.25999,788000,DFS,Discover Financial
2024-09-11,127.31,128.92999,124.47,128.67999,1336100,DFS,Discover Financial
2024-09-10,132.66,132.66,123.74,130.34,2619400,DFS,Discover Financial
2024-09-09,129.57001,134.84,129.57001,133.33,1084400,DFS,Discover Financial
2024-09-06,132.45,135.050003,128.36,128.67999,1008300,DFS,Discover Financial
2024-09-05,136.31,136.67,131.11,132.38,1379800,DFS,Discover Financial
2024-09-04,139.0,139.56,134.75,135.080002,1094300,DFS,Discover Financial
2024-09-03,137.74001,139.66,136.86,138.12,1329900,DFS,Discover Financial
2024-08-30,137.58,139.10001,136.42,138.71001,1395000,DFS,Discover Financial
2024-08-29,136.98,137.74001,134.50999,137.58,1044600,DFS,Discover Financial
2024-08-28,132.69,135.99001,132.67999,135.89999,1042600,DFS,Discover Financial
2024-08-27,132.81,133.72,131.86,133.33,543000,DFS,Discover Financial
2024-08-26,133.72,134.33,131.84,132.74001,1099000,DFS,Discover Financial
2024-08-23,132.25,134.64999,131.38,132.92999,1915300,DFS,Discover Financial
2024-08-22,132.81,133.11,130.96001,131.24001,1154500,DFS,Discover Financial
2024-08-21,135.75,136.31,132.89,133.36,1697000,DFS,Discover Financial
2024-08-20,136.27,136.7,134.72,135.25999,898400,DFS,Discover Financial
2024-08-19,133.8,136.91,133.8,136.63,616700,DFS,Discover Financial
2024-08-16,130.46001,133.89999,130.46001,133.8,1169400,DFS,Discover Financial
2024-08-15,129.89999,132.53,129.19,130.69,1147900,DFS,Discover Financial
2024-08-14,126.33,128.58,125.92,127.75,533900,DFS,Discover Financial
2024-08-13,124.53,127.14,124.12,126.62,578400,DFS,Discover Financial
2024-08-12,125.41,126.37,123.24,123.71,955700,DFS,Discover Financial
2024-08-09,125.22,126.44,123.81,126.39,630900,DFS,Discover Financial
2024-08-08,124.78,126.73,124.39,125.099998,1024800,DFS,Discover Financial
2024-08-07,127.76,128.99001,123.24,123.41,744200,DFS,Discover Financial
2024-08-06,122.92,126.42,122.73,125.27,1634900,DFS,Discover Financial
2024-08-05,125.41,125.78,122.37,123.52,1109800,DFS,Discover Financial
2024-08-02,134.77,134.78999,127.57,129.089996,1557000,DFS,Discover Financial
2024-08-01,144.23,144.88,135.11,136.17,1058400,DFS,Discover Financial
2024-07-31,144.60001,145.58,143.72,143.99001,1057500,DFS,Discover Financial
2024-07-30,143.67999,145.28,143.45,144.72,1062600,DFS,Discover Financial
2024-07-29,143.0,143.0,141.12,142.56,924300,DFS,Discover Financial
2024-07-26,143.11,143.62,142.17999,142.28999,829100,DFS,Discover Financial
2024-07-25,141.0,143.75999,140.32001,141.62,1327000,DFS,Discover Financial
2024-07-24,138.11,141.59,137.44,140.25999,1575200,DFS,Discover Financial
2024-07-23,139.82001,141.78999,138.57001,139.60001,1378000,DFS,Discover Financial
2024-07-22,141.059998,141.41,138.64,139.82001,1557000,DFS,Discover Financial
