datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,163.94,166.97,162.55,163.10001,1575200,DGX,Quest Diagnostics
2025-01-30,154.0,167.080002,153.99001,164.17,2602000,DGX,Quest Diagnostics
2025-01-29,157.31,158.36,154.44,155.44,1725900,DGX,Quest Diagnostics
2025-01-28,159.0,159.99001,156.28999,157.13,1751500,DGX,Quest Diagnostics
2025-01-27,156.92999,160.059998,155.57001,159.97,1468300,DGX,Quest Diagnostics
2025-01-24,151.10001,156.44,150.99001,155.28,1219800,DGX,Quest Diagnostics
2025-01-23,152.050003,152.38,150.14,151.85001,711200,DGX,Quest Diagnostics
2025-01-22,151.81,152.19,150.58,151.50999,666100,DGX,Quest Diagnostics
2025-01-21,151.31,152.99001,150.8,152.64999,1126800,DGX,Quest Diagnostics
2025-01-17,151.55,153.58,151.10001,151.2,760000,DGX,Quest Diagnostics
2025-01-16,150.33,151.69,148.7,151.66,983400,DGX,Quest Diagnostics
2025-01-15,154.13,154.44,150.28,150.33,815400,DGX,Quest Diagnostics
2025-01-14,153.050003,153.12,150.41,152.98,622900,DGX,Quest Diagnostics
2025-01-13,152.53999,155.45,151.78999,154.020004,870600,DGX,Quest Diagnostics
2025-01-10,152.53999,153.42,150.71001,151.78999,936000,DGX,Quest Diagnostics
2025-01-08,154.28,154.28,151.63,154.029999,630100,DGX,Quest Diagnostics
2025-01-07,153.28,154.0,152.2,153.64,609700,DGX,Quest Diagnostics
2025-01-06,152.46001,153.81,151.53,152.27,779800,DGX,Quest Diagnostics
2025-01-03,150.97,152.22,149.92,151.92,766200,DGX,Quest Diagnostics
2025-01-02,151.96001,152.0,150.28999,150.96001,420200,DGX,Quest Diagnostics
2024-12-31,151.14,152.48,150.52,150.86,463500,DGX,Quest Diagnostics
2024-12-30,151.83,152.25999,150.28,150.97,480400,DGX,Quest Diagnostics
2024-12-27,151.89,153.62,151.89,152.63,481000,DGX,Quest Diagnostics
2024-12-26,152.41,153.50999,152.19,153.020004,443200,DGX,Quest Diagnostics
2024-12-24,152.47,153.49001,152.13,153.42,213200,DGX,Quest Diagnostics
2024-12-23,152.33,153.46001,150.89,152.94,576800,DGX,Quest Diagnostics
2024-12-20,151.67999,154.10001,151.67999,153.10001,1400100,DGX,Quest Diagnostics
2024-12-19,150.13,152.59,149.070007,151.52,1097300,DGX,Quest Diagnostics
2024-12-18,155.42,156.039993,151.25,151.25,972500,DGX,Quest Diagnostics
2024-12-17,153.19,156.53999,152.35001,155.49001,1115700,DGX,Quest Diagnostics
2024-12-16,154.78999,155.5,152.17999,152.64999,704200,DGX,Quest Diagnostics
2024-12-13,156.10001,157.070007,154.82001,155.0,849800,DGX,Quest Diagnostics
2024-12-12,155.35001,158.53,155.35001,156.070007,905100,DGX,Quest Diagnostics
2024-12-11,158.020004,159.7,155.24001,155.69,914700,DGX,Quest Diagnostics
2024-12-10,159.0,160.0,156.75999,158.46001,1017400,DGX,Quest Diagnostics
2024-12-09,158.17,160.5,157.77,158.2,839600,DGX,Quest Diagnostics
2024-12-06,159.059998,159.17,156.72,157.35001,951400,DGX,Quest Diagnostics
2024-12-05,160.070007,160.070007,158.17,158.52,757000,DGX,Quest Diagnostics
2024-12-04,161.58,162.21001,160.089996,160.24001,508400,DGX,Quest Diagnostics
2024-12-03,161.61,162.5,161.10001,161.94,673100,DGX,Quest Diagnostics
2024-12-02,162.47,162.95,161.2,161.50999,788300,DGX,Quest Diagnostics
2024-11-29,162.24001,163.77,161.67,162.66,427500,DGX,Quest Diagnostics
