datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,223.3,227.5,222.37,222.74001,4785800,DHR,Danaher Corporation
2025-01-30,225.0,228.99001,221.34,223.080002,6668000,DHR,Danaher Corporation
2025-01-29,235.020004,235.74001,223.0,223.73,11407400,DHR,Danaher Corporation
2025-01-28,257.67001,258.23001,247.19,247.84,4273700,DHR,Danaher Corporation
2025-01-27,247.52,250.75999,246.46001,250.59,2748500,DHR,Danaher Corporation
2025-01-24,245.60001,247.53,245.020004,245.8,1911300,DHR,Danaher Corporation
2025-01-23,244.92999,245.85001,241.8,245.66,2512100,DHR,Danaher Corporation
2025-01-22,243.44,246.25,242.5,244.17999,2049900,DHR,Danaher Corporation
2025-01-21,239.95,244.49001,239.0,244.11,2338100,DHR,Danaher Corporation
2025-01-17,242.17,243.050003,238.17,238.36,3075300,DHR,Danaher Corporation
2025-01-16,237.72,242.11,234.60001,241.89999,3148900,DHR,Danaher Corporation
2025-01-15,238.98,241.69,232.96001,237.97,4128600,DHR,Danaher Corporation
2025-01-14,241.17,242.14999,232.050003,237.62,4137600,DHR,Danaher Corporation
2025-01-13,235.050003,240.97,234.0099945,239.88,3301800,DHR,Danaher Corporation
2025-01-10,235.55,238.71001,234.5,235.070007,2863300,DHR,Danaher Corporation
2025-01-08,238.61,239.39,235.5,238.089996,2527700,DHR,Danaher Corporation
2025-01-07,238.0,243.14999,238.0,239.10001,2989300,DHR,Danaher Corporation
2025-01-06,234.14999,240.23,233.7,238.2,3674500,DHR,Danaher Corporation
2025-01-03,230.080002,235.92999,229.56,234.84,2381100,DHR,Danaher Corporation
2025-01-02,230.85001,231.85001,228.57001,229.81,2760600,DHR,Danaher Corporation
2024-12-31,230.46001,232.0,228.67,229.55,2077900,DHR,Danaher Corporation
2024-12-30,229.47,230.56,227.58,229.64999,2008000,DHR,Danaher Corporation
2024-12-27,229.39999,232.14,229.39999,231.10001,2130400,DHR,Danaher Corporation
2024-12-26,229.33,231.49001,229.17,231.28,1512400,DHR,Danaher Corporation
2024-12-24,228.53,231.0,228.0,230.75,988300,DHR,Danaher Corporation
2024-12-23,227.94,229.63,226.75999,229.16,2798800,DHR,Danaher Corporation
2024-12-22,227.94,229.63,226.75999,229.16,2798812,DHR,Danaher Corporation
