datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,164.97,167.7,163.72,163.86,2010600,DLR,Digital Realty
2025-01-30,163.60001,165.87,162.14,164.23,1964200,DLR,Digital Realty
2025-01-29,162.27,164.38,160.5,161.73,2660000,DLR,Digital Realty
2025-01-28,164.44,164.73,156.089996,162.14,4745500,DLR,Digital Realty
2025-01-27,166.13,166.3,156.32001,164.74001,8405400,DLR,Digital Realty
2025-01-24,183.21001,184.64999,180.27,180.5,1851700,DLR,Digital Realty
2025-01-23,182.5,184.39999,180.37,183.50999,1765800,DLR,Digital Realty
2025-01-22,184.49001,187.74001,181.88,182.44,2723400,DLR,Digital Realty
2025-01-21,180.69,184.0099945,180.0099945,183.56,1926400,DLR,Digital Realty
2025-01-17,181.17,181.83,178.14999,178.42999,1639400,DLR,Digital Realty
2025-01-16,175.60001,180.25,175.22,180.10001,1735200,DLR,Digital Realty
2025-01-15,179.88,179.99001,174.13,174.91,1859800,DLR,Digital Realty
2025-01-14,172.67,174.5,172.0,173.89,1537400,DLR,Digital Realty
2025-01-13,171.77,173.14,170.029999,171.92,1798000,DLR,Digital Realty
2025-01-10,177.24001,178.0099945,172.78999,173.34,2781400,DLR,Digital Realty
2025-01-08,179.99001,181.89,179.42,180.87,1728600,DLR,Digital Realty
2025-01-07,182.5,184.64,177.72,179.88,2288500,DLR,Digital Realty
2025-01-06,181.94,183.77,179.24001,179.60001,2021300,DLR,Digital Realty
2025-01-05,181.94,183.77,179.24001,179.60001,2021310,DLR,Digital Realty
2025-01-03,178.11,181.98,177.84,181.74001,1574200,DLR,Digital Realty
2025-01-02,177.69,178.88,176.059998,177.0,1285900,DLR,Digital Realty
2025-01-01,177.69,178.88,176.059998,177.0,1286112,DLR,Digital Realty
2024-12-31,178.33,178.5,176.10001,177.33,1434000,DLR,Digital Realty
2024-12-30,178.33,178.5,176.095505,177.33,1434049,DLR,Digital Realty
2024-12-27,178.22,179.62,177.33,178.14,822900,DLR,Digital Realty
2024-12-26,179.19,179.99001,178.5,179.5,693500,DLR,Digital Realty
2024-12-24,178.37,180.39999,177.95,180.39999,683700,DLR,Digital Realty
2024-12-23,178.69,179.12,176.55,178.47,2167100,DLR,Digital Realty
2024-12-20,176.81,181.47,175.78,178.57001,4801700,DLR,Digital Realty
2024-12-19,177.52,180.7,176.31,176.81,2977300,DLR,Digital Realty
2024-12-18,184.75999,185.27,176.66,176.96001,2407500,DLR,Digital Realty
2024-12-17,184.39999,186.37,183.48,185.0,1508000,DLR,Digital Realty
2024-12-16,185.22,187.8,184.89999,185.47,1258100,DLR,Digital Realty
2024-12-13,186.78,187.35001,184.92,185.039993,1566800,DLR,Digital Realty
2024-12-12,186.88,189.21001,186.5,187.13,2061200,DLR,Digital Realty
2024-12-11,186.69,188.42999,186.17,187.22,1836300,DLR,Digital Realty
2024-12-10,188.0,188.67,185.2,185.71001,1866000,DLR,Digital Realty
2024-12-09,193.48,194.22,186.91,188.17,2309500,DLR,Digital Realty
2024-12-06,192.12,192.8,190.21001,192.69,2073800,DLR,Digital Realty
2024-12-05,189.7,191.13,188.55,191.080002,1507500,DLR,Digital Realty
2024-12-04,192.10001,192.10001,190.059998,190.84,1506300,DLR,Digital Realty
2024-12-03,192.39999,192.88,190.71001,191.070007,1186600,DLR,Digital Realty
2024-12-02,194.85001,195.38,191.28999,192.16,2293500,DLR,Digital Realty
2024-11-29,195.92999,198.0,195.5,195.69,1492300,DLR,Digital Realty
2024-11-27,195.41,195.92999,194.020004,195.28,1719200,DLR,Digital Realty
2024-11-26,192.62,194.31,191.19,194.020004,1962600,DLR,Digital Realty
2024-11-25,191.5,193.28999,191.0099945,192.82001,4657000,DLR,Digital Realty
2024-11-22,188.72,190.91,188.35001,189.84,2526500,DLR,Digital Realty
2024-11-21,186.39999,188.17,185.029999,187.37,1886100,DLR,Digital Realty
2024-11-20,185.53999,186.13,183.56,185.91,1433800,DLR,Digital Realty
2024-11-19,183.39,187.49001,182.5,187.27,1657700,DLR,Digital Realty
2024-11-18,179.39999,183.48,178.98,183.28999,2316400,DLR,Digital Realty
2024-11-15,177.5,180.87,177.0099945,179.67,2998600,DLR,Digital Realty
