datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,195.14,196.8,195.0099945,195.24001,1508600,DRI,Darden Restaurants
2025-01-30,194.60001,196.64999,194.089996,196.19,769600,DRI,Darden Restaurants
2025-01-29,193.59,194.85001,192.52,193.8,857500,DRI,Darden Restaurants
2025-01-28,191.83,194.7,191.48,192.39999,931900,DRI,Darden Restaurants
2025-01-27,188.0,193.13,188.0,192.62,1353700,DRI,Darden Restaurants
2025-01-24,184.8,188.50999,184.020004,187.61,1304800,DRI,Darden Restaurants
2025-01-23,185.089996,186.44,183.55,186.17,968000,DRI,Darden Restaurants
2025-01-22,186.64999,187.66,184.97,185.64999,1047000,DRI,Darden Restaurants
2025-01-21,182.46001,187.81,182.38,186.49001,1839200,DRI,Darden Restaurants
2025-01-17,182.0099945,183.14,181.0099945,181.75,940500,DRI,Darden Restaurants
2025-01-16,180.7,182.42999,179.86,181.059998,763300,DRI,Darden Restaurants
2025-01-15,184.53,185.039993,180.78999,180.83,880200,DRI,Darden Restaurants
2025-01-14,184.089996,185.28,181.97,182.039993,1228100,DRI,Darden Restaurants
2025-01-13,179.7,182.89,179.0,182.77,1091100,DRI,Darden Restaurants
2025-01-10,180.39,182.53999,179.14999,180.020004,1293300,DRI,Darden Restaurants
2025-01-08,183.22,185.45,181.92,183.73,1122200,DRI,Darden Restaurants
2025-01-07,185.35001,186.28,183.67999,184.34,1145600,DRI,Darden Restaurants
2025-01-06,187.10001,187.72,183.53,183.96001,1670900,DRI,Darden Restaurants
2025-01-03,186.92999,188.21001,185.92,187.72,1129400,DRI,Darden Restaurants
2025-01-02,188.47,188.52,184.88,186.50999,872600,DRI,Darden Restaurants
2024-12-31,187.020004,188.46001,185.89999,186.69,834100,DRI,Darden Restaurants
2024-12-30,185.42999,187.83,184.85001,186.77,928900,DRI,Darden Restaurants
2024-12-27,187.17,189.17999,186.84,187.58,872800,DRI,Darden Restaurants
2024-12-26,186.0,188.95,185.0099945,188.66,1209700,DRI,Darden Restaurants
2024-12-24,185.67,186.78999,183.34,186.64999,626800,DRI,Darden Restaurants
2024-12-23,187.95,188.48,180.48,184.78999,2049000,DRI,Darden Restaurants
