datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,112.26,112.45,111.38,111.99,3537800,DUK,Duke Energy
2025-01-30,112.019997,112.4,110.81,112.26,2204800,DUK,Duke Energy
2025-01-29,111.48,112.21,110.54,110.62,2744200,DUK,Duke Energy
2025-01-28,112.38,112.7,111.28,111.31,3664600,DUK,Duke Energy
2025-01-27,111.0,112.76,109.43,112.62,3585100,DUK,Duke Energy
2025-01-24,108.85,110.25,108.74,109.86,2695300,DUK,Duke Energy
2025-01-23,109.3,109.74,108.68,109.34,2612500,DUK,Duke Energy
2025-01-22,110.55,110.62,108.63,108.82,4276900,DUK,Duke Energy
2025-01-21,110.0,111.35,109.3,110.77,3144100,DUK,Duke Energy
2025-01-17,108.73,109.9,108.45,109.26,2928400,DUK,Duke Energy
2025-01-16,106.099998,109.080002,105.9,109.059998,2899100,DUK,Duke Energy
2025-01-15,108.099998,108.099998,106.35,106.45,3791800,DUK,Duke Energy
2025-01-14,106.16,106.88,105.61,106.85,2866200,DUK,Duke Energy
2025-01-13,106.47,106.56,105.2,106.14,2387900,DUK,Duke Energy
2025-01-10,107.47,108.59,105.44,105.87,2998100,DUK,Duke Energy
2025-01-08,106.56,108.45,106.49,108.23,3209300,DUK,Duke Energy
2025-01-07,106.68,107.85,106.3,106.81,2976400,DUK,Duke Energy
2025-01-06,107.35,107.42,105.9,106.37,4358500,DUK,Duke Energy
2025-01-03,108.07,108.67,107.65,107.78,2299300,DUK,Duke Energy
2025-01-02,108.48,108.88,107.44,107.82,2865500,DUK,Duke Energy
2024-12-31,107.88,108.12,107.18,107.74,2987400,DUK,Duke Energy
2024-12-30,108.0,108.13,107.050003,107.71,2217200,DUK,Duke Energy
2024-12-27,107.6,109.0,107.5,108.34,2127200,DUK,Duke Energy
2024-12-26,108.68,108.95,107.87,108.31,2914600,DUK,Duke Energy
2024-12-24,108.39,109.029999,108.11,108.97,991900,DUK,Duke Energy
2024-12-23,108.11,108.64,107.16,108.56,2757400,DUK,Duke Energy
2024-12-20,107.16,108.69,106.72,108.28,6044500,DUK,Duke Energy
2024-12-19,105.88,108.24,105.74,107.080002,4237600,DUK,Duke Energy
2024-12-18,107.38,107.91,105.63,105.76,4713900,DUK,Duke Energy
2024-12-17,106.95,108.2,106.53,107.89,2784900,DUK,Duke Energy
2024-12-16,108.74,109.21,107.18,107.44,5673900,DUK,Duke Energy
2024-12-13,109.66,110.0,108.73,108.82,5141200,DUK,Duke Energy
2024-12-12,110.21,110.32,108.77,109.16,3087600,DUK,Duke Energy
2024-12-11,110.8,110.99,109.18,109.59,3820800,DUK,Duke Energy
2024-12-10,111.94,111.94,110.32,111.11,2941300,DUK,Duke Energy
2024-12-09,111.71,112.6,111.28,111.86,2573900,DUK,Duke Energy
2024-12-06,113.84,114.35,111.95,112.099998,2808800,DUK,Duke Energy
2024-12-05,113.21,114.4,113.0,114.010002,2178700,DUK,Duke Energy
2024-12-04,113.45,113.75,112.72,113.28,2218900,DUK,Duke Energy
2024-12-03,115.8,116.21,113.63,113.64,2440600,DUK,Duke Energy
2024-12-02,117.050003,117.29,114.81,115.18,3429900,DUK,Duke Energy
2024-11-29,117.2,117.72,116.88,117.050003,1899500,DUK,Duke Energy
2024-11-27,117.68,118.58,117.28,117.42,2221900,DUK,Duke Energy
2024-11-26,115.39,117.099998,115.080002,117.040001,2850500,DUK,Duke Energy
2024-11-25,115.050003,115.9,114.17,115.0,4163000,DUK,Duke Energy
2024-11-22,115.52,116.0,114.61,114.7,2008700,DUK,Duke Energy
2024-11-21,114.13,115.040001,113.15,114.86,3095300,DUK,Duke Energy
2024-11-20,113.44,113.95,113.0,113.74,2325500,DUK,Duke Energy
2024-11-19,113.3,113.63,112.050003,113.58,3862000,DUK,Duke Energy
2024-11-18,111.99,113.68,111.67,113.54,5030800,DUK,Duke Energy
2024-11-15,109.47,112.25,109.4,112.17,3868000,DUK,Duke Energy
2024-11-14,111.57,111.57,110.54,110.68,3685800,DUK,Duke Energy
2024-11-13,112.52,112.8,110.67,111.31,2193000,DUK,Duke Energy
2024-11-12,112.66,113.080002,111.76,111.88,2876800,DUK,Duke Energy
2024-11-11,112.64,114.16,112.39,112.46,3243400,DUK,Duke Energy
2024-11-08,111.77,114.050003,111.56,113.23,3788500,DUK,Duke Energy
2024-11-07,112.64,113.21,110.31,111.080002,5593500,DUK,Duke Energy
2024-11-06,114.010002,114.25,112.52,113.63,4236700,DUK,Duke Energy
2024-11-05,112.59,114.17,112.059998,114.080002,2558500,DUK,Duke Energy
2024-11-04,112.68,113.13,112.07,112.52,3050100,DUK,Duke Energy
2024-11-01,114.68,115.4,112.6,112.68,3713100,DUK,Duke Energy
2024-10-31,113.99,115.82,113.89,115.27,3835800,DUK,Duke Energy
2024-10-30,115.029999,115.27,113.82,114.0,2480000,DUK,Duke Energy
2024-10-29,116.0,116.35,114.38,114.41,3478800,DUK,Duke Energy
2024-10-28,117.21,118.059998,117.019997,117.059998,2214300,DUK,Duke Energy
2024-10-25,119.49,119.53,117.21,117.21,2406300,DUK,Duke Energy
2024-10-24,120.8,120.95,118.92,119.019997,2283700,DUK,Duke Energy
2024-10-23,119.79,120.61,119.38,120.57,2286400,DUK,Duke Energy
2024-10-22,118.72,119.94,118.38,119.88,2877000,DUK,Duke Energy
2024-10-21,121.050003,121.25,119.67,119.89,2703200,DUK,Duke Energy
2024-10-18,120.74,120.85,119.62,120.76,3562300,DUK,Duke Energy
2024-10-17,119.78,120.81,119.48,120.58,4589900,DUK,Duke Energy
2024-10-16,117.6,120.089996,116.95,119.78,4776800,DUK,Duke Energy
2024-10-15,116.5,118.07,115.7,117.12,2863200,DUK,Duke Energy
2024-10-14,114.17,115.26,114.099998,115.089996,2807100,DUK,Duke Energy
2024-10-11,113.4,114.33,113.12,114.17,3406700,DUK,Duke Energy
2024-10-10,111.89,113.5,111.029999,113.12,6301600,DUK,Duke Energy
2024-10-09,110.8,111.62,110.3,111.32,3601500,DUK,Duke Energy
2024-10-08,111.0,111.14,110.050003,110.67,4810600,DUK,Duke Energy
2024-10-07,113.79,113.79,110.12,110.23,5955000,DUK,Duke Energy
2024-10-04,114.63,114.87,113.81,114.050003,3512900,DUK,Duke Energy
2024-10-03,116.98,117.089996,115.48,115.76,3856600,DUK,Duke Energy
2024-10-02,115.5,116.81,115.13,116.68,3360200,DUK,Duke Energy
2024-10-01,115.45,116.46,114.91,116.22,3729700,DUK,Duke Energy
2024-09-30,116.29,116.34,114.34,115.3,5539400,DUK,Duke Energy
2024-09-27,115.5,116.33,114.83,115.97,3523000,DUK,Duke Energy
2024-09-26,115.12,116.32,114.84,115.17,3425700,DUK,Duke Energy
2024-09-25,116.6,116.76,115.37,116.21,3496700,DUK,Duke Energy
2024-09-24,116.5,117.77,115.84,115.98,2925300,DUK,Duke Energy
2024-09-23,116.86,117.47,116.46,117.31,2332400,DUK,Duke Energy
2024-09-20,115.66,116.67,115.34,116.37,6277000,DUK,Duke Energy
2024-09-19,115.089996,115.54,113.95,115.14,3952300,DUK,Duke Energy
