datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,67.41,67.92,67.080002,67.48,3347200,EBAY,eBay
2025-01-30,66.5,67.97,66.43,67.52,2973300,EBAY,eBay
2025-01-29,67.47,67.64,65.96,66.0,3537400,EBAY,eBay
2025-01-28,66.51,67.27,66.0,67.19,3202000,EBAY,eBay
2025-01-27,64.68,66.86,64.3,66.84,4402600,EBAY,eBay
2025-01-24,64.99,65.42,64.42,64.81,2522600,EBAY,eBay
2025-01-23,63.81,65.79,63.5,64.75,5689800,EBAY,eBay
2025-01-22,64.63,65.059998,63.83,63.88,3875700,EBAY,eBay
2025-01-21,65.9,66.11,63.91,64.63,3863900,EBAY,eBay
2025-01-17,65.5,66.47,65.5,66.19,3719100,EBAY,eBay
2025-01-16,64.8,65.3,64.41,65.059998,2945400,EBAY,eBay
2025-01-15,64.83,65.57,64.2,65.11,4351300,EBAY,eBay
2025-01-14,65.65,66.23,64.2,64.41,4513900,EBAY,eBay
2025-01-13,64.5,66.36,64.27,65.72,4122200,EBAY,eBay
2025-01-10,68.71,69.13,65.85,65.9,8234600,EBAY,eBay
2025-01-08,67.9,71.52,67.81,69.4,22044700,EBAY,eBay
2025-01-07,63.64,64.38,62.9,63.17,3867000,EBAY,eBay
2025-01-06,62.0099983,63.75,61.8,62.94,5520600,EBAY,eBay
2025-01-03,62.53,62.66,61.11,61.61,4665100,EBAY,eBay
2025-01-02,61.92,62.96,61.87,62.27,2572100,EBAY,eBay
2024-12-31,62.28,62.68,61.87,61.95,2131300,EBAY,eBay
2024-12-30,62.46,62.67,60.74,62.060001,3293800,EBAY,eBay
2024-12-27,63.36,63.8,62.46,62.81,1997500,EBAY,eBay
2024-12-26,63.57,64.12,63.33,63.81,1840600,EBAY,eBay
2024-12-24,63.57,63.9,63.080002,63.78,1471900,EBAY,eBay
2024-12-23,64.8,65.17,63.32,63.63,4131200,EBAY,eBay
2024-12-20,63.67,65.49,63.35,65.010002,12499800,EBAY,eBay
2024-12-19,64.4,65.63,63.72,63.95,5237500,EBAY,eBay
2024-12-18,64.52,66.52,64.080002,64.11,7134600,EBAY,eBay
2024-12-17,65.2,65.2,63.71,64.23,4507200,EBAY,eBay
2024-12-16,63.48,64.19,62.6,63.64,4414100,EBAY,eBay
2024-12-13,63.88,64.26,63.5,63.84,4278500,EBAY,eBay
