datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,54.48,55.67,53.26,54.0,12046700,EIX,Edison International
2025-01-30,56.34,56.34,53.52,54.060001,7986900,EIX,Edison International
2025-01-29,56.21,56.34,55.58,55.8,4849800,EIX,Edison International
2025-01-28,57.84,58.48,55.6,56.11,4838600,EIX,Edison International
2025-01-27,57.13,58.85,56.34,57.74,8062200,EIX,Edison International
2025-01-24,57.38,59.029999,57.3,58.87,4892400,EIX,Edison International
2025-01-23,58.37,59.29,56.98,57.28,6590600,EIX,Edison International
2025-01-22,61.86,61.87,58.040001,58.29,7132800,EIX,Edison International
2025-01-21,62.34,62.81,61.23,62.23,5987400,EIX,Edison International
2025-01-17,60.97,63.97,60.69,62.7,5677200,EIX,Edison International
2025-01-16,61.83,62.42,59.7,61.16,7409700,EIX,Edison International
2025-01-15,61.75,63.9,60.68,61.3,10967400,EIX,Edison International
2025-01-14,57.39,59.59,56.44,58.43,10563600,EIX,Edison International
2025-01-13,64.2,64.34,55.27,57.27,17350700,EIX,Edison International
2025-01-10,69.15,70.5,64.12,65.0,13048600,EIX,Edison International
2025-01-08,75.76,75.76,66.7,69.5,12055000,EIX,Edison International
2025-01-07,77.61,78.36,77.25,77.38,2143500,EIX,Edison International
2025-01-06,79.8,79.9,78.31,78.44,2250500,EIX,Edison International
2025-01-03,80.28,80.91,79.42,79.8,2118200,EIX,Edison International
2025-01-02,80.76,81.019997,79.65,80.010002,1375900,EIX,Edison International
2024-12-31,79.59,80.22,79.19,79.84,1553900,EIX,Edison International
2024-12-30,79.59,79.89,78.68,79.68,2780700,EIX,Edison International
2024-12-27,79.45,80.33,79.4,79.79,985500,EIX,Edison International
2024-12-26,79.85,80.23,79.55,80.010002,1000200,EIX,Edison International
2024-12-24,79.9,80.3,79.42,80.26,997100,EIX,Edison International
2024-12-23,79.52,79.73,78.46,79.72,1959100,EIX,Edison International
2024-12-20,77.87,79.66,77.79,79.52,5974300,EIX,Edison International
2024-12-19,77.95,78.81,77.42,77.93,2636700,EIX,Edison International
2024-12-18,80.3,80.45,78.19,78.26,1919400,EIX,Edison International
2024-12-17,80.8,81.2,80.059998,80.5,2004900,EIX,Edison International
2024-12-16,82.34,82.48,81.13,81.17,1301700,EIX,Edison International
2024-12-13,82.019997,82.47,81.55,81.89,1197200,EIX,Edison International
2024-12-12,82.010002,82.029999,81.089996,81.62,1443400,EIX,Edison International
2024-12-11,82.75,83.050003,81.45,81.58,1798500,EIX,Edison International
2024-12-10,83.0,83.07,81.16,82.78,2430000,EIX,Edison International
2024-12-09,83.76,84.21,83.010002,83.019997,1718700,EIX,Edison International
2024-12-06,84.94,85.15,83.23,83.95,2041200,EIX,Edison International
2024-12-05,84.63,85.92,84.38,84.92,2527300,EIX,Edison International
2024-12-04,84.6,85.4,83.99,84.34,2256600,EIX,Edison International
2024-12-03,86.25,86.48,84.65,84.74,1390100,EIX,Edison International
2024-12-02,87.96,88.0,85.34,85.78,2492200,EIX,Edison International
2024-11-29,88.38,88.61,87.65,87.75,1244000,EIX,Edison International
2024-11-27,88.0,88.65,87.77,88.36,1589300,EIX,Edison International
2024-11-26,87.83,88.07,87.23,87.74,2052200,EIX,Edison International
2024-11-25,86.9,87.62,86.35,87.61,3433900,EIX,Edison International
2024-11-22,87.54,87.98,86.39,86.48,2774500,EIX,Edison International
2024-11-21,86.23,87.089996,85.83,87.089996,2094700,EIX,Edison International
2024-11-20,85.73,86.17,85.51,86.12,1757100,EIX,Edison International
2024-11-19,83.56,85.74,83.56,85.64,2619700,EIX,Edison International
2024-11-18,83.16,84.25,83.010002,84.080002,2438600,EIX,Edison International
2024-11-15,82.029999,83.75,82.029999,83.68,4902600,EIX,Edison International
2024-11-14,82.25,82.88,82.0,82.13,1867200,EIX,Edison International
2024-11-13,83.17,83.24,81.75,82.18,1892600,EIX,Edison International
2024-11-12,83.59,83.83,82.63,82.75,1969900,EIX,Edison International
2024-11-11,82.99,84.059998,82.93,83.58,2211200,EIX,Edison International
2024-11-08,81.8,83.43,81.37,83.099998,2050700,EIX,Edison International
2024-11-07,81.15,82.12,80.67,81.45,2593800,EIX,Edison International
2024-11-06,81.9,82.5,81.050003,81.17,3571000,EIX,Edison International
2024-11-05,81.0,81.97,80.52,81.97,1891900,EIX,Edison International
2024-11-04,80.93,81.34,80.2,81.0,2914500,EIX,Edison International
2024-11-01,82.62,82.82,81.040001,81.13,2142600,EIX,Edison International
2024-10-31,83.14,83.8,82.11,82.4,3176400,EIX,Edison International
2024-10-30,82.19,84.4,81.8,83.24,2473300,EIX,Edison International
2024-10-29,83.61,84.07,82.59,83.14,2405400,EIX,Edison International
2024-10-28,84.12,84.83,84.029999,84.48,1589000,EIX,Edison International
2024-10-25,86.27,86.4,83.79,83.91,1720500,EIX,Edison International
2024-10-24,86.25,86.31,85.39,85.62,1066600,EIX,Edison International
2024-10-23,85.71,86.38,85.56,86.0,2332400,EIX,Edison International
2024-10-22,84.38,86.029999,84.15,85.83,1906600,EIX,Edison International
2024-10-21,85.66,85.79,84.31,84.61,1915200,EIX,Edison International
2024-10-20,85.66,85.79,84.31,84.61,1915207,EIX,Edison International
2024-10-18,84.76,85.5,84.12,85.43,1641300,EIX,Edison International
2024-10-17,86.019997,86.23,84.33,84.64,2310300,EIX,Edison International
2024-10-16,85.37,86.28,84.94,85.96,1762200,EIX,Edison International
2024-10-15,85.37,86.28,84.94,85.96,1762201,EIX,Edison International
2024-10-14,84.79,85.64,84.58,85.07,2384250,EIX,Edison International
2024-10-11,83.39,83.84,83.2,83.61,1645400,EIX,Edison International
2024-10-10,84.33,84.96,82.96,83.010002,1826800,EIX,Edison International
2024-10-09,84.69,85.22,84.0,84.45,2227900,EIX,Edison International
2024-10-08,84.86,85.44,84.5,84.89,1233100,EIX,Edison International
2024-10-07,85.37,85.47,84.36,84.66,1669200,EIX,Edison International
2024-10-04,86.050003,86.3,85.53,86.18,1464800,EIX,Edison International
2024-10-03,87.84,87.84,86.24,86.65,1472900,EIX,Edison International
2024-10-02,87.13,88.07,87.12,87.48,1945200,EIX,Edison International
2024-10-01,87.099998,87.96,86.61,87.73,1704100,EIX,Edison International
2024-09-30,87.089996,87.19,86.0,87.089996,1994500,EIX,Edison International
