datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,251.69,254.44,250.5,253.96001,582700,EPAM,EPAM Systems
2025-01-30,254.0,256.70001,249.67999,250.63,420200,EPAM,EPAM Systems
2025-01-29,254.88,255.050003,249.0099945,251.85001,356900,EPAM,EPAM Systems
2025-01-28,249.55,256.14999,248.25,255.14,541000,EPAM,EPAM Systems
2025-01-27,250.64,257.23001,250.55,252.059998,854600,EPAM,EPAM Systems
2025-01-24,244.66,252.73,244.66,252.42999,727300,EPAM,EPAM Systems
2025-01-23,236.0,245.64999,235.75,245.3,714400,EPAM,EPAM Systems
2025-01-22,238.050003,238.050003,229.14999,235.42,967200,EPAM,EPAM Systems
2025-01-21,232.75,238.77,228.88,237.36,611900,EPAM,EPAM Systems
2025-01-17,231.98,232.020004,227.99001,229.080002,380000,EPAM,EPAM Systems
2025-01-16,227.85001,230.25999,226.71001,229.089996,302900,EPAM,EPAM Systems
2025-01-15,231.28,232.87,226.2,228.74001,344100,EPAM,EPAM Systems
2025-01-14,226.66,228.050003,224.64999,226.8,366500,EPAM,EPAM Systems
2025-01-13,223.83,226.47,222.5,225.82001,490000,EPAM,EPAM Systems
2025-01-10,226.24001,228.88,224.60001,225.62,615300,EPAM,EPAM Systems
2025-01-08,229.3,229.75,224.28,228.50999,398300,EPAM,EPAM Systems
2025-01-07,231.69,235.2,227.92999,228.45,367600,EPAM,EPAM Systems
2025-01-06,231.0,234.72,230.46001,230.99001,510700,EPAM,EPAM Systems
2025-01-03,230.41,231.97,227.73,230.72,374600,EPAM,EPAM Systems
2025-01-02,236.14,236.14,228.66,229.16,414600,EPAM,EPAM Systems
2024-12-31,235.27,235.92,231.92999,233.82001,298200,EPAM,EPAM Systems
2024-12-30,236.089996,236.089996,231.58,234.67999,324300,EPAM,EPAM Systems
2024-12-27,239.95,243.070007,236.89999,238.47,319500,EPAM,EPAM Systems
2024-12-26,241.050003,243.67,240.029999,241.17999,298300,EPAM,EPAM Systems
2024-12-24,243.089996,243.84,241.69,242.47,240600,EPAM,EPAM Systems
2024-12-23,246.87,247.45,243.2,243.8,277800,EPAM,EPAM Systems
2024-12-22,246.87,247.45,243.19501,243.8,277808,EPAM,EPAM Systems
2024-12-20,242.77,250.58,242.53,248.25999,1260400,EPAM,EPAM Systems
2024-12-19,244.020004,253.080002,243.3,246.8,640900,EPAM,EPAM Systems
2024-12-18,248.73,249.8,239.0,239.11,702200,EPAM,EPAM Systems
2024-12-17,246.3,249.94,246.23,247.92,489300,EPAM,EPAM Systems
2024-12-16,246.3,249.94,246.22501,247.92,489332,EPAM,EPAM Systems
2024-12-13,249.50999,251.10001,244.36,244.64,767500,EPAM,EPAM Systems
2024-12-12,250.52,251.25,247.0099945,250.070007,691200,EPAM,EPAM Systems
2024-12-11,252.60001,257.0,250.46001,253.0,878800,EPAM,EPAM Systems
2024-12-10,248.080002,251.52,245.37,250.089996,874000,EPAM,EPAM Systems
2024-12-09,245.84,251.60001,242.19,247.2,1490800,EPAM,EPAM Systems
2024-12-06,248.74001,252.39999,243.57001,245.45,1982700,EPAM,EPAM Systems
2024-12-05,243.0,244.23,239.0,240.37,1118400,EPAM,EPAM Systems
2024-12-04,242.059998,243.37,239.59,241.91,933600,EPAM,EPAM Systems
2024-12-03,245.0,245.0099945,239.69,240.50999,602400,EPAM,EPAM Systems
2024-12-02,244.57001,246.020004,242.42,243.78999,695400,EPAM,EPAM Systems
2024-11-29,246.039993,246.67,243.91,243.92,275100,EPAM,EPAM Systems
2024-11-27,248.25999,248.45,242.8,245.78999,433900,EPAM,EPAM Systems
2024-11-26,248.16,248.85001,242.84,248.67,583000,EPAM,EPAM Systems
2024-11-25,249.10001,250.67,246.73,249.16,729900,EPAM,EPAM Systems
2024-11-22,244.37,247.12,242.94,245.27,422900,EPAM,EPAM Systems
2024-11-21,235.42,245.72,234.95,245.22,742800,EPAM,EPAM Systems
2024-11-20,228.48,235.25999,226.28,234.5,526400,EPAM,EPAM Systems
2024-11-19,230.029999,230.45,226.56,227.60001,500900,EPAM,EPAM Systems
2024-11-18,234.31,235.53,230.82001,233.39999,558300,EPAM,EPAM Systems
2024-11-15,242.86,243.27,233.16,235.28999,851800,EPAM,EPAM Systems
2024-11-14,248.5,249.27,242.75,244.86,684800,EPAM,EPAM Systems
2024-11-13,245.8,249.5,243.72,248.7,666900,EPAM,EPAM Systems
2024-11-12,244.21001,248.039993,243.16,245.75,672400,EPAM,EPAM Systems
2024-11-11,237.28,247.28999,237.28,243.25,880200,EPAM,EPAM Systems
2024-11-08,234.73,236.94,230.19,233.45,794200,EPAM,EPAM Systems
2024-11-07,230.61,240.0,223.020004,232.92,1411300,EPAM,EPAM Systems
2024-11-06,202.22,203.3,197.92999,202.69,1392600,EPAM,EPAM Systems
2024-11-05,189.16,192.22,188.050003,192.22,642600,EPAM,EPAM Systems
2024-11-04,189.020004,191.31,187.64,189.3,493200,EPAM,EPAM Systems
