datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,52.02,52.07,50.86,51.12,5758600,EQT,EQT Corporation
2025-01-30,50.93,52.07,50.88,51.65,5435000,EQT,EQT Corporation
2025-01-29,50.0,51.099998,49.83,50.62,6216100,EQT,EQT Corporation
2025-01-28,49.080002,50.0,48.24,49.9,9917200,EQT,EQT Corporation
2025-01-27,51.26,51.3,47.59,48.46,21581800,EQT,EQT Corporation
2025-01-24,53.52,53.89,53.23,53.68,6025300,EQT,EQT Corporation
2025-01-23,53.67,53.77,52.89,53.58,6778700,EQT,EQT Corporation
2025-01-22,54.099998,54.85,53.37,53.4,7782400,EQT,EQT Corporation
2025-01-21,52.57,53.46,52.23,53.43,9929500,EQT,EQT Corporation
2025-01-17,52.8,53.79,52.37,52.96,7702800,EQT,EQT Corporation
2025-01-16,52.19,53.98,52.099998,53.78,7555800,EQT,EQT Corporation
2025-01-15,52.0,53.0,51.62,52.44,10475700,EQT,EQT Corporation
2025-01-14,50.049999,51.21,49.94,50.69,7396700,EQT,EQT Corporation
2025-01-13,49.099998,50.12,48.79,50.080002,9290000,EQT,EQT Corporation
2025-01-10,49.58,50.029999,48.86,49.0,10527500,EQT,EQT Corporation
2025-01-08,48.26,49.2,48.19,49.0,7887200,EQT,EQT Corporation
2025-01-07,47.65,48.52,47.3,48.15,4851900,EQT,EQT Corporation
2025-01-06,48.0,48.29,47.38,47.64,6793300,EQT,EQT Corporation
2025-01-03,47.8,48.33,46.39,47.02,8231300,EQT,EQT Corporation
2025-01-02,47.0,47.59,45.92,47.35,10169200,EQT,EQT Corporation
2024-12-31,46.23,46.6,45.91,46.11,4902800,EQT,EQT Corporation
2024-12-30,46.35,46.76,45.060001,46.59,9723800,EQT,EQT Corporation
2024-12-27,44.17,44.98,43.96,44.32,4508300,EQT,EQT Corporation
2024-12-26,44.16,44.64,43.71,44.18,2712300,EQT,EQT Corporation
2024-12-24,44.09,44.76,43.63,44.58,2013600,EQT,EQT Corporation
2024-12-23,43.0,44.0,42.85,43.86,4813900,EQT,EQT Corporation
2024-12-20,42.59,43.64,42.42,42.99,12908800,EQT,EQT Corporation
2024-12-19,43.59,43.73,42.59,42.65,6921400,EQT,EQT Corporation
2024-12-18,44.15,44.37,42.27,42.54,7449000,EQT,EQT Corporation
2024-12-17,44.36,44.59,43.86,44.2,7058900,EQT,EQT Corporation
2024-12-16,45.59,45.82,44.64,44.82,5326500,EQT,EQT Corporation
2024-12-13,45.82,46.12,45.12,45.59,8514600,EQT,EQT Corporation
2024-12-12,45.5,46.31,45.28,45.86,4700900,EQT,EQT Corporation
2024-12-11,43.55,45.9,43.39,45.58,9615100,EQT,EQT Corporation
2024-12-10,43.23,43.82,42.73,43.049999,6095800,EQT,EQT Corporation
2024-12-09,43.99,44.2,43.07,43.27,5774300,EQT,EQT Corporation
2024-12-06,44.19,44.51,43.21,43.33,7158100,EQT,EQT Corporation
2024-12-05,45.35,45.54,44.36,44.45,7874200,EQT,EQT Corporation
