datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,57.36,58.14,57.099998,57.68,12768400,ES,Eversource Energy
2025-01-30,57.98,58.12,57.029999,57.42,2693900,ES,Eversource Energy
2025-01-29,57.55,58.060001,57.15,57.28,2657600,ES,Eversource Energy
2025-01-28,59.0,59.59,57.42,57.69,3574100,ES,Eversource Energy
2025-01-27,56.9,58.56,56.83,58.23,5876400,ES,Eversource Energy
2025-01-24,55.94,56.4,55.77,56.32,2938800,ES,Eversource Energy
2025-01-23,56.14,56.81,55.72,56.23,2438900,ES,Eversource Energy
2025-01-22,57.85,57.95,55.76,55.79,1944400,ES,Eversource Energy
2025-01-21,58.049999,58.57,57.96,58.23,2048400,ES,Eversource Energy
2025-01-17,58.040001,58.51,57.69,57.87,2137900,ES,Eversource Energy
2025-01-16,56.48,58.16,56.44,58.12,2310500,ES,Eversource Energy
2025-01-15,56.85,57.35,56.45,56.61,2277700,ES,Eversource Energy
2025-01-14,55.82,56.31,55.8,55.98,1748000,ES,Eversource Energy
2025-01-13,55.99,56.040001,54.75,55.86,2317300,ES,Eversource Energy
2025-01-10,55.96,56.78,55.6,55.63,3693800,ES,Eversource Energy
2025-01-08,55.74,56.76,55.31,56.72,2177900,ES,Eversource Energy
2025-01-07,56.56,57.19,56.0099983,56.080002,2007300,ES,Eversource Energy
2025-01-06,57.099998,57.38,55.93,56.23,1806000,ES,Eversource Energy
2025-01-03,57.42,57.79,57.17,57.31,1718900,ES,Eversource Energy
2025-01-02,57.87,58.040001,57.2,57.34,1840300,ES,Eversource Energy
2024-12-31,57.4,57.75,56.92,57.43,1635500,ES,Eversource Energy
2024-12-30,57.32,57.51,56.84,57.3,1742000,ES,Eversource Energy
2024-12-27,56.98,57.8,56.77,57.32,1083300,ES,Eversource Energy
2024-12-26,57.02,57.64,57.0,57.34,1354500,ES,Eversource Energy
2024-12-24,57.0099983,57.33,56.82,57.28,552200,ES,Eversource Energy
2024-12-23,56.71,57.23,56.28,57.18,1911700,ES,Eversource Energy
2024-12-20,55.9,57.14,55.82,56.95,7254700,ES,Eversource Energy
2024-12-19,56.15,56.86,55.89,55.9,2855400,ES,Eversource Energy
2024-12-18,57.53,58.049999,56.13,56.16,2483200,ES,Eversource Energy
2024-12-17,57.86,59.029999,57.72,58.51,1852700,ES,Eversource Energy
2024-12-16,59.43,59.64,58.0099983,58.13,2334200,ES,Eversource Energy
2024-12-13,59.57,60.14,59.26,59.52,1495100,ES,Eversource Energy
2024-12-12,59.96,60.3,59.48,59.79,2153100,ES,Eversource Energy
2024-12-11,60.47,60.85,59.66,59.99,1987900,ES,Eversource Energy
2024-12-10,60.37,60.92,59.040001,60.54,1782300,ES,Eversource Energy
2024-12-09,60.0,61.17,59.66,60.25,2299300,ES,Eversource Energy
2024-12-06,61.65,61.88,59.67,59.78,2574400,ES,Eversource Energy
2024-12-05,61.98,62.2,61.4,61.64,1674600,ES,Eversource Energy
2024-12-04,61.32,62.77,61.07,61.79,2831000,ES,Eversource Energy
2024-12-03,63.0,63.55,61.27,61.31,2208300,ES,Eversource Energy
2024-12-02,64.49,64.49,63.37,63.67,2165500,ES,Eversource Energy
2024-11-29,64.62,64.71,64.050003,64.49,912500,ES,Eversource Energy
2024-11-27,63.74,65.21,63.56,64.59,1309800,ES,Eversource Energy
2024-11-26,63.78,63.85,62.83,63.58,1420800,ES,Eversource Energy
2024-11-25,63.77,64.07,63.37,63.98,3368900,ES,Eversource Energy
2024-11-22,62.83,63.75,62.65,63.38,1415900,ES,Eversource Energy
2024-11-21,61.68,62.8,61.39,62.75,1452800,ES,Eversource Energy
2024-11-20,61.58,61.64,61.19,61.61,2371600,ES,Eversource Energy
2024-11-19,61.89,61.89,61.13,61.67,2130700,ES,Eversource Energy
2024-11-18,61.63,62.27,61.47,62.07,1684000,ES,Eversource Energy
2024-11-15,61.22,62.060001,61.12,61.85,1718500,ES,Eversource Energy
2024-11-14,60.75,61.92,60.66,61.48,1728600,ES,Eversource Energy
2024-11-13,60.95,61.040001,60.14,60.84,2014200,ES,Eversource Energy
2024-11-12,60.81,61.0,60.18,60.57,1699100,ES,Eversource Energy
2024-11-11,61.11,61.53,60.83,61.09,2131300,ES,Eversource Energy
2024-11-08,61.0,61.61,60.91,61.4,2412700,ES,Eversource Energy
2024-11-07,60.79,61.76,60.58,60.82,2853100,ES,Eversource Energy
2024-11-06,61.77,61.77,59.88,60.7,4184200,ES,Eversource Energy
2024-11-05,63.0099983,63.33,61.040001,62.07,4821000,ES,Eversource Energy
2024-11-04,63.43,64.16,63.02,63.4,2063700,ES,Eversource Energy
