datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,322.019989,330.54999,314.39999,326.44,6485600,ETN,Eaton Corporation
2025-01-30,324.82999,329.59,321.10999,327.10001,4758500,ETN,Eaton Corporation
2025-01-29,313.5,319.54999,310.12,317.60001,4291600,ETN,Eaton Corporation
2025-01-28,311.76001,313.66,298.29001,312.67001,8863800,ETN,Eaton Corporation
2025-01-27,329.48999,329.76001,306.14999,311.54999,10210600,ETN,Eaton Corporation
2025-01-26,329.48999,329.76001,306.14999,311.54999,10210645,ETN,Eaton Corporation
2025-01-24,377.12,378.0,367.16,368.98001,1970800,ETN,Eaton Corporation
2025-01-23,367.14001,372.29999,363.22,369.69,1961900,ETN,Eaton Corporation
2025-01-22,372.26999,377.92999,365.0,371.23001,3521500,ETN,Eaton Corporation
2025-01-21,372.26999,377.92499,365.0,371.23001,3521657,ETN,Eaton Corporation
2025-01-17,348.29001,349.47,345.75,346.28,2454300,ETN,Eaton Corporation
2025-01-16,346.76001,347.78,342.70001,345.19,2424600,ETN,Eaton Corporation
2025-01-15,346.91,349.69,340.70999,342.57999,3434200,ETN,Eaton Corporation
2025-01-14,344.73999,347.23999,339.0,340.14001,3019000,ETN,Eaton Corporation
2025-01-13,333.88,343.040009,333.88,340.88,2523400,ETN,Eaton Corporation
2025-01-10,342.89001,343.95999,337.97,341.45001,1828000,ETN,Eaton Corporation
2025-01-08,341.67001,345.67999,338.0,345.10999,2020400,ETN,Eaton Corporation
2025-01-07,348.35001,349.48001,341.14001,343.91,2350200,ETN,Eaton Corporation
2025-01-06,348.0,353.39999,346.67999,348.56,3157200,ETN,Eaton Corporation
2025-01-03,333.95001,343.45001,333.64999,342.57999,2570600,ETN,Eaton Corporation
2025-01-02,334.67999,337.91,330.23999,331.95999,1598400,ETN,Eaton Corporation
2024-12-31,332.25,333.98001,331.26001,331.87,1134600,ETN,Eaton Corporation
2024-12-30,329.14001,334.070007,327.54001,332.38,1400300,ETN,Eaton Corporation
2024-12-27,336.82001,338.85001,331.28,334.63,1601700,ETN,Eaton Corporation
2024-12-26,340.85001,341.82999,338.75,340.16,1196500,ETN,Eaton Corporation
2024-12-24,338.67999,341.69,337.20001,341.54001,507500,ETN,Eaton Corporation
2024-12-23,337.13,338.51999,334.20001,337.70999,1704600,ETN,Eaton Corporation
2024-12-20,333.28,342.01001,332.12,338.12,4862500,ETN,Eaton Corporation
2024-12-19,339.89999,340.10001,334.32999,335.64001,2667800,ETN,Eaton Corporation
2024-12-18,349.0,349.59,334.72,335.12,2491600,ETN,Eaton Corporation
2024-12-17,351.38,351.54999,344.67001,347.079987,2562500,ETN,Eaton Corporation
2024-12-16,355.75,357.5,353.54001,355.14999,1506200,ETN,Eaton Corporation
2024-12-13,359.76001,360.82001,355.89001,356.01001,1165000,ETN,Eaton Corporation
2024-12-12,361.92999,363.059998,358.079987,358.64001,1223500,ETN,Eaton Corporation
2024-12-11,364.41,365.0,353.32999,361.91,2440700,ETN,Eaton Corporation
2024-12-10,363.54001,364.019989,357.95001,358.48999,1891000,ETN,Eaton Corporation
2024-12-09,371.44,373.0,358.32999,364.059998,2338200,ETN,Eaton Corporation
2024-12-06,371.73999,373.28,369.25,371.22,1479100,ETN,Eaton Corporation
2024-12-05,377.51999,377.82001,370.0,371.049988,1625000,ETN,Eaton Corporation
2024-12-04,375.26999,378.47,375.019989,377.51999,1479600,ETN,Eaton Corporation
2024-12-03,372.29001,375.44,368.62,373.75,1303400,ETN,Eaton Corporation
