datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,81.07,81.74,80.71,81.080002,7475600,ETR,Entergy
2025-01-30,81.07,81.74,80.71,81.080002,7475584,ETR,Entergy
2025-01-29,77.95,80.24,77.68,79.24,4953200,ETR,Entergy
2025-01-28,79.040001,79.089996,75.55,77.62,7949500,ETR,Entergy
2025-01-27,81.8,82.67,77.75,78.79,7685200,ETR,Entergy
2025-01-24,81.85,82.8,81.71,82.52,4218600,ETR,Entergy
2025-01-23,82.99,83.16,81.72,81.9,4066200,ETR,Entergy
2025-01-22,83.43,83.43,82.080002,82.59,3043000,ETR,Entergy
2025-01-21,82.69,84.26,82.6,83.62,3128900,ETR,Entergy
2025-01-20,82.69,84.26,82.6,83.62,3129088,ETR,Entergy
2025-01-17,81.21,82.5,80.88,81.99,2853100,ETR,Entergy
2025-01-16,78.78,81.37,78.66,81.31,3968500,ETR,Entergy
2025-01-15,78.44,79.34,78.18,78.99,3611600,ETR,Entergy
2025-01-14,78.44,79.34,78.18,78.99,3611646,ETR,Entergy
2025-01-13,76.089996,77.16,75.040001,77.07,4703300,ETR,Entergy
2025-01-10,76.45,76.8,75.47,76.19,3089000,ETR,Entergy
2025-01-08,75.83,76.88,75.19,76.6,3373500,ETR,Entergy
2025-01-07,75.49,76.73,75.49,75.96,2420000,ETR,Entergy
2025-01-06,76.51,76.64,75.010002,75.26,2733200,ETR,Entergy
2025-01-03,75.67,77.16,74.81,76.68,2740100,ETR,Entergy
2025-01-02,76.27,76.54,74.77,75.4,3188100,ETR,Entergy
2024-12-31,75.79,76.19,75.24,75.82,2015400,ETR,Entergy
2024-12-30,75.51,76.040001,74.72,75.75,1829700,ETR,Entergy
2024-12-27,75.43,76.28,75.25,75.76,1429300,ETR,Entergy
2024-12-26,76.07,76.22,75.5,75.94,1391100,ETR,Entergy
2024-12-24,75.57,76.25,75.31,76.23,830700,ETR,Entergy
2024-12-23,74.71,75.55,74.19,75.43,2524300,ETR,Entergy
2024-12-20,74.059998,75.18,73.7,75.13,6807000,ETR,Entergy
2024-12-19,73.63,75.07,73.43,74.49,4577100,ETR,Entergy
2024-12-18,74.57,75.3,73.15,73.19,2807000,ETR,Entergy
2024-12-17,74.43,75.68,73.88,74.84,3754800,ETR,Entergy
2024-12-16,74.81,75.66,73.52,74.76,3607900,ETR,Entergy
2024-12-13,74.13,74.49,73.62,74.24,3294500,ETR,Entergy
2024-12-12,74.445,75.07,74.035004,74.135,3252000,ETR,Entergy
2024-12-11,74.31,74.46,73.855,73.94,2424200,ETR,Entergy
2024-12-10,74.53,74.66,73.525,74.165,3279400,ETR,Entergy
2024-12-09,75.815,76.0,74.755,74.78,2343800,ETR,Entergy
2024-12-06,76.75,77.089996,75.475,75.78,2249800,ETR,Entergy
2024-12-05,75.68,77.425,75.545,76.865,3497600,ETR,Entergy
2024-12-04,75.61,76.53,74.815,75.825,4636600,ETR,Entergy
2024-12-03,77.195,77.49,75.66,75.665,3542200,ETR,Entergy
2024-12-02,78.11,78.27,76.48,76.625,3390200,ETR,Entergy
2024-11-29,78.43,78.69,77.75,78.084999,1542200,ETR,Entergy
2024-11-27,78.11,79.035004,78.014999,78.2,3827600,ETR,Entergy
2024-11-26,76.58,78.019997,76.335,77.965,3712800,ETR,Entergy
2024-11-25,76.155,76.43,75.135,76.25,5319000,ETR,Entergy
2024-11-22,76.5,76.645,75.475,75.53,3700000,ETR,Entergy
2024-11-21,75.265,76.38,74.89,75.775,3386000,ETR,Entergy
2024-11-20,75.285,75.935,74.87,75.355,3683200,ETR,Entergy
2024-11-19,74.185,75.084999,73.715,74.945,2150400,ETR,Entergy
2024-11-18,74.335,75.61,74.335,74.635,2800200,ETR,Entergy
2024-11-15,73.75,74.885,73.56,74.56,5180200,ETR,Entergy
2024-11-14,74.029999,74.26,73.425,73.52,3501800,ETR,Entergy
2024-11-13,74.245,74.55,73.24,73.805,3292600,ETR,Entergy
2024-11-12,74.99,75.345,74.225,74.615,3078200,ETR,Entergy
2024-11-11,74.36,76.29,74.36,75.175,3857000,ETR,Entergy
2024-11-08,73.0,74.675,72.645,74.49,4929200,ETR,Entergy
2024-11-07,72.76,73.47,72.345,72.98,2840600,ETR,Entergy
2024-11-06,72.835,74.165,72.17,73.029999,3949800,ETR,Entergy
2024-11-05,71.014999,72.98,70.795,72.975,3213600,ETR,Entergy
2024-11-04,72.084999,72.355,70.215,71.215,5933800,ETR,Entergy
2024-11-01,77.18,77.265,72.165,72.395,7743000,ETR,Entergy
2024-10-31,71.0,78.425,70.705,77.39,12033200,ETR,Entergy
2024-10-30,67.435,67.625,66.85,67.2,4791800,ETR,Entergy
2024-10-29,67.745,67.765,67.029999,67.065002,5491000,ETR,Entergy
2024-10-28,67.885,68.425,67.695,68.16,3359600,ETR,Entergy
2024-10-25,69.12,69.12,67.675,67.69,4111800,ETR,Entergy
2024-10-24,68.52,68.85,68.355,68.735,3878000,ETR,Entergy
2024-10-23,67.4,68.525,67.385,68.475,2192000,ETR,Entergy
2024-10-22,66.885,67.63,66.755,67.49,2022600,ETR,Entergy
2024-10-21,67.64,68.010002,67.43,67.52,2045200,ETR,Entergy
2024-10-18,67.155,67.895,66.855,67.64,2034200,ETR,Entergy
2024-10-17,67.23,67.58,66.865,67.315,2143600,ETR,Entergy
2024-10-16,66.795,67.275,66.705,67.16,3147200,ETR,Entergy
2024-10-15,66.5,67.315,66.345,66.68,2230000,ETR,Entergy
2024-10-14,65.325,66.055,65.3,65.95,1594600,ETR,Entergy
2024-10-11,64.83,65.45,64.725,65.32,1758800,ETR,Entergy
2024-10-10,65.105,65.525,64.38,64.53,2308600,ETR,Entergy
2024-10-09,65.25,65.655,64.78,65.025002,2719600,ETR,Entergy
2024-10-08,65.895,65.98,65.23,65.265,4944800,ETR,Entergy
2024-10-07,66.0,66.029999,65.345,65.45,2524200,ETR,Entergy
2024-10-04,65.9,66.36,65.435,66.25,2066800,ETR,Entergy
2024-10-03,66.5,66.585,66.059998,66.5,1689200,ETR,Entergy
2024-10-02,65.84,66.45,65.61,66.365,2249200,ETR,Entergy
2024-10-01,65.955,66.69,65.43,66.475,3382800,ETR,Entergy
2024-09-30,65.87,65.875,65.165,65.805,2933400,ETR,Entergy
2024-09-27,65.11,65.775,64.945,65.565,1658200,ETR,Entergy
2024-09-26,64.57,65.095001,64.45,64.79,1909600,ETR,Entergy
2024-09-25,65.34,65.34,64.565,64.87,5282000,ETR,Entergy
2024-09-24,64.605,65.515,64.41,65.014999,6605600,ETR,Entergy
2024-09-23,64.935,65.080002,64.555,65.014999,3758400,ETR,Entergy
2024-09-20,64.4,64.85,63.95,64.625,6308800,ETR,Entergy
2024-09-19,64.089996,64.27,63.18,63.84,3873200,ETR,Entergy
2024-09-18,64.32,64.75,63.955,64.305,3653400,ETR,Entergy
2024-09-17,64.685,64.83,63.9,64.54,5259000,ETR,Entergy
2024-09-16,63.905,64.46,63.475,64.23,4948600,ETR,Entergy
2024-09-13,62.425,63.67,62.305,63.545,6034200,ETR,Entergy
2024-09-12,61.22,61.835,61.040001,61.775,3143400,ETR,Entergy
2024-09-11,60.515,61.205,60.0,61.115,4381400,ETR,Entergy
2024-09-10,61.064999,61.425,60.46,60.815,4613600,ETR,Entergy
2024-09-09,60.94,61.38,60.53,61.084999,7794800,ETR,Entergy
2024-09-06,61.375,61.49,60.885,60.95,3047600,ETR,Entergy
2024-09-05,61.725,61.815,60.915,61.155,2346600,ETR,Entergy
2024-09-04,61.3,61.865,60.825,61.265,2624200,ETR,Entergy
2024-09-03,60.18,61.555,60.0,61.09,3772200,ETR,Entergy
2024-08-30,60.0,60.485,59.865,60.345,2729800,ETR,Entergy
2024-08-29,59.615,59.945,59.049999,59.915,2159800,ETR,Entergy
2024-08-28,59.745,60.07,59.435,59.645,2678600,ETR,Entergy
2024-08-27,59.635,59.835,59.375,59.54,2232200,ETR,Entergy
2024-08-26,59.515,60.049999,59.44,59.75,4961200,ETR,Entergy
2024-08-23,59.65,59.78,59.265,59.4,2665200,ETR,Entergy
2024-08-22,59.4,59.6,59.24,59.4,2626800,ETR,Entergy
2024-08-21,59.425,59.71,59.255,59.44,3434400,ETR,Entergy
2024-08-20,59.215,59.55,59.115,59.44,3082400,ETR,Entergy
2024-08-19,59.0050011,59.3,58.79,59.195,2173200,ETR,Entergy
2024-08-16,58.795,59.195,58.455,58.8,2419600,ETR,Entergy
2024-08-15,58.52,58.825,58.215,58.55,3247400,ETR,Entergy
2024-08-14,58.325,59.68,58.185,58.995,3989800,ETR,Entergy
2024-08-13,58.405,58.735,58.165,58.635,2489200,ETR,Entergy
2024-08-12,58.815,59.0,58.365,58.76,2820400,ETR,Entergy
2024-08-09,58.61,58.87,57.655,58.765,2296600,ETR,Entergy
2024-08-08,57.58,58.96,57.58,58.61,4598200,ETR,Entergy
2024-08-07,58.31,59.335,57.9,58.49,3835000,ETR,Entergy
2024-08-06,57.895,58.92,57.765,58.080002,3938000,ETR,Entergy
2024-08-05,60.58,60.895,57.715,57.755,3623400,ETR,Entergy
2024-08-02,61.32,61.805,59.0050011,60.4,4969200,ETR,Entergy
2024-08-01,58.75,60.59,58.099998,60.41,4210200,ETR,Entergy
2024-07-31,58.325,58.5,57.47,57.985,3755400,ETR,Entergy
2024-07-30,56.98,58.27,56.98,58.17,2826400,ETR,Entergy
2024-07-29,56.815,57.435,56.465,57.18,2728400,ETR,Entergy
2024-07-26,56.0,57.09,56.0,56.815,2811000,ETR,Entergy
2024-07-25,56.285,56.82,55.35,55.71,2840200,ETR,Entergy
2024-07-24,55.61,56.029999,55.21,55.93,2209400,ETR,Entergy
2024-07-23,55.43,55.48,55.075001,55.175,1364400,ETR,Entergy
2024-07-22,55.115,55.75,55.040001,55.51,1634600,ETR,Entergy
2024-07-19,55.7,55.7,55.0099983,55.24,2024400,ETR,Entergy
2024-07-18,55.0099983,56.11,55.0099983,55.365,1945800,ETR,Entergy
2024-07-17,54.455,55.57,54.225,55.32,2693600,ETR,Entergy
2024-07-16,53.9,54.45,53.785,54.235,2663600,ETR,Entergy
2024-07-15,54.285,54.3,53.39,53.415,2688000,ETR,Entergy
2024-07-12,54.475,54.93,54.305,54.585,2085400,ETR,Entergy
2024-07-11,53.235,54.375,53.135,54.245,2771800,ETR,Entergy
2024-07-10,52.79,52.965,52.455,52.96,2584000,ETR,Entergy
