datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,40.0,40.23,39.89,40.0,7144100,EXC,Exelon
2025-01-30,39.9,40.25,39.83,40.02,5755800,EXC,Exelon
2025-01-29,39.78,40.15,39.47,39.57,5796500,EXC,Exelon
2025-01-28,40.77,40.77,39.71,39.81,9471900,EXC,Exelon
2025-01-27,39.8,40.85,39.65,40.7,12159400,EXC,Exelon
2025-01-24,39.2,39.49,38.85,39.38,5362600,EXC,Exelon
2025-01-23,39.39,39.57,39.060001,39.24,5944700,EXC,Exelon
2025-01-22,40.22,40.35,39.16,39.22,7661000,EXC,Exelon
2025-01-21,39.95,40.67,39.82,40.44,5610400,EXC,Exelon
2025-01-17,39.6,39.66,39.19,39.42,6140500,EXC,Exelon
2025-01-16,37.96,39.37,37.9,39.34,5591800,EXC,Exelon
2025-01-15,38.3,38.58,37.9,38.02,5659200,EXC,Exelon
2025-01-14,37.63,38.080002,37.32,37.92,6747000,EXC,Exelon
2025-01-13,37.56,37.74,37.13,37.56,5923000,EXC,Exelon
2025-01-10,38.049999,38.48,37.29,37.3,7691800,EXC,Exelon
2025-01-08,37.48,38.23,37.2,38.19,5669800,EXC,Exelon
2025-01-07,37.91,38.4,37.44,37.53,5120000,EXC,Exelon
2025-01-06,37.76,38.09,37.52,37.8,6817000,EXC,Exelon
2025-01-03,37.96,38.2,37.63,38.049999,4268100,EXC,Exelon
2025-01-02,37.91,38.13,37.51,37.66,4578400,EXC,Exelon
2024-12-31,37.73,37.79,37.39,37.64,5347900,EXC,Exelon
2024-12-30,37.45,37.72,37.060001,37.63,4145100,EXC,Exelon
2024-12-27,37.21,37.63,37.12,37.43,3669400,EXC,Exelon
2024-12-26,37.36,37.53,37.28,37.45,4142900,EXC,Exelon
2024-12-24,37.33,37.55,37.19,37.52,1853400,EXC,Exelon
2024-12-23,36.99,37.39,36.8,37.33,6073300,EXC,Exelon
2024-12-20,37.09,37.26,36.55,37.02,20813900,EXC,Exelon
2024-12-19,36.62,37.73,36.49,37.19,14685700,EXC,Exelon
2024-12-18,36.5,36.78,36.41,36.56,9095400,EXC,Exelon
2024-12-17,36.09,36.63,35.94,36.52,7372900,EXC,Exelon
2024-12-16,36.89,36.96,36.2,36.22,5540700,EXC,Exelon
2024-12-15,36.89,36.96,36.195,36.22,5540661,EXC,Exelon
2024-12-13,36.67,37.049999,36.58,36.87,7873200,EXC,Exelon
2024-12-12,37.0,37.11,36.67,36.83,7086600,EXC,Exelon
2024-12-11,37.32,37.39,36.6,36.76,6684900,EXC,Exelon
2024-12-10,37.32,37.39,36.595,36.76,6684933,EXC,Exelon
2024-12-09,37.79,37.97,37.41,37.44,6064800,EXC,Exelon
2024-12-06,37.9,38.040001,37.73,37.85,6946400,EXC,Exelon
2024-12-05,37.94,38.24,37.81,37.98,4712300,EXC,Exelon
2024-12-04,38.07,38.2,37.53,37.85,4176500,EXC,Exelon
2024-12-03,38.39,38.73,38.12,38.14,6606100,EXC,Exelon
2024-12-02,39.48,39.54,38.29,38.37,5682500,EXC,Exelon
2024-11-29,39.5,39.69,39.34,39.56,2407400,EXC,Exelon
2024-11-27,39.41,39.89,39.37,39.51,4227000,EXC,Exelon
2024-11-26,39.18,39.58,39.16,39.49,5591700,EXC,Exelon
2024-11-25,38.95,39.27,38.69,39.13,7013400,EXC,Exelon
2024-11-22,39.36,39.56,38.68,38.71,4039000,EXC,Exelon
2024-11-21,38.72,39.36,38.5,39.31,7606200,EXC,Exelon
2024-11-20,39.2,39.24,38.26,38.73,5551000,EXC,Exelon
2024-11-19,39.07,39.22,38.71,39.099998,6070100,EXC,Exelon
2024-11-18,39.049999,39.39,38.74,39.23,7261100,EXC,Exelon
2024-11-15,38.11,39.19,38.11,39.11,9038600,EXC,Exelon
2024-11-14,38.23,38.39,38.080002,38.12,4663200,EXC,Exelon
2024-11-13,38.24,38.4,37.81,38.14,6174700,EXC,Exelon
2024-11-12,38.27,38.54,38.049999,38.16,3814700,EXC,Exelon
2024-11-11,38.09,38.51,38.0099983,38.4,6534100,EXC,Exelon
2024-11-08,37.92,38.32,37.83,38.11,4985400,EXC,Exelon
2024-11-07,38.33,38.49,38.02,38.09,5879300,EXC,Exelon
2024-11-06,38.25,38.6,37.85,38.32,11397800,EXC,Exelon
2024-11-05,37.97,38.49,37.76,38.47,4591500,EXC,Exelon
2024-11-04,38.07,38.4,37.76,37.97,7614600,EXC,Exelon
2024-11-01,39.24,39.59,38.11,38.15,7671500,EXC,Exelon
2024-10-31,39.67,39.83,39.27,39.3,9240500,EXC,Exelon
2024-10-30,39.53,40.060001,39.21,39.7,9458400,EXC,Exelon
2024-10-29,39.89,40.0,39.45,39.55,7521100,EXC,Exelon
2024-10-28,40.17,40.51,40.17,40.23,4288800,EXC,Exelon
2024-10-25,40.97,41.0099983,39.98,40.07,5418500,EXC,Exelon
2024-10-24,40.8,41.0,40.53,40.71,5217900,EXC,Exelon
2024-10-23,40.39,40.78,40.39,40.74,6339800,EXC,Exelon
2024-10-22,40.38,40.65,40.27,40.53,5737700,EXC,Exelon
2024-10-21,40.9,41.02,40.49,40.5,4938700,EXC,Exelon
2024-10-18,40.74,41.14,40.45,40.95,6103500,EXC,Exelon
2024-10-17,41.029999,41.19,40.67,40.77,6409600,EXC,Exelon
2024-10-16,40.61,41.02,40.51,40.97,7927700,EXC,Exelon
2024-10-15,40.17,40.81,40.080002,40.56,6077300,EXC,Exelon
2024-10-14,39.74,40.099998,39.71,39.93,5496800,EXC,Exelon
2024-10-11,39.24,39.93,39.24,39.74,5000200,EXC,Exelon
2024-10-10,39.61,39.87,39.24,39.27,4011700,EXC,Exelon
2024-10-09,39.5,39.78,39.36,39.6,3616300,EXC,Exelon
2024-10-08,39.68,39.99,39.53,39.61,4679300,EXC,Exelon
2024-10-07,39.99,40.0,39.5,39.54,4301500,EXC,Exelon
2024-10-04,40.4,40.59,40.060001,40.21,7512300,EXC,Exelon
2024-10-03,41.0,41.029999,40.62,40.78,4137800,EXC,Exelon
2024-10-02,40.59,41.12,40.58,40.95,4703000,EXC,Exelon
2024-10-01,40.55,41.049999,40.44,40.77,7394600,EXC,Exelon
2024-09-30,40.38,40.68,40.080002,40.55,8333400,EXC,Exelon
2024-09-27,40.14,40.56,40.060001,40.38,5899100,EXC,Exelon
2024-09-26,39.82,40.29,39.81,39.93,3108100,EXC,Exelon
2024-09-25,40.22,40.23,39.62,39.99,6309400,EXC,Exelon
2024-09-24,40.25,40.49,39.75,39.99,9059200,EXC,Exelon
2024-09-23,40.45,40.45,40.080002,40.4,5674200,EXC,Exelon
2024-09-20,39.65,40.76,39.52,40.27,18779400,EXC,Exelon
2024-09-19,39.34,39.45,38.88,39.29,6675400,EXC,Exelon
2024-09-18,40.18,40.23,39.29,39.5,6921700,EXC,Exelon
2024-09-17,40.36,40.52,40.11,40.2,6829500,EXC,Exelon
2024-09-16,40.41,40.63,40.2,40.43,7764100,EXC,Exelon
2024-09-13,39.93,40.27,39.69,40.23,6605700,EXC,Exelon
2024-09-12,39.39,39.93,39.12,39.86,19881400,EXC,Exelon
2024-09-11,38.89,39.38,38.63,39.3,11191000,EXC,Exelon
2024-09-10,38.85,39.21,38.72,39.049999,7849100,EXC,Exelon
2024-09-09,38.38,38.87,38.2,38.73,6209500,EXC,Exelon
2024-09-06,38.45,38.66,38.17,38.2,4624700,EXC,Exelon
2024-09-05,39.11,39.25,38.28,38.42,7460600,EXC,Exelon
2024-09-04,38.67,39.26,38.65,38.89,6121000,EXC,Exelon
2024-09-03,38.12,38.69,38.0,38.49,7145000,EXC,Exelon
2024-08-30,37.99,38.2,37.82,38.09,6379500,EXC,Exelon
2024-08-29,38.0,38.049999,37.54,38.029999,3705600,EXC,Exelon
