datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,113.77,115.13,112.82,113.58,1209500,EXPD,Expeditors International
2025-01-30,112.66,114.56,111.54,113.74,743400,EXPD,Expeditors International
2025-01-29,113.9,115.95,113.64,114.3,887200,EXPD,Expeditors International
2025-01-28,115.33,115.33,113.87,114.19,768300,EXPD,Expeditors International
2025-01-27,113.61,115.82,113.61,115.32,870800,EXPD,Expeditors International
2025-01-24,114.07,114.46,112.71,112.99,728200,EXPD,Expeditors International
2025-01-23,113.089996,114.68,112.36,114.3,682700,EXPD,Expeditors International
2025-01-22,112.38,113.07,111.79,112.32,626800,EXPD,Expeditors International
2025-01-21,110.5,112.85,110.3,112.74,1344900,EXPD,Expeditors International
2025-01-17,111.31,111.35,110.2,110.35,1701700,EXPD,Expeditors International
2025-01-16,111.47,111.82,110.33,111.21,1107300,EXPD,Expeditors International
2025-01-15,112.33,113.76,111.11,111.45,924800,EXPD,Expeditors International
2025-01-14,111.0,112.26,110.81,111.24,943600,EXPD,Expeditors International
2025-01-13,109.55,111.47,109.010002,110.58,1219400,EXPD,Expeditors International
2025-01-10,112.0,112.79,108.36,109.089996,2136500,EXPD,Expeditors International
2025-01-08,111.72,112.94,110.29,112.89,986500,EXPD,Expeditors International
2025-01-07,112.11,112.98,110.75,111.4,944200,EXPD,Expeditors International
2025-01-06,111.57,113.89,110.68,111.11,1078300,EXPD,Expeditors International
2025-01-03,110.2,111.62,109.63,111.28,670800,EXPD,Expeditors International
2025-01-02,110.93,111.65,109.58,110.019997,902500,EXPD,Expeditors International
2024-12-31,111.3,112.080002,110.48,110.77,705300,EXPD,Expeditors International
2024-12-30,111.019997,111.35,109.43,110.8,860800,EXPD,Expeditors International
2024-12-27,110.6,112.07,110.6,111.42,774500,EXPD,Expeditors International
2024-12-26,110.65,111.99,110.51,111.27,693300,EXPD,Expeditors International
2024-12-24,110.51,111.23,110.029999,111.19,289000,EXPD,Expeditors International
2024-12-23,111.0,111.36,109.95,110.5,912900,EXPD,Expeditors International
2024-12-20,112.2,113.36,111.050003,111.48,2367000,EXPD,Expeditors International
2024-12-19,114.27,114.95,112.49,112.74,1272200,EXPD,Expeditors International
2024-12-18,115.84,116.6,114.32,114.33,1033900,EXPD,Expeditors International
2024-12-17,116.83,117.9,115.85,115.92,1240100,EXPD,Expeditors International
2024-12-16,118.25,118.82,117.76,117.78,938100,EXPD,Expeditors International
2024-12-13,119.43,119.87,118.2,118.51,858500,EXPD,Expeditors International
2024-12-12,120.3,120.6,118.83,119.75,1119900,EXPD,Expeditors International
2024-12-11,122.81,122.9,120.34,120.4,1023400,EXPD,Expeditors International
2024-12-10,120.8,121.86,119.65,121.099998,820900,EXPD,Expeditors International
2024-12-09,119.7,121.19,119.19,120.64,871600,EXPD,Expeditors International
2024-12-06,121.31,121.46,119.12,119.28,974500,EXPD,Expeditors International
2024-12-05,121.64,121.69,120.15,120.45,1027400,EXPD,Expeditors International
2024-12-04,119.94,121.34,119.4,121.2,1014600,EXPD,Expeditors International
2024-12-03,122.0,122.51,120.81,121.080002,848300,EXPD,Expeditors International
2024-12-02,120.7,121.78,119.76,121.47,653800,EXPD,Expeditors International
2024-11-29,121.45,122.0,120.81,121.64,427500,EXPD,Expeditors International
2024-11-27,122.26,122.63,121.07,121.25,660100,EXPD,Expeditors International
2024-11-26,122.68,122.68,120.95,121.65,899200,EXPD,Expeditors International
2024-11-25,122.19,122.71,121.35,122.39,1879200,EXPD,Expeditors International
2024-11-22,121.21,121.88,120.69,121.32,901900,EXPD,Expeditors International
2024-11-21,119.0,121.019997,118.96,120.7,1567400,EXPD,Expeditors International
2024-11-20,118.38,119.16,117.8,118.93,851600,EXPD,Expeditors International
2024-11-19,119.11,119.38,117.78,118.029999,1438500,EXPD,Expeditors International
2024-11-18,119.81,121.37,119.69,120.33,1004500,EXPD,Expeditors International
2024-11-15,120.77,121.22,120.0,120.16,1096900,EXPD,Expeditors International
2024-11-14,119.8,121.9,119.41,120.96,1323600,EXPD,Expeditors International
2024-11-13,119.15,119.89,118.0,119.5,1090200,EXPD,Expeditors International
2024-11-12,119.97,119.97,118.24,118.75,1238800,EXPD,Expeditors International
2024-11-11,120.4,120.4,118.72,119.54,936700,EXPD,Expeditors International
2024-11-08,119.71,121.87,119.32,120.059998,1230100,EXPD,Expeditors International
2024-11-07,120.5,121.33,119.71,119.99,1385400,EXPD,Expeditors International
2024-11-06,116.41,120.85,113.17,119.41,3120200,EXPD,Expeditors International
2024-11-05,125.2,125.63,119.0,122.019997,2008600,EXPD,Expeditors International
2024-11-04,119.37,120.91,119.37,120.39,1667900,EXPD,Expeditors International
2024-11-01,119.18,119.92,118.71,119.059998,1247400,EXPD,Expeditors International
2024-10-31,118.99,120.27,118.65,119.0,2316700,EXPD,Expeditors International
2024-10-30,118.89,120.81,118.89,119.55,724500,EXPD,Expeditors International
2024-10-29,119.62,120.82,119.17,119.62,739700,EXPD,Expeditors International
2024-10-28,120.33,121.059998,119.95,120.080002,771100,EXPD,Expeditors International
2024-10-25,120.11,120.62,119.42,119.84,601600,EXPD,Expeditors International
2024-10-24,121.010002,121.010002,119.17,119.58,827000,EXPD,Expeditors International
2024-10-23,119.22,120.42,119.010002,119.5,1278500,EXPD,Expeditors International
2024-10-22,120.29,120.45,118.98,120.2,901500,EXPD,Expeditors International
2024-10-21,120.010002,121.26,119.15,120.24,886400,EXPD,Expeditors International
2024-10-18,121.94,122.0,120.099998,120.5,1192500,EXPD,Expeditors International
2024-10-17,121.79,122.17,120.75,121.15,621300,EXPD,Expeditors International
2024-10-16,122.78,123.48,121.51,121.77,992800,EXPD,Expeditors International
2024-10-15,122.45,123.82,121.16,121.35,1177400,EXPD,Expeditors International
2024-10-14,120.9,122.59,120.65,122.089996,940500,EXPD,Expeditors International
2024-10-11,121.81,123.78,121.8,123.019997,743300,EXPD,Expeditors International
2024-10-10,121.0,121.95,120.66,121.37,1207500,EXPD,Expeditors International
2024-10-09,120.22,121.9,119.32,121.26,1626300,EXPD,Expeditors International
2024-10-08,120.73,122.8,120.31,121.41,1201500,EXPD,Expeditors International
2024-10-07,119.99,120.67,118.93,119.87,957200,EXPD,Expeditors International
2024-10-04,123.34,123.99,119.28,120.44,1123300,EXPD,Expeditors International
2024-10-03,126.019997,126.019997,122.39,122.57,1014100,EXPD,Expeditors International
2024-10-02,127.33,128.75,125.28,125.69,1055700,EXPD,Expeditors International
2024-10-01,130.67,131.17999,126.0,128.25999,1501500,EXPD,Expeditors International
2024-09-30,128.84,131.59,128.84,131.39999,1046700,EXPD,Expeditors International
2024-09-27,128.56,129.74001,128.070007,128.92999,842800,EXPD,Expeditors International
2024-09-26,128.12,129.28,127.19,127.72,895400,EXPD,Expeditors International
2024-09-25,128.020004,128.020004,125.65,127.059998,869600,EXPD,Expeditors International
2024-09-24,126.0,128.47,125.9,128.10001,882000,EXPD,Expeditors International
2024-09-23,123.98,125.78,123.7,125.51,883400,EXPD,Expeditors International
2024-09-20,125.51,125.9,122.49,123.18,1864200,EXPD,Expeditors International
2024-09-19,125.0,126.19,124.040001,125.65,861200,EXPD,Expeditors International
2024-09-18,123.93,125.099998,123.040001,123.39,750300,EXPD,Expeditors International
2024-09-17,121.65,123.76,121.65,123.7,826700,EXPD,Expeditors International
2024-09-16,121.5,122.099998,120.35,121.080002,708300,EXPD,Expeditors International
2024-09-13,121.51,121.51,119.31,120.78,1217700,EXPD,Expeditors International
2024-09-12,122.75,122.84,120.45,121.059998,1017700,EXPD,Expeditors International
2024-09-11,121.65,123.0,119.45,122.87,712400,EXPD,Expeditors International
2024-09-10,122.54,122.54,121.050003,121.76,930400,EXPD,Expeditors International
2024-09-09,121.35,123.65,121.35,122.53,785500,EXPD,Expeditors International
2024-09-06,122.62,123.61,120.61,121.0,630800,EXPD,Expeditors International
2024-09-05,125.22,125.38,121.17,122.53,895700,EXPD,Expeditors International
2024-09-04,123.87,125.75,123.019997,125.2,837000,EXPD,Expeditors International
2024-09-03,122.24,123.89,121.42,123.36,887300,EXPD,Expeditors International
2024-08-30,122.5,123.45,121.79,123.41,1112300,EXPD,Expeditors International
2024-08-29,123.48,123.58,121.91,122.17,745500,EXPD,Expeditors International
2024-08-28,122.24,122.81,121.68,122.6,516300,EXPD,Expeditors International
2024-08-27,122.65,122.87,121.62,122.3,687300,EXPD,Expeditors International
2024-08-26,123.52,123.52,121.99,122.74,637500,EXPD,Expeditors International
2024-08-23,123.33,124.23,122.77,123.050003,434700,EXPD,Expeditors International
2024-08-22,122.33,123.07,121.93,123.0,733100,EXPD,Expeditors International
2024-08-21,120.73,122.31,120.059998,122.27,1011200,EXPD,Expeditors International
2024-08-20,121.16,121.16,119.42,119.94,803700,EXPD,Expeditors International
2024-08-19,120.36,121.35,120.2,121.3,788400,EXPD,Expeditors International
2024-08-16,119.63,120.4,118.87,120.059998,994900,EXPD,Expeditors International
2024-08-15,120.67,121.25,119.27,119.44,887700,EXPD,Expeditors International
2024-08-14,119.38,120.0,118.77,119.33,748200,EXPD,Expeditors International
2024-08-13,118.61,119.38,118.010002,119.29,1099800,EXPD,Expeditors International
2024-08-12,119.25,119.55,117.5,119.11,1158800,EXPD,Expeditors International
2024-08-09,119.16,119.6,118.31,119.080002,966900,EXPD,Expeditors International
2024-08-08,117.76,119.33,116.64,119.12,1206600,EXPD,Expeditors International
2024-08-07,116.99,118.71,115.64,116.93,1633600,EXPD,Expeditors International
2024-08-06,112.86,117.66,111.54,116.099998,2578000,EXPD,Expeditors International
2024-08-05,121.47,122.77,119.46,121.29,1282800,EXPD,Expeditors International
2024-08-02,125.12,125.66,121.66,123.13,937700,EXPD,Expeditors International
2024-08-01,126.96,129.14,125.92,126.48,1161100,EXPD,Expeditors International
2024-07-31,125.96,126.34,124.27,124.82,1282900,EXPD,Expeditors International
2024-07-30,124.78,126.18,124.16,124.96,507700,EXPD,Expeditors International
2024-07-29,124.17,125.26,123.43,124.47,570200,EXPD,Expeditors International
2024-07-26,124.44,125.98,123.88,124.18,912900,EXPD,Expeditors International
2024-07-25,124.27,127.26,123.86,124.85,1070700,EXPD,Expeditors International
2024-07-24,123.44,124.63,122.28,124.029999,1024200,EXPD,Expeditors International
2024-07-23,122.33,124.34,121.64,123.87,1060600,EXPD,Expeditors International
2024-07-22,121.41,123.050003,120.28,122.97,1251900,EXPD,Expeditors International
2024-07-19,120.92,121.41,119.35,120.2,3151700,EXPD,Expeditors International
2024-07-18,121.76,123.11,120.23,120.29,1242400,EXPD,Expeditors International
2024-07-17,120.26,122.050003,120.18,120.81,1676000,EXPD,Expeditors International
2024-07-16,119.56,122.66,118.95,121.6,2312900,EXPD,Expeditors International
2024-07-15,119.88,120.74,118.38,119.029999,2007300,EXPD,Expeditors International
2024-07-12,123.42,123.91,119.14,119.89,2130400,EXPD,Expeditors International
2024-07-11,121.44,123.010002,120.53,122.78,1180400,EXPD,Expeditors International
2024-07-10,121.81,121.81,119.55,120.57,794000,EXPD,Expeditors International
2024-07-09,120.34,120.71,118.47,118.65,1106000,EXPD,Expeditors International
2024-07-08,123.6,123.73,119.26,119.91,967300,EXPD,Expeditors International
2024-07-05,122.74,123.92,122.68,123.45,791300,EXPD,Expeditors International
2024-07-03,122.099998,124.54,121.2,123.85,881700,EXPD,Expeditors International
2024-07-02,121.19,121.6,120.13,121.22,973200,EXPD,Expeditors International
2024-07-01,124.76,125.26,120.76,120.87,1119000,EXPD,Expeditors International
2024-06-28,126.29,127.54,124.25,124.79,2096600,EXPD,Expeditors International
2024-06-27,127.43,127.99,125.68,125.99,1020500,EXPD,Expeditors International
2024-06-26,126.91,127.66,126.51,127.26,1203900,EXPD,Expeditors International
2024-06-25,126.98,127.57,125.18,126.6,1153100,EXPD,Expeditors International
2024-06-24,127.19,129.24001,126.32,126.98,1645000,EXPD,Expeditors International
2024-06-21,126.47,127.99,125.43,126.42,5508300,EXPD,Expeditors International
2024-06-20,124.35,126.38,124.080002,126.25,1209200,EXPD,Expeditors International
2024-06-18,123.82,124.96,123.4,124.53,1362700,EXPD,Expeditors International
2024-06-17,122.88,124.28,122.65,123.73,1064200,EXPD,Expeditors International
2024-06-14,123.07,124.019997,120.75,123.39,1225000,EXPD,Expeditors International
2024-06-13,124.61,125.58,123.95,124.29,1103000,EXPD,Expeditors International
2024-06-12,125.97,126.61,124.48,125.29,1022400,EXPD,Expeditors International
2024-06-11,125.0,125.65,123.66,124.41,1171300,EXPD,Expeditors International
2024-06-10,125.29,126.92,124.81,126.81,1243300,EXPD,Expeditors International
