datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,169.53,169.87,163.94,164.36,2917900,FANG,Diamondback Energy
2025-01-30,172.32001,173.020004,169.44,170.41,1284500,FANG,Diamondback Energy
2025-01-29,168.99001,171.58,167.72,170.86,1316300,FANG,Diamondback Energy
2025-01-28,171.45,173.46001,167.16,169.25,1731200,FANG,Diamondback Energy
2025-01-27,173.66,175.69,170.21001,171.60001,1773100,FANG,Diamondback Energy
2025-01-24,177.16,177.69,172.50999,173.25999,1940300,FANG,Diamondback Energy
2025-01-23,179.080002,180.28999,175.83,176.63,1888600,FANG,Diamondback Energy
2025-01-22,176.23,179.64999,174.97,177.59,1608400,FANG,Diamondback Energy
2025-01-21,178.44,178.73,175.77,176.95,2151200,FANG,Diamondback Energy
2025-01-17,180.36,180.91,178.53,180.17999,1812000,FANG,Diamondback Energy
2025-01-16,178.62,180.17,177.64999,179.12,1377800,FANG,Diamondback Energy
2025-01-15,178.49001,180.25,177.67999,179.56,1669800,FANG,Diamondback Energy
2025-01-14,177.0,178.87,175.69,177.67999,1734400,FANG,Diamondback Energy
2025-01-13,176.070007,180.089996,175.71001,177.61,3038500,FANG,Diamondback Energy
2025-01-10,174.89,177.25999,171.7,174.77,2725200,FANG,Diamondback Energy
2025-01-08,171.55,173.0,169.47,170.99001,1666000,FANG,Diamondback Energy
2025-01-07,170.24001,173.28,169.25,172.42,2127400,FANG,Diamondback Energy
2025-01-06,171.78,175.080002,168.82001,169.64,2121400,FANG,Diamondback Energy
2025-01-03,168.35001,171.92999,167.67999,170.96001,2016400,FANG,Diamondback Energy
2025-01-02,166.14999,168.22,165.2,166.78,1787600,FANG,Diamondback Energy
2024-12-31,160.99001,164.25999,160.69,163.83,2491900,FANG,Diamondback Energy
2024-12-30,158.50999,161.95,157.36,160.98,2086900,FANG,Diamondback Energy
2024-12-27,157.87,159.55,156.77,158.34,1723500,FANG,Diamondback Energy
2024-12-26,158.28,159.59,156.7,158.029999,1163800,FANG,Diamondback Energy
2024-12-24,157.42999,158.10001,155.2,157.77,823200,FANG,Diamondback Energy
2024-12-23,154.96001,156.58,153.73,156.10001,2107300,FANG,Diamondback Energy
2024-12-20,152.16,156.22,152.0,154.94,7837400,FANG,Diamondback Energy
2024-12-19,158.60001,159.34,152.83,153.059998,2963100,FANG,Diamondback Energy
2024-12-18,161.020004,161.74001,155.97,156.080002,2546800,FANG,Diamondback Energy
2024-12-17,157.89999,160.34,155.8,160.14,2714400,FANG,Diamondback Energy
2024-12-16,162.66,162.66,158.50999,158.92999,2370800,FANG,Diamondback Energy
2024-12-13,162.61,164.039993,161.0,163.34,1718100,FANG,Diamondback Energy
2024-12-12,163.71001,164.050003,161.92999,162.23,1627900,FANG,Diamondback Energy
2024-12-11,164.36,164.8,162.53999,163.89999,2662900,FANG,Diamondback Energy
2024-12-10,167.72,167.89,162.58,163.14999,2298900,FANG,Diamondback Energy
2024-12-09,169.52,169.98,166.73,167.12,1775700,FANG,Diamondback Energy
2024-12-06,171.85001,171.89999,164.81,166.83,3104700,FANG,Diamondback Energy
2024-12-05,171.45,174.13,171.45,172.67999,2157300,FANG,Diamondback Energy
2024-12-04,176.0,176.32001,168.69,170.99001,2437500,FANG,Diamondback Energy
2024-12-03,178.039993,178.27,174.33,175.75999,1804400,FANG,Diamondback Energy
2024-12-02,177.77,178.28,173.92999,175.83,1719200,FANG,Diamondback Energy
2024-11-29,176.2,178.41,176.0099945,177.59,820300,FANG,Diamondback Energy
2024-11-27,176.52,178.8,175.89999,176.19,1490400,FANG,Diamondback Energy
2024-11-26,179.73,180.55,175.13,175.97,2466800,FANG,Diamondback Energy
2024-11-25,184.49001,184.59,178.92,179.55,2957900,FANG,Diamondback Energy
