datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,470.98999,477.92001,469.53,474.41,1350200,FDS,FactSet
2025-01-30,470.070007,474.85999,468.97,472.12,219500,FDS,FactSet
2025-01-29,467.89001,471.45001,462.92001,464.63,250000,FDS,FactSet
2025-01-28,470.0,477.019989,465.69,470.62,375000,FDS,FactSet
2025-01-27,467.67001,476.82999,461.35001,475.42999,334000,FDS,FactSet
2025-01-24,464.35999,467.41,463.69,467.12,217300,FDS,FactSet
2025-01-23,465.070007,465.38,460.94,464.38,277600,FDS,FactSet
2025-01-22,465.0,465.84,462.35999,464.76999,341100,FDS,FactSet
2025-01-21,465.0,468.79999,463.92001,466.14001,250000,FDS,FactSet
2025-01-17,458.75,464.81,458.75,462.98999,388300,FDS,FactSet
2025-01-16,455.39999,460.91,449.94,459.97,265100,FDS,FactSet
2025-01-15,461.0,462.059998,449.51001,453.98001,477900,FDS,FactSet
2025-01-14,457.31,457.31,450.85001,454.17001,279300,FDS,FactSet
2025-01-13,449.72,456.51001,449.72,454.85999,271100,FDS,FactSet
2025-01-10,450.48999,455.98999,446.98999,453.019989,320000,FDS,FactSet
2025-01-08,457.56,461.070007,457.089996,458.45999,415300,FDS,FactSet
2025-01-07,466.85001,470.25,458.51999,460.67999,266100,FDS,FactSet
2025-01-06,473.67999,474.91,465.17999,466.029999,299200,FDS,FactSet
2025-01-03,477.13,478.60001,473.56,475.059998,158700,FDS,FactSet
2025-01-02,484.32999,484.32999,475.31,476.51001,177200,FDS,FactSet
2024-12-31,482.67999,487.39999,479.22,480.28,159100,FDS,FactSet
2024-12-30,480.44,486.26001,477.079987,482.67999,205200,FDS,FactSet
2024-12-27,490.16,493.0,482.85001,486.56,155200,FDS,FactSet
2024-12-26,487.76999,492.95999,487.42999,491.60999,163900,FDS,FactSet
2024-12-24,489.89001,492.0,487.70001,491.35001,110700,FDS,FactSet
2024-12-23,480.019989,489.82999,480.019989,489.34,264300,FDS,FactSet
2024-12-20,484.59,485.67999,470.32999,483.51999,922800,FDS,FactSet
2024-12-19,459.14999,496.89999,459.14999,489.73001,666200,FDS,FactSet
