datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,39.71,39.91,39.58,39.8,4584000,FE,FirstEnergy
2025-01-30,40.09,40.099998,39.29,39.72,4522400,FE,FirstEnergy
2025-01-29,40.25,40.31,39.64,39.67,5014600,FE,FirstEnergy
2025-01-28,40.75,41.029999,39.83,40.19,4678400,FE,FirstEnergy
2025-01-27,39.76,40.9,39.53,40.88,5477500,FE,FirstEnergy
2025-01-24,38.89,39.23,38.89,39.21,3570500,FE,FirstEnergy
2025-01-23,39.14,39.29,38.76,39.02,4905500,FE,FirstEnergy
2025-01-22,40.18,40.18,39.38,39.42,2241700,FE,FirstEnergy
2025-01-21,40.11,40.45,40.040001,40.28,2375900,FE,FirstEnergy
2025-01-17,39.94,40.19,39.7,39.89,4082900,FE,FirstEnergy
2025-01-16,39.15,40.09,39.15,40.080002,2881600,FE,FirstEnergy
2025-01-15,39.72,39.78,39.17,39.22,2468400,FE,FirstEnergy
2025-01-14,39.22,39.33,39.0099983,39.17,3222000,FE,FirstEnergy
2025-01-13,38.91,39.19,38.5,39.16,2818800,FE,FirstEnergy
2025-01-10,39.54,39.83,38.56,38.72,4248400,FE,FirstEnergy
2025-01-08,39.27,39.83,39.029999,39.77,2548300,FE,FirstEnergy
2025-01-07,39.39,39.66,39.18,39.31,1968900,FE,FirstEnergy
2025-01-06,39.77,39.83,39.16,39.27,3010600,FE,FirstEnergy
2025-01-03,40.09,40.28,39.88,39.92,1990100,FE,FirstEnergy
2025-01-02,40.049999,40.22,39.75,39.91,1968200,FE,FirstEnergy
2024-12-31,39.64,39.87,39.51,39.78,2501400,FE,FirstEnergy
2024-12-30,39.54,39.73,39.29,39.64,2113800,FE,FirstEnergy
2024-12-27,39.53,39.9,39.45,39.67,1864000,FE,FirstEnergy
2024-12-26,39.74,39.94,39.7,39.8,1450000,FE,FirstEnergy
2024-12-24,39.7,39.96,39.62,39.89,819600,FE,FirstEnergy
2024-12-23,39.75,39.84,39.49,39.73,3578100,FE,FirstEnergy
2024-12-20,38.97,39.87,38.81,39.79,7995100,FE,FirstEnergy
2024-12-19,39.2,39.77,39.040001,39.16,3540200,FE,FirstEnergy
2024-12-18,39.72,39.9,39.12,39.14,3583600,FE,FirstEnergy
2024-12-17,39.7,40.17,39.63,39.84,2712300,FE,FirstEnergy
2024-12-16,40.31,40.38,39.9,39.9,2636900,FE,FirstEnergy
2024-12-13,40.32,40.5,40.16,40.27,1622400,FE,FirstEnergy
2024-12-12,40.59,40.83,40.25,40.32,2710900,FE,FirstEnergy
2024-12-11,40.55,40.57,40.07,40.12,2682100,FE,FirstEnergy
2024-12-10,40.8,40.83,40.19,40.49,2679900,FE,FirstEnergy
2024-12-09,40.9,41.080002,40.76,40.81,2061400,FE,FirstEnergy
2024-12-06,41.27,41.35,40.93,40.97,1898400,FE,FirstEnergy
2024-12-05,41.28,41.6,41.26,41.34,2010000,FE,FirstEnergy
2024-12-04,41.49,41.61,41.19,41.28,1801300,FE,FirstEnergy
2024-12-03,41.86,41.92,41.39,41.4,2306200,FE,FirstEnergy
2024-12-02,42.58,42.62,41.55,41.59,2713700,FE,FirstEnergy
2024-11-29,42.63,42.85,42.52,42.55,1662100,FE,FirstEnergy
2024-11-27,42.48,42.87,42.4,42.62,2217300,FE,FirstEnergy
2024-11-26,42.080002,42.29,41.97,42.28,1801100,FE,FirstEnergy
2024-11-25,41.91,42.28,41.73,42.049999,2557500,FE,FirstEnergy
2024-11-22,42.23,42.29,41.77,41.79,2163400,FE,FirstEnergy
2024-11-21,41.89,42.2,41.58,42.2,1966100,FE,FirstEnergy
2024-11-20,41.4,41.75,41.35,41.73,2392100,FE,FirstEnergy
2024-11-19,41.47,41.59,41.21,41.58,2439300,FE,FirstEnergy
2024-11-18,41.36,41.85,41.32,41.69,2724400,FE,FirstEnergy
2024-11-15,40.69,41.55,40.66,41.51,4002100,FE,FirstEnergy
2024-11-14,41.19,41.29,40.77,40.83,3430600,FE,FirstEnergy
2024-11-13,41.69,41.78,41.12,41.22,3729000,FE,FirstEnergy
2024-11-12,41.72,41.86,41.42,41.5,2690200,FE,FirstEnergy
2024-11-11,41.5,42.12,41.33,41.72,2218500,FE,FirstEnergy
2024-11-08,41.35,41.81,41.32,41.54,2812900,FE,FirstEnergy
2024-11-07,41.28,41.49,40.95,41.23,3067100,FE,FirstEnergy
2024-11-06,41.88,42.040001,41.54,41.58,3358400,FE,FirstEnergy
2024-11-05,41.44,41.95,41.28,41.9,2693900,FE,FirstEnergy
2024-11-04,41.59,41.86,41.34,41.55,2475000,FE,FirstEnergy
2024-11-01,41.75,42.07,41.53,41.73,5641900,FE,FirstEnergy
2024-10-31,42.099998,42.37,41.81,41.83,4017200,FE,FirstEnergy
2024-10-30,43.060001,43.060001,41.89,42.17,5933600,FE,FirstEnergy
2024-10-29,43.36,43.46,42.79,42.83,3853800,FE,FirstEnergy
2024-10-28,43.67,43.85,43.55,43.68,2277600,FE,FirstEnergy
2024-10-25,44.26,44.36,43.36,43.41,2327600,FE,FirstEnergy
2024-10-24,44.35,44.49,43.99,44.09,2475800,FE,FirstEnergy
2024-10-23,43.71,44.28,43.67,44.27,2503100,FE,FirstEnergy
2024-10-22,43.56,43.88,43.3,43.84,2101700,FE,FirstEnergy
2024-10-21,43.76,43.98,43.39,43.7,2096700,FE,FirstEnergy
2024-10-18,43.49,43.86,43.3,43.66,2096800,FE,FirstEnergy
2024-10-17,43.95,43.95,43.44,43.49,2598700,FE,FirstEnergy
2024-10-16,43.6,43.98,43.53,43.9,3053500,FE,FirstEnergy
2024-10-15,43.4,43.87,43.3,43.5,2315900,FE,FirstEnergy
2024-10-14,42.75,43.22,42.75,43.17,1968400,FE,FirstEnergy
2024-10-11,42.4,42.87,42.35,42.71,2053600,FE,FirstEnergy
2024-10-10,42.65,42.87,42.2,42.33,2049800,FE,FirstEnergy
2024-10-09,42.79,42.92,42.36,42.55,2514700,FE,FirstEnergy
2024-10-08,43.099998,43.2,42.71,42.73,2323500,FE,FirstEnergy
2024-10-07,43.27,43.33,42.83,42.87,3343600,FE,FirstEnergy
2024-10-04,42.89,43.51,42.77,43.46,2998800,FE,FirstEnergy
2024-10-03,44.14,44.14,43.4,43.42,4031600,FE,FirstEnergy
2024-10-02,44.19,44.41,43.95,44.049999,3774000,FE,FirstEnergy
2024-10-01,44.47,44.58,44.24,44.51,2336600,FE,FirstEnergy
2024-09-30,44.26,44.44,44.0099983,44.35,2852200,FE,FirstEnergy
2024-09-27,43.85,44.15,43.67,44.049999,2271100,FE,FirstEnergy
2024-09-26,43.54,43.89,43.44,43.61,2268100,FE,FirstEnergy
2024-09-25,43.72,43.91,43.48,43.79,2666700,FE,FirstEnergy
2024-09-24,43.89,44.37,43.54,43.65,2381600,FE,FirstEnergy
2024-09-23,44.22,44.25,43.86,44.029999,3191700,FE,FirstEnergy
2024-09-20,43.49,44.07,43.19,44.0,7857200,FE,FirstEnergy
2024-09-19,43.25,43.39,42.94,43.23,3047700,FE,FirstEnergy
2024-09-18,43.7,43.95,43.23,43.49,4111400,FE,FirstEnergy
2024-09-17,44.22,44.28,43.5,43.69,6515100,FE,FirstEnergy
2024-09-16,44.68,44.78,44.15,44.34,2656200,FE,FirstEnergy
2024-09-13,44.060001,44.52,43.87,44.47,2443500,FE,FirstEnergy
2024-09-12,44.22,44.4,43.9,44.060001,2225200,FE,FirstEnergy
2024-09-11,44.18,44.21,43.82,44.15,2262500,FE,FirstEnergy
2024-09-10,44.51,44.61,44.14,44.27,2005100,FE,FirstEnergy
2024-09-09,44.2,44.48,44.07,44.48,2750000,FE,FirstEnergy
2024-09-06,44.55,44.61,44.13,44.19,2108400,FE,FirstEnergy
2024-09-05,44.83,44.97,44.35,44.47,2978500,FE,FirstEnergy
2024-09-04,44.43,44.8,44.25,44.54,2242700,FE,FirstEnergy
2024-09-03,43.97,44.51,43.82,44.31,2392500,FE,FirstEnergy
2024-08-30,43.69,44.07,43.64,43.92,2882500,FE,FirstEnergy
2024-08-29,43.85,43.95,43.29,43.61,2549400,FE,FirstEnergy
2024-08-28,43.37,43.84,43.3,43.78,2430000,FE,FirstEnergy
2024-08-27,43.36,43.54,43.09,43.18,1577800,FE,FirstEnergy
2024-08-26,43.27,43.6,43.21,43.42,1668300,FE,FirstEnergy
2024-08-23,43.38,43.44,43.09,43.19,1492100,FE,FirstEnergy
2024-08-22,43.2,43.31,42.99,43.2,1788400,FE,FirstEnergy
2024-08-21,43.19,43.41,43.099998,43.18,2008500,FE,FirstEnergy
2024-08-20,42.87,43.26,42.87,43.19,3136200,FE,FirstEnergy
2024-08-19,42.66,42.92,42.52,42.86,2209000,FE,FirstEnergy
2024-08-16,42.5,42.73,42.31,42.57,2524200,FE,FirstEnergy
2024-08-15,41.87,42.49,41.7,42.32,3146600,FE,FirstEnergy
2024-08-14,42.2,42.55,41.84,42.28,2397800,FE,FirstEnergy
2024-08-13,42.28,42.43,41.89,42.29,2631200,FE,FirstEnergy
2024-08-12,41.97,42.21,41.84,42.2,2564200,FE,FirstEnergy
2024-08-09,41.94,42.049999,41.43,41.97,2887200,FE,FirstEnergy
2024-08-08,41.72,42.17,41.55,41.89,3422900,FE,FirstEnergy
2024-08-07,41.84,42.38,41.67,41.91,3282300,FE,FirstEnergy
2024-08-06,41.92,42.66,41.89,42.14,3439300,FE,FirstEnergy
2024-08-05,43.0099983,43.16,41.84,41.88,4581100,FE,FirstEnergy
2024-08-02,43.25,43.65,42.19,42.68,4172300,FE,FirstEnergy
2024-08-01,42.19,42.8,42.13,42.72,3223600,FE,FirstEnergy
2024-07-31,42.07,42.14,41.36,41.91,4662200,FE,FirstEnergy
2024-07-30,41.39,41.9,41.29,41.8,3958700,FE,FirstEnergy
2024-07-29,41.0099983,41.59,40.86,41.52,3114600,FE,FirstEnergy
2024-07-26,40.59,41.049999,40.53,40.94,2054200,FE,FirstEnergy
2024-07-25,40.62,41.049999,40.22,40.45,3091800,FE,FirstEnergy
2024-07-24,40.080002,40.52,39.88,40.42,2417200,FE,FirstEnergy
2024-07-23,39.83,39.96,39.61,39.88,1786400,FE,FirstEnergy
2024-07-22,39.65,39.84,39.5,39.8,1393500,FE,FirstEnergy
2024-07-19,39.66,39.71,39.24,39.59,2004200,FE,FirstEnergy
2024-07-18,39.23,39.91,39.21,39.46,2302300,FE,FirstEnergy
