datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,101.14,102.87,100.47,100.88,4091900,FTNT,Fortinet
2025-01-30,100.41,102.17,100.019997,100.93,4168500,FTNT,Fortinet
2025-01-29,99.92,100.21,98.2,99.33,3124500,FTNT,Fortinet
2025-01-28,96.53,100.38,95.55,99.83,4380100,FTNT,Fortinet
2025-01-27,94.91,98.33,94.099998,96.77,4245500,FTNT,Fortinet
2025-01-24,97.57,97.57,96.11,96.9,4139600,FTNT,Fortinet
2025-01-23,97.65,98.07,95.94,97.45,3704700,FTNT,Fortinet
2025-01-22,98.0,98.34,96.59,98.24,3542100,FTNT,Fortinet
2025-01-21,95.65,97.28,94.82,97.2,3850100,FTNT,Fortinet
2025-01-17,96.089996,96.089996,93.88,94.23,4917000,FTNT,Fortinet
2025-01-16,93.92,94.85,93.41,94.050003,2907900,FTNT,Fortinet
2025-01-15,93.88,94.16,92.76,93.059998,4846800,FTNT,Fortinet
2025-01-14,92.57,93.33,90.8,92.49,5432800,FTNT,Fortinet
2025-01-13,93.97,94.35,92.64,93.83,4148800,FTNT,Fortinet
2025-01-10,95.44,95.67,94.15,94.56,4019400,FTNT,Fortinet
2025-01-08,95.2,96.27,93.33,96.040001,4756100,FTNT,Fortinet
2025-01-07,97.69,98.0,94.4,95.93,4006900,FTNT,Fortinet
2025-01-06,100.88,101.0,97.12,97.94,4193200,FTNT,Fortinet
2025-01-03,95.73,98.38,95.37,97.47,4270700,FTNT,Fortinet
2025-01-02,95.36,96.17,93.21,94.75,2850700,FTNT,Fortinet
2024-12-31,95.79,96.0,93.87,94.48,2183900,FTNT,Fortinet
2024-12-30,94.88,95.73,94.0,95.13,2127900,FTNT,Fortinet
2024-12-27,96.51,96.51,94.8,96.080002,2774700,FTNT,Fortinet
2024-12-26,97.16,97.6,96.73,97.29,1661500,FTNT,Fortinet
2024-12-24,96.65,97.83,96.32,97.81,1764900,FTNT,Fortinet
2024-12-23,96.93,97.07,95.34,96.42,3107900,FTNT,Fortinet
2024-12-20,93.72,97.83,93.36,97.19,13324400,FTNT,Fortinet
2024-12-19,95.94,96.87,94.23,94.85,4582600,FTNT,Fortinet
2024-12-18,98.050003,98.57,92.83,93.36,5751000,FTNT,Fortinet
2024-12-17,98.16,99.37,97.010002,97.62,4009800,FTNT,Fortinet
2024-12-16,98.21,98.5,97.029999,98.16,3822400,FTNT,Fortinet
2024-12-13,98.29,99.19,96.86,97.95,3165900,FTNT,Fortinet
2024-12-12,98.040001,98.9,97.25,98.6,2859800,FTNT,Fortinet
2024-12-11,98.0,98.68,97.029999,98.040001,3417400,FTNT,Fortinet
2024-12-10,96.52,98.37,96.059998,97.13,3915600,FTNT,Fortinet
2024-12-09,99.71,100.4,96.2,97.040001,4260800,FTNT,Fortinet
2024-12-06,98.52,99.71,98.099998,99.21,3219900,FTNT,Fortinet
2024-12-05,98.31,99.74,97.7,98.46,3940700,FTNT,Fortinet
2024-12-04,96.99,98.5,96.050003,98.19,4979200,FTNT,Fortinet
2024-12-03,95.0,95.79,93.38,95.29,3716700,FTNT,Fortinet
2024-12-02,95.36,97.18,94.93,95.32,4379500,FTNT,Fortinet
2024-11-29,94.33,95.47,94.11,95.050003,2124100,FTNT,Fortinet
2024-11-27,96.68,96.79,93.86,94.059998,3834700,FTNT,Fortinet
2024-11-26,93.97,96.7,93.97,96.44,4729300,FTNT,Fortinet
2024-11-25,93.11,94.9,92.68,93.12,8804500,FTNT,Fortinet
2024-11-22,94.32,94.5,92.33,92.77,4060500,FTNT,Fortinet
