datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,89.13,89.8,88.22,88.3,1775500,GEHC,GE HealthCare
2025-01-30,88.55,89.75,88.41,89.55,1618700,GEHC,GE HealthCare
2025-01-29,87.79,88.61,87.54,87.85,1336100,GEHC,GE HealthCare
2025-01-28,88.75,89.32,87.7,87.78,2406800,GEHC,GE HealthCare
2025-01-27,88.88,89.69,88.17,88.99,2376800,GEHC,GE HealthCare
2025-01-24,87.51,88.78,87.019997,88.67,2008400,GEHC,GE HealthCare
2025-01-23,87.33,88.67,86.86,88.16,1696900,GEHC,GE HealthCare
2025-01-22,87.22,88.27,86.753,87.33,2381200,GEHC,GE HealthCare
2025-01-21,85.14,87.62,84.64,87.34,2861800,GEHC,GE HealthCare
2025-01-17,86.34,86.34,84.58,84.74,2855000,GEHC,GE HealthCare
2025-01-16,83.76,85.35,83.379,85.0,2115900,GEHC,GE HealthCare
2025-01-15,85.22,86.25,82.86,83.66,4148700,GEHC,GE HealthCare
2025-01-14,85.89,85.99,83.82,84.13,2821300,GEHC,GE HealthCare
2025-01-13,85.14,85.545,83.897,85.36,2903800,GEHC,GE HealthCare
2025-01-10,85.38,86.07,84.4,84.76,3792000,GEHC,GE HealthCare
2025-01-08,84.65,87.3,84.29,86.26,4432600,GEHC,GE HealthCare
2025-01-07,81.88,83.44,81.45,83.37,3382000,GEHC,GE HealthCare
2025-01-06,80.52,82.4,80.42,81.72,3746500,GEHC,GE HealthCare
2025-01-03,78.55,80.62,78.39,80.52,2712600,GEHC,GE HealthCare
2025-01-02,78.92,78.92,77.72,78.38,2658500,GEHC,GE HealthCare
2024-12-31,79.0,79.27,77.97,78.18,1877800,GEHC,GE HealthCare
2024-12-30,79.12,79.16,77.6,78.6,1850600,GEHC,GE HealthCare
2024-12-27,79.32,79.87,78.89,79.51,1533000,GEHC,GE HealthCare
2024-12-26,79.099998,80.18,78.975,79.71,1622000,GEHC,GE HealthCare
2024-12-24,79.54,79.79,78.735,79.36,1035700,GEHC,GE HealthCare
2024-12-23,78.78,79.35,77.53,79.28,2495700,GEHC,GE HealthCare
2024-12-20,77.57,79.029999,76.891,78.91,11179900,GEHC,GE HealthCare
2024-12-19,77.31,78.18,76.95,77.43,3384400,GEHC,GE HealthCare
2024-12-18,79.37,80.37,76.98,77.089996,3264100,GEHC,GE HealthCare
2024-12-17,80.34,80.83,79.21,79.25,3557100,GEHC,GE HealthCare
2024-12-16,80.76,81.78,80.089996,80.29,2908800,GEHC,GE HealthCare
2024-12-13,81.4,81.49,80.62,81.099998,2836000,GEHC,GE HealthCare
2024-12-12,82.33,82.62,80.84,81.63,2370000,GEHC,GE HealthCare
2024-12-11,82.050003,83.33,81.78,82.75,3890100,GEHC,GE HealthCare
2024-12-10,82.42,83.0,81.645,82.36,3124600,GEHC,GE HealthCare
2024-12-09,81.36,82.12,81.059998,81.9,2372600,GEHC,GE HealthCare
2024-12-06,81.37,81.97,80.47,81.24,3177200,GEHC,GE HealthCare
2024-12-05,82.76,83.33,81.36,81.565,2269200,GEHC,GE HealthCare
2024-12-04,82.62,83.21,82.5,83.010002,1932700,GEHC,GE HealthCare
2024-12-03,82.48,83.059998,82.033997,82.57,2026700,GEHC,GE HealthCare
2024-12-02,82.89,83.25,82.39,83.080002,2247000,GEHC,GE HealthCare
2024-11-29,83.25,83.51,82.89,83.22,1277700,GEHC,GE HealthCare
2024-11-27,82.85,83.905,82.718,83.0,1808000,GEHC,GE HealthCare
2024-11-26,82.78,83.43,82.39,82.51,2040900,GEHC,GE HealthCare
2024-11-25,83.36,83.5,81.9,82.66,5272900,GEHC,GE HealthCare
2024-11-22,81.96,82.58,80.56,82.44,5934900,GEHC,GE HealthCare
2024-11-21,84.6,85.26,81.84,82.0,4930600,GEHC,GE HealthCare
2024-11-20,82.5,85.29,82.41,84.9,6103400,GEHC,GE HealthCare
2024-11-19,82.0,83.23,81.71,82.52,2513600,GEHC,GE HealthCare
2024-11-18,81.9,83.485,81.885,82.72,2918000,GEHC,GE HealthCare
2024-11-15,82.81,82.82,81.52,81.76,3768400,GEHC,GE HealthCare
2024-11-14,83.65,84.69,82.7,82.92,3061100,GEHC,GE HealthCare
2024-11-13,85.12,85.405,83.255,84.18,3014800,GEHC,GE HealthCare
2024-11-12,85.42,85.91,84.72,84.92,3918900,GEHC,GE HealthCare
2024-11-11,87.0,87.15,84.47,85.39,4367000,GEHC,GE HealthCare
2024-11-08,88.8,89.11,85.84,85.94,10190500,GEHC,GE HealthCare
2024-11-07,87.11,88.88,86.936,88.33,2497300,GEHC,GE HealthCare
2024-11-06,89.92,90.0,85.074997,86.78,4163100,GEHC,GE HealthCare
2024-11-05,86.81,88.19,86.81,88.17,1656200,GEHC,GE HealthCare
2024-11-04,87.6,87.92,86.55,86.99,1431700,GEHC,GE HealthCare
2024-11-01,87.21,88.44,86.72,86.95,3383300,GEHC,GE HealthCare
2024-10-31,86.12,88.145,86.0,87.35,3259500,GEHC,GE HealthCare
2024-10-30,89.73,90.16,85.8,87.2,4700400,GEHC,GE HealthCare
2024-10-29,85.66,86.7,85.010002,85.27,3762300,GEHC,GE HealthCare
2024-10-28,86.66,86.965,84.9,85.93,4223700,GEHC,GE HealthCare
2024-10-25,89.26,89.65,88.3,88.42,2035500,GEHC,GE HealthCare
2024-10-24,89.56,89.98,88.6,88.9,1291700,GEHC,GE HealthCare
2024-10-23,88.65,90.36,88.11,89.29,2116600,GEHC,GE HealthCare
2024-10-22,89.26,89.56,87.695,89.31,2210200,GEHC,GE HealthCare
2024-10-21,90.89,91.45,89.52,89.8,1675400,GEHC,GE HealthCare
2024-10-18,90.059998,91.58,89.985,91.34,1609500,GEHC,GE HealthCare
2024-10-17,90.74,90.92,90.26,90.82,1711100,GEHC,GE HealthCare
2024-10-16,91.040001,91.12,89.965,90.22,1823100,GEHC,GE HealthCare
2024-10-15,91.89,91.955,90.61,90.71,2474300,GEHC,GE HealthCare
2024-10-14,91.050003,91.8,90.57,91.62,1342800,GEHC,GE HealthCare
2024-10-11,90.68,91.61,90.39,91.029999,1372100,GEHC,GE HealthCare
2024-10-10,90.3,90.86,89.795,90.25,2269300,GEHC,GE HealthCare
2024-10-09,90.8,91.019997,89.995,90.77,2122900,GEHC,GE HealthCare
2024-10-08,90.24,91.016998,89.86,90.69,2075400,GEHC,GE HealthCare
2024-10-07,91.0,91.3,89.715,90.059998,2623400,GEHC,GE HealthCare
2024-10-04,90.64,91.47,89.92,91.42,1988600,GEHC,GE HealthCare
2024-10-03,90.51,90.84,89.52,89.88,2592900,GEHC,GE HealthCare
2024-10-02,91.63,92.48,90.97,91.040001,1763400,GEHC,GE HealthCare
2024-10-01,93.82,93.82,91.15,91.67,2615400,GEHC,GE HealthCare
2024-09-30,92.51,94.32,92.39,93.85,3977300,GEHC,GE HealthCare
2024-09-27,92.68,94.55,91.89,91.99,12623800,GEHC,GE HealthCare
2024-09-26,91.019997,92.72,89.38,92.49,5273200,GEHC,GE HealthCare
2024-09-25,92.79,93.53,92.15,93.010002,4044700,GEHC,GE HealthCare
2024-09-24,91.0,92.34,89.8,92.21,3537800,GEHC,GE HealthCare
2024-09-23,90.5,91.614,90.33,90.88,2908800,GEHC,GE HealthCare
2024-09-20,90.35,91.13,89.595,90.28,9492300,GEHC,GE HealthCare
2024-09-19,89.67,90.79,88.77,90.62,3128100,GEHC,GE HealthCare
2024-09-18,87.42,89.69,86.995,88.53,3508400,GEHC,GE HealthCare
2024-09-17,86.64,88.19,86.35,86.79,3144200,GEHC,GE HealthCare
2024-09-16,87.15,87.25,85.855,86.64,4680200,GEHC,GE HealthCare
2024-09-13,86.61,87.15,85.71,86.91,10515100,GEHC,GE HealthCare
2024-09-12,87.019997,87.47,86.040001,87.46,1394300,GEHC,GE HealthCare
2024-09-11,85.26,87.41,83.14,87.19,2630300,GEHC,GE HealthCare
2024-09-10,85.21,85.73,84.84,85.55,1558900,GEHC,GE HealthCare
2024-09-09,85.36,86.46,84.72,85.12,1659600,GEHC,GE HealthCare
2024-09-06,87.23,87.75,85.010002,85.089996,2696500,GEHC,GE HealthCare
2024-09-05,87.4,88.5,86.68,87.29,2321000,GEHC,GE HealthCare
2024-09-04,84.21,87.72,84.21,87.55,2008000,GEHC,GE HealthCare
2024-09-03,84.56,85.567,84.33,84.8,1963900,GEHC,GE HealthCare
2024-08-30,84.45,84.88,83.59,84.82,1838600,GEHC,GE HealthCare
2024-08-29,84.25,85.0,83.68,84.080002,1264700,GEHC,GE HealthCare
2024-08-28,84.42,84.42,83.33,83.93,1131300,GEHC,GE HealthCare
2024-08-27,84.53,84.7,84.029999,84.41,1208100,GEHC,GE HealthCare
2024-08-26,84.64,85.42,84.17,84.49,1475100,GEHC,GE HealthCare
2024-08-23,85.0,85.57,83.95,84.78,1511800,GEHC,GE HealthCare
2024-08-22,84.78,84.78,83.95,84.37,944800,GEHC,GE HealthCare
2024-08-21,84.64,84.64,83.54,84.48,984300,GEHC,GE HealthCare
2024-08-20,85.16,85.7,83.84,83.94,1464200,GEHC,GE HealthCare
2024-08-19,84.7,85.61,84.15,85.59,1439000,GEHC,GE HealthCare
2024-08-16,84.93,85.15,84.16,84.8,1341700,GEHC,GE HealthCare
2024-08-15,83.97,85.94,83.97,85.3,2319400,GEHC,GE HealthCare
2024-08-14,84.19,84.23,82.75,83.47,1904600,GEHC,GE HealthCare
2024-08-13,83.19,84.49,82.52,84.17,1766200,GEHC,GE HealthCare
2024-08-12,83.2,83.2,81.71,82.37,1564400,GEHC,GE HealthCare
2024-08-09,82.32,83.47,81.315,83.4,1584300,GEHC,GE HealthCare
2024-08-08,79.92,82.4,79.68,82.32,1632600,GEHC,GE HealthCare
2024-08-07,82.23,82.66,78.78,79.34,2401200,GEHC,GE HealthCare
2024-08-06,82.11,82.93,81.17,81.55,2686700,GEHC,GE HealthCare
2024-08-05,81.97,82.37,79.74,81.52,3589100,GEHC,GE HealthCare
2024-08-02,82.8,83.53,80.795,83.44,2986200,GEHC,GE HealthCare
2024-08-01,84.099998,85.0,82.22,83.4,3561600,GEHC,GE HealthCare
2024-07-31,80.099998,88.25,80.0,84.63,8043400,GEHC,GE HealthCare
2024-07-30,82.54,84.080002,81.0,82.65,5269100,GEHC,GE HealthCare
2024-07-29,80.68,82.459,80.52,82.050003,2790400,GEHC,GE HealthCare
2024-07-26,80.74,81.688,80.0,80.5,2532900,GEHC,GE HealthCare
2024-07-25,80.41,81.059998,79.73,79.92,2512400,GEHC,GE HealthCare
2024-07-24,81.0,81.49,79.63,79.69,2517000,GEHC,GE HealthCare
2024-07-23,80.88,81.21,80.5,80.82,1529000,GEHC,GE HealthCare
2024-07-22,81.080002,81.38,80.099998,81.23,2439400,GEHC,GE HealthCare
2024-07-19,81.23,81.385,79.91,80.44,2428200,GEHC,GE HealthCare
2024-07-18,81.95,83.505,80.89,80.98,3233900,GEHC,GE HealthCare
2024-07-17,82.59,83.62,81.96,82.47,2567800,GEHC,GE HealthCare
2024-07-16,80.45,82.96,80.19,82.64,3524300,GEHC,GE HealthCare
2024-07-15,80.25,80.63,79.85,80.19,2483200,GEHC,GE HealthCare
2024-07-12,80.29,81.325,79.94,80.28,2579000,GEHC,GE HealthCare
2024-07-11,79.19,80.72,79.19,79.94,2540600,GEHC,GE HealthCare
2024-07-10,76.93,79.22,76.93,79.14,2475300,GEHC,GE HealthCare
2024-07-09,76.35,77.0,75.74,76.87,2152500,GEHC,GE HealthCare
2024-07-08,77.0,77.64,76.31,76.35,1662000,GEHC,GE HealthCare
2024-07-05,77.2,77.25,76.55,77.059998,1689500,GEHC,GE HealthCare
2024-07-03,76.37,77.35,76.31,77.24,1346700,GEHC,GE HealthCare
2024-07-02,76.26,76.71,75.68,76.33,2171300,GEHC,GE HealthCare
2024-07-01,78.35,78.35,76.22,76.26,3081400,GEHC,GE HealthCare
2024-06-28,79.21,79.648,77.23,77.92,9422500,GEHC,GE HealthCare
2024-06-27,78.010002,79.099998,77.89,78.82,2192600,GEHC,GE HealthCare
2024-06-26,78.86,79.29,77.965,78.0,2426200,GEHC,GE HealthCare
2024-06-25,78.98,79.28,78.37,78.81,1848500,GEHC,GE HealthCare
2024-06-24,79.33,79.64,78.66,78.85,2270100,GEHC,GE HealthCare
2024-06-21,79.83,80.099998,78.49,79.17,5198000,GEHC,GE HealthCare
2024-06-20,78.0,80.099998,77.85,79.44,3408100,GEHC,GE HealthCare
2024-06-18,77.31,78.72,77.17,78.27,2032500,GEHC,GE HealthCare
2024-06-17,76.26,77.86,75.96,77.55,2190500,GEHC,GE HealthCare
2024-06-14,76.2,76.61,75.11,76.49,2576800,GEHC,GE HealthCare
2024-06-13,75.17,77.33,75.14,76.99,2530200,GEHC,GE HealthCare
2024-06-12,75.2,76.23,75.010002,75.97,3081600,GEHC,GE HealthCare
2024-06-11,75.55,75.55,74.51,74.74,2655600,GEHC,GE HealthCare
