datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,26.61,27.38,25.69,26.91,6327200,GEN,Gen Digital
2025-01-30,27.67,28.36,27.64,27.89,5563600,GEN,Gen Digital
2025-01-29,27.75,27.89,27.34,27.63,2607400,GEN,Gen Digital
2025-01-28,27.56,28.07,27.49,27.8,3080500,GEN,Gen Digital
2025-01-27,27.32,27.66,27.23,27.49,2326400,GEN,Gen Digital
2025-01-24,27.43,27.74,27.3,27.44,1936500,GEN,Gen Digital
2025-01-23,27.34,27.66,27.3,27.49,2791400,GEN,Gen Digital
2025-01-22,27.23,27.52,26.96,27.48,3669100,GEN,Gen Digital
2025-01-21,27.55,27.75,27.29,27.32,2499400,GEN,Gen Digital
2025-01-17,27.68,27.71,27.41,27.52,3125100,GEN,Gen Digital
2025-01-16,27.69,27.69,27.24,27.32,2003000,GEN,Gen Digital
2025-01-15,27.54,27.68,27.2,27.57,3028800,GEN,Gen Digital
2025-01-14,27.030001,27.18,26.93,27.14,3341100,GEN,Gen Digital
2025-01-13,26.77,26.91,26.55,26.85,2313200,GEN,Gen Digital
2025-01-10,26.83,27.040001,26.68,26.9,3139000,GEN,Gen Digital
2025-01-08,26.96,27.13,26.67,27.11,3369300,GEN,Gen Digital
2025-01-07,27.4,27.51,26.86,26.98,2548800,GEN,Gen Digital
2025-01-06,27.49,27.96,27.4,27.43,2985500,GEN,Gen Digital
2025-01-03,27.65,27.65,27.17,27.5,2441200,GEN,Gen Digital
2025-01-02,27.7,27.78,27.36,27.48,2089100,GEN,Gen Digital
2024-12-31,27.46,27.56,27.26,27.38,1810200,GEN,Gen Digital
2024-12-30,27.46,27.53,27.040001,27.38,1851000,GEN,Gen Digital
2024-12-27,27.65,27.88,27.41,27.65,1965100,GEN,Gen Digital
2024-12-26,27.71,27.92,27.68,27.86,1425100,GEN,Gen Digital
2024-12-24,27.77,27.89,27.69,27.85,1372400,GEN,Gen Digital
2024-12-23,27.81,27.93,27.58,27.69,3015300,GEN,Gen Digital
2024-12-20,27.4,28.14,27.27,27.83,13749900,GEN,Gen Digital
2024-12-19,27.9,28.059999,27.42,27.45,4770500,GEN,Gen Digital
2024-12-18,29.5,29.5,27.71,27.73,4768900,GEN,Gen Digital
2024-12-17,29.62,29.81,29.31,29.38,3538200,GEN,Gen Digital
2024-12-16,29.72,29.98,29.44,29.73,4336100,GEN,Gen Digital
2024-12-13,29.96,30.1,29.7,29.86,3619000,GEN,Gen Digital
2024-12-12,29.72,30.21,29.6,30.02,3227500,GEN,Gen Digital
2024-12-11,30.040001,30.08,29.55,29.92,3732300,GEN,Gen Digital
2024-12-10,31.13,31.26,29.26,29.82,5373500,GEN,Gen Digital
2024-12-09,31.14,31.29,30.41,30.48,2716300,GEN,Gen Digital
2024-12-06,31.32,31.38,30.96,31.15,2612300,GEN,Gen Digital
2024-12-05,31.48,31.56,31.13,31.25,3290600,GEN,Gen Digital
2024-12-04,31.11,31.72,31.030001,31.7,2698500,GEN,Gen Digital
2024-12-03,30.9,31.040001,30.74,30.84,2844300,GEN,Gen Digital
2024-12-02,30.82,31.049999,30.56,30.93,3877100,GEN,Gen Digital
2024-11-29,30.99,31.2,30.82,30.85,1909900,GEN,Gen Digital
2024-11-27,31.0,31.13,30.59,30.84,2441300,GEN,Gen Digital
2024-11-26,30.63,30.94,30.49,30.9,2871100,GEN,Gen Digital
2024-11-25,30.5,30.79,30.37,30.62,7137400,GEN,Gen Digital
2024-11-22,29.96,30.31,29.89,30.19,2545600,GEN,Gen Digital
2024-11-21,29.54,30.040001,29.37,29.81,2393400,GEN,Gen Digital
