datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,385.56,387.079987,370.56,372.88,4146900,GEV,GE Vernova
2025-01-30,365.0,387.64001,364.92999,382.94,5682500,GEV,GE Vernova
2025-01-29,358.29999,368.84,346.26001,353.25,5449800,GEV,GE Vernova
2025-01-28,351.41501,355.51001,317.70001,355.12,10396700,GEV,GE Vernova
2025-01-27,339.60001,353.0,322.29999,330.0,13356800,GEV,GE Vernova
2025-01-24,436.92999,436.92999,416.0,420.48999,4717500,GEV,GE Vernova
2025-01-23,423.63,447.5,422.66,437.70999,3925000,GEV,GE Vernova
2025-01-22,430.0,434.10001,418.10001,427.10001,4973900,GEV,GE Vernova
2025-01-21,405.0,417.20999,395.29001,416.0,4223300,GEV,GE Vernova
2025-01-17,393.29001,404.13,389.59,401.41,2363800,GEV,GE Vernova
2025-01-16,394.070007,397.76001,387.029999,391.0,2111600,GEV,GE Vernova
2025-01-15,391.0,392.76999,380.0,387.029999,2524000,GEV,GE Vernova
2025-01-14,376.32001,388.88,373.70001,382.26001,3095600,GEV,GE Vernova
2025-01-13,355.32999,366.85001,353.01001,366.81,3267900,GEV,GE Vernova
2025-01-10,363.20001,367.82999,351.0,367.10001,2387000,GEV,GE Vernova
2025-01-08,362.31,368.79001,348.20001,366.48001,3160100,GEV,GE Vernova
2025-01-07,373.26001,374.62,357.22601,368.51999,2728200,GEV,GE Vernova
2025-01-06,369.75,376.29501,366.51001,371.32001,3419100,GEV,GE Vernova
2025-01-03,331.69,354.98001,331.5,354.029999,2392400,GEV,GE Vernova
2025-01-02,332.79001,342.67001,328.51999,338.94,2471100,GEV,GE Vernova
2024-12-31,330.92999,333.096008,327.5,328.92999,1793800,GEV,GE Vernova
2024-12-30,324.34,335.64001,323.0,330.26001,1837800,GEV,GE Vernova
2024-12-27,339.95001,340.75,332.5,333.79999,1506600,GEV,GE Vernova
2024-12-26,345.79999,345.79999,338.89999,343.070007,1210900,GEV,GE Vernova
2024-12-24,347.22,348.98999,343.32001,347.29001,1062400,GEV,GE Vernova
2024-12-23,344.25,346.28,337.0,344.92001,1435900,GEV,GE Vernova
2024-12-20,328.13,345.64001,327.14999,342.66,5476100,GEV,GE Vernova
