datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,205.84,205.87,203.070007,203.57001,5514300,GE,GE Aerospace
2025-01-30,199.81,205.92999,199.48,205.57001,6282100,GE,GE Aerospace
2025-01-29,194.92999,199.94,194.92999,199.10001,5595800,GE,GE Aerospace
2025-01-28,195.3,196.55,191.78999,194.42999,4858800,GE,GE Aerospace
2025-01-27,194.34,196.63,192.74001,194.46001,7674800,GE,GE Aerospace
2025-01-24,202.5,203.0,195.52,196.75,7835700,GE,GE Aerospace
2025-01-23,201.39999,207.64999,198.10001,200.8,14403500,GE,GE Aerospace
2025-01-22,188.080002,189.24001,186.61,188.36,7457800,GE,GE Aerospace
2025-01-21,184.89999,189.32001,184.50999,187.5,7508400,GE,GE Aerospace
2025-01-17,180.78,183.19,179.96001,182.85001,5899100,GE,GE Aerospace
2025-01-16,181.67999,182.88,178.62,179.74001,6144700,GE,GE Aerospace
2025-01-15,179.070007,180.88,178.88,180.28999,7397000,GE,GE Aerospace
2025-01-14,173.11,177.89999,172.39999,176.86,6432700,GE,GE Aerospace
2025-01-13,169.50999,172.52,169.0,171.57001,5610800,GE,GE Aerospace
2025-01-10,172.39999,173.46001,170.74001,171.69,5131200,GE,GE Aerospace
2025-01-08,172.0,173.58,170.71001,172.89,4527700,GE,GE Aerospace
2025-01-07,172.22,173.7,170.78,172.31,6496400,GE,GE Aerospace
2025-01-06,173.14999,173.67999,171.17999,172.45,4980300,GE,GE Aerospace
2025-01-03,169.22,172.63,169.0,171.96001,3975500,GE,GE Aerospace
2025-01-02,167.92,170.7,167.22,168.59,4148000,GE,GE Aerospace
2024-12-31,168.5,168.55,166.14999,166.78999,2806900,GE,GE Aerospace
2024-12-30,167.2,169.23,166.0099945,168.10001,4117500,GE,GE Aerospace
2024-12-27,170.72,171.47,168.98,170.080002,3188400,GE,GE Aerospace
2024-12-26,171.020004,172.67,170.13,172.14999,3309700,GE,GE Aerospace
2024-12-24,169.24001,171.49001,168.85001,171.49001,2235700,GE,GE Aerospace
2024-12-23,168.12,169.33,166.55,169.020004,4127700,GE,GE Aerospace
2024-12-20,163.97,169.080002,163.16,168.37,9281500,GE,GE Aerospace
2024-12-19,163.029999,165.77,162.17999,164.8,6257600,GE,GE Aerospace
2024-12-18,166.0,166.63,159.60001,159.95,8059100,GE,GE Aerospace
2024-12-17,165.8,166.50999,163.53,165.8,4855100,GE,GE Aerospace
2024-12-16,166.32001,169.2,165.45,165.78999,7436000,GE,GE Aerospace
2024-12-13,165.64999,167.87,165.53999,166.0099945,4957100,GE,GE Aerospace
2024-12-12,168.64,169.28,164.45,164.83,7808600,GE,GE Aerospace
2024-12-11,173.17,173.17,167.92999,168.64,7606400,GE,GE Aerospace
2024-12-10,171.0099945,173.16,170.61,171.27,5100300,GE,GE Aerospace
2024-12-09,175.0,176.37,170.77,171.32001,6500800,GE,GE Aerospace
2024-12-06,173.3,175.83,172.44,175.58,6899600,GE,GE Aerospace
