datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,96.73,98.37,96.43,97.2,9419400,GILD,Gilead Sciences
2025-01-30,96.56,96.97,95.44,96.95,5020500,GILD,Gilead Sciences
2025-01-29,94.4,95.93,94.080002,95.59,5593500,GILD,Gilead Sciences
2025-01-28,95.0,96.7,93.81,93.85,7406100,GILD,Gilead Sciences
2025-01-27,93.099998,95.84,93.099998,95.35,7914200,GILD,Gilead Sciences
2025-01-24,92.36,94.0,92.26,93.07,5409200,GILD,Gilead Sciences
2025-01-23,93.029999,93.29,92.21,92.92,4086100,GILD,Gilead Sciences
2025-01-22,92.63,93.31,91.84,93.040001,7285700,GILD,Gilead Sciences
2025-01-21,92.059998,93.9,92.059998,92.96,10546000,GILD,Gilead Sciences
2025-01-17,92.010002,92.8,91.69,91.84,6862200,GILD,Gilead Sciences
2025-01-16,92.26,93.07,90.82,91.65,8955300,GILD,Gilead Sciences
2025-01-15,91.35,92.66,91.040001,92.38,8084400,GILD,Gilead Sciences
2025-01-14,90.59,91.48,89.83,91.0,7418300,GILD,Gilead Sciences
2025-01-13,90.3,90.37,89.019997,89.94,6523300,GILD,Gilead Sciences
2025-01-10,90.19,91.43,88.57,89.88,7869700,GILD,Gilead Sciences
2025-01-08,90.68,90.68,89.0,89.14,8054200,GILD,Gilead Sciences
2025-01-07,90.89,91.51,90.51,90.63,5811900,GILD,Gilead Sciences
2025-01-06,90.75,91.53,90.33,91.23,6779400,GILD,Gilead Sciences
2025-01-03,92.19,92.34,91.31,91.41,4265200,GILD,Gilead Sciences
2025-01-02,92.62,92.83,91.4,91.88,3495200,GILD,Gilead Sciences
2024-12-31,92.59,92.98,91.78,92.37,3482500,GILD,Gilead Sciences
2024-12-30,93.93,94.0,91.72,92.010002,3613200,GILD,Gilead Sciences
2024-12-27,93.43,94.38,93.43,94.11,3349300,GILD,Gilead Sciences
2024-12-26,93.17,94.55,92.98,94.41,2915400,GILD,Gilead Sciences
2024-12-24,93.0,94.050003,92.099998,93.95,2109100,GILD,Gilead Sciences
2024-12-23,92.62,93.52,91.79,93.4,4809500,GILD,Gilead Sciences
2024-12-20,90.92,93.29,90.71,92.57,22530200,GILD,Gilead Sciences
2024-12-19,90.4,91.48,90.27,91.089996,8875200,GILD,Gilead Sciences
2024-12-18,92.72,93.5,90.59,90.69,6616100,GILD,Gilead Sciences
2024-12-17,91.88,93.59,91.88,92.8,6125300,GILD,Gilead Sciences
2024-12-16,91.96,93.26,91.9,92.050003,7068100,GILD,Gilead Sciences
2024-12-13,91.66,92.11,89.15,91.86,7515500,GILD,Gilead Sciences
2024-12-12,92.46,93.22,91.44,92.38,5782700,GILD,Gilead Sciences
2024-12-11,92.4,94.65,91.94,92.38,7525100,GILD,Gilead Sciences
2024-12-10,91.35,92.95,90.64,92.34,6748200,GILD,Gilead Sciences
2024-12-09,91.86,92.15,90.5,90.59,7396100,GILD,Gilead Sciences
2024-12-06,93.5,94.22,92.029999,92.13,4470700,GILD,Gilead Sciences
2024-12-05,91.6,94.27,91.6,93.39,12428600,GILD,Gilead Sciences
2024-12-04,92.59,92.6,89.86,91.59,9124300,GILD,Gilead Sciences
2024-12-03,93.81,94.39,92.46,92.49,5532000,GILD,Gilead Sciences
2024-12-02,92.53,94.36,92.49,94.019997,5023100,GILD,Gilead Sciences
2024-12-01,92.53,94.36,92.49,94.019997,5023289,GILD,Gilead Sciences
2024-11-29,92.84,93.16,92.33,92.58,3851000,GILD,Gilead Sciences
2024-11-28,92.84,93.1599,92.33,92.58,3850965,GILD,Gilead Sciences
