datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,203.715,207.080002,203.58,205.60001,17087300,GOOG,Alphabet Inc.
2025-01-30,199.75999,203.23801,199.472,202.63,14571500,GOOG,Alphabet Inc.
2025-01-29,197.37,198.46001,195.19,197.17999,12287800,GOOG,Alphabet Inc.
2025-01-28,194.64999,197.23,192.61,197.070007,15939200,GOOG,Alphabet Inc.
2025-01-27,194.19,198.67,192.7,193.77,24970200,GOOG,Alphabet Inc.
2025-01-24,199.85001,202.57001,199.784,201.89999,12732400,GOOG,Alphabet Inc.
2025-01-23,199.98,201.94,196.82001,199.58,15170800,GOOG,Alphabet Inc.
2025-01-22,200.55,202.12,199.2,200.029999,15477400,GOOG,Alphabet Inc.
2025-01-21,200.50999,203.84,199.44,199.63,19005200,GOOG,Alphabet Inc.
2025-01-17,198.050003,198.81,195.31,197.55,22109100,GOOG,Alphabet Inc.
2025-01-16,195.825,196.98,194.3,194.41,13449600,GOOG,Alphabet Inc.
2025-01-15,194.35001,197.8,193.33,196.98,12894900,GOOG,Alphabet Inc.
2025-01-14,192.5,193.27,189.64,191.050003,13651200,GOOG,Alphabet Inc.
2025-01-13,191.35001,192.49001,188.66,192.28999,13169100,GOOG,Alphabet Inc.
2025-01-10,195.42,197.62,191.60001,193.17,20753800,GOOG,Alphabet Inc.
2025-01-08,193.95,197.64,193.75,195.39,14335300,GOOG,Alphabet Inc.
2025-01-07,198.27,202.14,195.94,196.71001,16966800,GOOG,Alphabet Inc.
2025-01-06,195.14999,199.56,195.059998,197.96001,19483300,GOOG,Alphabet Inc.
2025-01-03,192.72501,194.5,191.35001,193.13,12875000,GOOG,Alphabet Inc.
2025-01-02,191.485,193.2,188.71001,190.63,17545200,GOOG,Alphabet Inc.
2024-12-31,192.44501,193.25,189.58,190.44,14355200,GOOG,Alphabet Inc.
2024-12-30,190.86501,193.78,190.36,192.69,12209500,GOOG,Alphabet Inc.
2024-12-27,196.47,196.8,191.972,194.039993,14693000,GOOG,Alphabet Inc.
2024-12-26,196.74001,198.16,195.87,197.10001,7907900,GOOG,Alphabet Inc.
2024-12-24,196.17,197.67,195.198,197.57001,6809800,GOOG,Alphabet Inc.
2024-12-23,194.029999,196.49001,191.63,195.99001,15235900,GOOG,Alphabet Inc.
2024-12-20,187.0099945,194.13499,186.37,192.96001,45319700,GOOG,Alphabet Inc.
2024-12-19,193.28,194.60001,189.52,189.7,26981200,GOOG,Alphabet Inc.
2024-12-18,196.83,198.69,189.28,190.14999,27638400,GOOG,Alphabet Inc.
2024-12-17,198.53,202.88,196.69,197.12,24129500,GOOG,Alphabet Inc.
2024-12-16,194.36501,200.64,194.11,198.16,32248600,GOOG,Alphabet Inc.
2024-12-13,192.71001,194.34,191.25999,191.38,18883200,GOOG,Alphabet Inc.
2024-12-12,196.3,196.705,193.28,193.63,25197800,GOOG,Alphabet Inc.
2024-12-11,186.7,196.89,186.25999,196.71001,41664500,GOOG,Alphabet Inc.
2024-12-10,184.535,188.029999,182.67,186.53,34317400,GOOG,Alphabet Inc.
2024-12-09,175.715,178.039993,175.39999,177.10001,19887800,GOOG,Alphabet Inc.
2024-12-06,173.88,176.839,173.55,176.49001,13319500,GOOG,Alphabet Inc.
