datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,650.0,650.0,637.44,640.40002,1996200,GS,Goldman Sachs
2025-01-30,644.48999,649.52002,641.0,645.70001,1812800,GS,Goldman Sachs
2025-01-29,637.0,649.0,636.40997,637.38,1918900,GS,Goldman Sachs
2025-01-28,632.20001,639.080017,631.81,637.79999,2338000,GS,Goldman Sachs
2025-01-27,625.0,635.71002,624.46002,633.28003,3351700,GS,Goldman Sachs
2025-01-24,630.0,640.59998,628.96002,636.90002,3183500,GS,Goldman Sachs
2025-01-23,634.91998,645.53998,634.48999,639.5,2582700,GS,Goldman Sachs
2025-01-22,633.44,635.59998,629.71002,632.72998,2835700,GS,Goldman Sachs
2025-01-21,616.81,635.42999,609.0,634.73999,5076700,GS,Goldman Sachs
2025-01-17,617.79999,627.0,613.0,625.94,3425200,GS,Goldman Sachs
2025-01-16,609.98999,616.84003,606.0,612.98999,3224500,GS,Goldman Sachs
2025-01-15,598.0,609.40997,593.0,605.91998,5119800,GS,Goldman Sachs
2025-01-14,569.65997,573.59003,565.20001,571.53003,2221900,GS,Goldman Sachs
2025-01-13,557.88,566.19,556.76001,562.95001,1871200,GS,Goldman Sachs
2025-01-10,576.25,576.25,558.01001,560.0,2817900,GS,Goldman Sachs
2025-01-08,581.039978,581.20001,572.66998,580.02002,1513400,GS,Goldman Sachs
2025-01-07,587.10999,588.28003,568.40002,580.12,2021900,GS,Goldman Sachs
2025-01-06,584.97998,593.65002,579.82001,583.39001,2257000,GS,Goldman Sachs
2025-01-03,581.0,582.14001,571.72998,580.13,1422600,GS,Goldman Sachs
2025-01-02,579.31,584.31,569.73999,574.96997,2219000,GS,Goldman Sachs
2024-12-31,575.070007,576.91998,570.40002,572.62,1055800,GS,Goldman Sachs
2024-12-30,567.27002,576.02002,565.099976,573.54999,1265900,GS,Goldman Sachs
2024-12-27,577.0,581.96002,571.34998,576.17999,1486000,GS,Goldman Sachs
2024-12-26,578.15002,582.59003,577.5,581.22998,1092000,GS,Goldman Sachs
2024-12-24,574.20001,582.78998,571.35999,582.78998,913400,GS,Goldman Sachs
2024-12-23,565.0,571.64001,561.79999,570.78003,1519500,GS,Goldman Sachs
2024-12-20,554.94,572.90002,553.38,566.099976,4515900,GS,Goldman Sachs
2024-12-19,561.44,567.0,553.59998,553.98999,2753300,GS,Goldman Sachs
2024-12-18,577.48999,579.46997,544.48999,550.25,3271600,GS,Goldman Sachs
2024-12-17,580.84003,581.60999,572.28998,574.67999,2314100,GS,Goldman Sachs
2024-12-16,588.0,588.27002,578.70001,586.33002,1713300,GS,Goldman Sachs
2024-12-13,594.0,595.0,585.080017,585.47998,1215000,GS,Goldman Sachs
2024-12-12,592.59003,596.32001,588.60999,591.60999,1218400,GS,Goldman Sachs
2024-12-11,590.12,593.71002,586.90002,592.56,2195300,GS,Goldman Sachs
2024-12-10,590.0,596.27002,583.76001,585.030029,2600800,GS,Goldman Sachs
2024-12-09,598.98999,603.0,593.71997,594.12,1633200,GS,Goldman Sachs
2024-12-06,597.15997,600.0,594.37,599.67999,1405700,GS,Goldman Sachs
2024-12-05,600.53003,606.56,596.34998,596.79999,1672800,GS,Goldman Sachs
2024-12-04,603.0,604.28003,596.76001,598.71002,1617300,GS,Goldman Sachs
2024-12-03,608.96002,611.41998,600.79999,602.080017,1718100,GS,Goldman Sachs
2024-12-02,608.0,611.90997,601.29999,601.71002,1804100,GS,Goldman Sachs
2024-11-29,609.31,612.72998,607.059998,608.57001,1170200,GS,Goldman Sachs
2024-11-27,607.67999,612.25,603.28003,605.42999,1424500,GS,Goldman Sachs
2024-11-26,600.13,607.19,593.0,605.5,2846500,GS,Goldman Sachs
2024-11-25,608.78998,611.29999,598.83002,603.030029,2940800,GS,Goldman Sachs
2024-11-22,596.21997,603.94,594.44,602.78003,1733700,GS,Goldman Sachs
2024-11-21,586.51001,600.70001,584.51001,596.10999,2281900,GS,Goldman Sachs
2024-11-20,583.83002,587.79999,576.62,581.92999,1528600,GS,Goldman Sachs
2024-11-19,579.65997,584.76001,575.51001,581.38,2217400,GS,Goldman Sachs
