datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,26.58,26.64,25.82,26.02,11633200,HAL,Halliburton
2025-01-30,26.55,26.69,26.24,26.54,9818400,HAL,Halliburton
2025-01-29,26.63,26.87,26.22,26.37,16515700,HAL,Halliburton
2025-01-28,27.34,27.52,26.56,26.65,12717000,HAL,Halliburton
2025-01-27,27.88,28.1,27.21,27.25,14329800,HAL,Halliburton
2025-01-24,28.2,28.38,27.47,27.8,13047000,HAL,Halliburton
2025-01-23,28.9,28.95,27.9,27.97,16720700,HAL,Halliburton
2025-01-22,29.0,29.34,28.17,28.48,17921200,HAL,Halliburton
2025-01-21,30.2,30.26,29.49,29.53,14680100,HAL,Halliburton
2025-01-17,29.39,30.4,29.3,29.9,14157500,HAL,Halliburton
2025-01-16,28.7,29.31,28.69,29.27,8388900,HAL,Halliburton
2025-01-15,28.43,29.11,28.26,28.91,9668700,HAL,Halliburton
2025-01-14,27.7,28.22,27.59,28.2,6624800,HAL,Halliburton
2025-01-13,27.13,28.01,27.07,27.8,11632900,HAL,Halliburton
2025-01-10,27.48,27.81,26.85,26.97,12320000,HAL,Halliburton
2025-01-08,27.46,27.5,26.88,27.030001,11272400,HAL,Halliburton
2025-01-07,27.8,28.31,27.53,27.75,12090500,HAL,Halliburton
2025-01-06,27.67,28.29,27.55,27.66,7956500,HAL,Halliburton
2025-01-03,27.85,27.88,27.4,27.68,6703700,HAL,Halliburton
2025-01-02,27.82,28.14,27.52,27.73,6249300,HAL,Halliburton
2024-12-31,27.07,27.41,27.01,27.19,7647900,HAL,Halliburton
2024-12-30,26.8,27.18,26.54,26.96,10335300,HAL,Halliburton
2024-12-27,26.74,27.22,26.65,26.79,5379400,HAL,Halliburton
2024-12-26,26.78,26.96,26.44,26.8,5562500,HAL,Halliburton
2024-12-24,26.31,26.86,26.08,26.84,4461700,HAL,Halliburton
2024-12-23,25.96,26.38,25.87,26.26,7714300,HAL,Halliburton
2024-12-20,25.51,26.28,25.51,25.97,18035900,HAL,Halliburton
2024-12-19,26.56,26.62,25.66,25.77,14175900,HAL,Halliburton
2024-12-18,27.059999,27.3,26.12,26.15,11454800,HAL,Halliburton
2024-12-17,27.49,27.64,27.040001,27.19,12767200,HAL,Halliburton
2024-12-16,28.47,28.61,27.82,27.87,8770000,HAL,Halliburton
2024-12-13,28.85,29.07,28.5,28.68,6643500,HAL,Halliburton
2024-12-12,29.09,29.27,28.63,28.89,6485900,HAL,Halliburton
2024-12-11,29.25,29.54,28.72,29.2,10506100,HAL,Halliburton
2024-12-10,29.09,29.5,28.55,29.07,6596300,HAL,Halliburton
2024-12-09,29.059999,29.44,28.71,29.08,8137900,HAL,Halliburton
2024-12-06,29.9,29.99,28.75,28.78,10347200,HAL,Halliburton
2024-12-05,30.63,30.86,29.99,30.02,7722300,HAL,Halliburton
2024-12-04,31.58,31.63,30.43,30.6,7616700,HAL,Halliburton
2024-12-03,31.95,32.0099983,31.31,31.72,7442000,HAL,Halliburton
2024-12-02,31.93,32.080002,31.25,31.56,6996800,HAL,Halliburton
2024-11-29,32.09,32.17,31.67,31.86,3484100,HAL,Halliburton
2024-11-27,31.84,32.56,31.82,31.88,7877100,HAL,Halliburton
2024-11-26,32.029999,32.09,31.47,31.81,11141900,HAL,Halliburton
2024-11-25,32.38,32.57,31.56,31.99,15280500,HAL,Halliburton
2024-11-22,31.83,32.4,31.66,31.94,9522500,HAL,Halliburton
2024-11-21,31.45,32.29,31.3,31.87,11476300,HAL,Halliburton
2024-11-20,30.52,31.26,30.45,31.18,9639700,HAL,Halliburton
2024-11-19,30.040001,30.75,29.98,30.47,9375700,HAL,Halliburton
2024-11-18,30.14,30.67,30.01,30.45,9279700,HAL,Halliburton
2024-11-15,30.2,30.77,29.62,29.69,8990300,HAL,Halliburton
2024-11-14,30.34,30.53,30.02,30.11,9113200,HAL,Halliburton
2024-11-13,30.16,30.75,29.46,30.19,11280300,HAL,Halliburton
2024-11-12,30.32,30.66,30.09,30.19,8953000,HAL,Halliburton
2024-11-11,29.13,30.23,28.98,30.13,9789100,HAL,Halliburton
2024-11-08,29.59,29.76,28.88,29.23,9742000,HAL,Halliburton
2024-11-07,29.84,30.0,28.81,29.55,15920700,HAL,Halliburton
2024-11-06,30.0,30.76,29.66,30.5,22611800,HAL,Halliburton
2024-11-05,28.21,28.68,28.11,28.53,9488100,HAL,Halliburton
2024-11-04,27.91,28.29,27.81,28.13,8110000,HAL,Halliburton
2024-11-01,27.96,28.14,27.6,27.68,8203400,HAL,Halliburton
2024-10-31,27.92,28.040001,27.73,27.74,7114300,HAL,Halliburton
2024-10-30,27.56,28.1,27.56,27.69,7158000,HAL,Halliburton
2024-10-29,27.99,28.01,27.4,27.52,8494500,HAL,Halliburton
2024-10-28,27.42,27.94,27.26,27.89,7333800,HAL,Halliburton
2024-10-25,28.11,28.39,27.94,28.25,9251900,HAL,Halliburton
2024-10-24,27.87,27.99,27.51,27.85,8633100,HAL,Halliburton
2024-10-23,28.11,28.29,27.64,27.81,7436500,HAL,Halliburton
2024-10-22,28.4,28.46,28.17,28.24,6389100,HAL,Halliburton
2024-10-21,28.6,28.69,28.08,28.26,9489100,HAL,Halliburton
2024-10-18,28.63,28.83,28.25,28.33,12660600,HAL,Halliburton
2024-10-17,28.9,29.0,28.51,28.94,11655200,HAL,Halliburton
2024-10-16,29.32,29.5,29.22,29.3,6688300,HAL,Halliburton
2024-10-15,29.63,29.82,29.18,29.23,9345300,HAL,Halliburton
2024-10-14,30.47,30.77,30.33,30.58,5665100,HAL,Halliburton
2024-10-11,30.52,30.99,30.49,30.82,4921900,HAL,Halliburton
2024-10-10,30.63,30.97,30.21,30.73,5679800,HAL,Halliburton
2024-10-09,29.77,30.45,29.74,30.36,6988500,HAL,Halliburton
2024-10-08,30.53,30.58,29.73,30.049999,9479800,HAL,Halliburton
2024-10-07,31.25,31.43,31.0,31.09,7498500,HAL,Halliburton
2024-10-06,31.25,31.425,31.0,31.09,7498493,HAL,Halliburton
2024-10-04,31.01,31.29,30.7,31.09,9164700,HAL,Halliburton
2024-10-03,29.9,30.91,29.64,30.73,16453700,HAL,Halliburton
2024-10-02,30.39,30.41,29.59,29.87,11321400,HAL,Halliburton
2024-10-01,30.39,30.41,29.59,29.87,11321418,HAL,Halliburton
2024-09-30,28.5,29.13,28.38,29.049999,10730300,HAL,Halliburton
2024-09-27,27.97,28.66,27.89,28.65,14732500,HAL,Halliburton
2024-09-26,28.29,28.59,27.67,27.81,19291600,HAL,Halliburton
2024-09-25,29.81,29.86,28.66,28.87,14353300,HAL,Halliburton
2024-09-24,30.57,30.71,29.88,29.97,6292400,HAL,Halliburton
2024-09-23,29.58,30.16,29.48,29.95,6835700,HAL,Halliburton
2024-09-20,29.32,29.65,28.97,29.47,14496200,HAL,Halliburton
2024-09-19,29.86,30.030001,29.39,29.53,9759800,HAL,Halliburton
2024-09-18,29.3,29.6,28.94,29.1,6342800,HAL,Halliburton
2024-09-17,28.49,29.4,28.43,29.3,9993200,HAL,Halliburton
2024-09-16,28.19,28.47,28.0,28.41,10182100,HAL,Halliburton
2024-09-13,28.02,28.44,27.67,27.87,9063900,HAL,Halliburton
2024-09-12,28.07,28.2,27.54,28.02,14506700,HAL,Halliburton
2024-09-11,28.39,28.39,27.53,27.97,11045200,HAL,Halliburton
2024-09-10,28.71,28.82,27.96,28.31,7294300,HAL,Halliburton
2024-09-09,28.6,29.049999,28.55,28.68,8090300,HAL,Halliburton
2024-09-06,29.059999,29.39,28.43,28.59,9271200,HAL,Halliburton
2024-09-05,29.74,29.75,28.99,29.07,7792600,HAL,Halliburton
2024-09-04,29.9,30.21,29.21,29.42,9277600,HAL,Halliburton
2024-09-03,30.52,30.68,29.78,29.85,11025300,HAL,Halliburton
2024-08-30,31.08,31.27,30.75,31.09,11287300,HAL,Halliburton
2024-08-29,31.37,31.55,30.83,31.38,5204400,HAL,Halliburton
2024-08-28,31.22,31.28,30.82,31.0,6303400,HAL,Halliburton
2024-08-27,31.84,31.94,31.27,31.62,5710500,HAL,Halliburton
2024-08-26,32.31,32.45,31.67,31.87,4848700,HAL,Halliburton
2024-08-23,31.43,31.95,31.36,31.76,5391700,HAL,Halliburton
2024-08-22,31.28,31.32,31.030001,31.15,4860200,HAL,Halliburton
2024-08-21,31.43,31.59,30.95,31.21,6201800,HAL,Halliburton
2024-08-20,31.68,31.76,31.049999,31.08,6250100,HAL,Halliburton
2024-08-19,31.45,32.18,31.45,31.85,6224100,HAL,Halliburton
2024-08-16,31.0,31.47,30.91,31.38,6481400,HAL,Halliburton
2024-08-15,31.29,31.71,31.16,31.28,10671800,HAL,Halliburton
2024-08-14,31.25,31.34,30.83,30.87,8870900,HAL,Halliburton
2024-08-13,31.07,31.27,30.86,31.09,6076200,HAL,Halliburton
2024-08-12,31.24,31.69,31.18,31.38,5072700,HAL,Halliburton
2024-08-09,31.21,31.4,30.99,31.0,4846600,HAL,Halliburton
2024-08-08,30.8,31.28,30.76,31.23,6142400,HAL,Halliburton
2024-08-07,31.43,31.47,30.67,30.74,8365200,HAL,Halliburton
2024-08-06,30.87,31.33,30.69,30.93,7760500,HAL,Halliburton
2024-08-05,31.0,31.09,30.31,30.88,9560200,HAL,Halliburton
2024-08-02,32.75,32.81,31.42,31.82,11237000,HAL,Halliburton
2024-08-01,34.45,34.62,33.060001,33.24,8402800,HAL,Halliburton
2024-07-31,34.62,34.97,34.53,34.68,8096800,HAL,Halliburton
2024-07-30,33.77,34.48,33.77,34.3,7215400,HAL,Halliburton
2024-07-29,34.31,34.45,33.71,33.88,4742300,HAL,Halliburton
2024-07-26,34.31,34.53,33.79,34.4,6737800,HAL,Halliburton
2024-07-25,32.98,34.42,32.73,34.16,10808400,HAL,Halliburton
2024-07-24,33.6,33.66,32.89,32.99,10136200,HAL,Halliburton
2024-07-23,33.38,33.59,33.02,33.49,10264500,HAL,Halliburton
2024-07-22,33.83,34.18,33.37,33.39,13880800,HAL,Halliburton
2024-07-19,34.25,35.23,33.7,34.4,18696900,HAL,Halliburton
2024-07-18,36.36,37.080002,36.3,36.44,11484300,HAL,Halliburton
2024-07-17,36.17,36.74,36.080002,36.36,9098200,HAL,Halliburton
2024-07-16,35.14,36.28,34.61,35.96,12012500,HAL,Halliburton
2024-07-15,34.35,35.69,33.98,35.23,11872900,HAL,Halliburton
2024-07-12,33.99,33.99,33.55,33.94,6790800,HAL,Halliburton
2024-07-11,33.0,33.75,32.84,33.62,8381100,HAL,Halliburton
2024-07-10,32.73,33.22,32.6,33.02,5927600,HAL,Halliburton
2024-07-09,32.93,33.31,32.63,32.83,6681300,HAL,Halliburton
2024-07-08,33.0,33.32,32.92,33.21,4909100,HAL,Halliburton
