datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,17.31,17.41,17.12,17.2,17460300,HBAN,Huntington Bancshares
2025-01-30,17.34,17.54,17.24,17.39,18944000,HBAN,Huntington Bancshares
2025-01-29,17.34,17.54,17.24,17.39,18943956,HBAN,Huntington Bancshares
2025-01-28,17.13,17.33,17.049999,17.23,22737200,HBAN,Huntington Bancshares
2025-01-27,17.2,17.35,17.09,17.17,21200200,HBAN,Huntington Bancshares
2025-01-24,16.87,17.4,16.84,17.2,20478700,HBAN,Huntington Bancshares
2025-01-23,16.83,17.040001,16.83,16.9,14379700,HBAN,Huntington Bancshares
2025-01-22,17.0,17.1,16.73,16.86,16915100,HBAN,Huntington Bancshares
2025-01-21,17.059999,17.23,16.9,17.1,22133600,HBAN,Huntington Bancshares
2025-01-17,17.0,17.059999,16.63,17.01,31298500,HBAN,Huntington Bancshares
2025-01-16,16.86,17.040001,16.66,16.84,23142600,HBAN,Huntington Bancshares
2025-01-15,17.09,17.14,16.89,17.040001,21983000,HBAN,Huntington Bancshares
2025-01-14,16.4,16.7,16.3,16.59,18637200,HBAN,Huntington Bancshares
2025-01-13,15.98,16.23,15.93,16.22,16176900,HBAN,Huntington Bancshares
2025-01-10,16.41,16.41,15.87,16.02,16406500,HBAN,Huntington Bancshares
2025-01-08,16.47,16.53,16.28,16.43,15744300,HBAN,Huntington Bancshares
2025-01-07,16.66,16.77,16.39,16.55,12545200,HBAN,Huntington Bancshares
2025-01-06,16.54,16.91,16.47,16.53,14773100,HBAN,Huntington Bancshares
2025-01-03,16.27,16.48,16.01,16.45,14845900,HBAN,Huntington Bancshares
2025-01-02,16.4,16.52,16.16,16.24,20048500,HBAN,Huntington Bancshares
2024-12-31,16.36,16.49,16.24,16.27,12261600,HBAN,Huntington Bancshares
2024-12-30,16.26,16.41,16.11,16.33,14343200,HBAN,Huntington Bancshares
2024-12-27,16.44,16.59,16.3,16.38,14480400,HBAN,Huntington Bancshares
2024-12-26,16.39,16.56,16.27,16.52,5175500,HBAN,Huntington Bancshares
2024-12-24,16.29,16.48,16.24,16.46,5068100,HBAN,Huntington Bancshares
