datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,413.17001,416.38,410.32001,411.98001,2761800,HD,Home Depot (The)
2025-01-30,416.41,417.32001,411.51999,414.5,3081300,HD,Home Depot (The)
2025-01-29,420.22,421.37,411.79001,413.42001,2384900,HD,Home Depot (The)
2025-01-28,423.23999,423.23999,416.70001,418.82999,2818300,HD,Home Depot (The)
2025-01-27,414.89999,426.19,414.0,424.87,3699200,HD,Home Depot (The)
2025-01-24,414.089996,415.01001,410.76001,414.5,2369800,HD,Home Depot (The)
2025-01-23,411.57001,414.69,408.75,414.39001,3840300,HD,Home Depot (The)
2025-01-22,417.54999,417.54999,409.32999,410.10001,3581400,HD,Home Depot (The)
2025-01-21,413.0,420.22,413.0,418.42999,3568100,HD,Home Depot (The)
2025-01-17,413.48999,414.45001,408.53,409.38,3229000,HD,Home Depot (The)
2025-01-16,406.26999,410.10999,403.92001,409.32999,2305900,HD,Home Depot (The)
2025-01-15,406.64999,408.0,401.76001,406.089996,4584800,HD,Home Depot (The)
2025-01-14,390.59,394.20001,389.63,392.78,3405200,HD,Home Depot (The)
2025-01-13,389.98999,395.85999,387.70001,389.17999,3512900,HD,Home Depot (The)
2025-01-10,388.91,392.91,384.62,389.89001,5323400,HD,Home Depot (The)
2025-01-08,383.0,387.69,380.10001,387.20001,2848500,HD,Home Depot (The)
2025-01-07,390.89999,391.89999,383.10001,384.23001,2274300,HD,Home Depot (The)
2025-01-06,390.5,393.98999,388.029999,389.37,3274500,HD,Home Depot (The)
2025-01-03,389.82001,391.01001,385.81,389.17999,2231600,HD,Home Depot (The)
2025-01-02,392.13,392.67001,386.38,388.45999,2415700,HD,Home Depot (The)
2024-12-31,390.01001,391.45999,387.29999,388.98999,2179700,HD,Home Depot (The)
2024-12-30,390.53,391.20999,385.67999,389.42999,2444700,HD,Home Depot (The)
2024-12-27,392.14001,395.47,391.37,392.85999,1942700,HD,Home Depot (The)
2024-12-26,392.51999,395.78,391.62,395.14001,1319500,HD,Home Depot (The)
2024-12-24,392.13,396.14001,390.5,396.14001,1392600,HD,Home Depot (The)
2024-12-23,391.10001,393.23999,387.029999,392.45001,2433800,HD,Home Depot (The)
2024-12-20,383.37,393.29001,383.049988,392.60001,8046400,HD,Home Depot (The)
2024-12-19,394.73999,395.14001,384.89001,385.019989,4576100,HD,Home Depot (The)
2024-12-18,407.0,410.70999,393.38,393.82001,4225500,HD,Home Depot (The)
2024-12-17,410.0,410.39999,406.23001,408.47,3726500,HD,Home Depot (The)
2024-12-16,417.85001,418.48001,410.69,410.70999,2879600,HD,Home Depot (The)
2024-12-13,415.76999,418.14001,414.17999,416.98001,2649500,HD,Home Depot (The)
2024-12-12,421.42999,422.75,413.17999,414.42001,3673600,HD,Home Depot (The)
2024-12-11,425.23001,428.0,421.26001,421.38,4211200,HD,Home Depot (The)
2024-12-10,426.89999,427.31,421.41,422.59,3354900,HD,Home Depot (The)
2024-12-09,432.35001,436.35999,428.029999,429.17999,3426000,HD,Home Depot (The)
2024-12-06,428.70001,435.75,427.01001,431.37,3161400,HD,Home Depot (The)
2024-12-05,426.60001,429.76001,425.88,426.54001,2523500,HD,Home Depot (The)
2024-12-04,426.41,428.82999,425.5,427.92001,1968800,HD,Home Depot (The)
2024-12-03,429.73001,430.67999,423.32001,429.35001,2714000,HD,Home Depot (The)
2024-12-02,429.0,430.39999,423.16,426.95999,2617100,HD,Home Depot (The)
2024-11-29,428.56,431.0,427.54001,429.13,2028700,HD,Home Depot (The)
2024-11-27,428.60001,430.10001,425.95999,427.19,2293500,HD,Home Depot (The)
2024-11-26,428.60001,439.37,424.70001,429.51999,2758600,HD,Home Depot (The)
2024-11-25,425.0,430.25,424.45999,428.67001,4544200,HD,Home Depot (The)
2024-11-22,412.089996,420.14001,410.95001,420.0,4932500,HD,Home Depot (The)
2024-11-21,401.32999,411.39001,400.38,410.45001,3722200,HD,Home Depot (The)
2024-11-20,406.0,406.70001,399.92001,400.0,4732200,HD,Home Depot (The)
2024-11-19,408.38,409.16,399.35999,406.79999,3239400,HD,Home Depot (The)
2024-11-18,405.5,412.54001,403.95001,410.44,3394300,HD,Home Depot (The)
2024-11-15,402.89999,408.91,402.89999,408.17999,3239500,HD,Home Depot (The)
2024-11-14,408.0,411.5,404.39001,405.72,3348100,HD,Home Depot (The)
2024-11-13,409.13,412.73999,406.72,410.19,3083100,HD,Home Depot (The)
2024-11-12,414.25,416.019989,402.19,403.079987,5647100,HD,Home Depot (The)
2024-11-11,407.76999,411.60001,405.82999,408.29001,4071500,HD,Home Depot (The)
2024-11-08,404.0,406.39999,402.29999,405.89999,3448700,HD,Home Depot (The)
2024-11-07,391.0,399.76001,390.79999,399.44,4323100,HD,Home Depot (The)
2024-11-06,394.040009,394.040009,381.72,388.37,7133400,HD,Home Depot (The)
2024-11-05,394.97,400.23001,393.85999,400.089996,2496500,HD,Home Depot (The)
2024-11-04,391.95001,400.48001,391.070007,395.57001,2690500,HD,Home Depot (The)
2024-11-01,394.79999,398.70999,392.01001,392.59,3277800,HD,Home Depot (The)
2024-10-31,390.5,395.67001,390.5,393.75,2518600,HD,Home Depot (The)
2024-10-30,395.0,397.69,391.94,392.51999,2795600,HD,Home Depot (The)
2024-10-29,393.94,399.10999,389.049988,395.070007,3822700,HD,Home Depot (The)
2024-10-28,403.45001,405.84,401.95001,402.89001,2586500,HD,Home Depot (The)
2024-10-25,403.51999,403.51999,397.82999,398.91,1941400,HD,Home Depot (The)
2024-10-24,402.29001,404.20001,398.089996,402.67999,2550300,HD,Home Depot (The)
2024-10-23,400.56,404.28,396.69,399.64001,3159000,HD,Home Depot (The)
2024-10-22,398.5,402.95001,396.20999,401.85001,4486700,HD,Home Depot (The)
2024-10-21,416.070007,416.56,404.37,406.39999,3699500,HD,Home Depot (The)
2024-10-18,416.64999,416.66,413.23999,415.0,2436600,HD,Home Depot (The)
2024-10-17,418.60999,419.0,414.56,415.60001,2013800,HD,Home Depot (The)
2024-10-16,413.87,418.73999,413.87,418.60999,2429000,HD,Home Depot (The)
2024-10-15,417.95001,421.56,415.019989,415.57999,3693000,HD,Home Depot (The)
2024-10-14,411.48001,416.42001,411.29999,415.42001,2088700,HD,Home Depot (The)
2024-10-11,410.56,413.14001,408.84,411.89999,2717400,HD,Home Depot (The)
2024-10-10,409.72,414.48001,407.63,409.95999,3040800,HD,Home Depot (The)
2024-10-09,420.0,420.029999,410.75,416.070007,3627800,HD,Home Depot (The)
2024-10-08,409.79999,415.29001,408.44,414.17999,3693900,HD,Home Depot (The)
2024-10-07,404.89001,409.81,401.23999,408.059998,3267800,HD,Home Depot (The)
2024-10-04,410.070007,411.82001,399.45001,408.35999,3989000,HD,Home Depot (The)
2024-10-03,409.0,412.97,406.79999,411.57999,3320700,HD,Home Depot (The)
2024-10-02,407.70001,411.45999,404.95999,411.26001,3431300,HD,Home Depot (The)
2024-10-01,404.019989,410.56,401.41,409.049988,3476200,HD,Home Depot (The)
2024-09-30,400.20001,405.31,399.019989,405.20001,3442000,HD,Home Depot (The)
2024-09-27,399.64999,403.54001,398.31,399.53,2452300,HD,Home Depot (The)
2024-09-26,399.5,400.0,395.48999,396.70001,2849500,HD,Home Depot (The)
2024-09-25,400.66,400.66,395.62,396.92999,2787300,HD,Home Depot (The)
2024-09-24,394.70001,401.10999,393.63,400.66,4057700,HD,Home Depot (The)
2024-09-23,390.82999,392.64999,387.26001,391.95999,2502300,HD,Home Depot (The)
2024-09-20,388.32999,391.82999,387.0,389.85999,6584200,HD,Home Depot (The)
2024-09-19,390.84,391.87,387.01001,390.34,3753500,HD,Home Depot (The)
2024-09-18,384.089996,392.67001,381.070007,384.01001,3549400,HD,Home Depot (The)
2024-09-17,383.42999,387.94,381.67999,383.23999,2947600,HD,Home Depot (The)
2024-09-16,382.0,384.0,379.53,382.01001,2877800,HD,Home Depot (The)
2024-09-13,375.56,382.0,375.51001,379.98999,2514700,HD,Home Depot (The)
2024-09-12,371.94,374.98999,370.56,374.42999,2368300,HD,Home Depot (The)
2024-09-11,369.54999,371.20999,362.14001,370.48999,2937700,HD,Home Depot (The)
2024-09-10,365.70001,371.56,362.48001,370.87,2787400,HD,Home Depot (The)
2024-09-09,362.76001,366.16,360.029999,365.51999,2747600,HD,Home Depot (The)
2024-09-06,362.92001,365.44,359.42001,360.049988,2228800,HD,Home Depot (The)
2024-09-05,364.89999,365.14999,357.57999,361.85001,2789200,HD,Home Depot (The)
2024-09-04,364.17001,365.92999,360.01001,364.67001,3221300,HD,Home Depot (The)
2024-09-03,367.89999,369.38,362.89999,364.73999,3598100,HD,Home Depot (The)
2024-08-30,369.23999,370.41,364.88,368.5,3216700,HD,Home Depot (The)
2024-08-29,372.60999,373.32001,366.92999,367.059998,2698400,HD,Home Depot (The)
2024-08-28,373.0,375.41,370.20001,372.69,2218300,HD,Home Depot (The)
2024-08-27,373.48999,374.28,371.0,373.17999,1780300,HD,Home Depot (The)
2024-08-26,377.079987,378.57999,373.37,374.10999,2452100,HD,Home Depot (The)
2024-08-23,366.66,376.32001,365.19,375.59,3426200,HD,Home Depot (The)
2024-08-22,371.5,372.45999,364.60999,365.35999,4097300,HD,Home Depot (The)
2024-08-21,369.45001,372.87,368.51999,370.45999,4587600,HD,Home Depot (The)
2024-08-20,360.64999,367.64001,360.5,367.26999,3459400,HD,Home Depot (The)
2024-08-19,362.5,364.69,362.10001,363.070007,3634900,HD,Home Depot (The)
2024-08-16,359.97,363.70001,359.97,362.059998,3308300,HD,Home Depot (The)
2024-08-15,362.45999,365.41,358.14001,360.070007,3575800,HD,Home Depot (The)
2024-08-14,349.54999,359.69,349.39999,355.66,4814800,HD,Home Depot (The)
2024-08-13,341.87,353.39001,339.37,350.070007,6388600,HD,Home Depot (The)
2024-08-12,350.76999,351.5,342.13,345.81,3830200,HD,Home Depot (The)
2024-08-09,347.89001,351.53,345.39999,348.64001,2314800,HD,Home Depot (The)
2024-08-08,342.23999,348.73999,341.34,348.34,3591100,HD,Home Depot (The)
2024-08-07,355.17999,356.26999,342.28,342.39999,3429100,HD,Home Depot (The)
2024-08-06,348.75,358.66,347.28,353.91,2831100,HD,Home Depot (The)
2024-08-05,350.88,353.94,345.23999,350.01001,3827900,HD,Home Depot (The)
2024-08-02,354.92999,355.57001,346.73999,355.42999,3764600,HD,Home Depot (The)
2024-08-01,369.98999,371.48001,353.75,358.57999,3759000,HD,Home Depot (The)
2024-07-31,365.0,372.48999,363.040009,368.16,3526100,HD,Home Depot (The)
2024-07-30,362.82001,364.69,359.26001,363.69,2788800,HD,Home Depot (The)
2024-07-29,359.20999,362.89001,358.95001,361.67001,2142100,HD,Home Depot (The)
2024-07-26,355.01001,361.67001,355.01001,359.51001,2439000,HD,Home Depot (The)
2024-07-25,350.20001,358.82999,349.32999,353.29001,3297600,HD,Home Depot (The)
2024-07-24,358.92999,361.45001,350.0,350.31,3508100,HD,Home Depot (The)
2024-07-23,365.42999,365.42999,359.38,359.62,2535700,HD,Home Depot (The)
2024-07-22,364.5,367.28,361.079987,363.25,4049300,HD,Home Depot (The)
2024-07-19,366.42999,367.60001,361.95001,363.35999,2474500,HD,Home Depot (The)
2024-07-18,369.89999,375.73999,365.78,366.079987,2395000,HD,Home Depot (The)
2024-07-17,366.64001,375.19,365.42001,371.89001,3991100,HD,Home Depot (The)
2024-07-16,360.059998,369.42001,359.5,369.12,3210400,HD,Home Depot (The)
2024-07-15,359.14001,361.17999,355.029999,358.45999,2884000,HD,Home Depot (The)
2024-07-12,355.0,363.95001,354.089996,359.76999,4019900,HD,Home Depot (The)
2024-07-11,350.78,354.13,345.0,353.79001,4146900,HD,Home Depot (The)
2024-07-10,338.64001,344.29001,337.62,344.17999,3263100,HD,Home Depot (The)
2024-07-09,338.95001,339.26001,335.57001,337.089996,2254300,HD,Home Depot (The)
2024-07-08,335.88,340.76001,335.0,339.60001,3534500,HD,Home Depot (The)
2024-07-05,332.70999,335.92001,331.64001,334.57999,3437500,HD,Home Depot (The)
2024-07-03,337.0,339.64001,333.54001,333.64001,1733000,HD,Home Depot (The)
2024-07-02,335.0,336.82999,332.53,334.97,2995900,HD,Home Depot (The)
2024-07-01,343.92001,344.64999,335.39001,336.19,2643600,HD,Home Depot (The)
2024-06-28,341.35001,345.28,340.70999,344.23999,6344000,HD,Home Depot (The)
2024-06-27,342.82999,344.76001,338.45001,341.48999,2912600,HD,Home Depot (The)
2024-06-26,339.45999,342.59,337.53,341.82001,3365300,HD,Home Depot (The)
2024-06-25,346.31,346.98999,334.53,338.32001,4980500,HD,Home Depot (The)
2024-06-24,356.89999,357.69,350.72,350.88,4278900,HD,Home Depot (The)
2024-06-21,354.84,356.25,352.049988,355.79999,6596400,HD,Home Depot (The)
2024-06-20,352.0,354.92001,349.59,353.44,3661200,HD,Home Depot (The)
2024-06-18,352.95001,356.41,352.10999,353.87,3655000,HD,Home Depot (The)
2024-06-17,344.89001,350.69,344.39999,349.5,2680200,HD,Home Depot (The)
2024-06-14,344.81,347.5,341.69,346.84,2589000,HD,Home Depot (The)
2024-06-13,345.89999,348.69,343.070007,347.88,3380800,HD,Home Depot (The)
